Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1251	7#7#7#7#7	5.003188853152096E-4#5.003188853152096E-4#5.211853422224522E-4#5.211853422224522E-4#0.0012727261055260897	8.152251793597094E-4#8.152251793597094E-4#8.545933346607762E-4#8.545933346607762E-4#9.88971935245331E-4	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.98#1.98#1.98#1.98#1.98	0#0#0#0#0	7#7#7#7#8	66.0#66.0#66.0#66.0#65.0	108.9582290649414#108.9582290649414#108.9582290649414#108.9582290649414#109.0376205444336	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#4#18#91#154	0#0#3#0#1	0#0#6#0#2	0#0#20#0#18	0#0#20#0#18	0#0#28#6#19	0#0#1#0#0	0#0#1#0#0	0#0#1#0#0	4583.212#4583.212#4583.212#4583.212#4792.674	254.62288#254.62288#254.62288#254.62288#266.25964	338.53268#338.53268#338.53268#338.53268#333.40338	0.11284423#0.11284423#0.11284423#0.11284423#0.11113446	13.538462#13.538462#13.538462#13.538462#14.375	shouldNotAllowToPlaySecondCardBeforeDecidingIfPlaysMaoDeOnze.json
4	7	0.0	4.512783283806344E-5	0	0	0	1	1.98	0	13	84.0	107.74675750732422	0	0	0	0	0	0	0	0	0	0	0	0	6495.673	360.87073	427.3469	0.14244896	15.2	twoCardsTwoManilhas.json
1251	7#7#7#7#7	0.010740754194557667#0.010740754194557667#0.011115497909486294#0.011115497909486294#0.026670726016163826	0.001923653996075815#0.001923653996075815#0.0019941371213121873#0.0019941371213121873#0.0023279304959444307	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.98#1.98#1.98#1.98#1.98	0#0#0#0#0	6#6#6#6#7	61.0#61.0#61.0#61.0#60.0	109.41046142578125#109.41046142578125#109.41046142578125#109.41046142578125#109.49641418457031	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#4#18#91#154	0#0#3#0#1	0#0#6#0#2	0#0#20#0#18	0#0#20#0#18	0#0#28#6#19	0#0#1#0#0	0#0#1#0#0	0#0#1#0#0	3759.8306#3759.8306#3759.8306#3759.8306#3917.3462	208.87947#208.87947#208.87947#208.87947#217.63034	310.33524#310.33524#310.33524#310.33524#305.24777	0.103445075#0.103445075#0.103445075#0.103445075#0.101749256	12.115384#12.115384#12.115384#12.115384#12.833333	shouldBeThePlayerWith11PointsWhoDecidesIfPlaysHandInMaoDeOnze.json
1157	10#10#10#10	0.0018297776114195585#5.793219315819442E-4#4.3284078128635883E-4#6.066560745239258E-4	2.4816930771144103E-5#1.4944806647195037E-5#7.8389527825687E-6#2.372542858103573E-5	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.96#1.96#1.96#1.96	0#0#0#0	22#22#23#21	95.0#98.0#101.0#96.0	101.24510192871094#101.08342742919922#100.88702392578125#101.231689453125	0#0#0#0	0#0#0#0	0#0#0#0	0#4#65#214	0#1#1#1	0#2#2#2	0#10#12#21	0#10#12#21	0#22#26#31	0#1#0#1	0#1#0#1	0#1#0#1	10604.222#12090.575#13058.205#11280.691	589.1234#671.6986#725.4558#626.7051	491.14288#506.65268#526.1548#492.41116	0.16371429#0.16888423#0.17538492#0.16413705	21.59091#23.863636#24.818182#22.90909	shouldAcceptIfBotServiceImplementationIsAnsweringToAcceptAndAcceptIsAllowed.json
10	7	0.0	6.188900426011407E-7	0	0	0	1	1.98	0	15	108.0	106.39735412597656	0	0	0	0	0	0	0	0	0	0	0	0	12187.177	677.06537	553.9626	0.18465419	22.0	MidCard.json
1091	16#16#17#17#15	0.0#0.0#0.0#0.0#3.036207635886967E-4	3.914523041209488E-13#3.8098946142786484E-13#3.2217499528430136E-14#3.2216186966028783E-14#2.2065753330487066E-9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.7#1.7#1.77	0#0#0#0#0	24#24#26#26#14	201.0#201.0#211.0#211.0#153.0	89.41989135742188#89.41989135742188#88.04332733154297#88.04332733154297#91.94680786132812	0#0#0#0#0	0#0#0#0#0	4#4#4#4#4	0#130#148#312#312	0#2#1#2#0	0#4#1#4#2	0#12#42#6#262	0#12#42#6#262	0#5#31#10#8	0#0#1#0#0	0#0#1#1#1	0#0#1#1#1	50907.547#50907.547#52695.273#52695.273#28569.281	2828.197#2828.197#2927.5151#2927.5151#1587.1823	1103.8625#1103.8625#1190.8536#1190.8536#830.2185	0.3679542#0.3679542#0.3969512#0.3969512#0.2767395	46.11765#46.11765#44.25#44.25#34.411762	shouldCorrectlyPlayHandIfInvariantsAreMet.json
1419	6#7#7#7#7#8#7	0.047850266098976135#0.022791551426053047#0.022791551426053047#0.024066289886832237#0.022791551426053047#0.01524263620376587#0.015260306186974049	0.11483657531609917#0.08149637040919884#0.08149637040919884#0.08190391275425567#0.08149637040919884#0.01060097994883795#0.0485069424142809	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	2.0#1.98#1.98#1.98#1.98#2.0#1.98	0#0#0#0#0#0#0	9#9#9#9#9#10#10	43.0#46.0#46.0#46.0#46.0#59.0#49.0	114.48999786376953#111.48896026611328#111.48896026611328#111.48896026611328#111.48896026611328#107.715087890625#111.09032440185547	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#13#121#180#186#322#640	0#3#0#2#2#2#0	0#5#0#4#4#3#1	0#76#0#10#10#50#38	0#76#0#10#10#50#38	0#6#0#11#28#6#8	0#0#0#0#1#0#0	0#0#0#0#1#0#1	0#0#0#0#1#0#1	1652.6094#1902.481#1902.481#1902.481#1902.481#4679.96#2182.4421	91.81163#105.69339#105.69339#105.69339#105.69339#259.99777#121.24679	188.86964#208.08385#208.08385#208.08385#208.08385#283.63394#224.66316	0.06295655#0.069361284#0.069361284#0.069361284#0.069361284#0.09454465#0.07488772	8.75#9.142858#9.142858#9.142858#9.142858#16.5#9.714286	shouldGetNoWinnerBeforeGameEnds.json
1157	7#7#7#7	0.07825376838445663#0.03689144179224968#0.02494797855615616#0.03753630816936493	0.0343762219943123#0.019750163646626358#0.011179835526019153#0.02888596278078802	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.98#1.98#1.98#1.98	0#0#0#0	10#10#11#9	49.0#52.0#55.0#50.0	110.73745727539062#110.3785629272461#110.03904724121094#110.63240814208984	0#0#0#0	0#0#0#0	0#0#0#0	0#4#65#214	0#1#1#1	0#2#2#2	0#10#12#21	0#10#12#21	0#22#26#31	0#1#0#1	0#1#0#1	0#1#0#1	2524.595#2975.4905#3327.5#2698.7896	140.25528#165.30502#184.86111#149.93275	240.43762#257.61823#275.0#245.34451	0.08014587#0.08587274#0.09166667#0.08178151	10.5#11.55#12.1#11.0	shouldRaiseIfBotServiceImplementationDecidesToRaise.json
1160	11#11#11	0.0#0.0#0.0	6.529314270302751E-7#3.895544146571802E-7#1.393844143636549E-7	0#0#0	0#0#0	0#0#0	1#1#1	1.92#1.92#1.92	0#0#0	20#21#21	119.0#121.0#126.0	98.57083129882812#98.44312286376953#98.19296264648438	0#0#0	0#0#0	2#2#2	0#63#381	0#1#1	0#2#2	0#35#12	0#35#12	0#6#8	0#0#0	0#0#1	0#0#1	19310.352#20615.078#22496.316	1072.7974#1145.2821#1249.7954	610.38464#625.561#656.3912	0.20346154#0.20852032#0.21879706	31.636364#32.954548#34.272728	shouldCorrectlyToString.json
1	9	0.0	4.989672382082723E-8	0	0	0	1	1.99	0	20	121.0	101.44234466552734	0	0	1	0	0	0	0	0	0	0	0	0	14099.15	783.28613	656.57806	0.21885936	21.473684	twoCardsNoCardBeatsOpponent.json
