Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4461	20#22#23#23#23#26#26#26	2.738285984378308E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0	2.011701726945481E-12#6.781410438036458E-15#7.565090244867112E-16#4.341749738893084E-16#4.3189894949553106E-16#9.508875431043843E-19#9.533481265663218E-19#3.656538594448158E-18	0#0#0#0#0#1#1#1	0#0#0#0#0#2#2#2	0#0#0#0#0#3#3#3	1#1#1#1#1#3#3#3	2.68#2.55#2.5#2.5#2.5#2.4#2.4#2.4	0#0#0#0#0#0#0#0	24#29#32#32#32#37#37#37	187.0#215.0#227.0#229.0#229.0#258.0#258.0#253.0	85.76007080078125#83.3753890991211#82.35488891601562#82.29163360595703#82.29163360595703#79.0794677734375#79.0794677734375#79.21183776855469	0#0#0#0#0#0#0#0	0#0#0#0#0#1#1#1	2#2#2#2#2#2#2#2	0#135#151#184#343#471#2399#4460	0#3#1#1#1#7#2#1	0#4#1#2#2#11#4#2	0#115#42#19#5#221#6#14	0#115#42#19#5#221#6#14	0#16#8#12#9#3#26#11	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	50031.94#61610.76#65988.97#65485.47#65485.47#88383.336#88383.336#82495.39	2779.5522#3422.82#3666.0537#3638.0815#3638.0815#4910.1855#4910.1855#4583.077	1113.4347#1308.8046#1386.635#1403.6058#1403.6058#1626.3754#1626.3754#1585.497	0.3711449#0.43626818#0.46221167#0.46786863#0.46786863#0.5421251#0.5421251#0.528499	44.93478#47.074074#47.589287#46.65517#46.65517#54.34375#54.34375#52.03125	testStoreJSCoverageJSONInSpecifiedSubDirectoryForProxy.json
3045	5	0.5400643944740295	0.2145929978977283	0	0	0	1	1.96	0	4	34.0	118.58592224121094	0	0	0	0	0	0	0	0	0	0	0	0	1546.5311	85.918396	151.62068	0.050540227	10.200001	shouldCloseServerSocketQuietly.json
4530	13#13#13#14	1.0475426097400486E-4#0.0#1.9577356579247862E-4#2.936796809080988E-4	3.597208757752299E-8#1.2671380625565056E-8#1.2043670489039698E-7#9.044792091555347E-8	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.69#1.69#1.69#1.64	0#0#0#0	27#28#26#27	133.0#138.0#128.0#131.0	94.9618148803711#94.73912048339844#95.22539520263672#93.87174224853516	0#0#0#0	0#0#0#0	1#1#1#1	0#147#256#967	0#1#1#1	0#2#2#1	0#35#77#25	0#35#77#25	0#4#6#2	0#0#0#0	0#0#0#0	0#0#0#0	19695.582#21978.396#18635.848#19903.54	1094.199#1221.022#1035.3248#1105.7522	726.10443#757.87573#690.2166#710.8407	0.24203481#0.25262526#0.2300722#0.2369469	27.125#29.0#27.0#28.0	shouldNotMakeSubDirectoriesIfExist.json
4622	4#4#4#4#6	0.6684649586677551#0.5022103786468506#0.44497355818748474#0.44497355818748474#0.1023288369178772	0.425857350378167#0.08966113216273287#0.13575805950463632#0.13907348214745335#0.023650147621294762	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#2.0	0#0#0#0#0	1#1#1#1#5	26.0#37.0#35.0#35.0#50.0	123.94486236572266#121.68689727783203#122.12896728515625#122.12896728515625#113.29327392578125	0#0#0#0#0	0#0#0#0#0	0#0#0#0#1	0#15#22#40#296	0#2#1#1#3	0#4#2#2#4	0#64#19#1#85	0#64#19#1#85	0#7#2#8#5	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	758.9264#1896.8805#1537.311#1537.311#3105.5361	42.16258#105.38225#85.406166#85.406166#172.52979	108.41805#167.3718#153.73111#153.73111#237.74438	0.03613935#0.0557906#0.051243704#0.051243704#0.07924813	7.0#11.333334#10.0#10.0#13.0625	shouldWrapExceptionsInCopyFileToFile.json
4277	21#21	0.0#0.0	6.930675750202777E-17#2.3158353760917853E-15	0#0	0#0	0#0	1#1	1.4#1.4	0#0	33#33	251.0#231.0	83.69117736816406#84.09733581542969	0#0	0#0	5#5	0#1593	0#4	0#8	0#64	0#64	0#20	0#0	0#0	0#0	89698.055#85398.46	4983.225#4744.359	1423.7787#1316.8016	0.4745929#0.43893388	63.0#64.85294	shouldSaveAndMergeDataWithTranslatedUris.json
4274	6#6#6#5#6	0.038184650242328644#0.014517810195684433#0.014736383222043514#0.10050102323293686#0.015371051616966724	0.1512904302367133#0.0555249309544219#0.05677619239128005#0.41003405321612096#0.04863685804121558	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	2.0#2.0#2.0#1.96#2.0	0#0#0#0#0	9#9#9#6#9	43.0#47.0#47.0#32.0#47.0	114.66381072998047#114.02747344970703#114.02747344970703#119.35407257080078#114.02747344970703	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#1401#2771#2975#2975	0#1#1#0#1	0#2#2#1#1	0#38#8#76#93	0#38#8#76#93	0#6#1#1#1	0#0#0#0#0	0#0#0#1#1	0#0#0#1#1	2397.424#2322.4377#2322.4377#1525.9861#2322.4377	133.19023#129.02432#129.02432#84.77701#129.02432	182.66089#206.43892#206.43892#130.79881#206.43892	0.060886964#0.068812974#0.068812974#0.043599606#0.068812974	13.125#11.25#11.25#11.666666#11.25	setUp.json
4566	9#15#16#14#14#14	0.015083336271345615#8.891940815374255E-4#3.925223427359015E-4#0.0016877420712262392#0.001661087037064135#0.0016916262684389949	0.004534984107635524#3.279502477000731E-7#2.0961105708802764E-8#2.996203565325528E-7#3.0001380966653044E-7#4.4046994252623746E-7	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.6#1.56#1.64#1.64#1.64	0#0#0#0#0#0	14#22#25#23#23#23	72.0#129.0#144.0#126.0#126.0#123.0	105.08793640136719#92.9708251953125#91.24916076660156#94.17505645751953#94.17505645751953#94.26567840576172	0#0#0#0#0#0	0#0#0#0#0#0	2#4#4#2#2#2	0#1#1#1#3#1882	0#11#1#1#1#1	0#16#1#4#2#2	0#325#76#108#5#9	0#325#76#108#5#9	0#2#2#3#1#20	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	5998.2437#18409.057#26206.662#20330.248#20330.248#20667.975	333.23575#1022.72534#1455.9257#1129.4583#1129.4583#1148.2208	325.69647#681.8169#776.4937#670.5629#670.5629#658.9789	0.108565494#0.2272723#0.25883123#0.22352098#0.22352098#0.21965963	18.416668#27.0#33.75#30.31818#30.31818#31.363636	shouldAddBranchStatistics.json
4561	6#7#7#7	0.38498741388320923#0.39363664388656616#0.3799597918987274#0.38535308837890625	0.11695313121120175#0.08552330604235645#0.08710230419182946#0.0861805998422549	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	2.0#1.98#1.98#1.98	0#0#0#0	6#7#7#7	39.0#43.0#43.0#43.0	114.70814514160156#111.58031463623047#111.58031463623047#111.58031463623047	0#0#0#0	0#0#0#0	0#0#0#0	0#13#580#2499	0#1#1#1	0#1#2#2	0#40#3#3	0#40#3#3	0#5#8#26	0#0#0#0	0#0#0#0	0#0#0#0	2377.0737#2698.8743#2698.8743#2698.8743	132.05965#149.93745#149.93745#149.93745	181.11038#204.46016#204.46016#204.46016	0.06037013#0.06815339#0.06815339#0.06815339	13.125#13.200001#13.200001#13.200001	shouldShowHelp.json
4566	9#15#16#14#14	0.015083336271345615#0.0011213935213163495#5.209855153225362E-4#0.0011229993542656302#0.0012089423835277557	0.004534984107635524#3.4770429545219636E-7#2.217779816600954E-8#3.248907328671595E-7#4.761995216651014E-7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.6#1.56#1.64#1.64	0#0#0#0#0	14#22#25#23#23	72.0#129.0#144.0#126.0#123.0	105.08793640136719#92.9708251953125#91.24916076660156#94.17505645751953#94.26567840576172	0#0#0#0#0	0#0#0#0#0	2#4#4#2#2	0#1#1#1#1882	0#10#1#1#1	0#14#1#4#2	0#296#74#108#9	0#296#74#108#9	0#2#2#3#20	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	5998.2437#18409.057#26206.662#20330.248#20667.975	333.23575#1022.72534#1455.9257#1129.4583#1148.2208	325.69647#681.8169#776.4937#670.5629#658.9789	0.108565494#0.2272723#0.25883123#0.22352098#0.21965963	18.416668#27.0#33.75#30.31818#31.363636	shouldAddLineStatistics.json
4310	7#7#7#7#7#7	1.244321174453944E-4#1.0833061242010444E-4#1.0833061242010444E-4#0.0#1.0833061242010444E-4#1.736924023134634E-4	0.0013963802721859734#0.0014568883027743713#0.001459790219583775#0.0014435821609299728#0.001459790219583775#0.0019999192008992067	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.98#1.98#1.98#1.98#1.98#1.98	0#0#0#0#0#0	10#10#10#10#10#10	62.0#62.0#62.0#62.0#62.0#60.0	109.3701171875#109.3701171875#109.3701171875#109.3701171875#109.3701171875#109.54061889648438	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	0#1#34#258#259#4309	0#1#1#1#1#1	0#2#2#2#2#2	0#6#2#16#16#16	0#6#2#16#16#16	0#3#3#3#3#11	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	7330.1353#7330.1353#7330.1353#7330.1353#7330.1353#6147.855	407.22974#407.22974#407.22974#407.22974#407.22974#341.5475	312.75244#312.75244#312.75244#312.75244#312.75244#302.66364	0.10425081#0.10425081#0.10425081#0.10425081#0.10425081#0.10088788	23.4375#23.4375#23.4375#23.4375#23.4375#20.3125	shouldFormatLogRecordWithZeroParameters.json
