Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3939	14#14#14	0.0024141960311681032#0.0024141960311681032#0.0024141960311681032	6.810092630802532E-5#6.810092630802532E-5#6.810092630802532E-5	0#0#0	0#0#0	0#0#0	1#1#1	1.64#1.64#1.64	0#0#0	14#14#14	104.0#104.0#104.0	95.49736022949219#95.49736022949219#95.49736022949219	0#0#0	0#0#0	4#4#4	0#35#102	0#0#0	0#0#0	0#0#0	0#0#0	0#7#1	0#0#0	0#0#0	0#0#0	19500.0#19500.0#19500.0	1083.3334#1083.3334#1083.3334	520.0#520.0#520.0	0.17333333#0.17333333#0.17333333	37.5#37.5#37.5	testCloseWithException.json
2693	11	0.08552613109350204	0.001383046816081261	0	0	0	1	1.78	0	8	81.0	100.90819549560547	0	0	4	0	0	0	0	0	0	0	0	0	6327.681	351.53784	389.39575	0.12979859	16.25	setUp.json
3955	7#10#10#10#10#10#10	0.3857775628566742#0.05592483654618263#0.05592483654618263#0.05592483654618263#0.03819715976715088#0.03819715976715088#0.03819715976715088	0.2084760753950834#0.006608271229335762#0.006608271229335762#0.006608271229335762#0.007440717799005382#0.007440717799005382#0.007440717799005382	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.98#1.83#1.83#1.83#1.83#1.83#1.83	0#0#0#0#0#0#0	4#10#10#10#10#10#10	41.0#68.0#68.0#68.0#68.0#68.0#68.0	112.08732604980469#103.2553482055664#103.2553482055664#103.2553482055664#103.2553482055664#103.2553482055664#103.2553482055664	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#3#3#3#3#3#3	0#5#51#118#119#289#348	0#3#0#0#2#0#0	0#3#0#0#4#0#0	0#154#0#0#30#0#0	0#154#0#0#30#0#0	0#1#7#1#3#1#1	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	3083.3728#8008.045#8008.045#8008.045#8008.045#8008.045#8008.045	171.2985#444.8914#444.8914#444.8914#444.8914#444.8914#444.8914	185.46603#333.66855#333.66855#333.66855#333.66855#333.66855#333.66855	0.061822012#0.11122285#0.11122285#0.11122285#0.11122285#0.11122285#0.11122285	16.625#24.0#24.0#24.0#24.0#24.0#24.0	testClose.json
3941	12#12#12#12#12	0.003534443210810423#0.003534443210810423#0.003534443210810423#0.002429658779874444#0.002429658779874444	8.365468253086892E-5#8.365468253086892E-5#8.365468253086892E-5#9.215386857032316E-5#9.215386857032316E-5	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	18#18#18#18#18	96.0#96.0#96.0#96.0#96.0	98.32064819335938#98.32064819335938#98.32064819335938#98.32064819335938#98.32064819335938	0#0#0#0#0	0#0#0#0#0	3#3#3#3#3	0#37#104#105#275	0#0#0#2#0	0#0#0#4#0	0#0#0#30#0	0#0#0#30#0	0#7#1#3#1	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	15070.519#15070.519#15070.519#15070.519#15070.519	837.25104#837.25104#837.25104#837.25104#837.25104	488.39642#488.39642#488.39642#488.39642#488.39642	0.1627988#0.1627988#0.1627988#0.1627988#0.1627988	30.857143#30.857143#30.857143#30.857143#30.857143	testCloseAlreadyClosed.json
3950	16#16#21#21#21#21#21#22#21	4.6876739361323416E-4#3.687652642838657E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0	2.4087336052227466E-7#8.43309296730353E-8#1.3463061550765888E-11#1.3463061550765888E-11#1.3463061550765888E-11#1.3200494867453786E-11#1.3200494867453786E-11#2.9780913337295466E-12#7.241036235784843E-12	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1.56#1.56#1.4#1.4#1.4#1.4#1.4#1.37#1.4	0#0#0#0#0#0#0#0#0	23#25#38#38#38#38#38#38#38	135.0#140.0#196.0#196.0#196.0#196.0#196.0#204.0#198.0	91.68890380859375#91.46397399902344#85.17634582519531#85.17634582519531#85.17634582519531#85.17634582519531#85.17634582519531#84.15396881103516#85.09276580810547	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	4#4#5#5#5#5#5#5#5	0#1#9#46#113#118#284#597#1003	0#1#6#0#0#6#0#2#0	0#2#7#0#0#12#0#3#1	0#18#310#0#0#160#0#92#59	0#18#310#0#0#160#0#92#59	0#1#1#7#1#2#1#1#1	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#1	24519.46#26517.717#48481.43#48481.43#48481.43#48481.43#48481.43#52798.94#50856.25	1362.1923#1473.2065#2693.4128#2693.4128#2693.4128#2693.4128#2693.4128#2933.2744#2825.3472	713.5293#745.06995#1070.0486#1070.0486#1070.0486#1070.0486#1070.0486#1126.8066#1087.387	0.2378431#0.24835666#0.35668287#0.35668287#0.35668287#0.35668287#0.35668287#0.37560222#0.3624623	34.363636#35.590908#45.30769#45.30769#45.30769#45.30769#45.30769#46.857143#46.76923	testCloseAllStatements.json
2693	12	0.007150739897042513	1.7849040453643153E-5	0	0	0	1	1.73	0	12	104.0	97.90442657470703	0	0	5	0	0	0	0	0	0	0	0	0	12722.356	706.7976	529.0961	0.17636538	24.045454	testToString.json
2951	15	0.0	1.3895277657415785E-9	2	1	3	2	1.77	1	27	153.0	91.56690216064453	0	0	4	0	0	0	0	0	0	0	0	0	41676.26	2315.348	854.49927	0.2848331	48.772728	getTestData.json
3941	9#9#9#9#9#9	0.07404263317584991#0.07404263317584991#0.07404263317584991#0.04866252467036247#0.04866252467036247#0.04866252467036247	0.015224395710145493#0.015224395710145493#0.015224395710145493#0.016118885079150137#0.016118885079150137#0.016118885079150137	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	8#8#8#8#8#8	61.0#61.0#61.0#61.0#61.0#61.0	105.52708435058594#105.52708435058594#105.52708435058594#105.52708435058594#105.52708435058594#105.52708435058594	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#37#104#109#275#553	0#0#0#3#0#0	0#0#0#6#0#0	0#0#0#100#0#0	0#0#0#100#0#0	0#7#1#2#1#1	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	6585.047#6585.047#6585.047#6585.047#6585.047#6585.047	365.83594#365.83594#365.83594#365.83594#365.83594#365.83594	299.3203#299.3203#299.3203#299.3203#299.3203#299.3203	0.09977344#0.09977344#0.09977344#0.09977344#0.09977344#0.09977344	22.0#22.0#22.0#22.0#22.0#22.0	testCloseConnectionAlreadyClosed.json
4152	13#13#12#12#12#12#12	0.004349644295871258#0.0030434357468038797#0.002895813202485442#0.002895813202485442#0.002895813202485442#0.0014235401758924127#0.0014235401758924127	1.2813744582605753E-4#1.3639189692462835E-4#3.8167165421205924E-4#3.8167165421205924E-4#3.8167165421205924E-4#4.3287817020946337E-4#4.3287817020946337E-4	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.69#1.69#1.73#1.73#1.73#1.73#1.73	0#0#0#0#0#0#0	12#12#12#12#12#12#12	96.0#96.0#88.0#88.0#88.0#88.0#88.0	97.02395629882812#97.02395629882812#98.81731414794922#98.81731414794922#98.81731414794922#98.81731414794922#98.81731414794922	0#0#0#0#0#0#0	0#0#0#0#0#0#0	5#5#4#4#4#4#4	0#9#13#248#315#316#486	0#5#1#0#0#5#0	0#10#3#0#0#10#0	0#42#49#0#0#51#0	0#42#49#0#0#51#0	0#1#1#7#1#3#1	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	15872.884#15872.884#13178.4795#13178.4795#13178.4795#13178.4795#13178.4795	881.8269#881.8269#732.13776#732.13776#732.13776#732.13776#732.13776	488.39642#488.39642#443.90668#443.90668#443.90668#443.90668#443.90668	0.1627988#0.1627988#0.14796889#0.14796889#0.14796889#0.14796889#0.14796889	32.5#32.5#29.6875#29.6875#29.6875#29.6875#29.6875	testHasNext.json
3961	14#14#14#14#14#16#22#27	0.0023820139467716217#0.0016794116236269474#0.0017045441782101989#0.0017045441782101989#0.0017045441782101989#0.0015835230005905032#0.0#0.0	1.0198713061021349E-7#2.420812810519793E-8#2.4311039424038247E-8#2.4311039424038247E-8#2.4311039424038247E-8#1.9782156973062496E-9#6.262686108997983E-16#1.825116586006124E-19	1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1	2#2#2#2#2#2#2#2	2#2#2#2#2#2#2#2	2.06#2.06#2.06#2.06#2.06#1.94#1.67#1.51	1#1#1#1#1#1#1#1	10#11#11#11#11#12#18#22	122.0#129.0#129.0#129.0#129.0#144.0#227.0#269.0	93.75553894042969#93.44041442871094#93.44041442871094#93.44041442871094#93.44041442871094#90.61077117919922#82.93822479248047#78.55936431884766	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	4#4#4#4#4#5#6#7	0#0#15#57#124#636#645#645	0#1#1#0#0#3#9#10	0#2#2#0#0#4#12#15	0#28#9#0#0#162#683#208	0#28#9#0#0#162#683#208	0#1#1#7#0#1#1#1	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	23624.97#25818.096#25818.096#25818.096#25818.096#31077.639#65866.32#100160.93	1312.4984#1434.3386#1434.3386#1434.3386#1434.3386#1726.5355#3659.24#5564.496	695.4537#738.90173#738.90173#738.90173#738.90173#839.93616#1362.0#1670.343	0.23181789#0.24630058#0.24630058#0.24630058#0.24630058#0.27997872#0.454#0.556781	33.97059#34.941177#34.941177#34.941177#34.941177#37.0#48.36#59.964287	testExecute.json
