Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1735	14	0.0	4.3993140614717475E-12	0	0	0	1	1.64	0	27	181.0	92.04067993164062	0	0	5	0	0	0	0	0	0	0	0	0	76505.09	4250.283	1010.8782	0.3369594	75.681816	readyOverridesLobbyIfPlayersReady.json
1164	12	0.10741625726222992	4.930832266004972E-4	0	0	0	1	1.73	0	14	87.0	98.97056579589844	0	0	4	0	0	0	0	0	0	0	0	0	8598.751	477.70837	431.0151	0.1436717	19.949999	skipsNullPickInTwoPickersAndReturnsSingleton.json
1298	12	0.001696632825769484	1.1039931578445961E-5	0	0	0	1	1.73	0	14	97.0	97.89982604980469	0	0	4	0	0	0	0	0	0	0	0	0	15153.703	841.8724	529.5649	0.17652163	28.615385	migrateDeletesPendingFileOnCompletion.json
1298	12	0.005125026218593121	2.310775747315796E-6	0	0	0	1	1.73	0	14	107.0	97.38961029052734	0	0	4	0	0	0	0	0	0	0	0	0	17505.303	972.51685	584.1592	0.19471973	29.966665	logsNothingOnSuccess.json
1298	13	0.015377981588244438	6.729553322593315E-6	0	0	0	1	1.69	0	16	102.0	96.28104400634766	0	0	5	0	0	0	0	0	0	0	0	0	14165.569	786.9761	563.4033	0.18780111	25.142857	logsMessagesOnSignRemoval.json
1298	19	3.29912465531379E-4	7.637598687117074E-12	0	0	0	1	1.46	0	26	181.0	86.89044952392578	0	0	7	0	0	0	0	0	0	0	0	0	32140.357	1785.5754	1051.1312	0.35037708	30.576921	rendersErrorMessageOnSignIfArenaNotFound.json
1298	12	0.0021481679286807775	7.352565988439642E-6	0	0	0	1	1.73	0	15	98.0	97.78575897216797	0	0	4	0	0	0	0	0	0	0	0	0	14228.696	790.48315	541.3091	0.18043636	26.285715	migrateLogsAdditionallyOnCompletion.json
28	9	0.025269387289881706	0.0011493251783706768	0	0	0	1	1.89	0	10	72.0	104.47704315185547	0	0	3	0	0	0	0	0	0	0	0	0	7631.194	423.9552	366.29733	0.12209911	20.833332	initializationIsIdempotentIfEconomyIsFound.json
1298	18	3.6901404382660985E-4	5.540138675817564E-10	0	0	0	1	1.49	0	24	163.0	88.4864501953125	0	0	8	0	0	0	0	0	0	0	0	0	33236.13	1846.4517	915.1977	0.3050659	36.315792	caseInsensitiveSignType.json
2520	11#12	0.040353063493967056#0.01211487501859665	0.0027409780252196964#1.397377829320209E-4	0#0	0#0	0#0	1#1	1.78#1.73	0#0	10#15	78.0#95.0	101.16151428222656#98.51313018798828	0#0	0#0	3#3	0#259	0#1	0#1	0#67	0#67	0#3	0#0	0#1	0#1	10129.693#14380.93	562.76074#798.94055	370.88123#470.64865	0.123627074#0.15688288	27.3125#30.555553	afterCoreParsersInOrder.json
2314	10	0.048597462475299835	3.9077878123216646E-4	0	0	0	1	1.83	0	8	80.0	102.13871765136719	0	0	4	0	0	0	0	0	0	0	0	0	9512.662	528.4812	413.59402	0.13786468	23.0	joinSignCallsCanJoin.json
1298	10	0.0035064704716205597	2.5048477093694426E-4	0	0	0	1	1.83	0	8	77.0	102.1867904663086	0	0	3	0	0	0	0	0	0	0	0	0	9787.64	543.75775	409.78845	0.13659616	23.884615	migrateDoesNothingIfNoMatchingLines.json
1164	9	0.29333728551864624	0.012857483196001884	0	0	0	1	1.89	0	9	61.0	105.57917785644531	0	0	3	0	0	0	0	0	0	0	0	0	5056.2476	280.90265	296.33685	0.09877895	17.0625	returnsSingletonItemIfResultSizeIsOne.json
1298	14	0.007263858802616596	1.6730554172661504E-7	0	0	0	1	1.64	0	17	124.0	94.00740051269531	0	0	7	0	0	0	0	0	0	0	0	0	17969.47	998.30396	692.53534	0.23084511	25.947369	signWithoutTemplateUsesType.json
2362	5#5#7#7#6	0.6276237368583679#0.6088051199913025#0.2956533432006836#0.29893431067466736#0.19806315004825592	0.5396400358468472#0.43788656784545016#0.06758449445299505#0.08560311343847354#0.1295970740703168	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.96#1.96#1.98#1.98#2.0	0#0#0#0#0	1#1#5#5#5	27.0#29.0#47.0#46.0#41.0	120.03731536865234#119.57592010498047#111.24065399169922#111.41885375976562#114.6588134765625	0#0#0#0#0	0#0#0#0#0	1#1#2#1#0	0#7#16#17#2334	0#1#3#1#1	0#2#4#2#3	0#6#107#9#67	0#6#107#9#67	0#1#1#1#12	0#0#0#0#0	0#1#1#1#1	0#1#1#1#1	1075.2567#1002.6873#3110.2227#2847.2615#2175.7566	59.736485#55.70485#172.79015#158.1812#120.87537	114.694046#125.335915#218.26123#210.90826#182.8367	0.03823135#0.04177864#0.07275374#0.070302755#0.060945567	9.375#8.0#14.25#13.5#11.9	setup.json
1298	8	0.03489484265446663	0.0024374009700923976	0	0	0	1	1.94	0	6	66.0	106.97562408447266	0	0	3	0	0	0	0	0	0	0	0	0	7593.132	421.84067	326.97696	0.10899232	23.222223	throwsIfArenaNotFound.json
1298	11	0.003897714661434293	0.9970154608544636	0	0	0	1	1.78	0	16	8.0	121.11100006103516	0	0	3	0	0	0	0	0	0	0	0	0	28.0	1.5555556	8.0	0.0026666666	3.5	eraseLogsWarningOnNoMatch.json
28	10	0.006927679292857647	9.217025628342519E-4	0	0	0	1	1.83	0	13	77.0	102.55911254882812	0	0	1	0	0	0	0	0	0	0	0	0	7209.842	400.54675	381.4731	0.1271577	18.9	initializationIsRepeatedIfEconomyIsNotFound.json
1298	8	0.33055320382118225	0.026932602352849718	0	0	0	1	1.94	0	7	53.0	108.21829223632812	0	0	2	0	0	0	0	0	0	0	0	0	3717.2664	206.5148	257.473	0.08582433	14.4375	logsNothingIfNoSignsRemoved.json
1738	16	0.0	1.0787963721050126E-11	0	0	0	1	1.56	0	28	180.0	89.90628051757812	0	0	6	0	0	0	0	0	0	0	0	0	57373.52	3187.4177	1005.2932	0.33509773	57.07143	rendersReadyListEntries.json
1298	9	0.021007247269153595	4.764751062878404E-4	0	0	0	1	1.89	0	12	73.0	104.17102813720703	0	0	1	0	0	0	0	0	0	0	0	0	8698.1	483.22775	388.50073	0.12950024	22.38889	initCreatesPendingFileAndDeletesLegacyFile.json
2314	13#13#14	0.005891730077564716#0.007859398610889912#0.005157002247869968	2.57792564565276E-7#7.018385746973107E-7#1.0965868682497419E-7	0#0#0	0#0#0	0#0#0	1#1#1	1.69#1.69#1.64	0#0#0	18#17#20	122.0#118.0#129.0	95.37992858886719#95.61575317382812#93.88926696777344	0#0#0	0#0#0	5#5#5	0#1016#2260	0#1#2	0#2#3	0#13#129	0#13#129	0#67#3	0#1#1	0#1#1	0#1#1	18822.984#17928.379#20545.023	1045.7213#996.02106#1141.3901	670.0061#640.29926#708.4491	0.22333537#0.21343309#0.2361497	28.09375#28.0#29.0	arenaSignInvokesAction.json
1298	18	0.0	0.9998147812833102	0	0	0	1	1.49	0	22	8.0	113.13288116455078	0	0	7	0	0	0	0	0	0	0	0	0	28.0	1.5555556	8.0	0.0026666666	3.5	rendersResultsFromDelegateInEvent.json
1164	13	0.050660520792007446	1.0114696594121622E-4	0	0	0	1	1.69	0	15	98.0	97.00691223144531	0	0	5	0	0	0	0	0	0	0	0	0	9822.272	545.6818	490.0	0.16333333	20.045454	returnsThingGroupIfResultSizeIsGreaterThanOne.json
