Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
35	13#13#11#11#7#7	0.0026875620242208242#0.0026759523898363113#0.0#0.0#0.0#0.0	1.5018634743079909E-5#1.5046285344664727E-5#4.2472927637905575E-7#2.489088561864129E-7#6.121762435084883E-5#6.185409071032344E-5	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.69#1.69#1.78#1.78#1.98#1.98	0#0#0#0#0#0	16#16#21#21#13#13	101.0#101.0#116.0#119.0#86.0#86.0	96.49095916748047#96.49095916748047#98.47718811035156#98.34441375732422#107.81231689453125#107.81231689453125	0#0#0#0#0#0	0#0#0#0#0#0	3#3#0#0#0#0	0#9#11#11#12#26	0#1#4#1#3#3	0#2#10#2#10#6	0#6#258#10#260#4	0#6#258#10#260#4	0#1#8#1#15#2	0#0#0#0#0#0	0#0#0#1#0#0	0#0#0#1#0#0	13985.683#13985.683#15081.151#16576.266#10831.143#10831.143	776.98236#776.98236#837.84174#920.9036#601.73016#601.73016	541.11273#541.11273#621.476#637.5487#421.99258#421.99258	0.18037091#0.18037091#0.20715867#0.21251623#0.14066419#0.14066419	25.846153#25.846153#24.266666#26.0#25.666666#25.666666	testToggleWiFiBand.json
7	9	0.021794313564896584	0.0037132896595294435	0	0	0	1	1.89	0	9	67.0	104.89551544189453	0	0	2	0	0	0	0	0	0	0	0	0	7660.753	425.59738	337.9744	0.112658136	22.666666	testAddSeries.json
5	8	0.010893465019762516	0.0018178635481147245	0	0	0	1	1.94	0	6	66.0	106.7950210571289	0	0	2	0	0	0	0	0	0	0	0	0	8124.784	451.3769	338.53268	0.11284423	24.0	testBestChannelsGHZ2.json
7	8	7.799850427545607E-4	0.0023502653491175437	0	0	0	1	1.94	0	9	67.0	106.80360412597656	0	0	1	0	0	0	0	0	0	0	0	0	6421.5137	356.75076	337.9744	0.112658136	19.0	testAppendSeries.json
48	14#14#14#14#7#7	1.3316178228706121E-4#1.5901120787020773E-4#1.0580418165773153E-4#1.0443820792715997E-4#1.1782161891460419E-4#0.0	1.2207673590585375E-6#1.186600948049381E-6#1.1967402048323527E-6#1.1900831462771705E-6#0.0022093704268954114#3.2067299712798314E-4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.64#1.64#1.64#1.64#1.98#1.98	0#0#0#0#0#0	15#15#15#15#7#10	118.0#118.0#118.0#118.0#65.0#75.0	94.48147583007812#94.48147583007812#94.48147583007812#94.48147583007812#109.32020568847656#108.42623901367188	0#0#0#0#0#0	0#0#0#0#0#0	4#4#4#4#1#1	0#11#13#13#24#25	0#2#6#1#3#2	0#4#12#2#13#4	0#24#48#4#397#66	0#24#48#4#397#66	0#2#2#4#8#15	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	18274.275#18274.275#18274.275#18274.275#6315.3755#8250.0	1015.23755#1015.23755#1015.23755#1015.23755#350.8542#458.33334	632.19116#632.19116#632.19116#632.19116#315.76877#375.0	0.21073039#0.21073039#0.21073039#0.21073039#0.10525626#0.125	28.90625#28.90625#28.90625#28.90625#20.0#22.0	testTimeGraphLegend.json
5	8	0.04944641515612602	0.015951237963469426	0	0	0	1	1.94	0	7	56.0	107.87989044189453	0	0	2	0	0	0	0	0	0	0	0	0	5289.628	293.86823	274.78586	0.091595285	19.25	testGetGroup.json
114	14#14#14#11	1.977293286472559E-4#1.8939172150567174E-4#2.00033318833448E-4#5.771715077571571E-4	3.5166861792627412E-6#3.5046031265432136E-6#7.124623631957285E-7#4.473443604193499E-5	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.64#1.64#1.64#1.78	0#0#0#0	14#14#19#12	112.0#112.0#123.0#96.0	94.71920776367188#94.71920776367188#94.30036926269531#99.68766021728516	0#0#0#0	0#0#0#0	4#4#3#3	0#8#90#91	0#1#5#4	0#2#10#11	0#4#118#224	0#4#118#224	0#4#8#15	0#0#0#0	0#0#0#0	0#0#0#0	15542.562#15542.562#17183.176#12083.012	863.47565#863.47565#954.62085#671.27844	603.9395#603.9395#654.59717#492.41116	0.20131317#0.20131317#0.21819906#0.16413705	25.735294#25.735294#26.25#24.53846	testScanInterval.json
5	8	0.121944360435009	0.03777894321362593	0	0	0	1	1.94	0	8	53.0	108.32982635498047	0	0	2	0	0	0	0	0	0	0	0	0	4410.158	245.00879	252.00905	0.08400302	17.5	testGetGraphView.json
7	10	0.0	1.611838782696165E-5	0	0	0	1	1.83	0	18	96.0	101.07577514648438	0	0	1	0	0	0	0	0	0	0	0	0	11325.862	629.2146	507.39862	0.16913287	22.321428	testAppendSeriesNew.json
5	5	0.008531419560313225	0.0345631157506175	0	0	0	1	1.96	0	9	48.0	116.7927474975586	0	0	0	0	0	0	0	0	0	0	0	0	1872.9613	104.053406	214.05272	0.07135091	8.75	withSettings.json
