Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2570	16#16#16	0.0#0.0#0.0	5.5155175384162955E-11#1.6264234114224403E-11#9.345261103903704E-12	0#0#0	0#0#0	0#0#0	2#2#2	3.07#3.07#3.07	1#1#1	21#22#22	160.0#165.0#167.0	89.97638702392578#89.77572631835938#89.69334411621094	0#0#0	0#0#0	3#3#3	0#265#510	0#1#1	0#2#2	0#27#14	0#27#14	0#4#3	0#0#0	0#1#1	0#1#1	37956.72#39517.297#39295.83	2108.7065#2195.4053#2183.1016	948.91797#986.2512#1002.0	0.316306#0.3287504#0.334	40.0#40.068184#39.217392	doesNotDownloadArtifactsWhenAcknowledgeJobThrowsInvalidNonceException.json
2997	7#7	0.05751202628016472#0.05751202628016472	0.00137652007763376#0.00137652007763376	0#0	0#0	0#0	1#1	1.98#1.98	0#0	8#8	66.0#66.0	109.09097290039062#109.09097290039062	0#0	0#0	1#1	0#7	0#0	0#0	0#0	0#0	0#8	0#0	0#0	0#0	6897.0#6897.0	383.16666#383.16666	330.0#330.0	0.11#0.11	20.9#20.9	getCompressionTypeTarXFromMetadataSuccess.json
2997	6#6	0.015166868455708027#0.016352549195289612	0.011994325856851052#0.010364892879312032	0#0	0#0	0#0	1#1	2.0#2.0	0#0	7#7	51.0#51.0	112.92892456054688#112.92892456054688	0#0	0#0	1#1	0#7	0#1	0#2	0#8	0#8	0#8	0#0	0#0	0#0	3366.0002#3366.0002	187.00002#187.00002	255.0#255.0	0.085#0.085	13.200001#13.200001	getCompressionTypeZipSuccess.json
2990	7	0.11235202103853226	0.08224846188029468	0	0	0	1	1.98	0	9	47.0	111.45137786865234	0	0	0	0	0	0	0	0	0	0	0	0	3206.777	178.15428	209.59329	0.06986443	15.299999	testEncryptionKey.json
2661	23#18	0.0#0.0	3.572313013465253E-17#1.0460712993477516E-14	0#0	0#0	0#0	1#1	1.35#1.49	0#0	35#35	234.0#200.0	82.07962799072266#86.96672058105469	0#0	0#0	6#3	0#351	0#3	0#11	0#391	0#391	0#10	0#0	0#0	0#0	61648.3#40861.883	3424.9055#2270.1045	1462.015#1225.8566	0.48733833#0.40861887	42.166668#33.333332	putsJobFailedWhenArtifactUploadFails.json
2997	24#24#24#32#32#26	0.0#0.0#0.0#0.0#0.0#0.0	1.659742431918722E-18#1.659742431918722E-18#2.428376654933333E-18#1.1419450269123888E-20#1.7661207874605582E-20#2.8230916712765364E-18	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.32#1.32#1.32#1.17#1.17#1.28	0#0#0#0#0#0	46#46#46#53#53#52	259.0#259.0#259.0#288.0#286.0#253.0	81.01590728759766#81.01590728759766#81.05352020263672#75.60370635986328#75.63994598388672#79.70343780517578	0#0#0#0#0#0	0#0#0#0#0#0	3#3#3#3#2#0	0#7#218#320#336#687	0#0#2#13#4#1	0#0#4#18#8#8	0#0#12#493#150#256	0#0#12#493#150#256	0#8#3#6#7#10	0#0#0#0#0#0	0#0#0#1#1#0	0#0#0#1#1#0	61273.566#61273.566#65511.324#111024.125#110253.125#85098.13	3404.087#3404.087#3639.518#6168.007#6125.174#4727.674	1571.1171#1571.1171#1559.7933#1815.4888#1802.8812#1575.8912	0.52370566#0.52370566#0.51993114#0.6051629#0.60096043#0.5252971	39.0#39.0#42.000004#61.153847#61.153847#54.000004	setUp.json
2997	16#16#21#21#16	6.546425283886492E-4#6.546425283886492E-4#0.0#0.0#0.0	6.4700990722194935E-9#6.4700990722194935E-9#1.2205621148583411E-14#1.2180831792794753E-14#3.3236075464441953E-12	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.56#1.56#1.4#1.4#1.56	0#0#0#0#0	21#21#31#31#31	140.0#140.0#205.0#205.0#171.0	91.03340148925781#91.03340148925781#84.32374572753906#84.32374572753906#89.80026245117188	0#0#0#0#0	0#0#0#0#0	4#4#5#5#2	0#7#320#336#687	0#0#9#2#3	0#0#13#4#11	0#0#520#31#393	0#0#520#31#393	0#8#6#7#10	0#0#0#0#0	0#0#1#1#0	0#0#1#1#0	24124.332#24124.332#50334.54#50334.54#30932.0	1340.2407#1340.2407#2796.3633#2796.3633#1718.4445	809.3904#809.3904#1260.6981#1260.6981#1026.0	0.2697968#0.2697968#0.4202327#0.4202327#0.342	29.805557#29.805557#39.925926#39.925926#30.148148	putsJobSuccessWhenBuildSucceeds.json
2990	17#17#17#17#17	1.1011230526492E-4#0.0#1.7498650413472205E-4#2.428616862744093E-4#2.405384148005396E-4	3.555616358412734E-11#2.5140541723973073E-11#1.610121987297065E-10#3.0660942904175126E-10#3.089829309139413E-10	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.52#1.52#1.52#1.52#1.52	0#0#0#0#0	24#24#24#24#24	165.0#166.0#157.0#155.0#155.0	89.085205078125#89.0328369140625#89.34364318847656#89.45354461669922#89.45354461669922	0#0#0#0#0	0#0#0#0#0	3#3#3#3#3	0#20#313#329#685	0#1#1#2#1	0#2#2#4#2	0#14#29#19#2	0#14#29#19#2	0#2#6#7#4	0#0#0#0#0	0#0#1#1#1	0#0#1#1#1	42884.023#41255.34#35306.746#37275.258#37275.258	2382.4458#2291.9634#1961.4858#2070.8477#2070.8477	974.6369#984.50244#927.3818#907.98706#907.98706	0.32487896#0.32816747#0.30912727#0.30266234#0.30266234	44.0#41.904762#38.071426#41.05263#41.05263	uploadWithCustomKmsEncryptionKey.json
2997	6#6	0.015166868455708027#0.016352549195289612	0.012584479390822757#0.010868476128546327	0#0	0#0	0#0	1#1	2.0#2.0	0#0	7#7	51.0#51.0	112.92892456054688#112.92892456054688	0#0	0#0	1#1	0#7	0#1	0#2	0#8	0#8	0#8	0#0	0#0	0#0	3366.0002#3366.0002	187.00002#187.00002	255.0#255.0	0.085#0.085	13.200001#13.200001	getCompressionTypeTarSuccess.json
2570	16	0.0	1.1086012802845898E-11	0	0	0	1	1.56	0	24	164.0	89.97927856445312	0	0	3	0	0	0	0	0	0	0	0	0	31701.154	1761.1753	991.28064	0.33042687	31.98	skipsPutJobResultWhenSkipPutJobFailureFlagIsSetInModel.json
