Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1152	13#14	3.146180824842304E-4#1.433147699572146E-4	5.175049231524077E-8#6.267334836957649E-10	0#0	0#0	0#0	1#1	1.69#1.64	0#0	20#24	123.0#145.0	95.1186294555664#92.94567108154297	0#0	0#0	3#3	0#1100	0#6	0#11	0#197	0#197	0#4	0#0	0#0	0#0	23623.914#31752.842	1312.4397#1764.0468	704.53424#849.4073	0.23484474#0.28313577	33.53125#37.38235	retrieveTriggersRequiredApiCalls_cloud.json
41	27#27	0.0#0.0	4.444048169679478E-27#2.408129212950156E-26	0#0	0#0	0#0	1#1	1.42#1.42	0#0	49#48	333.0#326.0	77.36241149902344#77.48467254638672	0#0	0#0	11#11	0#2	0#1	0#2	0#22	0#22	0#3	0#0	0#1	0#1	155727.78#150710.8	8651.543#8372.822	2197.771#2146.6978	0.7325903#0.7155659	70.85715#70.20588	verify_ssh_trait_on_data_center_with_disabled_https_protocol.json
20	20	0.04868233948945999	3.0254256975052994E-5	0	0	0	1	3.67	1	15	116.0	88.52151489257812	0	1	1	0	0	0	0	0	0	0	0	0	22051.06	1225.059	654.6873	0.2182291	33.68182	getSCMSourceOwnerMock.json
19	10	0.0040098452009260654	2.6973266657120154E-7	0	0	0	1	1.83	0	9	109.0	100.04790496826172	0	0	4	0	0	0	0	0	0	0	0	0	19290.785	1071.7103	618.2944	0.20609812	31.2	verify_that_pull_request_target_branch_is_added_as_ref_spec.json
20	24#23#21	0.0#0.0#0.0	4.352988641297029E-19#7.683451558688757E-19#9.207629141134038E-17	0#0#0	0#0#0	0#0#0	1#1#1	2.82#2.86#2.91	1#1#1	53#52#44	266.0#262.0#233.0	80.91484832763672#81.70245361328125#83.76683807373047	0#0#0	0#0#0	1#1#1	0#12#15	0#2#3	0#5#8	0#91#231	0#91#231	0#5#15	0#0#0	0#0#0	0#0#0	98519.914#93009.99#65249.348	5473.3286#5167.2217#3624.9639	1601.9498#1572.0#1403.2118	0.5339833#0.524#0.46773726	61.5#59.166664#46.5	test_native_signature.json
3378	22#22#23#23#23#23#23#25#24	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.2876917658007149E-14#1.6055746754064725E-15#1.4404506784701017E-16#1.4401160652690855E-16#1.4401160652690855E-16#3.075875014272854E-16#5.507952896413497E-16#6.243845084847737E-20#1.2421697355184207E-19	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2	2.38#2.38#2.33#2.33#2.33#2.33#2.33#2.24#2.29	1#1#1#1#1#1#1#1#1	25#26#27#27#27#26#26#30#29	214.0#222.0#234.0#234.0#234.0#231.0#229.0#267.0#261.0	83.24488830566406#82.99707794189453#81.96695709228516#81.96695709228516#81.96695709228516#82.05201721191406#82.11552429199219#79.75159454345703#80.51637268066406	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	7#7#7#7#7#7#7#8#8	0#307#339#340#662#981#2077#2261#3296	0#1#2#1#0#2#1#5#3	0#2#3#2#0#4#2#8#7	0#36#170#9#0#50#28#264#139	0#36#170#9#0#50#28#264#139	0#1#5#1#1#1#6#2#3	0#0#1#0#0#0#0#0#0	0#1#1#1#0#0#0#0#0	0#0#1#1#0#0#0#0#0	81919.2#82636.67#94340.05#94340.05#94340.05#86364.36#87696.664#120223.125#114231.414	4551.067#4590.9263#5241.114#5241.114#5241.114#4798.02#4872.037#6679.0625#6346.1895	1284.0#1346.6718#1429.3947#1429.3947#1429.3947#1406.204#1389.1344#1687.9548#1654.7008	0.428#0.4488906#0.4764649#0.4764649#0.4764649#0.46873465#0.4630448#0.56265163#0.55156696	63.800003#61.363636#66.0#66.0#66.0#61.416668#63.130436#71.22414#69.034485	teamRepositoriesDiscovering.json
1152	14#14	0.0#0.0	3.255371165562039E-7#4.683150141497894E-7	0#0	0#0	0#0	1#1	1.64#1.64	0#0	34#34	133.0#132.0	94.12820434570312#94.21165466308594	0#0	0#0	0#0	0#1100	0#2	0#4	0#8	0#8	0#4	0#0	0#0	0#0	15562.549#14648.92	864.58606#813.82886	676.63257#665.86	0.22554418#0.22195333	23.0#22.0	setup.json
19	10	0.07692427933216095	3.814773502105276E-7	0	0	0	1	1.83	0	9	107.0	100.14420318603516	0	0	4	0	0	0	0	0	0	0	0	0	18936.826	1052.0459	606.9495	0.20231651	31.2	verify_that_no_ref_spec_is_added_for_non_pull_request.json
101	6	0.07026246935129166	0.05741928498747113	0	0	0	1	1.89	0	7	48.0	113.69478607177734	0	2	1	0	0	0	0	0	0	0	0	0	4181.4854	232.30475	220.07819	0.07335939	19.0	buildBranch.json
511	12#12#9#9	0.004598884377628565#0.0033461316488683224#0.009354961104691029#0.007823633961379528	4.101736454512175E-5#2.291134462244059E-5#0.0012143909142020319#0.0021109808915376975	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.4#3.4#3.5#3.5	1#1#1#1	12#12#7#7	95.0#97.0#70.0#68.0	98.10611724853516#97.96414184570312#104.53992462158203#104.7742691040039	0#0#0#0	0#0#1#0	4#4#2#2	0#352#353#354	0#2#2#1	0#4#7#2	0#120#214#13	0#120#214#13	0#2#1#1	0#0#0#0	0#0#0#1	0#0#0#1	16566.89#16214.697#9228.316#8994.635	920.3828#900.8165#512.68427#499.70193	508.96744#523.05475#361.89478#345.94748	0.16965581#0.17435159#0.12063159#0.115315825	32.55#31.0#25.5#26.0	disableCookieManager.json
