Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2627	11	0.0015508226351812482	2.064935286638718E-6	0	0	0	1	1.78	0	16	105.0	98.89730834960938	0	0	3	0	0	0	0	0	0	0	0	0	13542.802	752.37787	573.2403	0.1910801	23.625	netVersionTest.json
67	19	2.838152286130935E-4	4.422061392086434E-12	0	0	0	1	1.46	0	16	176.0	86.77320861816406	0	0	9	0	0	0	0	0	0	0	0	0	47084.508	2615.806	1075.1003	0.3583668	43.795456	testSaveBulk.json
2627	11#11	7.800479652360082E-4#7.118977373465896E-4	1.4958791633501946E-6#2.3866042380049095E-6	0#0	0#0	0#0	1#1	1.78#1.78	0#0	16#15	107.0#105.0	98.83087921142578#98.96163177490234	0#0	0#0	3#3	0#940	0#1	0#2	0#17	0#17	0#40	0#0	0#0	0#0	14631.38#13758.497	812.85443#764.36096	580.61035#566.1933	0.19353679#0.1887311	25.199999#24.3	ethNewBlockFilterTest.json
4930	18#18#18#15#16#16#17#17	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	8.502803805478091E-16#8.352973967030095E-16#3.922148751374453E-16#3.475618560849036E-15#3.655629513936779E-15#3.655629513936779E-15#8.768898727068798E-17#1.5203094272526607E-16	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.26#1.26#1.26#1.36#1.56#1.56#1.52#1.52	0#0#0#0#0#0#0#0	25#25#25#22#22#22#25#25	212.0#212.0#215.0#201.0#202.0#202.0#218.0#216.0	86.62935638427734#86.62935638427734#86.53954315185547#89.91204071044922#88.82306671142578#88.82306671142578#87.3448715209961#87.40872192382812	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	6#6#6#6#6#6#6#6	0#1#1540#2095#2429#2588#3003#3080	0#4#1#3#1#0#1#1	0#8#2#9#1#0#1#2	0#19#12#245#6#0#134#7	0#19#12#245#6#0#134#7	0#2#2#3#7#0#2#4	0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#0	0#0#0#0#0#0#1#0	72897.19#72897.19#72553.914#61933.74#63905.785#63905.785#72846.09#73397.734	4049.8438#4049.8438#4030.773#3440.7632#3550.3213#3550.3213#4047.0051#4077.6519	1308.0242#1308.0242#1330.8123#1227.8134#1238.1151#1238.1151#1362.0482#1345.4249	0.43600807#0.43600807#0.44360408#0.40927112#0.41270503#0.41270503#0.45401606#0.44847497	55.730766#55.730766#54.51852#50.442307#51.615383#51.615383#53.482758#54.55357	testXPathNamespaceLoggingEnabledJavaDSL.json
2627	11	0.0010163859697058797	1.0209647971707764E-6	0	0	0	1	1.78	0	18	109.0	98.73458099365234	0	0	3	0	0	0	0	0	0	0	0	0	13800.799	766.71106	591.4628	0.19715428	23.333332	dbPutStringTest.json
4860	46#46#44#44	0.0#0.0#0.0#0.0	3.902147213263964E-30#3.902147213263964E-30#3.329510552371925E-30#1.4140423970573578E-30	3#3#2#2	3#3#2#2	6#6#4#4	5#5#4#4	2.82#2.82#2.84#2.84	2#2#2#2	56#56#57#58	400.0#400.0#397.0#400.0	66.8008804321289#66.8008804321289#67.79014587402344#67.74004364013672	0#0#0#0	0#0#0#0	11#11#11#11	0#3057#3257#3999	0#4#1#1	0#8#4#2	0#129#33#22	0#129#33#22	0#3#2#1	0#0#0#0	0#0#1#0	0#0#1#0	258013.17#258013.17#256078.06#262416.5	14334.065#14334.065#14226.559#14578.694	2668.9702#2668.9702#2648.953#2674.6	0.8896567#0.8896567#0.8829843#0.8915334	96.67143#96.67143#96.67143#98.11429	moreThanOneLprEndpoint.json
4595	10#10#10#10	0.0#0.0#0.0#0.0	7.872161232317321E-7#7.872161232317321E-7#1.2035033655433342E-6#1.2035033655433342E-6	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.83#1.83#1.83#1.83	0#0#0#0	12#12#12#12	107.0#107.0#104.0#104.0	100.37490844726562#100.37490844726562#100.49109649658203#100.49109649658203	0#0#0#0	0#0#0#0	2#2#2#2	0#97#1279#4468	0#0#1#0	0#0#2#0	0#0#6#0	0#0#6#0	0#0#18#0	0#0#0#0	0#0#0#0	0#0#0#0	17340.896#17340.896#17563.355#17563.355	963.3831#963.3831#975.74194#975.74194	580.61035#580.61035#567.7809#567.7809	0.19353679#0.19353679#0.18926029#0.18926029	29.866669#29.866669#30.933334#30.933334	shouldExecuteZREVRANGEBYSCORE.json
534	10	3.439846041146666E-4	1.1340171523385051E-7	0	0	0	1	1.83	0	17	115.0	99.74365234375	0	0	2	0	0	0	0	0	0	0	0	0	11229.339	623.8522	655.5506	0.21851687	17.12963	testGetConfiguredExecutorServiceWithReferenceNotFound.json
3011	23#23#20#20#20#20#20	0.0#0.0#0.0#0.0#0.0#0.0#0.0	5.3498343537922674E-17#4.3651282798511507E-17#6.642323703156812E-16#6.642323703156812E-16#6.689428923549299E-16#1.1577477070624257E-15#1.1557804056623386E-15	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.35#1.35#1.43#1.43#1.43#1.43#1.43	0#0#0#0#0#0#0	30#30#27#27#27#27#27	233.0#234.0#217.0#217.0#217.0#215.0#215.0	82.08621978759766#82.06394958496094#84.7680892944336#84.7680892944336#84.7680892944336#84.83270263671875#84.83270263671875	0#0#0#0#0#0#0	0#0#0#0#0#0#0	8#8#8#8#8#8#8	0#49#180#669#841#1161#2455	0#1#5#0#1#1#1	0#2#13#0#2#2#2	0#7#390#0#7#7#10	0#7#390#0#7#7#10	0#11#6#0#2#4#2	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	77446.95#79304.43#63384.11#63384.11#63384.11#63851.266#63851.266	4302.6084#4405.802#3521.3394#3521.3394#3521.3394#3547.2925#3547.2925	1460.1613#1466.4281#1347.4514#1347.4514#1347.4514#1330.8123#1330.8123	0.4867204#0.48880938#0.44915047#0.44915047#0.44915047#0.44360408#0.44360408	53.04#54.079998#47.039997#47.039997#47.039997#47.979168#47.979168	shouldMarshalAndUnmarshalXml.json
5687	7#12#12#12#12	0.333719402551651#0.0#0.0#0.0#0.0	0.5459941264670143#6.164539598352035E-9#5.139680253404223E-9#5.091993991633947E-9#1.7926710493985248E-9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.98#1.73#1.73#1.73#1.73	0#0#0#0#0	4#19#21#21#21	32.0#138.0#138.0#138.0#142.0	113.5291748046875#96.03581237792969#96.00587463378906#96.00587463378906#95.7998046875	0#0#0#0#0	0#0#0#0#0	0#1#1#1#1	0#2865#3914#4087#5084	0#8#2#1#1	0#11#4#2#2	0#605#24#2#24	0#605#24#2#24	0#23#4#2#1	0#0#0#0#0	0#0#1#0#0	0#0#1#0#1	1792.0654#24965.318#24900.215#24900.215#24426.393	99.55919#1386.9622#1383.3452#1383.3452#1357.0219	140.55415#757.87573#762.2515#762.2515#793.06464	0.046851385#0.25262526#0.25408384#0.25408384#0.26435488	12.75#32.941177#32.666664#32.666664#30.800001	doStartShouldStartANewSmppSession.json
