Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3771	5#5#5	0.010777189396321774#0.010777189396321774#0.008458676747977734	0.06261405243686638#0.06342980784317201#0.098562370738263	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	7#7#7	42.0#42.0#40.0	117.2763900756836#117.2763900756836#117.66657257080078	0#0#0	0#0#0	0#0#0	0#95#1022	0#1#1	0#2#2	0#1#17	0#1#17	0#8#21	0#0#0	0#0#1	0#1#1	2340.5034#2340.5034#1954.1787	130.02797#130.02797#108.56548	195.04196#195.04196#180.94247	0.06501399#0.06501399#0.06031416	12.0#12.0#10.8	testForCronFieldBetween.json
3950	7#10#10#10#9#10#12#13#13#12#12	0.12489576637744904#0.052615322172641754#0.052615322172641754#0.052615322172641754#0.09428495913743973#0.05871961638331413#0.004880077205598354#0.005799982231110334#0.0019269989570602775#0.0029921678360551596#0.003034945111721754	0.16561596576607285#0.005944462333619211#0.005944462333619211#0.005944462333619211#0.038467588916598926#0.028248189053348843#5.20462032217812E-4#3.300733612217896E-4#9.829320030095122E-5#1.4656118587573415E-4#1.449743338370497E-4	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1.98#1.83#1.83#1.83#1.89#1.83#1.73#1.69#1.69#1.73#1.73	0#0#0#0#0#0#0#0#0#0#0	2#6#6#6#7#7#13#13#13#13#13	41.0#64.0#64.0#64.0#54.0#58.0#84.0#88.0#94.0#90.0#90.0	111.8279800415039#103.29906463623047#103.29906463623047#103.29906463623047#106.32454681396484#104.18905639648438#99.05921936035156#97.4764175415039#97.0498275756836#98.61367797851562#98.61367797851562	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#0#0#0#0#3#3#3	0#0#7#8#11#643#998#1041#1201#1765#2970	0#4#0#0#5#1#3#1#3#0#1	0#5#0#0#11#1#4#1#6#1#2	0#162#0#0#239#32#176#41#60#32#4	0#162#0#0#239#32#176#41#60#32#4	0#1#0#0#1#2#1#1#21#1#7	0#0#0#0#0#0#0#0#0#1#0	0#0#0#0#1#1#0#1#1#1#1	0#0#0#0#1#1#0#1#1#1#1	2785.0059#6015.913#6015.913#6015.913#2614.3235#2974.1504#4952.334#5372.361#6517.7554#6030.1133#6030.1133	154.72255#334.2174#334.2174#334.2174#145.24019#165.23058#275.12967#298.46448#362.09753#335.0063#335.0063	194.9504#330.8752#330.8752#330.8752#256.76392#278.8266#423.7291#447.69675#485.97296#461.63547#461.63547	0.064983465#0.110291734#0.110291734#0.110291734#0.08558797#0.0929422#0.14124303#0.14923225#0.16199099#0.1538785#0.1538785	14.285715#18.181818#18.181818#18.181818#10.181818#10.666667#11.6875#12.0#13.411765#13.0625#13.0625	setUp.json
2175	10#10	0.0033923310693353415#0.006927751004695892	1.7312091697290148E-5#3.8153084370630246E-5	0#0	0#0	0#0	1#1	1.83#1.83	0#0	12#12	94.0#90.0	101.22225189208984#101.48664093017578	0#0	0#0	1#1	0#1195	0#2	0#4	0#14	0#14	0#2	0#0	0#1	0#1	12262.158#11685.205	681.231#649.17804	493.3052#468.85083	0.16443507#0.15628362	24.857143#24.923077	testParse_lastDoWInteger.json
2175	10#10	0.0047904206439852715#0.009843762964010239	1.6716806738116093E-5#3.68319694490132E-5	0#0	0#0	0#0	1#1	1.83#1.83	0#0	12#12	94.0#90.0	101.22225189208984#101.48664093017578	0#0	0#0	1#1	0#1195	0#2	0#4	0#14	0#14	0#2	0#0	0#1	0#1	12262.158#11685.205	681.231#649.17804	493.3052#468.85083	0.16443507#0.15628362	24.857143#24.923077	testParse_lastDoWString.json
3431	10#10#10#10#9#9#8#7	0.04075392708182335#0.04278196766972542#0.04278196766972542#0.023556368425488472#0.11050702631473541#0.10511091351509094#0.008864597417414188#0.006194496527314186	9.506648847558655E-5#5.9832709639661445E-5#5.9832709639661445E-5#2.3578030545818113E-5#1.1096898804872778E-4#1.456374095478096E-4#8.488782582321908E-5#1.3648912857732095E-5	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.83#1.83#1.83#1.83#1.89#1.89#1.73#1.81	0#0#0#0#0#0#0#0	10#11#11#11#10#10#10#11	84.0#86.0#86.0#90.0#81.0#80.0#82.0#88.0	101.66600036621094#101.5110092163086#101.5110092163086#101.21212768554688#103.56195831298828#103.66018676757812#105.43987274169922#107.13790893554688	0#0#0#0#0#0#0#0	0#0#0#0#0#0#2#2	1#1#1#1#1#1#1#2	0#205#426#426#670#682#1174#2451	0#1#0#2#1#2#3#2	0#2#0#4#3#4#7#5	0#15#0#15#42#19#105#101	0#15#0#15#42#19#105#101	0#1#0#4#4#21#1#7	0#0#0#0#0#0#0#0	0#1#0#0#0#1#1#1	0#1#0#0#0#1#1#1	10757.673#11452.585#11452.585#11491.703#9827.498#9322.141#9555.194#10889.746	597.6485#636.2547#636.2547#638.428#545.9721#517.8967#530.8441#604.9859	452.95465#466.65878#466.65878#494.26678#436.7777#428.60416#439.31927#480.43	0.15098488#0.15555292#0.15555292#0.1647556#0.14559257#0.14286806#0.14643976#0.16014333	23.75#24.541668#24.541668#23.25#22.5#21.75#21.75#22.666666	parseIncompleteExpression.json
3487	6#6	1.5288447320926934E-4#1.3135492918081582E-4	6.009154025204622E-4#0.0010351039940820015	0#0	0#0	0#0	1#1	2.0#2.0	0#0	10#10	67.0#65.0	111.46405029296875#111.71546173095703	0#0	0#0	0#0	0#738	0#1	0#2	0#18	0#18	0#21	0#0	0#1	0#1	5052.7173#4395.611	280.7065#244.2006	337.9744#322.02277	0.112658136#0.107340924	14.95#13.65	testCreateDayOfWeekValueGeneratorInstanceAnd.json
16	8	2.4327267601620406E-4	0.0015820586445838432	0	0	0	1	1.94	0	8	68.0	106.77252960205078	0	0	2	0	0	0	0	0	0	0	0	0	6166.364	342.57578	340.0	0.11333334	18.136364	testRandomWithRange.json
3955	17#17#17#17#17#17	3.9700992056168616E-4#3.9700992056168616E-4#6.283898837864399E-4#6.283898837864399E-4#6.283898837864399E-4#6.556729204021394E-4	1.604075262478493E-7#1.3880304597139372E-7#1.3901692730695268E-7#1.3901692730695268E-7#1.3901692730695268E-7#1.1613465173658234E-7	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.52#1.52#1.52#1.52#1.52#1.52	0#0#0#0#0#0	21#21#21#21#21#21	138.0#138.0#138.0#138.0#138.0#140.0	90.55667877197266#90.55667877197266#90.55667877197266#90.55667877197266#90.55667877197266#90.51766967773438	0#0#0#0#0#0	0#0#0#0#0#0	5#5#5#5#5#5	0#0#2#12#13#1206	0#9#3#0#0#5	0#18#6#0#0#10	0#144#66#0#0#37	0#144#66#0#0#37	0#1#2#0#0#21	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#1	32915.64#32915.64#32915.64#32915.64#32915.64#32019.928	1828.6467#1828.6467#1828.6467#1828.6467#1828.6467#1778.8849	734.4261#734.4261#734.4261#734.4261#734.4261#739.9563	0.24480869#0.24480869#0.24480869#0.24480869#0.24480869#0.2466521	44.81818#44.81818#44.81818#44.81818#44.81818#43.272728	testCreateFieldComparator.json
3771	5#5#5	0.01760595478117466#0.01760595478117466#0.013919721357524395	0.056725306735788295#0.057477954232517954#0.08950511275024413	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	7#7#7	42.0#42.0#40.0	117.2763900756836#117.2763900756836#117.66657257080078	0#0#0	0#0#0	0#0#0	0#578#1022	0#1#1	0#2#2	0#1#17	0#1#17	0#2#21	0#0#0	0#0#1	0#0#1	2340.5034#2340.5034#1954.1787	130.02797#130.02797#108.56548	195.04196#195.04196#180.94247	0.06501399#0.06501399#0.06031416	12.0#12.0#10.8	testForCronFieldAlways.json
3818	7#7#7#6#6#6	0.3290878236293793#0.3290878236293793#0.246993750333786#0.3607821464538574#0.3258228003978729#0.12469744682312012	0.008572647559543725#0.008572647559543725#0.005397723640857862#0.03093431646203116#0.04856872470824944#0.033149112319089104	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.98#1.98#1.98#2.0#2.0#2.0	0#0#0#0#0#0	5#5#5#5#5#6	56.0#56.0#58.0#48.0#46.0#47.0	109.89938354492188#109.89938354492188#109.67269897460938#113.448486328125#113.78675079345703#113.55796813964844	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#0#0#0	0#813#813#1057#1069#2838	0#0#1#1#1#2	0#0#2#3#2#4	0#0#8#77#17#95	0#0#8#77#17#95	0#0#4#4#21#7	0#0#0#0#0#0	0#0#0#0#1#1	0#0#0#0#1#1	4519.777#4519.777#4603.136#2884.4128#2432.4775#2711.3484	251.09871#251.09871#255.7298#160.24516#135.13763#150.63046	282.48605#282.48605#295.07285#230.75304#216.22023#225.94568	0.09416202#0.09416202#0.09835762#0.07691768#0.07207341#0.07531523	16.0#16.0#15.599999#12.5#11.25#12.000001	testParseEmptyExpression.json
