Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1577	5#5	0.3457259237766266#0.3457259237766266	0.386337236478669#0.386337236478669	0#0	0#0	0#0	1#1	1.96#1.96	0#0	4#4	33.0#33.0	118.90401458740234#118.90401458740234	0#0	0#0	1#1	0#484	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	1497.5481#1497.5481	83.19711#83.19711	142.62363#142.62363	0.04754121#0.04754121	10.5#10.5	createStaticHook.json
3144	6#6#6#6	0.017537668347358704#0.021224245429039#0.021224245429039#0.021224245429039	0.05150373983366148#0.04927096260835442#0.04927096260835442#0.04927096260835442	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	7#7#7#7	49.0#49.0#49.0#49.0	113.58756256103516#113.58756256103516#113.58756256103516#113.58756256103516	0#0#0#0	0#0#0#0	1#1#1#1	0#494#621#2051	0#2#0#0	0#4#0#0	0#30#0#0	0#30#0#0	0#15#2#0	0#0#0#0	0#0#0#1	0#0#0#0	3273.663#3273.663#3273.663#3273.663	181.87018#181.87018#181.87018#181.87018	224.66316#224.66316#224.66316#224.66316	0.07488772#0.07488772#0.07488772#0.07488772	14.571428#14.571428#14.571428#14.571428	mockTestStep.json
2650	6#6#7#7#7#7#7#7#7#7#7#7#7#7#7	0.0#0.0#0.0056242612190544605#0.0011054633650928736#0.0011054633650928736#3.863317833747715E-4#3.681624948512763E-4#3.471882955636829E-4#2.5869967066682875E-4#0.002030216157436371#0.00167968834284693#7.847313536331058E-4#0.00167968834284693#1.7795796156860888E-4#1.7795796156860888E-4	7.374305819724501E-4#2.789695326333375E-4#0.0021722290932231925#0.0020512239065332252#0.0020512239065332252#8.852754735136677E-4#4.472966592743932E-4#5.80502885080831E-4#5.957130735137799E-4#0.0033484012647562525#0.005838757795690794#0.0038180018972009204#0.005838757795690794#0.0012593827191982295#0.0012593827191982295	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	2.0#2.0#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	10#11#8#8#8#8#10#10#10#10#10#10#10#11#11	66.0#72.0#61.0#62.0#62.0#66.0#69.0#68.0#68.0#60.0#58.0#60.0#58.0#66.0#66.0	111.4554672241211#111.00301361083984#109.28723907470703#109.24229431152344#109.24229431152344#108.83931732177734#108.53535461425781#108.64707946777344#108.64707946777344#109.45384216308594#109.71691131591797#109.49641418457031#109.71691131591797#109.00080108642578#109.00080108642578	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#71#121#123#127#136#465#478#478#500#518#596#693#862#1557	0#3#5#1#0#1#1#1#1#1#4#1#1#2#0	0#6#9#2#0#2#2#2#2#2#8#2#2#4#0	0#48#183#36#0#8#36#7#12#21#41#17#17#81#0	0#48#183#36#0#8#36#7#12#21#41#17#17#81#0	0#16#20#22#2#7#9#27#5#6#21#17#20#15#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#1#0#0#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	4541.98#4431.7007#4634.243#4253.258#4253.258#4514.267#5455.737#5134.391#5134.391#4616.355#4037.5332#4148.594#4037.5332#4616.8726#4616.8726	252.33221#246.2056#257.45795#236.2921#236.2921#250.79262#303.0965#285.24396#285.24396#256.46417#224.3074#230.47746#224.3074#256.49292#256.49292	338.53268#369.30838#317.77667#320.53537#320.53537#346.36322#367.21304#359.40735#359.40735#307.757#292.57486#305.24777#292.57486#335.77255#335.77255	0.11284423#0.12310279#0.10592556#0.106845126#0.106845126#0.115454406#0.122404344#0.11980245#0.11980245#0.102585666#0.097524956#0.101749256#0.097524956#0.11192419#0.11192419	13.416666#12.000001#14.583333#13.269231#13.269231#13.033333#14.857143#14.285715#14.285715#15.000001#13.8#13.590908#13.8#13.75#13.75	result_is_skipped_when_before_step_hook_does_not_pass.json
2527	10#10#10#10#11#11	1.686890609562397E-4#1.686890609562397E-4#1.619017421035096E-4#1.2234396126586944E-4#0.0#0.0	2.851114862360564E-6#2.851114862360564E-6#3.900491653737165E-6#4.009738126895181E-6#1.8497038561323744E-7#1.8497038561323744E-7	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.83#1.83#1.83#1.83#1.78#1.78	0#0#0#0#0#0	18#18#18#18#23#23	105.0#105.0#104.0#104.0#124.0#124.0	100.57398223876953#100.57398223876953#100.65955352783203#100.65955352783203#98.20089721679688#98.20089721679688	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#4#355#395#739#1434	0#0#1#4#2#0	0#0#2#8#3#0	0#0#7#48#88#0	0#0#7#48#88#0	0#2#27#21#15#0	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#0	15468.667#15468.667#14691.496#14691.496#20019.184#20019.184	859.37036#859.37036#816.1942#816.1942#1112.1769#1112.1769	558.8024#558.8024#549.6818#549.6818#655.3899#655.3899	0.18626748#0.18626748#0.18322727#0.18322727#0.2184633#0.2184633	27.681818#27.681818#26.727272#26.727272#30.545456#30.545456	skip_hooks_of_step_after_skipped_step.json
2167	7#7#8#8	0.010790050029754639#0.010790050029754639#0.0331328809261322#0.0331328809261322	0.038222849522267364#0.038222849522267364#0.016531622890884272#0.016531622890884272	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.81#1.81#1.73#1.73	0#0#0#0	10#10#11#11	55.0#55.0#63.0#63.0	110.48965454101562#110.48965454101562#107.55390930175781#107.55390930175781	0#0#0#0	0#0#0#0	1#1#2#2	0#167#541#1074	0#0#6#0	0#0#11#0	0#0#89#0	0#0#89#0	0#0#1#0	0#0#0#0	0#1#1#1	0#1#1#0	3368.3098#3368.3098#4513.828#4513.828	187.12833#187.12833#250.76823#250.76823	252.17293#252.17293#292.56293#292.56293	0.084057644#0.084057644#0.09752098#0.09752098	13.357142#13.357142#15.428572#15.428572	createPickleStepTestStep.json
960	12#12	0.0015182303031906486#0.0014858022332191467	1.7741639555223737E-5#1.342746957770604E-5	0#0	0#0	0#0	1#1	1.73#1.73	0#0	15#16	102.0#102.0	97.88218688964844#97.80692291259766	0#0	0#0	3#3	0#47	0#1	0#2	0#20	0#20	0#7	0#0	0#1	0#1	20495.477#20948.314	1138.6376#1163.7953	531.36426#539.111	0.17712142#0.17970367	38.571426#38.857143	invokesAfterClassIfBeforeClassFailed.json
4908	17#17#17#16#17#17#17#16#16#17#17#13#13#13#13#13#13#13	0.0013745822943747044#0.0012096721911802888#0.0020467620342969894#0.004135070834308863#0.004232059698551893#0.00451283436268568#0.0047469730488955975#0.0031745308078825474#0.004135070834308863#0.003675411455333233#0.003048159647732973#7.432722486555576E-4#7.201717235147953E-4#7.201717235147953E-4#8.215885027311742E-4#7.965067052282393E-4#7.965067052282393E-4#8.474595961160958E-4	3.6510988721175403E-8#2.2089988470372683E-8#6.465772666861141E-8#3.3022155973241032E-6#8.925106534786663E-7#9.010425430566535E-7#8.75795752683626E-7#1.6665625858151404E-6#3.3022155973241032E-6#1.8099451052380542E-6#1.2655825026341459E-6#2.0479711114163747E-7#2.815379051426289E-7#2.815379051426289E-7#4.578202270928221E-7#4.5679511482646606E-7#4.5679511482646606E-7#4.655755481347504E-7	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2#2#1#1#1#1#1#1#1	2.38#2.38#2.38#2.45#2.38#2.38#2.38#2.45#2.45#2.56#2.38#1.69#1.69#1.69#1.69#1.69#1.69#1.69	1#1#1#1#1#1#1#1#1#1#1#0#0#0#0#0#0#0	21#21#21#19#19#19#19#19#19#20#20#21#21#21#21#21#21#21	140.0#142.0#137.0#118.0#126.0#126.0#126.0#120.0#118.0#123.0#124.0#124.0#123.0#123.0#121.0#121.0#121.0#121.0	90.05848693847656#89.95559692382812#90.17112731933594#92.12295532226562#90.73140716552734#90.73140716552734#90.73140716552734#91.96723175048828#92.12295532226562#90.89035034179688#90.81460571289062#95.35784912109375#95.4325942993164#95.4325942993164#95.55147552490234#95.55147552490234#95.55147552490234#95.55147552490234	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	3#3#3#2#3#3#3#2#2#2#2#3#3#3#3#3#3#3	0#58#1965#2119#2276#2381#2385#2681#2708#2709#2709#2710#2731#2736#2763#2776#3815#4754	0#2#1#0#1#1#1#2#2#1#2#2#1#1#2#1#0#1	0#4#2#1#1#2#2#4#4#1#4#8#2#2#4#2#0#2	0#8#29#111#42#14#14#74#32#37#45#181#7#0#8#4#0#15	0#8#29#111#42#14#14#74#32#37#45#181#7#0#8#4#0#15	0#1#1#1#1#22#2#6#2#1#8#1#1#27#2#1#0#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	27168.557#27507.71#25539.568#17792.979#21402.107#21402.107#21402.107#17875.531#17792.979#19989.025#19557.936#17494.277#16581.375#16581.375#16206.595#16206.595#16206.595#16206.595	1509.3643#1528.2062#1418.8649#988.4988#1189.006#1189.006#1189.006#993.0851#988.4988#1110.5015#1086.552#971.9043#921.1875#921.1875#900.3664#900.3664#900.3664#900.3664	773.29865#788.7516#756.72797#627.9875#679.432#679.432#679.432#647.07806#627.9875#658.9789#668.64734#672.8568#663.255#663.255#648.2638#648.2638#648.2638#648.2638	0.25776622#0.2629172#0.25224265#0.20932916#0.22647734#0.22647734#0.22647734#0.21569268#0.20932916#0.21965963#0.22288245#0.2242856#0.221085#0.221085#0.21608794#0.21608794#0.21608794#0.21608794	35.13333#34.875#33.75#28.333334#31.499998#31.499998#31.499998#27.625#28.333334#30.333332#29.25#26.0#25.0#25.0#25.0#25.0#25.0#25.0	throws_duplicate_error_on_dupe_stepdefs.json
1627	15#15#15	0.0064597283490002155#0.005232222378253937#0.005232222378253937	5.879574003058498E-7#3.6809068597454127E-7#3.6809068597454127E-7	0#0#0	0#0#0	0#0#0	1#1#1	3.22#3.22#3.22	1#1#1	14#14#14	117.0#119.0#119.0	92.98883056640625#92.87787628173828#92.87787628173828	0#0#0	0#1#1	4#4#4	0#512#534	0#1#0	0#2#0	0#35#0	0#35#0	0#1#0	0#0#0	0#1#1	0#0#0	20799.043#22558.701#22558.701	1155.5024#1253.2612#1253.2612	679.4605#694.1139#694.1139	0.22648683#0.2313713#0.2313713	30.611113#32.5#32.5	scanForResourcesInUnsupportedFileSystem.json
960	17#17	0.0#0.0	4.192440792547275E-9#2.9214187797795063E-9	0#0	0#0	0#0	1#1	1.52#1.52	0#0	30#31	157.0#157.0	89.81759643554688#89.7532730102539	0#0	0#0	3#3	0#47	0#1	0#2	0#20	0#20	0#7	0#0	0#1	0#1	59261.566#61162.41	3292.3093#3397.9116	846.5938#857.1308	0.28219792#0.28571028	70.0#71.35715	invokesAfterTesClassIfAfterTestMethodThrows.json
1441	18#18	1.0279602429363877E-4#1.0279602429363877E-4	3.205078630349033E-6#3.205078630349033E-6	0#0	0#0	0#0	1#1	3.41#3.41	1#1	14#14	119.0#119.0	90.15013122558594#90.15013122558594	0#0	0#0	5#5	0#348	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#0	21789.73#21789.73	1210.5405#1210.5405	664.61053#664.61053	0.22153684#0.22153684	32.785713#32.785713	all_static_hooks_execute_also_after_failure.json
