Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
6284	11#11#9	0.04333573579788208#0.022229474037885666#0.03818077966570854	0.005353020847541909#0.0017558518735486513#0.008777038283673915	0#0#0	0#0#0	0#0#0	1#1#1	1.78#1.78#1.89	0#0#0	9#9#7	69.0#73.0#61.0	101.49169921875#101.11188507080078#105.4771957397461	0#0#0	0#0#0	2#2#2	0#1187#5589	0#1#1	0#2#4	0#33#62	0#33#62	0#32#106	0#0#0	0#0#0	0#0#0	7889.432#7761.0713#5909.806	438.3018#431.17062#328.32257	348.0632#374.43765#302.206	0.11602107#0.12481255#0.10073533	22.666666#20.727272#19.555555	testGetEndpointIdentfier.json
6284	6#5	0.02712072990834713#0.0449698232114315	0.059676483292970636#0.16029537692526052	0#0	0#0	0#0	1#1	2.0#1.96	0#0	6#5	45.0#37.0	114.03038787841797#118.14622497558594	0#0	0#0	0#0	0#5571	0#1	0#3	0#45	0#45	0#10	0#0	0#0	0#0	3713.8193#2524.4841	206.3233#140.24911	206.3233#164.99898	0.06877443#0.05499966	18.0#15.299999	testGetText.json
5851	15#17#17#16#22#26#28#28#28#18	9.600353660061955E-4#3.8378365570679307E-4#3.740832326002419E-4#2.888363669626415E-4#0.0#0.0#0.0#0.0#0.0#0.0	6.0964869832570305E-5#1.0562904377440481E-5#7.642869729195153E-6#1.9221326104902035E-5#5.948758846861294E-11#2.3713671407693775E-13#1.1927717783077165E-13#6.209551231900606E-14#1.9986309152643854E-14#4.925624841459272E-12	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.6#1.52#1.52#1.56#1.37#1.28#1.24#1.24#1.24#1.49	0#0#0#0#0#0#0#0#0#0	17#20#20#17#30#37#40#40#42#38	103.0#117.0#118.0#111.0#182.0#216.0#228.0#229.0#235.0#187.0	94.29717254638672#91.5657730102539#91.4819107055664#92.82164001464844#84.63533020019531#80.9371337890625#79.5567398071289#79.48210906982422#79.34761810302734#87.7452621459961	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	0#23#526#530#602#623#632#710#2626#5113	0#2#1#3#8#5#2#1#2#12	0#2#2#7#10#6#2#2#4#34	0#70#8#149#359#151#134#40#22#715	0#70#8#149#359#151#134#40#22#715	0#2#2#3#2#2#2#2#2#12	0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#1#0#0	0#1#0#0#0#0#0#0#0#0	22288.338#29639.18#27730.502#21634.586#53927.043#79710.945#106210.42#93379.664#95826.3#61062.49	1238.241#1646.6211#1540.5835#1201.9214#2995.9468#4428.3857#5900.579#5187.7593#5323.683#3392.3604	528.31616#604.8812#614.7155#573.8617#1027.1818#1243.0557#1286.7992#1305.4008#1339.6034#1055.4011	0.17610538#0.20162708#0.20490517#0.19128723#0.34239393#0.41435188#0.42893305#0.43513358#0.44653445#0.35180038	42.1875#49.0#45.111115#37.7#52.5#64.125#82.53846#71.53333#71.53333#57.85714	testGenerateUnformattedServiceListing.json
6284	5#5#5#4	0.3652331233024597#0.3652331233024597#0.3652331233024597#0.5076709985733032	0.41427920169306737#0.41427920169306737#0.41427920169306737#0.47826997671006194	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.96#1.96#1.96#2.0	0#0#0#0	4#4#4#4	31.0#31.0#31.0#28.0	119.31893157958984#119.31893157958984#119.31893157958984#123.55950164794922	0#0#0#0	1#1#1#1	0#0#0#0	0#1373#1937#5527	0#0#0#1	0#0#0#3	0#0#0#37	0#0#0#37	0#0#0#29	0#0#0#0	0#0#0#0	0#0#0#0	1290.5205#1290.5205#1290.5205#1225.958	71.69559#71.69559#71.69559#68.10878	131.68576#131.68576#131.68576#116.757904	0.043895252#0.043895252#0.043895252#0.0389193	9.8#9.8#9.8#10.5	prepareCommonExpectations.json
4604	26#26#26#26#26#26#29#30	0.0#0.0#0.0#1.1677308793878183E-4#1.1677308793878183E-4#4.229437035974115E-4#0.0#0.0	2.0911936449278977E-10#2.051002345699546E-10#1.3958500440691076E-10#1.7532808815135346E-10#1.7532808815135346E-10#4.154920140047577E-11#1.1477435106385505E-14#3.550179531736346E-15	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	2.73#2.73#2.73#2.73#2.73#2.73#2.63#2.6	1#1#1#1#1#1#1#1	28#28#28#28#28#28#36#41	187.0#187.0#188.0#185.0#185.0#188.0#229.0#241.0	81.84266662597656#81.84266662597656#81.78730773925781#81.81777954101562#81.81777954101562#81.63521575927734#78.66703033447266#77.95706939697266	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	4#4#4#5#5#5#6#5	0#0#1#65#257#1959#2008#3847	0#3#1#10#0#3#3#9	0#6#2#20#0#6#3#17	0#18#2#276#0#112#247#432	0#18#2#276#0#112#247#432	0#1#1#1#0#1#1#29	0#0#1#0#0#0#0#0	0#0#1#0#0#0#0#0	0#0#1#0#0#0#0#0	76762.516#76762.516#73077.6#77655.5#77655.5#62556.883#91709.41#101424.77	4264.584#4264.584#4059.8667#4314.1943#4314.1943#3475.3823#5094.967#5634.7095	1044.388#1044.388#1055.5654#1049.3987#1049.3987#1086.8956#1368.7971#1411.7734	0.3481293#0.3481293#0.35185513#0.34979957#0.34979957#0.36229855#0.45626572#0.47059116	73.5#73.5#69.23077#74.0#74.0#57.555557#67.0#71.8421	testUseBusProps.json
6284	18#19#17#15	0.0#0.0#0.0#0.0	1.5033124732468394E-10#7.890794343013795E-12#1.3838524733228282E-10#6.6780023015815E-8	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.49#1.46#1.52#1.6	0#0#0#0	25#29#28#22	169.0#185.0#168.0#134.0	88.27155303955078#86.8734130859375#89.25530242919922#92.57383728027344	0#0#0#0	0#0#0#0	4#4#3#3	0#341#1548#5542	0#1#1#5	0#1#4#12	0#69#84#186	0#69#84#186	0#7#3#14	0#0#0#0	0#1#0#0	0#1#0#0	42563.844#48851.934#38909.938#22813.158	2364.658#2713.9963#2161.663#1267.3977	953.81165#1054.5814#943.27124#735.9083	0.31793723#0.35152715#0.31442374#0.24530278	44.625#46.32353#41.25#31.0	testIncreaseOneWayResponseCounter.json
6284	30#29#29#29#16	0.0#0.0#0.0#0.0#0.0	8.004807089069656E-9#1.6033226034658078E-8#1.6033226034658078E-8#1.6033226034658078E-8#2.63485481777606E-6	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.2#1.22#1.22#1.22#1.56	0#0#0#0#0	32#31#31#31#23	192.0#187.0#187.0#187.0#132.0	79.82980346679688#80.55879211425781#80.55879211425781#80.55879211425781#92.24425506591797	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#489#1371#1937#5527	0#0#0#0#5	0#1#0#0#23	0#21#0#0#345	0#21#0#0#345	0#5#0#0#29	0#0#0#0#0	0#0#1#0#0	0#0#1#0#0	50964.555#46220.023#46220.023#46220.023#24367.635	2831.3643#2567.779#2567.779#2567.779#1353.7574	984.8223#951.3556#951.3556#951.3556#641.25354	0.3282741#0.31711853#0.31711853#0.31711853#0.21375118	51.75#48.583332#48.583332#48.583332#38.0	testMintFromServiceName.json
5943	27#19#10	0.0#0.0#1.1710588296409696E-4	4.961486295669453E-14#4.1938219451329195E-10#5.034612296202445E-5	0#0#0	0#0#0	0#0#0	1#1#1	1.05#1.23#1.6	0#0#0	42#30#18	235.0#171.0#94.0	80.07154846191406#87.50724792480469#101.42794799804688	0#0#0	1#1#1	1#1#0	0#1925#5201	0#1#5	0#10#19	0#358#451	0#358#451	0#11#14	0#0#0	0#1#0	0#1#0	70257.38#28252.559#6543.5874	3903.188#1569.5865#363.53262	1305.3284#933.5628#474.17303	0.43510947#0.3111876#0.15805767	53.823532#30.263159#13.799999	testServerFaultMessageOut.json
6284	15#15#15#13	4.2859543464146554E-4#3.336915106046945E-4#5.645072087645531E-4#9.660773212090135E-4	5.624147557553861E-8#2.868006256112928E-8#6.995437233865554E-8#6.526011596472035E-7	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.6#1.6#1.6#1.69	0#0#0#0	23#22#22#20	131.0#132.0#128.0#114.0	92.54960632324219#92.48381042480469#92.6438217163086#95.67353820800781	0#0#0#0	0#0#0#0	3#3#3#3	0#1150#1694#5589	0#3#1#2	0#6#2#6	0#90#51#77	0#90#51#77	0#35#6#106	0#0#0#0	0#0#1#0	0#0#1#0	25665.84#26056.852#23524.68#19045.402	1425.88#1447.6029#1306.9266#1058.0779	739.34515#748.76013#726.07043#633.22314	0.24644838#0.24958672#0.24202348#0.21107438	34.714287#34.8#32.399998#30.076921	createSoap11Fault.json
1720	7#7	0.08190171420574188#0.03835489600896835	0.022072795840136238#0.014619422062737704	0#0	0#0	0#0	1#1	1.98#1.98	0#0	9#9	52.0#54.0	110.42845916748047#110.18231964111328	0#0	0#0	1#1	0#22	0#1	0#2	0#7	0#7	0#20	0#0	0#0	0#0	4191.886#4230.2646	232.88257#235.01471	255.1583#267.5266	0.085052766#0.08917554	16.428572#15.8125	testReadTagsFromSuccessfulInputAndOutput.json
