Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3498	7#7#7	0.006179447751492262#0.006179447751492262#0.006179447751492262	0.024061082924949507#0.024061082924949507#0.024061082924949507	0#0#0	0#0#0	0#0#0	1#1#1	1.98#1.98#1.98	0#0#0	8#8#8	51.0#51.0#51.0	110.63600158691406#110.63600158691406#110.63600158691406	0#0#0	0#0#0	0#0#0	0#93#525	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	2462.895#2462.895#2462.895	136.8275#136.8275#136.8275	245.1751#245.1751#245.1751	0.08172503#0.08172503#0.08172503	10.045454#10.045454#10.045454	statement.json
2934	8#8	0.0026068773586302996#0.0026068773586302996	0.0034041377472793554#0.0034041377472793554	0#0	0#0	0#0	1#1	1.73#1.73	0#0	13#13	66.0#66.0	107.132080078125#107.132080078125	0#0	0#0	1#1	0#315	0#0	0#0	0#0	0#0	0#13	0#0	0#0	0#0	6398.59#6398.59	355.4772#355.4772	317.28543#317.28543	0.10576181#0.10576181	20.166668#20.166668	exampleResultSetMetaData.json
2702	39#42	0.0#0.0	1.3778872061936561E-25#2.8230756986584E-27	1#1	1#1	2#2	3#3	5.15#5.19	2#2	61#60	364.0#385.0	70.76740264892578#69.22891235351562	0#0	0#0	7#10	0#0	0#5	0#7	0#352	0#352	0#2	0#0	0#0	0#0	272909.5#260952.89	15161.639#14497.383	2274.2456#2426.9556	0.75808185#0.8089852	120.00001#107.52273	instanceHolderStrategy.json
5184	13#13#13#13#13#13#13#13#13#13	0.003959659021347761#0.003959659021347761#0.004059096332639456#0.004059096332639456#0.004059096332639456#0.002844790229573846#0.0018789878813549876#0.0017648003995418549#9.639915078878403E-4#0.0011375319445505738	2.048197954079692E-5#2.048197954079692E-5#1.1913242213721759E-5#1.1913242213721759E-5#1.1913242213721759E-5#5.22099249672285E-6#3.6211296768707067E-6#4.166206347325258E-6#5.631038832950398E-7#9.092926522994726E-7	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.69#1.69#1.69#1.69#1.69#1.69#1.69#1.69#1.69#1.69	0#0#0#0#0#0#0#0#0#0	14#14#14#14#14#14#14#15#17#16	103.0#103.0#106.0#106.0#106.0#109.0#111.0#111.0#119.0#117.0	96.4594955444336#96.4594955444336#96.3102035522461#96.3102035522461#96.3102035522461#96.09457397460938#96.0000228881836#96.03472137451172#95.5401840209961#95.6600112915039	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	6#6#6#6#6#6#6#6#6#6	0#2#868#1779#2211#2467#2467#2470#2565#2595	0#0#1#0#0#1#1#1#1#1	0#0#2#0#0#2#2#2#2#2	0#0#9#0#0#8#6#19#44#13	0#0#9#0#0#8#6#19#44#13	0#0#5#0#0#4#39#5#13#34	0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0	16628.838#16628.838#18684.424#18684.424#18684.424#17640.855#18683.125#21266.424#21655.744#20501.105	923.82434#923.82434#1038.0236#1038.0236#1038.0236#980.04755#1037.9514#1181.468#1203.0969#1138.9503	544.3964#544.3964#560.2526#560.2526#560.2526#583.97314#594.6883#590.734#649.67236#634.873	0.18146548#0.18146548#0.18675087#0.18675087#0.18675087#0.19465771#0.19822943#0.19691133#0.21655746#0.21162432	30.545456#30.545456#33.35#33.35#33.35#30.208332#31.416668#36.0#33.333332#32.291664	testGetNativeStatementWithDelegate.json
3188	33#33#33#33	0.0#0.0#0.0#0.0	1.479369675905885E-35#1.479369675905885E-35#9.562347848454993E-36#8.382863085041164E-37	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.15#1.15#1.15#1.15	0#0#0#0	47#47#47#48	432.0#432.0#434.0#442.0	72.72356414794922#72.72356414794922#72.69954681396484#72.57129669189453	0#0#0#0	0#0#0#0	12#12#12#12	0#215#474#1980	0#0#1#2	0#0#2#4	0#0#6#60	0#0#6#60	0#0#1#2	0#0#0#0	0#0#0#0	0#0#0#0	214960.56#214960.56#217866.89#222839.66	11942.254#11942.254#12103.716#12379.98	2870.1458#2870.1458#2883.4336#2955.4333	0.9567152#0.9567152#0.9611445#0.98514444	74.89535#74.89535#75.55814#75.399994	outParams.json
3509	6#6#6	4.417383170221001E-4#4.417383170221001E-4#4.417383170221001E-4	0.08836593854798165#0.08836593854798165#0.08836593854798165	0#0#0	0#0#0	0#0#0	1#1#1	2.0#2.0#2.0	0#0#0	5#5#5	42.0#42.0#42.0	114.3227767944336#114.3227767944336#114.3227767944336	0#0#0	0#0#0	0#0#0	0#104#536	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	2080.4478#2080.4478#2080.4478	115.58043#115.58043#115.58043	195.04196#195.04196#195.04196	0.06501399#0.06501399#0.06501399	10.666667#10.666667#10.666667	testOther.json
4289	11#11#11#11#11#13#14#13	2.1975305571686476E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0	5.885635306425171E-6#1.8804027563322595E-6#1.8804027563322595E-6#1.8804027563322595E-6#8.408827607810048E-7#1.0105689390071628E-7#2.491218175744885E-9#4.474335374083397E-9	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	3.33#3.33#3.33#3.33#3.33#3.08#2.97#3.08	1#1#1#1#1#1#1#1	10#10#10#10#10#11#14#16	101.0#106.0#106.0#106.0#109.0#123.0#140.0#135.0	98.98106384277344#98.67526245117188#98.67526245117188#98.67526245117188#98.47826385498047#95.07034301757812#93.04342651367188#94.43309020996094	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	3#3#3#3#3#4#5#4	0#2#884#1316#1572#1575#1670#1670	0#2#0#0#1#3#2#1	0#4#0#0#2#4#3#3	0#45#0#0#8#118#131#144	0#45#0#0#8#118#131#144	0#3#0#0#4#5#13#11	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	17148.068#18029.04#18029.04#18029.04#17708.416#22907.812#28685.219#27731.67	952.6705#1001.6133#1001.6133#1001.6133#983.8009#1272.6562#1593.6233#1540.6483	564.0812#598.2487#598.2487#598.2487#621.34796#711.10724#833.5875#803.8165	0.18802705#0.19941624#0.19941624#0.19941624#0.207116#0.23703575#0.27786252#0.26793885	30.4#30.136362#30.136362#30.136362#28.5#32.214287#34.411766#34.5	getProxyConnection.json
4289	18#18#18#18#18	0.0#0.0#0.0#0.0#0.0	9.46469191927328E-10#8.407194605939042E-10#8.407194605939042E-10#8.407194605939042E-10#6.864445300174583E-10	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	3.73#3.73#3.73#3.73#3.73	1#1#1#1#1	23#21#21#21#22	155.0#155.0#155.0#155.0#156.0	88.5057373046875#88.48434448242188#88.48434448242188#88.48434448242188#88.4509048461914	0#0#0#0#0	0#0#0#0#0	5#5#5#5#5	0#1#884#1316#1700	0#3#0#0#1	0#6#0#0#2	0#79#0#0#29	0#79#0#0#29	0#5#0#0#34	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	44131.59#40527.348#40527.348#40527.348#43078.953	2451.755#2251.5193#2251.5193#2251.5193#2393.2751	911.8097#915.568#915.568#915.568#921.4749	0.30393657#0.30518934#0.30518934#0.30518934#0.3071583	48.4#44.264706#44.264706#44.264706#46.75	testReplaceParam.json
2934	8#8#8	0.45619019865989685#0.5455144047737122#0.49143317341804504	0.02723701139920231#0.04038479336244838#0.04031434669056306	0#0#0	0#0#0	0#0#0	1#1#1	1.94#1.94#1.94	0#0#0	8#8#8	53.0#51.0#51.0	108.16619873046875#108.4183120727539#108.4183120727539	0#0#0	0#0#0	3#3#3	0#314#315	0#1#1	0#2#2	0#24#14	0#24#14	0#5#13	0#0#0	0#0#0	0#0#0	5721.434#5946.169#5946.169	317.85745#330.3427#330.3427	260.0652#247.75703#247.75703	0.08668839#0.08258568#0.08258568	22.0#24.0#24.0	nextOnUnconsumedResultThatHasNoMoreResultsSetDelegatesToTheTarget.json
2934	10#10#10	0.10683638602495193#0.13840165734291077#0.12109559774398804	0.0019743846787605417#0.0029859471085706695#0.0029707492169884007	0#0#0	0#0#0	0#0#0	1#1#1	1.83#1.83#1.83	0#0#0	12#12#12	68.0#66.0#66.0	102.98381805419922#103.18009185791016#103.18009185791016	0#0#0	0#0#0	3#3#3	0#314#315	0#1#1	0#2#2	0#24#14	0#24#14	0#5#13	0#0#0	0#0#0	0#0#0	9466.871#9817.448#9817.448	525.93726#545.4138#545.4138	351.5549#338.53268#338.53268	0.11718497#0.11284423#0.11284423	26.92857#29.0#29.0	getColumnByLabelOnUnconsumedResultSetThatHasMoreResultsDelegatesToTheTarget.json
741	13	0.0017199452267959714	7.527959244732756E-5	0	0	0	1	1.69	0	22	97.0	96.92749786376953	0	0	2	0	0	0	0	0	0	0	0	0	16916.375	939.7986	497.54044	0.16584681	34.0	wasNullIsSupportedBeforeRepeatedRead.json
5184	13#13#13#13#13#13#13#13#13	0.010593899525702#0.010593899525702#0.010255913250148296#0.010255913250148296#0.010255913250148296#0.007221722509711981#0.006785059813410044#0.003345712088048458#0.00393677456304431	1.6488757938840324E-5#1.6488757938840324E-5#9.58641801405979E-6#9.58641801405979E-6#9.58641801405979E-6#4.182384346970007E-6#4.951148421303057E-6#7.784676510437793E-7#1.245990461589297E-6	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1.69#1.69#1.69#1.69#1.69#1.69#1.69#1.69#1.69	0#0#0#0#0#0#0#0#0	14#14#14#14#14#14#15#17#16	103.0#103.0#106.0#106.0#106.0#109.0#109.0#117.0#115.0	96.4236831665039#96.4236831665039#96.2743911743164#96.2743911743164#96.2743911743164#96.06094360351562#96.09457397460938#95.62832641601562#95.74966430664062	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	6#6#6#6#6#6#6#6#6	0#2#868#1779#2211#2467#2470#2565#2595	0#0#1#0#0#1#1#1#1	0#0#2#0#0#2#2#2#2	0#0#9#0#0#8#19#44#13	0#0#9#0#0#8#19#44#13	0#0#5#0#0#4#5#13#34	0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0	17341.744#17341.744#19462.291#19462.291#19462.291#18367.58#20818.64#22995.125#21783.986	963.43024#963.43024#1081.2384#1081.2384#1081.2384#1020.42114#1156.5912#1277.507#1210.2214	548.15857#548.15857#564.1244#564.1244#564.1244#587.7626#583.97314#638.7535#624.02045	0.18271953#0.18271953#0.18804146#0.18804146#0.18804146#0.19592085#0.19465771#0.21291782#0.20800681	31.636364#31.636364#34.5#34.5#34.5#31.249998#35.649998#36.0#34.909092	testDoGetNativeConnectionWithDelegate.json
3509	6#6#6	0.0023685714695602655#0.0023685714695602655#0.0023685714695602655	0.08622346591488302#0.08622346591488302#0.08622346591488302	0#0#0	0#0#0	0#0#0	1#1#1	2.0#2.0#2.0	0#0#0	5#5#5	42.0#42.0#42.0	114.3227767944336#114.3227767944336#114.3227767944336	0#0#0	0#0#0	0#0#0	0#104#536	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	2080.4478#2080.4478#2080.4478	115.58043#115.58043#115.58043	195.04196#195.04196#195.04196	0.06501399#0.06501399#0.06501399	10.666667#10.666667#10.666667	testUpdate.json
