Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2037	18	0.0	6.127484632648715E-13	0	0	0	1	1.66	0	32	196.0	87.44895935058594	0	0	2	0	0	0	0	0	0	0	0	0	39583.86	2199.1033	1117.2863	0.37242875	35.428574	testGetHttpURLConnection.json
2035	13	0.0	1.8150185593566808E-5	0	0	0	1	1.69	0	14	114.0	96.48188781738281	0	0	0	0	0	0	0	0	0	0	0	0	26328.492	1462.694	542.0572	0.18068573	48.57143	testHandleTimeout.json
2037	19	0.0	3.4814230367772377E-12	0	0	0	1	1.63	0	17	196.0	86.76690673828125	0	0	2	0	0	0	0	0	0	0	0	0	52474.656	2915.2588	1076.4032	0.35880107	48.75	testGetItemFile.json
2035	6	0.1607063114643097	0.009366702303212661	0	0	0	1	2.0	0	5	53.0	112.7767562866211	0	0	0	0	0	0	0	0	0	0	0	0	2864.4265	159.13481	262.57242	0.08752414	10.909091	testSendPacket_error.json
2030	17#17#16#18#18	0.0#0.0#0.0#0.0#0.0	8.785639196510905E-6#8.794554853461678E-6#6.301860344059618E-5#7.475548172127584E-8#7.495753481438723E-8	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.52#1.52#1.56#1.66#1.66	0#0#0#0#0	15#15#13#19#19	119.0#119.0#106.0#139.0#139.0	91.4776382446289#91.4776382446289#93.10235595703125#89.39979553222656#89.39979553222656	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#3#1353#1456#1465	0#1#0#2#3	0#2#1#2#6	0#4#72#127#15	0#4#72#127#15	0#1#1#1#3	0#0#0#1#0	0#1#1#1#0	0#1#1#1#0	16364.882#16364.882#11961.487#22094.861#22094.861	909.1601#909.1601#664.5271#1227.4923#1227.4923	615.2211#615.2211#543.704#767.7751#767.7751	0.20507371#0.20507371#0.18123466#0.25592503#0.25592503	26.6#26.6#22.0#28.777779#28.777779	testRead.json
2037	15	0.003606943180784583	2.2411277572219474E-7	0	0	0	2	2.87	1	24	128.0	92.61283874511719	0	0	0	0	0	0	0	0	0	0	0	0	28301.693	1572.3163	698.80725	0.23293576	40.5	testFinishWrite_closeFailure.json
2037	19	7.935608737170696E-4	9.758997202522165E-11	0	0	0	1	1.63	0	13	169.0	87.27049255371094	0	0	4	0	0	0	0	0	0	0	0	0	41653.176	2314.0654	977.0498	0.32568327	42.63158	testInitialize_fileNotFound.json
2037	16	0.0	5.172046034482286E-11	0	0	0	1	1.56	0	33	173.0	90.14089965820312	0	0	2	0	0	0	0	0	0	0	0	0	33915.668	1884.2037	960.94385	0.32031462	35.29412	testValidateResponse.json
2031	37#37	0.0#0.0	2.3965875257803335E-17#2.447768661349641E-17	0#0	0#0	0#0	1#1	3.07#3.07	1#1	30#30	283.0#283.0	73.6600341796875#73.6600341796875	0#0	0#0	2#2	0#1466	0#3	0#6	0#30	0#30	0#3	0#0	0#0	0#0	106662.234#106662.234	5925.6797#5925.6797	1678.3987#1678.3987	0.55946624#0.55946624	63.55#63.55	testConfigurePackages.json
2037	37	0.0	2.97212672629289E-25	0	0	0	1	1.09	0	62	364.0	72.23381805419922	0	0	6	0	0	0	0	0	0	0	0	0	125270.4	6959.467	2208.0564	0.7360188	56.733334	testDownloadFile_lastModifiedFail.json
2037	17	0.029262810945510864	2.7824798606511554E-4	0	0	0	3	2.56	1	18	102.0	91.9470443725586	0	0	0	0	0	0	0	0	0	0	0	0	9776.036	543.1131	514.5282	0.1715094	19.0	testFailWrite.json
2037	17	1.8394202925264835E-4	2.171845566747561E-8	0	0	0	1	1.7	0	19	146.0	90.16268157958984	0	0	1	0	0	0	0	0	0	0	0	0	41955.43	2330.8572	792.2347	0.26407823	52.958336	testCloseOrWarn_closeable.json
2037	14	0.004719010554254055	3.555311486091783E-6	0	0	0	2	2.97	1	21	112.0	94.48920440673828	0	0	0	0	0	0	0	0	0	0	0	0	20424.137	1134.6743	603.9395	0.20131317	33.818184	testFinishWrite_renameFailure.json
2031	66#66	0.0#0.0	4.4280021608472063E-38#4.501017343717941E-38	0#0	0#0	0#0	1#1	1.55#1.55	1#1	81#81	566.0#566.0	60.52653884887695#60.52653884887695	0#0	0#0	6#6	0#1466	0#6	0#12	0#35	0#35	0#3	0#0	0#0	0#0	560751.06#560751.06	31152.836#31152.836	3457.4248#3457.4248	1.1524749#1.1524749	162.1875#162.1875	testResolve.json
2037	9	0.0033692356664687395	4.670375912863506E-4	0	0	0	1	1.99	0	14	78.0	104.1510009765625	0	0	0	0	0	0	0	0	0	0	0	0	6478.333	359.90738	390.0	0.13	16.61111	testStartWrite_success.json
2037	22	0.0	2.7605173666396366E-13	0	0	0	1	1.54	0	17	203.0	83.87385559082031	0	0	4	0	0	0	0	0	0	0	0	0	64393.562	3577.4202	1189.1702	0.39639005	54.149998	testInitialize_file.json
2001	33	0.0	6.348691521846731E-19	3	2	5	3	4.73	2	41	276.0	74.86651611328125	0	0	8	0	0	0	0	0	0	0	0	0	134547.89	7474.883	1739.8434	0.57994777	77.333336	testReleaseGarbagePermissions.json
2037	11	0.16251347959041595	0.006102517304316701	0	0	0	2	2.95	1	11	67.0	101.32787322998047	0	0	0	0	0	0	0	0	0	0	0	0	4873.7515	270.76398	343.66196	0.11455399	14.181818	testFinishWrite_success.json
2037	9	5.672898259945214E-4	3.9501889944982345E-4	0	0	0	1	1.99	0	10	77.0	104.12792205810547	0	0	0	0	0	0	0	0	0	0	0	0	7072.987	392.94373	391.73465	0.13057822	18.055555	testPoll_success.json
2037	12	0.0015501647721976042	1.6940549299032208E-8	0	0	0	1	1.89	0	13	130.0	96.23130798339844	0	0	2	0	0	0	0	0	0	0	0	0	21321.121	1184.5067	729.9123	0.2433041	29.210526	testGetItemFile_encodingError.json
