Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1376	28#28#28#28	0.0#0.0#0.0#0.0	5.5014631768426504E-17#8.504064999789333E-17#8.504064999789333E-17#8.504064999789333E-17	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	2.69#2.69#2.69#2.69	0#0#0#0	57#57#57#57	268.0#267.0#267.0#267.0	78.63932037353516#78.68376922607422#78.68376922607422#78.68376922607422	0#0#0#0	0#0#0#0	0#0#0#0	0#417#641#811	0#1#0#0	0#2#0#0	0#7#0#0	0#7#0#0	0#35#4#2	0#0#0#0	0#0#1#0	0#0#1#0	135317.55#131045.7#131045.7#131045.7	7517.6416#7280.317#7280.317#7280.317	1535.0828#1522.0175#1522.0175#1522.0175	0.51169425#0.5073392#0.5073392#0.5073392	88.15#86.1#86.1#86.1	testDestroy.json
629	7	0.023992517963051796	0.0018330248528159025	0	0	0	1	1.81	0	10	67.0	109.11052703857422	0	0	1	0	0	0	0	0	0	0	0	0	5941.193	330.06628	328.76166	0.10958722	18.071428	createMockRpcInvocation.json
5009	14#14#14#14#10#10#10#10	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	5.56586917776003E-10#5.56586917776003E-10#5.56586917776003E-10#5.56586917776003E-10#1.097348082403099E-5#1.097348082403099E-5#1.097348082403099E-5#1.097348082403099E-5	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.4#1.4#1.4#1.4#1.6#1.6#1.6#1.6	0#0#0#0#0#0#0#0	36#36#36#36#24#24#24#24	175.0#175.0#175.0#175.0#111.0#111.0#111.0#111.0	92.83916473388672#92.83916473388672#92.83916473388672#92.83916473388672#100.87086486816406#100.87086486816406#100.87086486816406#100.87086486816406	0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3	0#0#0#0#0#0#0#0	0#155#155#200#2380#2430#4274#4444	0#0#0#0#8#0#0#0	0#0#0#0#20#0#0#0	0#0#0#0#349#0#0#0	0#0#0#0#349#0#0#0	0#0#0#0#32#3#4#2	0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#0	0#0#0#0#0#0#1#0	30738.535#30738.535#30738.535#30738.535#10318.344#10318.344#10318.344#10318.344	1707.6964#1707.6964#1707.6964#1707.6964#573.24133#573.24133#573.24133#573.24133	866.9844#866.9844#866.9844#866.9844#527.79254#527.79254#527.79254#527.79254	0.2889948#0.2889948#0.2889948#0.2889948#0.17593084#0.17593084#0.17593084#0.17593084	35.454544#35.454544#35.454544#35.454544#19.55#19.55#19.55#19.55	initInvokers.json
852	19	0.0	3.69201318805662E-12	0	0	0	1	3.01	2	21	184.0	86.75983428955078	0	0	6	0	0	0	0	0	0	0	0	0	55091.06	3060.6143	1077.8685	0.3592895	51.11111	getProviderConnectionConfigTest.json
313	19	0.0	9.687745110807702E-14	0	0	0	1	1.79	1	24	193.0	86.27609252929688	0	0	8	0	0	0	0	0	0	0	0	0	44360.688	2464.4827	1182.9517	0.3943172	37.5	testDecodeException.json
1406	42#43#42#42#42#42	0.0#0.0#0.0#0.0#0.0#0.0	1.8186538376437784E-36#1.8908654462516483E-39#3.528543379680534E-40#1.5215872062356632E-39#8.477846672304573E-40#1.2776898898286378E-39	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.03#1.02#1.03#1.03#1.03#1.03	0#0#0#0#0#0	53#58#54#54#54#54	446.0#474.0#474.0#469.0#470.0#469.0	68.51468658447266#67.76946258544922#68.08821868896484#68.1607666015625#68.13228607177734#68.15202331542969	0#0#0#0#0#0	0#0#0#0#0#0	17#18#18#18#18#18	0#2#13#43#175#447	0#6#9#1#1#1	0#11#19#2#2#2	0#829#662#30#7#7	0#829#662#30#7#7	0#17#9#6#8#31	0#1#0#0#0#0	0#1#1#1#1#0	0#1#1#1#1#0	287957.06#329203.06#331512.94#332984.28#328922.06#323528.4	15997.614#18289.059#18417.385#18499.127#18273.447#17973.8	3041.7998#3262.3728#3301.7817#3256.0393#3273.9185#3261.518	1.0139333#1.0874577#1.1005939#1.0853465#1.0913062#1.0871727	94.66667#100.90909#100.40426#102.26666#100.46739#99.19565	testConsumerUrlWithoutProtocol.json
1399	16#22#22	0.0#0.0#0.0	1.1870894848695102E-8#4.626441459456842E-12#3.9361928606893936E-13	0#0#0	0#0#0	0#0#0	1#1#1	1.56#1.37#1.37	0#0#0	17#28#29	148.0#204.0#204.0	91.17501068115234#84.27901458740234#83.94062805175781	0#0#0	0#0#0	4#5#6	0#89#112	0#8#17	0#10#34	0#728#974	0#728#974	0#1#8	0#0#0	0#0#0	0#0#0	34353.453#60391.793#76676.69	1908.5251#3355.0996#4259.816	787.6453#1100.0327#1173.9971	0.26254845#0.36667758#0.39133236	43.615383#54.899998#65.3125	customizePreferredProtocol.json
1293	58#58#58#58	0.0#0.0#0.0#0.0	3.335769257929925E-30#4.118465162624432E-30#4.118465162624432E-30#4.118465162624432E-30	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	2.77#2.77#2.77#2.77	1#1#1#1	67#67#67#67	453.0#452.0#452.0#452.0	63.570037841796875#63.5815315246582#63.5815315246582#63.5815315246582	0#0#0#0	0#0#0#0	8#8#8#8	0#334#558#728	0#1#0#0	0#2#0#0	0#7#0#0	0#7#0#0	0#35#4#2	0#0#0#0	0#0#1#0	0#0#1#0	286042.84#285411.4#285411.4#285411.4	15891.27#15856.189#15856.189#15856.189	2879.9712#2873.6135#2873.6135#2873.6135	0.9599904#0.9578712#0.9578712#0.9578712	99.32143#99.32143#99.32143#99.32143	testRegister3.json
1420	23#23#23	3.8451162981800735E-4#5.58817177079618E-4#5.493398057296872E-4	3.517454814726785E-10#2.0934288911897985E-10#2.964351195249718E-10	0#0#0	0#0#0	0#0#0	1#1#1	3.33#3.33#3.33	0#0#0	32#30#30	173.0#174.0#173.0	84.07762145996094#84.00045776367188#84.05375671386719	0#0#0	0#0#0	1#1#1	0#210#461	0#2#1	0#4#2	0#84#7	0#84#7	0#2#35	0#0#0	0#1#0	0#1#0	50594.355#40048.68#38673.44	2810.7976#2224.9268#2148.5244	995.5956#1010.47974#1000.17523	0.3318652#0.3368266#0.33339176	50.81818#39.63333#38.666664	testRegistryZoneForceStrategy.json
2596	9#9#9	7.93404586147517E-4#7.93404586147517E-4#7.580353994853795E-4	6.909556354184849E-4#6.909556354184849E-4#9.306902643438338E-4	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	12#12#12	74.0#74.0#73.0	104.3345718383789#104.3345718383789#104.44953155517578	0#0#0	0#0#0	1#1#1	0#17#1637	0#0#1	0#0#2	0#0#7	0#0#7	0#3#30	0#0#0	0#0#0	0#0#0	7680.0347#7680.0347#7199.107	426.66858#426.66858#399.95038	376.47226#376.47226#368.24075	0.12549075#0.12549075#0.122746915	20.400002#20.400002#19.550001	testGracefulShutdown1.json
5009	7#7#7#7#5#5	9.42605605814606E-4#9.42605605814606E-4#9.42605605814606E-4#9.42605605814606E-4#0.04765256121754646#0.04765256121754646	0.0017654307880201202#0.0017654307880201202#0.0017654307880201202#0.0017654307880201202#0.07865263497763927#0.07865263497763927	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.81#1.81#1.81#1.81#1.96#1.96	0#0#0#0#0#0	14#14#14#14#9#9	72.0#72.0#72.0#72.0#45.0#45.0	109.08912658691406#109.08912658691406#109.08912658691406#109.08912658691406#117.29121398925781#117.29121398925781	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#155#155#200#2380#2430	0#0#0#0#3#0	0#0#0#0#8#0	0#0#0#0#146#0	0#0#0#0#146#0	0#0#0#0#32#3	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	6012.85#6012.85#6012.85#6012.85#1815.2098#1815.2098	334.04724#334.04724#334.04724#334.04724#100.84499#100.84499	330.11728#330.11728#330.11728#330.11728#194.48676#194.48676	0.11003909#0.11003909#0.11003909#0.11003909#0.06482892#0.06482892	18.214285#18.214285#18.214285#18.214285#9.333334#9.333334	resetInvoker1ToNoException.json
1044	16#17#17#17#17#17	5.508126341737807E-4#1.5270523726940155E-4#1.4906047726981342E-4#1.324766781181097E-4#1.324766781181097E-4#1.181538391392678E-4	1.876007726466924E-9#1.6341293881526684E-10#2.2719224229138467E-10#6.580004680933406E-11#6.580004680933406E-11#4.788274791388324E-11	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.56#1.52#1.52#1.52#1.52#1.52	0#0#0#0#0#0	19#20#20#21#21#21	145.0#158.0#157.0#161.0#161.0#162.0	90.85092163085938#89.35386657714844#89.4092025756836#89.21282196044922#89.21282196044922#89.15966796875	0#0#0#0#0#0	0#0#0#0#0#0	3#4#4#4#4#4	0#14#85#141#156#176	0#2#1#1#0#1	0#3#2#2#0#2	0#68#7#49#0#19	0#68#7#49#0#19	0#6#39#9#0#9	0#0#0#0#0#1	0#0#0#0#1#1	0#0#0#0#1#1	36780.29#45760.824#44172.13#42069.652#42069.652#41361.555	2043.3494#2542.268#2454.007#2337.203#2337.203#2297.8643	838.2972#925.56104#915.76373#951.00934#951.00934#960.7795	0.2794324#0.30852035#0.30525458#0.3170031#0.3170031#0.32025984	43.875#49.441174#48.23529#44.236843#44.236843#43.05	testMissingGroup.json
859	6	0.09325648099184036	0.1147203677506774	0	0	0	1	2.0	0	6	41.0	114.51445770263672	0	0	1	0	0	0	0	0	0	0	0	0	3289.7104	182.76169	187.98346	0.062661156	17.5	testIntervalInMs.json
