Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2090	7#7#7#8#8#8#8#8#8#8	0.020816834643483162#0.017840437591075897#0.0189374890178442#0.012691859155893326#0.012691859155893326#0.012691859155893326#0.012022684328258038#0.012337400577962399#0.011727185919880867#0.011727185919880867	0.023317883790015474#0.03884822981289297#0.03928012466326603#0.0033505341896343313#0.0033505341896343313#0.0033505341896343313#0.0033853165713054784#0.003318139824489732#0.0043624414267518395#0.0043624414267518395	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.98#1.98#1.98#1.94#1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0#0#0#0#0	5#5#5#8#8#8#8#8#8#8	53.0#51.0#51.0#64.0#64.0#64.0#64.0#64.0#63.0#63.0	110.61590576171875#110.95240020751953#110.95240020751953#107.23761749267578#107.23761749267578#107.23761749267578#107.23761749267578#107.23761749267578#107.37398529052734#107.37398529052734	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	0#58#345#775#1121#1121#1121#1121#1311#2755	0#1#3#1#0#0#1#1#1#0	0#2#6#1#0#0#2#2#2#0	0#17#27#89#0#0#19#6#7#0	0#17#27#89#0#0#19#6#7#0	0#3#9#10#0#0#2#2#30#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#0#0	5066.06#4248.756#4248.756#5527.303#5527.303#5527.303#5527.303#5527.303#5115.026#5115.026	281.44778#236.04199#236.04199#307.0724#307.0724#307.0724#307.0724#307.0724#284.1681#284.1681	246.12437#230.70166#230.70166#310.9108#310.9108#310.9108#310.9108#310.9108#302.86337#302.86337	0.08204146#0.07690056#0.07690056#0.103636935#0.103636935#0.103636935#0.103636935#0.103636935#0.10095446#0.10095446	20.583334#18.416668#18.416668#17.777779#17.777779#17.777779#17.777779#17.777779#16.88889#16.88889	whenATypeHasBeenRandomized_thenTheRandomizedBeanShouldBeRetrievedFromTheObjectPool.json
1839	9#9#9#9#10#10#10#10#10#10#10	0.03209897503256798#0.04024042189121246#0.04432140663266182#0.04547464847564697#0.0366077795624733#0.042426224797964096#0.019885951653122902#0.019885951653122902#0.019885951653122902#0.019100984558463097#0.019100984558463097	7.044265735864435E-4#6.713752024696795E-4#6.79846002360289E-4#6.67280991709884E-4#3.0099952548865935E-4#3.314239886915188E-4#1.4488851563474386E-4#1.4488851563474386E-4#1.4488851563474386E-4#1.936989862740764E-4#1.936989862740764E-4	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.83#1.83#1.83#1.83#1.83#1.83#1.83	0#0#0#0#0#0#0#0#0#0#0	6#6#6#6#9#9#9#9#9#9#9	73.0#73.0#73.0#73.0#80.0#80.0#84.0#84.0#84.0#83.0#83.0	104.36274719238281#104.36274719238281#104.36274719238281#104.36274719238281#102.09911346435547#102.09911346435547#101.80714416503906#101.80714416503906#101.80714416503906#101.90768432617188#101.90768432617188	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3#3#3#3	0#10#38#94#94#94#855#870#870#1060#2504	0#3#3#1#2#4#1#0#0#1#0	0#6#6#2#3#8#2#0#0#2#0	0#35#18#6#94#72#14#0#0#7#0	0#35#18#6#94#72#14#0#0#7#0	0#4#5#4#3#9#3#0#0#30#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#0#0#0#1	0#0#0#1#0#0#1#0#0#0#0	6127.1616#6127.1616#6127.1616#6127.1616#8439.314#8439.314#8656.219#8656.219#8656.219#8176.001#8176.001	340.39786#340.39786#340.39786#340.39786#468.8508#468.8508#480.90103#480.90103#480.90103#454.2223#454.2223	374.43765#374.43765#374.43765#374.43765#416.7563#416.7563#440.82593#440.82593#440.82593#432.38464#432.38464	0.12481255#0.12481255#0.12481255#0.12481255#0.13891876#0.13891876#0.14694197#0.14694197#0.14694197#0.14412822#0.14412822	16.363636#16.363636#16.363636#16.363636#20.25#20.25#19.636364#19.636364#19.636364#18.909092#18.909092	whenCurrentStackSizeOverMaxRandomizationDepth_thenShouldExceedRandomizationDepth.json
2158	5#5#5#5#5#5#5#5#5#5#5	0.2863599359989166#0.2863599359989166#0.2409113198518753#0.2409113198518753#0.2550734579563141#0.25002560019493103#0.25002560019493103#0.25002560019493103#0.234939843416214#0.22156310081481934#0.22156310081481934	0.3287105730501213#0.3287105730501213#0.44734966444124524#0.44734966444124524#0.5221185944171458#0.5077953347415859#0.5077953347415859#0.5077953347415859#0.5725453556015537#0.4986532026476422#0.4986532026476422	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1.96#1.96#1.96#1.96#1.96#1.96#1.96#1.96#1.96#1.96#1.96	0#0#0#0#0#0#0#0#0#0#0	3#3#3#3#4#4#4#4#4#3#3	31.0#31.0#29.0#29.0#27.0#27.0#27.0#27.0#26.0#28.0#28.0	119.0662612915039#119.0662612915039#119.57592010498047#119.57592010498047#120.03731536865234#120.03731536865234#120.03731536865234#120.03731536865234#120.3299331665039#119.84819793701172#119.84819793701172	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#9#57#112#126#843#1189#1189#1379#1793#2823	0#0#1#0#1#1#0#0#1#1#0	0#0#2#0#2#2#0#0#2#2#0	0#0#17#0#3#4#0#0#7#3#0	0#0#17#0#3#4#0#0#7#3#0	0#0#4#0#1#10#0#0#30#2#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#0#0#0	1555.2268#1555.2268#1253.3591#1253.3591#1075.2567#1075.2567#1075.2567#1075.2567#948.65796#1115.0809#1115.0809	86.40149#86.40149#69.631065#69.631065#59.736485#59.736485#59.736485#59.736485#52.70322#61.94894#61.94894	138.24239#138.24239#125.335915#125.335915#114.694046#114.694046#114.694046#114.694046#108.41805#118.94197#118.94197	0.046080794#0.046080794#0.04177864#0.04177864#0.03823135#0.03823135#0.03823135#0.03823135#0.03613935#0.039647322#0.039647322	11.25#11.25#10.0#10.0#9.375#9.375#9.375#9.375#8.75#9.375#9.375	setUp.json
1745	9#10#9#9#9#10#10#10	0.016578225418925285#0.011190657503902912#0.03291760012507439#0.03291760012507439#0.03291760012507439#0.07095522433519363#0.06829480081796646#0.06829480081796646	6.4883303946796755E-6#1.1376116760278518E-6#1.7911744631862486E-5#1.7911744631862486E-5#1.7911744631862486E-5#1.1645648885750437E-5#1.573275793828879E-5#1.573275793828879E-5	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.89#1.83#1.89#1.89#1.89#1.83#1.83#1.83	0#0#0#0#0#0#0#0	14#17#16#16#16#14#14#14	93.0#103.0#89.0#89.0#89.0#94.0#93.0#93.0	102.7185287475586#100.39550018310547#103.03955078125#103.03955078125#103.03955078125#101.0484848022461#101.13673400878906#101.13673400878906	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	4#4#3#3#3#3#3#3	0#430#756#776#776#776#966#2410	0#1#1#0#0#3#1#0	0#1#3#0#0#5#2#0	0#55#145#0#0#97#7#0	0#55#145#0#0#97#7#0	0#10#3#0#0#11#30#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0	13099.128#16939.814#11941.729#11941.729#11941.729#13354.53#12719.496#12719.496	727.7293#941.1008#663.4294#663.4294#663.4294#741.91833#706.6387#706.6387	513.6913#578.3151#482.93756#482.93756#482.93756#510.06888#501.4855#501.4855	0.17123044#0.1927717#0.16097918#0.16097918#0.16097918#0.17002296#0.16716184#0.16716184	25.5#29.291668#24.727272#24.727272#24.727272#26.181818#25.363636#25.363636	customRandomzierForFieldsShouldBeUsedToPopulateFieldsWithMultipleModifier.json
2093	6#7#7#8#8#8#8#8#8#8#8#8	0.3107128143310547#0.032984331250190735#0.03142191469669342#3.3332849852740765E-4#5.275069852359593E-4#5.217949510551989E-4#5.217949510551989E-4#5.217949510551989E-4#5.372003652155399E-4#4.4393708230927587E-4#4.2172850226052105E-4#4.2172850226052105E-4	0.035492730799805326#0.0013407889535854743#0.00134339704132791#6.8232756059476646E-6#1.3291807976069885E-5#1.7399138396369635E-5#1.7399138396369635E-5#1.7399138396369635E-5#1.6925296279738578E-5#1.5648163791673384E-5#2.113432515416216E-5#2.113432515416216E-5	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	2.0#1.98#1.98#1.94#1.94#1.94#1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0#0#0#0#0#0#0	4#8#8#12#11#11#11#11#11#11#11#11	45.0#64.0#64.0#91.0#88.0#88.0#88.0#88.0#88.0#89.0#88.0#88.0	113.67752075195312#109.03759002685547#109.03759002685547#104.83206939697266#105.03902435302734#105.0726547241211#105.0726547241211#105.0726547241211#105.0726547241211#105.01390075683594#105.10735321044922#105.10735321044922	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2#2#2	0#2#3#3#45#106#1124#1124#1124#1127#1314#2758	0#2#1#5#1#1#0#0#2#1#1#0	0#3#2#9#2#2#0#0#4#2#2#0	0#92#11#176#19#24#0#0#12#36#7#0	0#92#11#176#19#24#0#0#12#36#7#0	0#9#10#8#4#4#0#0#11#10#30#0	0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0#0#1	0#1#0#0#0#0#0#0#0#0#0#0	3264.8347#5851.258#5851.258#11480.62#10676.788#10254.3545#10254.3545#10254.3545#10254.3545#9756.515#9240.504#9240.504	181.3797#325.0699#325.0699#637.81226#593.1549#569.68634#569.68634#569.68634#569.68634#542.02856#513.3613#513.3613	220.81007#333.40503#333.40503#493.7901#474.52393#471.46457#471.46457#471.46457#471.46457#476.82214#468.32965#468.32965	0.073603354#0.11113501#0.11113501#0.1645967#0.15817465#0.15715486#0.15715486#0.15715486#0.15715486#0.15894072#0.15610988#0.15610988	14.785714#17.55#17.55#23.25#22.5#21.75#21.75#21.75#21.75#20.461538#19.730768#19.730768	typedInterfaceMapTypesMightBePopulated.json
2093	5#5#5#5#5#5#5#5	0.18996571004390717#0.19307123124599457#0.08875073492527008#0.08875073492527008#0.08875073492527008#0.01862441375851631#0.017180828377604485#0.017180828377604485	0.3928777737406882#0.3793438099654965#0.2550839869786258#0.2550839869786258#0.2550839869786258#0.03278767717270171#0.04242548723717326#0.04242548723717326	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.96#1.96#1.96#1.96#1.96#1.96#1.96#1.96	0#0#0#0#0#0#0#0	2#2#4#4#4#7#7#7	31.0#31.0#34.0#34.0#34.0#46.0#45.0#45.0	119.31893157958984#119.31893157958984#118.748779296875#118.748779296875#118.748779296875#116.80333709716797#116.98399353027344#116.98399353027344	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#3#641#1124#1124#1124#1314#2758	0#2#2#0#0#2#1#0	0#4#4#0#0#4#2#0	0#10#102#0#0#64#7#0	0#10#102#0#0#64#7#0	0#1#1#0#0#1#30#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0	998.617#998.617#1102.0917#1102.0917#1102.0917#2367.5925#2166.3948#2166.3948	55.47872#55.47872#61.227314#61.227314#61.227314#131.53291#120.35526#120.35526	131.68576#131.68576#146.94556#146.94556#146.94556#213.61737#206.3233#206.3233	0.043895252#0.043895252#0.048981853#0.048981853#0.048981853#0.07120579#0.06877443#0.06877443	7.583333#7.583333#7.5#7.5#7.5#11.083333#10.5#10.5	whenNoConcreteTypeIsFound_thenShouldThrowAnInstantiationError.json
2093	6#7#7#8#8#8#8#8#8#8#8#8	0.2867811322212219#0.030648404732346535#0.02919330634176731#3.166774404235184E-4#4.995194030925632E-4#4.913663724437356E-4#4.913663724437356E-4#4.913663724437356E-4#5.058738752268255E-4#4.18047042330727E-4#3.9713314617983997E-4#3.9713314617983997E-4	0.030916935477647497#7.218737087262908E-4#7.247253866082341E-4#5.788117485079001E-6#1.1307441876675343E-5#1.4834068682117545E-5#1.4834068682117545E-5#1.4834068682117545E-5#1.4420744490675012E-5#1.3289991551200357E-5#1.7970442849311847E-5#1.7970442849311847E-5	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	2.0#1.98#1.98#1.94#1.94#1.94#1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0#0#0#0#0#0#0	4#7#7#12#11#11#11#11#11#11#11#11	46.0#67.0#67.0#92.0#89.0#89.0#89.0#89.0#89.0#90.0#89.0#89.0	113.563232421875#108.76112365722656#108.76112365722656#104.77523803710938#104.98027038574219#105.01390075683594#105.01390075683594#105.01390075683594#105.01390075683594#104.95580291748047#105.04859161376953#105.04859161376953	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2#2#2	0#2#3#3#45#106#1124#1124#1124#1127#1314#2758	0#2#1#5#1#1#0#0#2#1#1#0	0#3#2#9#2#2#0#0#4#2#2#0	0#99#11#180#19#24#0#0#12#36#7#0	0#99#11#180#19#24#0#0#12#36#7#0	0#9#10#8#4#4#0#0#11#10#30#0	0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0#0#1	0#1#0#0#0#0#0#0#0#0#0#0	3337.3865#6399.3223#6399.3223#11606.78#10798.115#10370.882#10370.882#10370.882#10370.882#9866.138#9345.51#9345.51	185.41035#355.5179#355.5179#644.8211#599.89526#576.1601#576.1601#576.1601#576.1601#548.1188#519.195#519.195	225.71696#351.61115#351.61115#499.21637#479.91623#476.82214#476.82214#476.82214#476.82214#482.1797#473.65158#473.65158	0.07523899#0.11720371#0.11720371#0.16640545#0.15997207#0.15894072#0.15894072#0.15894072#0.15894072#0.16072656#0.15788387#0.15788387	14.785714#18.199999#18.199999#23.25#22.5#21.75#21.75#21.75#21.75#20.461538#19.730768#19.730768	typedConcreteMapTypesMightBePopulated.json
2090	7#7#7#7#7#7	0.26562443375587463#0.26562443375587463#0.26562443375587463#0.15021446347236633#0.14287690818309784#0.14287690818309784	0.01843194262832824#0.01843194262832824#0.01843194262832824#0.011050783295510035#0.014549087158277728#0.014549087158277728	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.98#1.98#1.98#1.98#1.98#1.98	0#0#0#0#0#0	6#6#6#6#6#6	52.0#52.0#52.0#54.0#53.0#53.0	110.42845916748047#110.42845916748047#110.42845916748047#110.13446044921875#110.2795181274414#110.2795181274414	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#1121#1121#1121#1311#2755	0#0#0#1#1#0	0#0#0#2#2#0	0#0#0#9#7#0	0#0#0#9#7#0	0#0#0#6#30#0	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#0	4611.0747#4611.0747#4611.0747#4860.0#4529.374#4529.374	256.1708#256.1708#256.1708#270.0#251.6319#251.6319	255.1583#255.1583#255.1583#270.0#262.57242#262.57242	0.085052766#0.085052766#0.085052766#0.09#0.08752414#0.08752414	18.071428#18.071428#18.071428#18.0#17.25#17.25	theProviderShouldReturnTheSameRandomizerRegisteredForTheGivenType.json
2046	6#6#7#7#7#8#8#8	0.13138841092586517#0.19267430901527405#0.11924909800291061#0.11924909800291061#0.11924909800291061#0.23249706625938416#0.2234613448381424#0.2234613448381424	0.014363144552858339#0.055386384840179125#0.014027916313775667#0.014027916313775667#0.014027916313775667#0.0054293265364984845#0.00720665641426072#0.00720665641426072	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	2.0#2.0#1.98#1.98#1.98#1.94#1.94#1.94	0#0#0#0#0#0#0#0	6#6#9#9#9#7#7#7	51.0#44.0#54.0#54.0#54.0#62.0#61.0#61.0	113.13323974609375#114.08087921142578#110.33877563476562#110.33877563476562#110.33877563476562#107.35061645507812#107.48726654052734#107.48726654052734	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#2#2#2	0#301#731#1077#1077#1077#1267#2711	0#2#1#0#0#3#1#0	0#4#1#0#0#5#2#0	0#29#55#0#0#91#7#0	0#29#55#0#0#91#7#0	0#5#10#0#0#11#30#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0	4944.3647#3269.2747#5373.661#5373.661#5373.661#6692.9985#6247.769#6247.769	274.68692#181.62637#298.53674#298.53674#298.53674#371.83325#347.09827#347.09827	245.1751#204.32967#259.59717#259.59717#259.59717#304.2272#296.33685#296.33685	0.08172503#0.06810989#0.08653239#0.08653239#0.08653239#0.10140907#0.09877895#0.09877895	20.166668#16.0#20.699999#20.699999#20.699999#22.0#21.083334#21.083334	customRandomzierForTypesShouldBeUsedToPopulateObjects.json
2090	9#9#9#9#9#9#10#10#10#10#10#10#10	0.01010737381875515#0.00927670020610094#0.010094892233610153#0.009715038351714611#0.009927857667207718#0.009658328257501125#0.006697750650346279#0.006697750650346279#0.006697750650346279#0.005803374573588371#0.006169394589960575#0.005922591779381037#0.005922591779381037	1.727121959617854E-4#3.0239102817621483E-4#2.8822278169103344E-4#2.87037733359579E-4#2.793021391292633E-4#2.8831262887780735E-4#2.711946730078529E-5#2.711946730078529E-5#2.711946730078529E-5#2.7548229961084766E-5#2.711639972607548E-5#3.666785813222636E-5#3.666785813222636E-5	1#1#1#1#1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#1#1#1#1#1	2#2#2#2#2#2#2#2#2#2#2#2#2	2#2#2#2#2#2#2#2#2#2#2#2#2	2.51#2.51#2.51#2.51#2.51#2.51#2.4#2.4#2.4#2.4#2.4#2.4#2.4	1#1#1#1#1#1#1#1#1#1#1#1#1	8#8#8#8#8#8#11#11#11#11#11#11#11	81.0#79.0#79.0#79.0#79.0#79.0#92.0#92.0#92.0#92.0#92.0#91.0#91.0	103.63457489013672#103.8547592163086#103.8547592163086#103.8547592163086#103.8547592163086#103.8547592163086#101.18196105957031#101.18196105957031#101.18196105957031#101.18196105957031#101.18196105957031#101.27983093261719#101.27983093261719	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1	0#58#211#289#345#345#775#1121#1121#1121#1121#1311#2755	0#1#1#2#1#4#1#0#0#2#2#1#0	0#2#2#4#2#8#1#0#0#4#4#2#0	0#17#15#14#6#36#89#0#0#38#12#7#0	0#17#15#14#6#36#89#0#0#38#12#7#0	0#3#1#5#4#9#10#0#0#2#2#30#0	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#1	0#0#0#0#1#0#0#0#0#0#0#0#0	10384.529#9124.499#9124.499#9124.499#9124.499#9124.499#12971.8125#12971.8125#12971.8125#12971.8125#12971.8125#12220.75#12220.75	576.9183#506.91663#506.91663#506.91663#506.91663#506.91663#720.65625#720.65625#720.65625#720.65625#720.65625#678.93054#678.93054	412.0845#395.0#395.0#395.0#395.0#395.0#475.63312#475.63312#475.63312#475.63312#475.63312#466.76474#466.76474	0.1373615#0.13166666#0.13166666#0.13166666#0.13166666#0.13166666#0.15854438#0.15854438#0.15854438#0.15854438#0.15854438#0.15558824#0.15558824	25.199999#23.099998#23.099998#23.099998#23.099998#23.099998#27.272728#27.272728#27.272728#27.272728#27.272728#26.18182#26.18182	whenATypeHasBeenRandomized_thenHasPopulatedBeanShouldReturnTrueOnlyWhenTheObjectPoolIsFilled.json
