Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1869	45#45#45#36	0.0#0.0#0.0#0.0	2.986930656139438E-37#2.9891758660264216E-37#3.011807680571317E-37#4.350821804610067E-43	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	0.82#0.82#0.82#0.92	0#0#0#0	78#78#78#95	470.0#470.0#470.0#498.0	67.22738647460938#67.22738647460938#67.22738647460938#70.37277221679688	0#0#0#0	1#1#1#1	19#19#19#18	0#126#1711#1802	0#1#1#20	0#2#2#49	0#6#12#526	0#6#12#526	0#3#3#19	0#1#0#0	0#1#0#0	0#1#0#0	257858.9#257858.9#257858.9#224913.66	14325.495#14325.495#14325.495#12495.203	3142.6553#3142.6553#3142.6553#3439.6313	1.0475518#1.0475518#1.0475518#1.1465437	82.051285#82.051285#82.051285#65.388885	setupTestForProvisioning.json
48	16#16	0.0#0.0	4.026442203969821E-13#8.553536215924534E-13	0#0	0#0	0#0	1#1	1.56#1.56	0#0	33#33	193.0#190.0	89.43724822998047#89.5443344116211	0#0	0#0	1#1	0#9	0#1	0#2	0#20	0#20	0#32	0#0	0#0	0#0	64360.82#61297.64	3575.601#3405.4246	1100.1849#1077.7607	0.3667283#0.3592536	58.5#56.875	testInitScriptExecutionSuccessfulButMarkerCreationFailure.json
2316	7#7#7#7	8.807769045233727E-4#6.49010413326323E-4#6.753345369361341E-4#6.368719041347504E-4	0.02102284909659619#0.012720565753974311#0.012641484849819822#0.01631967986893252	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.98#1.98#1.98#1.98	0#0#0#0	7#7#7#7	51.0#53.0#53.0#52.0	110.5815200805664#110.32940673828125#110.32940673828125#110.48055267333984	0#0#0#0	0#0#0#0	2#2#2#2	0#2147#2249#2277	0#1#1#1	0#2#2#2	0#23#4#7	0#23#4#7	0#10#19#32	0#0#0#0	0#0#0#0	0#0#0#0	4227.3545#4247.7314#4247.7314#3929.567	234.85303#235.98508#235.98508#218.30927	247.75703#260.0652#260.0652#252.61502	0.08258568#0.08668839#0.08668839#0.08420501	17.0625#16.333334#16.333334#15.555555	unix_publicIpStrategy.json
1497	29#24#24#24#23#23#19#19#19	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	4.740114872843303E-22#1.3300814913495722E-17#7.249631076942957E-18#1.3300814913495722E-17#7.576228393314518E-17#4.270331230961458E-23#5.21570630927888E-25#1.8541187195277282E-25#2.684371366719192E-25	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1.38#1.49#1.49#1.49#1.52#1.52#1.63#1.63#1.63	0#0#0#0#0#0#0#0#0	19#17#17#17#17#19#25#25#25	300.0#248.0#251.0#248.0#236.0#292.0#299.0#303.0#302.0	77.03244018554688#81.24158477783203#81.17906188964844#81.24158477783203#82.17066192626953#80.80937194824219#83.67559814453125#83.59407043457031#83.6236801147461	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	13#10#10#10#9#9#9#9#9	0#37#476#476#819#1329#1430#1437#1458	0#1#1#1#1#1#3#1#1	0#7#2#2#3#2#10#2#2	0#191#8#8#98#415#257#42#7	0#191#8#8#98#415#257#42#7	0#3#1#1#1#1#19#2#32	0#0#0#1#0#0#0#0#0	0#0#0#1#1#0#0#0#0	0#0#0#1#1#0#0#0#0	137994.02#90915.31#93892.945#90915.31#74346.19#98418.445#109230.516#110534.875#107518.016	7666.334#5050.8506#5216.275#5050.8506#4130.3438#5467.6914#6068.362#6140.826#5973.223	1874.3783#1504.3901#1522.5884#1504.3901#1436.6412#1866.5566#1950.545#1981.3651#1970.1157	0.62479275#0.50146335#0.50752944#0.50146335#0.4788804#0.6221855#0.6501817#0.66045505#0.65670526	73.621216#60.433334#61.666664#60.433334#51.75#52.727276#55.999996#55.78723#54.574467	provisionSpotFallsBackToOndemandWhenSpotQuotaExceeded.json
105	6	0.09129897505044937	0.16719208788358766	0	0	0	1	2.0	0	4	39.0	114.91886901855469	0	0	1	0	0	0	0	0	0	0	0	0	2087.014	115.94522	173.91783	0.05797261	12.0	getSecurityProvider.json
48	15#15	0.0#0.0	4.1824030287680115E-11#1.0197273139007234E-10	0#0	0#0	0#0	1#1	1.6#1.6	0#0	28#28	167.0#164.0	91.26081085205078#91.40825653076172	0#0	0#0	1#1	0#9	0#1	0#2	0#20	0#20	0#32	0#0	0#0	0#0	47660.78#43681.04	2647.8213#2426.7244	947.29504#920.81244	0.31576502#0.3069375	50.3125#47.4375	testInitScriptExecutionSuccessful.json
2843	10#11#13#13#14#15	0.004164611920714378#0.0022259631659835577#3.9568496868014336E-4#5.303354701027274E-4#2.075396478176117E-4#2.627198409754783E-4	1.410159117504959E-4#2.1868726110104224E-5#5.7794963592200386E-8#1.1474320178146406E-7#1.8046365003851008E-8#9.253560957070104E-9	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.83#1.78#1.69#1.69#1.64#1.6	0#0#0#0#0#0	15#18#24#24#25#25	86.0#98.0#129.0#126.0#136.0#141.0	101.80369567871094#99.49979400634766#95.05987548828125#95.21217346191406#93.52706146240234#92.19400787353516	0#0#0#0#0#0	0#0#0#0#0#1	1#1#2#2#2#2	0#203#226#787#1383#2804	0#1#2#1#3#3	0#1#2#2#5#5	0#57#146#13#57#39	0#57#146#13#57#39	0#1#2#1#3#32	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	14115.787#17581.256#28339.639#29062.887#33040.637#35077.254	784.2104#976.73645#1574.4243#1614.6049#1835.591#1948.7363	441.11835#510.52646#712.5395#691.9735#759.5549#791.6741	0.14703944#0.1701755#0.23751317#0.23065783#0.25318494#0.26389137	32.0#34.4375#39.772728#42.0#43.5#44.307693	setUp.json
190	7#7	0.2591603100299835#0.24805447459220886	0.04828684023832431#0.06366866947810045	0#0	0#0	0#0	1#1	1.98#1.98	0#0	5#5	48.0#47.0	111.00830841064453#111.17767333984375	0#0	0#0	2#2	0#151	0#1	0#2	0#7	0#7	0#32	0#0	0#0	0#0	3586.5437#3298.0298	199.25243#183.22388	228.2346#220.92067	0.0760782#0.07364022	15.714285#14.928571	testRuntimeException.json
2316	9#8#8#8#8	1.7997492977883667E-4#0.0#0.0#0.0#0.0	9.095430856098974E-4#0.004227160493574636#0.002600232088521162#0.002577437932753186#0.0034707415505012256	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.94#1.94#1.94#1.94	0#0#0#0#0	11#10#10#10#10	72.0#63.0#65.0#65.0#64.0	104.47704315185547#107.26741790771484#107.05500793457031#107.05500793457031#107.1855239868164	0#0#0#0#0	0#0#0#0#0	3#2#2#2#2	0#145#2147#2249#2277	0#1#1#2#1	0#3#2#4#2	0#71#23#8#7	0#71#23#8#7	0#4#10#19#32	0#0#0#0#0	0#1#0#0#0	0#1#0#0#0	8351.579#6800.95#6690.917#6690.917#6228.479	463.97662#377.83057#371.71762#371.71762#346.0266	366.29733#309.1341#322.02277#322.02277#314.041	0.12209911#0.103044696#0.107340924#0.107340924#0.10468033	22.8#22.0#20.777777#20.777777#19.833332	windows_privateDnsStrategy.json
146	7#7#7#7	0.0#0.0#0.0#0.0	1.5091139302457076E-14#1.7027629245147178E-15#1.1557348876198446E-15#1.1440297945152803E-15	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.98#1.98#1.98#1.98	0#0#0#0	8#12#12#13	182.0#191.0#193.0#193.0	102.92864990234375#102.6172866821289#102.56311798095703#102.56311798095703	0#0#0#0	0#0#0#0	2#2#2#2	0#79#86#107	0#4#1#3	0#8#2#6	0#62#7#78	0#62#7#78	0#19#2#32	0#0#0#0	0#0#0#0	0#0#0#0	33886.438#40370.453#41337.09#42846.0	1882.5798#2242.803#2296.505#2380.3333	1079.3942#1146.0#1158.0#1158.0	0.35979804#0.382#0.386#0.386	31.39394#35.227272#35.696968#37.0	provisionOnDemandSetsMetadataDefaultOptionsWithEC2Exception.json
48	40#40	0.0#0.0	4.090550334182889E-40#2.7997701434083523E-39	0#0	0#0	0#0	1#1	0.87#0.87	0#0	117#115	499.0#489.0	68.91564178466797#69.00896453857422	0#0	0#0	2#2	0#9	0#3	0#6	0#33	0#33	0#32	0#0	0#0	0#0	227640.98#227657.31	12646.722#12647.629	3278.358#3220.0466	1.092786#1.0733489	69.4375#70.700005	defineBehaviourCommon.json
