Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
146	10	0.013768775388598442	1.2890752477320662E-4	0	0	0	1	1.83	0	10	85.0	101.82347106933594	0	0	5	0	0	0	0	0	0	0	0	0	8940.987	496.72153	439.44363	0.14648122	20.346153	updateOwnerMailAndTel_fail.json
146	6	0.18769985437393188	0.06005657674782514	0	0	0	1	2.0	0	6	44.0	114.08087921142578	0	0	1	0	0	0	0	0	0	0	0	0	2171.0027	120.61126	204.32967	0.06810989	10.625	signUp_fail2.json
146	9	0.0028641154058277607	7.658283093105782E-4	0	0	0	1	1.89	0	9	75.0	104.35494995117188	0	0	4	0	0	0	0	0	0	0	0	0	7159.0913	397.7273	375.0	0.125	19.09091	updateOwnerPassword_fail2.json
146	11	0.0016462970525026321	4.808529342987384E-5	0	0	0	1	1.78	0	13	94.0	99.7971420288086	0	0	5	0	0	0	0	0	0	0	0	0	13675.601	759.7556	482.1526	0.16071753	28.363636	updateOwnerMailAndTel_success.json
146	10	0.002341447165235877	1.8632729121348908E-4	0	0	0	1	1.83	0	12	84.0	101.96862030029297	0	0	4	0	0	0	0	0	0	0	0	0	9401.632	522.31287	427.3469	0.14244896	22.0	updateOwnerPassword_success.json
146	10	0.0019525601528584957	7.992957398243562E-5	0	0	0	1	1.83	0	12	88.0	101.68415069580078	0	0	4	0	0	0	0	0	0	0	0	0	8784.488	488.02713	451.3769	0.15045896	19.461538	updateOwnerPassword_fail3.json
146	9	0.01971271075308323	0.0011311699911318522	0	0	0	1	1.89	0	7	71.0	104.54977416992188	0	0	4	0	0	0	0	0	0	0	0	0	5676.155	315.34192	361.20987	0.12040329	15.714285	updateOwnerPassword_fail.json
142	7#7	0.20613151788711548#0.20613151788711548	0.039748107612531794#0.039748107612531794	0#0	0#0	0#0	1#1	1.98#1.98	0#0	6#6	48.0#48.0	111.00830841064453#111.00830841064453	0#0	0#0	1#1	0#16	0#0	0#0	0#0	0#0	0#3	0#0	0#0	0#0	2738.8152#2738.8152	152.1564#152.1564	228.2346#228.2346	0.0760782#0.0760782	12.0#12.0	addShopFailBeacauseMenuDoesNotExist.json
146	9	0.06434077024459839	0.014819626212272547	0	0	0	1	1.89	0	12	62.0	105.66605377197266	0	0	2	0	0	0	0	0	0	0	0	0	4350.593	241.6996	291.42728	0.09714243	14.928571	isDuplicatedId_success.json
142	6	0.3230305314064026	0.3169544288044165	0	0	0	1	2.0	0	5	34.0	115.63230895996094	0	0	1	0	0	0	0	0	0	0	0	0	1617.2874	89.8493	151.62068	0.050540227	10.666667	addShopSuccess.json
142	7#7	0.20357029139995575#0.20357029139995575	0.04244193718453018#0.04244193718453018	0#0	0#0	0#0	1#1	1.98#1.98	0#0	6#6	48.0#48.0	111.00830841064453#111.00830841064453	0#0	0#0	1#1	0#16	0#0	0#0	0#0	0#0	0#3	0#0	0#0	0#0	2521.9922#2521.9922	140.11067#140.11067	228.2346#228.2346	0.0760782#0.0760782	11.049999#11.049999	addShopFailBeacauseAddressDoesNotExist.json
146	11	0.0013546687550842762	1.0822391798275212E-5	0	0	0	1	1.78	0	13	101.0	99.34300231933594	0	0	5	0	0	0	0	0	0	0	0	0	13599.078	755.50433	526.1548	0.17538492	25.846155	updateOwnerMailAndTel_fail2.json
142	7#7	0.21392598748207092#0.21392598748207092	0.04032128284273166#0.04032128284273166	0#0	0#0	0#0	1#1	1.98#1.98	0#0	6#6	48.0#48.0	111.00830841064453#111.00830841064453	0#0	0#0	1#1	0#16	0#0	0#0	0#0	0#0	0#3	0#0	0#0	0#0	2521.9922#2521.9922	140.11067#140.11067	228.2346#228.2346	0.0760782#0.0760782	11.049999#11.049999	addShopFailBeacauseOwnerDoesNotExist.json
153	6#7	0.002482057549059391#0.04807732626795769	3.238096778635803E-4#0.04966005606517747	0#0	0#0	0#0	1#1	2.0#1.98	0#0	12#9	68.0#49.0	111.43297576904297#111.02395629882812	0#0	0#0	1#1	0#7	0#2	0#3	0#138	0#138	0#12	0#0	0#0	0#0	8688.89#3218.1921	482.7161#178.78845	340.0#227.54895	0.11333334#0.07584965	25.555557#14.142857	signUp_success.json
146	10	0.0035486421547830105	1.244567693622898E-4	0	0	0	1	1.83	0	16	88.0	101.81689453125	0	0	3	0	0	0	0	0	0	0	0	0	14520.0	806.6667	440.0	0.14666666	33.0	getOwner_success.json
153	6#7	0.002179680624976754#0.0414089672267437	8.10140119437844E-5#0.014831960500638734	0#0	0#0	0#0	1#1	2.0#1.98	0#0	12#9	75.0#56.0	110.83330535888672#110.26661682128906	0#0	0#0	1#1	0#7	0#2	0#3	0#124	0#124	0#12	0#0	0#0	0#0	8775.874#3849.6604	487.54855#213.87003	381.55972#263.22464	0.12718658#0.08774155	23.0#14.625	signUp_fail.json
