Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1294	27#27#27#27#27	0.0#0.0#0.0#0.0#0.0	6.071937922270805E-23#9.355127106455688E-23#4.9750106341809606E-23#9.355127106455688E-23#4.97698270653475E-23	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.42#1.42#1.42#1.42#1.42	0#0#0#0#0	47#47#47#47#47	317.0#316.0#318.0#316.0#318.0	78.05703735351562#78.09210205078125#78.04066467285156#78.09210205078125#78.04066467285156	0#0#0#0#0	0#0#0#0#0	4#4#4#4#4	0#625#948#948#962	0#1#1#1#1	0#2#2#2#2	0#7#24#24#24	0#7#24#24#24	0#135#32#32#32	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	210130.4#204277.56#198596.83#204277.56#198596.83	11673.911#11348.754#11033.157#11348.754#11033.157	1922.9503#1910.0286#1929.0164#1910.0286#1929.0164	0.64098346#0.6366762#0.64300543#0.6366762#0.64300543	109.275#106.950005#102.952385#106.950005#102.952385	testChangeOwnerStaging.json
1553	39#39#39#39#39#39	0.0#0.0#0.0#0.0#0.0#0.0	1.0123675242122368E-29#1.0136945293884208E-29#2.2149909270595263E-29#5.9867316266805746E-30#2.2149909270595263E-29#5.9953126632215095E-30	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	1.57#1.57#1.57#1.57#1.57#1.57	1#1#1#1#1#1	51#51#51#51#51#51	384.0#384.0#383.0#389.0#383.0#389.0	70.42262268066406#70.42262268066406#70.47156524658203#70.39073181152344#70.47156524658203#70.39073181152344	0#0#0#0#0#0	0#0#0#0#0#0	10#10#10#10#10#10	0#0#884#1207#1207#1221	0#1#2#3#3#3	0#2#4#6#6#6	0#15#29#89#89#89	0#15#29#89#89#89	0#27#135#32#32#32	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	242320.64#242320.64#239266.23#236582.38#239266.23#236582.38	13462.258#13462.258#13292.568#13143.465#13292.568#13143.465	2540.0486#2540.0486#2516.2546#2555.6738#2516.2546#2555.6738	0.84668285#0.84668285#0.83875155#0.8518913#0.83875155#0.8518913	95.4#95.4#95.08824#92.57143#95.08824#92.57143	testDeleteLatestSchemaVersionStagedSchemaDeleteSub_negative.json
1224	42#42	0.0#0.0	6.1099397329466145E-46#7.476447438800852E-46	0#0	0#0	0#0	2#2	1.5#1.5	1#1	94#94	603.0#602.0	67.25444793701172#67.26307678222656	0#0	0#0	18#18	0#555	0#16	0#32	0#326	0#326	0#135	0#0	0#0	0#0	443905.0#399523.44	24661.389#22195.746	3708.2974#3702.1477	1.2360991#1.2340492	119.70588#107.916664	createBackUp_success.json
1615	11#11	0.02896224893629551#0.02862890623509884	6.963546580339735E-6#9.489075858110278E-6	0#0	0#0	0#0	1#1	1.78#1.78	0#0	15#15	106.0#105.0	99.17239379882812#99.26425170898438	0#0	0#0	2#2	0#946	0#2	0#4	0#8	0#8	0#135	0#0	0#0	0#0	16990.75#16025.508	943.93054#890.30597	543.704#534.1836	0.18123466#0.1780612	31.25#30.0	buildMocks.json
1615	18#19#15#15#15	7.804607739672065E-4#0.0#0.001197595614939928#0.001197595614939928#0.001165284775197506	1.4583100355043576E-11#9.602880916096657E-18#1.1489715429572894E-9#1.1585461794932204E-9#1.5868393747852597E-9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.49#1.46#1.6#1.6#1.6	0#0#0#0#0	22#34#18#18#18	171.0#232.0#146.0#146.0#145.0	87.91190338134766#85.1882553100586#91.8373794555664#91.8373794555664#91.89644622802734	0#0#0#0#0	0#0#0#0#0	7#5#4#4#4	0#321#481#887#946	0#6#2#1#1	0#11#8#2#2	0#376#590#1#7	0#376#590#1#7	0#47#27#4#135	0#1#0#0#0	0#1#0#0#0	0#1#0#0#0	52074.066#96242.086#39875.008#39875.008#38413.734	2893.0037#5346.7827#2215.2783#2215.2783#2134.0964	1022.1149#1458.2134#847.87384#847.87384#838.2972	0.34070498#0.48607114#0.2826246#0.2826246#0.2794324	50.94737#66.0#47.02941#47.02941#45.82353	testNoWriteAclsForInternalTopics.json
1615	9#9#9	0.0010847795056179166#0.0010847795056179166#0.001036434550769627	4.960456645573819E-6#4.960456645573819E-6#6.6818739579604945E-6	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	14#14#14	94.0#94.0#93.0	102.60542297363281#102.60542297363281#102.68939971923828	0#0#0	0#0#0	2#2#2	0#321#946	0#0#1	0#0#2	0#0#7	0#0#7	0#47#135	0#1#0	0#1#0	0#1#0	12074.688#12074.688#11509.977	670.81604#670.81604#639.4431	524.98645#524.98645#516.5768	0.17499548#0.17499548#0.17219226	23.0#23.0#22.28125	testSendNotification_oneMonth_success.json
1615	20#20	3.863197343889624E-4#3.988296666648239E-4	4.400506499916418E-12#6.0359223519240376E-12	0#0	0#0	0#0	2#2	2.36#2.36	1#1	24#24	178.0#177.0	85.67146301269531#85.71904754638672	0#0	0#0	5#5	0#946	0#2	0#4	0#29	0#29	0#135	0#0	0#0	0#0	61113.254#59294.957	3395.1807#3294.1643	1083.5684#1073.6978	0.36118945#0.35789925	56.399998#55.225	testApiTopicWithoutSchema_fail.json
1615	31#31#31#31#31#31	0.0#0.0#0.0#0.0#0.0#0.0	2.9325886665581693E-22#2.9311662145061445E-22#4.375988154959724E-22#1.8912222632090812E-22#4.375988154959724E-22#1.8913973452971183E-22	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	1.76#1.76#1.76#1.76#1.76#1.76	1#1#1#1#1#1	42#42#42#42#42#42	307.0#307.0#306.0#310.0#306.0#310.0	75.58642578125#75.58642578125#75.61906433105469#75.55152893066406#75.61906433105469#75.55152893066406	0#0#0#0#0#0	0#0#0#0#0#0	6#6#6#6#6#6	0#62#946#1269#1269#1283	0#1#1#2#2#2	0#2#2#4#4#4	0#15#7#65#65#65	0#15#7#65#65#65	0#27#135#32#32#32	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	125085.78#125085.78#121658.39#118085.836#121658.39#118085.836	6949.21#6949.21#6758.7993#6560.324#6758.7993#6560.324	1923.9034#1923.9034#1911.8658#1936.8575#1911.8658#1936.8575	0.64130116#0.64130116#0.63728863#0.64561915#0.63728863#0.64561915	65.01666#65.01666#63.63333#60.967743#63.63333#60.967743	testDeprecateTopic_noSuchTopic.json
1134	13#13	0.0#0.0	7.63548888804077E-10#1.0750654337909917E-9	0#0	0#0	0#0	1#1	1.69#1.69	0#0	25#25	150.0#149.0	94.16356658935547#94.22527313232422	0#0	0#0	3#3	0#465	0#1	0#2	0#7	0#7	0#135	0#0	0#0	0#0	35979.582#34509.41	1998.8657#1917.1895	846.5784#836.5918	0.2821928#0.27886394	42.5#41.25	testGetDeveloperAuthenticationForCurrentUser_wrongUserName.json
1294	12#12	0.0010956129990518093#9.625397506169975E-4	3.1123904208358976E-7#4.0213480346477785E-7	0#0	0#0	0#0	1#1	1.89#1.89	0#0	24#24	119.0#118.0	96.83687591552734#96.91244506835938	0#0	0#0	1#1	0#625	0#4	0#8	0#73	0#73	0#135	0#0	0#0	0#0	26311.73#25146.299	1461.7628#1397.0166	649.67236#640.29926	0.21655746#0.21343309	40.5#39.272728	importBackupWithoutClearingExistingRepos.json
