Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3023	8	0.00402383366599679	0.0022313750973210577	0	0	0	1	1.73	0	10	69.0	106.84645080566406	0	0	2	0	0	0	0	0	0	0	0	0	6331.5693	351.75385	335.2007	0.11173357	18.88889	testRemove_noneRemaining.json
3023	5#5	0.043519966304302216#0.04158500209450722	0.03143937493064797#0.03966114104706988	0#0	0#0	0#0	1#1	1.96#1.96	0#0	5#5	41.0#40.0	117.16728973388672#117.35016632080078	0#0	0#0	1#1	0#2945	0#1	0#2	0#6	0#6	0#7	0#0	0#1	0#1	2503.9424#2307.5305	139.10791#128.19614	199.17723#192.29419	0.06639241#0.06409806	12.571429#12.000001	testAdd_zero.json
3023	4	0.0	0.0015061568964432023	0	0	0	1	2.0	0	9	61.0	118.8876724243164	0	0	0	0	0	0	0	0	0	0	0	0	5145.154	285.8419	286.72684	0.095575616	17.944445	testGetAll.json
3023	4	0.006930607371032238	0.06588387811847621	0	0	0	1	2.0	0	5	39.0	121.41315460205078	0	0	0	0	0	0	0	0	0	0	0	0	2217.8376	123.2132	176.41891	0.058806304	12.571428	testGet.json
3023	4	0.005684151314198971	0.10882116111529844	0	0	0	1	2.0	0	5	37.0	121.84000396728516	0	0	0	0	0	0	0	0	0	0	0	0	1787.6732	99.31518	162.51575	0.054171916	11.0	testGetUnchecked.json
3023	4	0.1138877272605896	0.47340805933739677	0	0	0	1	2.0	0	5	27.0	123.85247039794922	0	0	0	0	0	0	0	0	0	0	0	0	717.34973	39.852764	110.361496	0.036787163	6.5	testAsMap.json
3023	4	0.007119240239262581	0.1947437728241905	0	0	0	1	2.0	0	5	32.0	122.5160903930664	0	0	0	0	0	0	0	0	0	0	0	0	1331.8835	73.99353	142.70181	0.04756727	9.333333	testSetCount_0_nonePresent.json
3023	8	0.0034846924245357513	0.001949221500769693	0	0	0	1	1.73	0	10	69.0	106.79436492919922	0	0	2	0	0	0	0	0	0	0	0	0	6715.079	373.05994	338.57544	0.11285848	19.833332	testSetCount_asRemove.json
3023	9#9#10	0.18771550059318542#0.18281814455986023#0.15833362936973572	0.0027555778269998965#0.0027661622155748275#0.0030060186424825464	0#0#0	0#0#0	0#0#0	1#1#1	1.66#1.66#1.83	0#0#0	9#9#9	69.0#69.0#70.0	104.83638763427734#104.83638763427734#103.00686645507812	0#0#0	0#0#0	4#4#4	0#182#1756	0#1#1	0#2#1	0#1#21	0#1#21	0#3#8	0#1#0	0#1#0	0#1#0	7618.1387#7618.1387#8124.9995	423.22992#423.22992#451.38885	341.83957#341.83957#350.0	0.11394652#0.11394652#0.11666667	22.285713#22.285713#23.214285	testGetExitingExecutorService_shutdownHookRegistered.json
3023	8#9	0.001411172328516841#0.0021370083559304476	3.1193166454121583E-4#3.394499247813271E-4	0#0	0#0	0#0	1#1	1.73#1.89	0#0	14#14	76.0#77.0	106.148193359375#104.12792205810547	0#0	0#0	1#1	0#1756	0#1	0#1	0#21	0#21	0#8	0#0	0#0	0#0	8689.809#9249.29	482.76715#513.8494	383.37393#391.73465	0.12779132#0.13057822	22.666666#23.61111	testShutdownAndAwaitTermination_nonTerminationInternal.json
3023	8	0.03606737032532692	0.010532978611808857	0	0	0	1	1.73	0	7	60.0	107.5732192993164	0	0	3	0	0	0	0	0	0	0	0	0	4857.981	269.88782	291.47888	0.097159624	16.666666	testSetCount_basic.json
3023	14#14#14	0.0#0.0#0.0	3.028448599508545E-11#3.028448599508545E-11#3.028448599508545E-11	0#0#0	0#0#0	0#0#0	1#1#1	1.4#1.4#1.4	0#0#0	40#40#40	184.0#184.0#184.0	92.35674285888672#92.35674285888672#92.35674285888672	0#0#0	0#0#0	2#2#2	0#35#228	0#1#0	0#2#0	0#8#0	0#8#0	0#1#2	0#1#0	0#1#1	0#1#1	28611.162#28611.162#28611.162	1589.509#1589.509#1589.509	951.26624#951.26624#951.26624	0.31708875#0.31708875#0.31708875	30.076923#30.076923#30.076923	testAdd_withFailures.json
3023	8#9	0.003086565062403679#0.004191329702734947	8.013056135321606E-4#8.70543143914221E-4	0#0	0#0	0#0	1#1	1.73#1.89	0#0	13#13	72.0#73.0	106.52316284179688#104.49549865722656	0#0	0#0	1#1	0#1756	0#1	0#1	0#21	0#21	0#8	0#0	0#0	0#0	8204.149#8760.0	455.78607#486.66666	356.70215#365.0	0.11890072#0.12166667	23.0#24.0	testShutdownAndAwaitTermination_immediateShutdownInternal.json
3023	4	0.09259937703609467	0.5263744451372868	0	0	0	1	2.0	0	5	27.0	123.85247039794922	0	0	0	0	0	0	0	0	0	0	0	0	717.34973	39.852764	110.361496	0.036787163	6.5	testStats.json
3023	9#10	2.308841358171776E-4#3.6355850170366466E-4	6.142794043654395E-5#6.59032108070691E-5	0#0	0#0	0#0	1#1	1.66#1.83	0#0	17#17	87.0#88.0	103.4504165649414#101.64310455322266	0#0	0#0	1#1	0#1756	0#1	0#1	0#21	0#21	0#8	0#0	0#0	0#0	10598.381#11237.35	588.79895#624.2972	446.24762#454.95343	0.1487492#0.15165114	23.75#24.699999	testShutdownAndAwaitTermination_forcedShutDownInternal.json
3023	11#11	0.1846522092819214#0.2415006011724472	0.022251810224158765#0.03981474051099897	0#0	0#0	0#0	2#2	2.95#2.95	1#1	5#4	59.0#56.0	102.07585906982422#102.3931884765625	0#0	1#1	2#2	0#1615	0#1	0#2	0#6	0#6	0#2	0#0	0#0	0#0	6349.2104#5724.4443	352.73392#318.0247	297.61923#280.0	0.09920641#0.093333334	21.333334#20.444445	apply.json
3023	6#6	0.0070305876433849335#0.006759568117558956	0.0035180798608520397#0.0044641620790025075	0#0	0#0	0#0	1#1	1.89#1.89	0#0	10#10	57.0#56.0	112.39840698242188#112.54033660888672	0#0	0#0	1#1	0#2945	0#1	0#2	0#6	0#6	0#7	0#0	0#1	0#1	4141.708#3847.002	230.0949#213.72234	282.3892#274.78586	0.094129734#0.091595285	14.666667#14.0	testAdd_firstFewWithSuccess.json
3023	8	0.034119896590709686	0.005232547726482183	0	0	0	1	1.73	0	7	64.0	107.1855239868164	0	0	3	0	0	0	0	0	0	0	0	0	6228.479	346.0266	314.041	0.10468033	19.833332	testRemove_someRemaining.json
3023	4	0.011553682386875153	0.17501258136572123	0	0	0	1	2.0	0	5	32.0	122.5160903930664	0	0	0	0	0	0	0	0	0	0	0	0	1331.8835	73.99353	142.70181	0.04756727	9.333333	testRemove_zeroFromNone.json
3023	8	0.011755303479731083	0.003816524927789004	0	0	0	1	1.73	0	7	61.0	107.38528442382812	0	0	3	0	0	0	0	0	0	0	0	0	5540.443	307.80237	302.206	0.10073533	18.333332	testAdd_laterFewWithSuccess.json
3023	4	0.011821877211332321	0.17625521940851857	0	0	0	1	2.0	0	5	32.0	122.44184875488281	0	0	0	0	0	0	0	0	0	0	0	0	1158.0319	64.335106	144.75398	0.048251327	8.0	testRemove_nonePresent.json
