Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2681	6	0.055089227855205536	0.07583377343134003	0	0	0	1	1.89	0	7	48.0	113.69478607177734	0	2	1	0	0	0	0	0	0	0	0	0	4181.4854	232.30475	220.07819	0.07335939	19.0	getContainer.json
970	69#69#70	0.0#0.0#0.0	2.21766931262118E-39#2.2130868219105077E-39#7.08540125823521E-38	3#3#3	4#4#4	7#7#7	6#6#6	5.11#5.11#5.18	3#3#3	56#56#56	508.0#508.0#495.0	58.430240631103516#58.430240631103516#58.33194351196289	0#0#0	0#0#0	14#14#14	0#595#812	0#1#10	0#2#19	0#1#108	0#1#108	0#2#22	0#0#0	0#1#0	0#1#0	433489.28#433489.28#411690.2	24082.738#24082.738#22871.678	3611.1304#3611.1304#3518.7195	1.2037101#1.2037101#1.1729065	120.04255#120.04255#117.0	testSlowConnection.json
4018	24#26#28	0.0#0.0#0.0	7.806568640719773E-10#1.6627391780046368E-10#2.3054519221606324E-11	1#1#1	1#1#1	2#2#2	4#4#4	4.47#4.73#4.72	3#3#3	9#12#13	166.0#177.0#188.0	82.82060241699219#81.14703369140625#79.5516357421875	0#0#0	0#0#1	8#9#9	0#3840#3905	0#6#4	0#10#6	0#204#98	0#204#98	0#41#26	0#0#0	0#0#0	0#0#0	42494.97#55274.973#65762.41	2360.8315#3070.8318#3653.467	972.42487#1045.5197#1128.0	0.32414162#0.34850654#0.376	43.7#52.86842#58.300003	testCreateDelegationToken.json
1057	7	0.07397521287202835	0.008107761929323271	0	0	0	1	1.98	0	7	54.0	110.08849334716797	0	0	2	0	0	0	0	0	0	0	0	0	4072.3394	226.24107	272.39728	0.09079909	14.95	testRequestShortName.json
2849	23	1.1506620649015531E-4	1.590602931659976E-11	0	0	0	3	2.54	1	25	184.0	83.20474243164062	0	0	3	0	0	0	0	0	0	0	0	0	46078.88	2559.9377	1077.8685	0.3592895	42.75	testStartReconfiguration.json
2769	7#7	0.0016567156417295337#3.8671476067975163E-4	2.7518176845424707E-5#1.2220642722739923E-5	0#0	0#0	0#0	1#1	1.98#1.98	0#0	12#12	87.0#91.0	107.56427764892578#107.2879638671875	0#0	0#0	1#1	0#0	0#2	0#4	0#12	0#12	0#2	0#0	0#0	0#0	9350.121#10113.235	519.4512#561.84644	442.60928#466.76474	0.14753643#0.15558824	21.125#21.666666	readFailure.json
2101	8#9	0.0565243735909462#0.05506585165858269	0.0034249293974360807#8.738871638715939E-4	0#0	0#0	0#0	1#1	1.94#3.27	0#1	7#9	61.0#70.0	107.24725341796875#104.50032043457031	0#0	0#0	0#1	0#1988	0#6	0#11	0#172	0#172	0#31	0#0	0#0	0#0	4551.5835#6464.458	252.86575#359.13657	310.33524#364.66174	0.103445075#0.12155391	14.666667#17.727272	testReservationSystemNotSupported.json
2861	8#11#12	0.18257753551006317#0.09285686165094376#0.07439954578876495	0.006866465461126394#6.444238808991048E-4#8.867213922319234E-5	0#0#0	0#0#0	0#0#0	1#1#1	1.94#1.78#2.56	0#0#1	6#8#10	61.0#76.0#87.0	107.43517303466797#100.82181549072266#98.52992248535156	0#0#0	0#0#0	2#2#3	0#84#2770	0#6#5	0#9#9	0#254#220	0#254#220	0#1#1	0#0#0	0#1#0	0#1#0	5238.1055#7835.8867#11141.875	291.00586#435.32703#618.99304	299.3203#395.91846#469.1316	0.09977344#0.13197282#0.1563772	17.5#19.791668#23.75	testUnbufferException.json
5039	43#43#43#43#43#43#43#43#42#42#42#42#42#42	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	3.6823702388258864E-33#1.548075805428349E-33#5.242755943697182E-34#3.380811715551828E-34#1.7478247997426257E-34#1.7478247997426257E-34#4.7077096541424033E-35#3.836303034187062E-35#1.256574700263843E-33#1.6223013934086433E-35#8.350180176443218E-36#8.367609927632527E-36#8.350180176443218E-36#4.7660634568982346E-35	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2#2#2#2#2	1.21#1.21#1.21#1.21#1.21#1.21#1.21#1.21#1.22#1.22#1.22#1.22#1.22#1.22	1#1#1#1#1#1#1#1#1#1#1#1#1#1	46#46#46#46#46#46#46#47#45#48#48#48#48#47	426.0#429.0#433.0#435.0#438.0#438.0#443.0#443.0#430.0#448.0#450.0#450.0#450.0#444.0	68.28963470458984#68.24178314208984#68.18229675292969#68.15833282470703#68.12259674072266#68.12259674072266#68.05248260498047#68.0415267944336#68.63372802734375#68.39762878417969#68.36324310302734#68.36324310302734#68.36324310302734#68.45562744140625	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	17#17#17#17#17#17#17#17#16#16#16#16#16#16	0#1#33#76#349#995#1472#1573#2011#2416#2990#4137#4164#4880	0#1#1#1#1#0#1#1#7#3#1#2#2#2	0#2#2#2#2#0#2#2#15#6#2#4#4#4	0#11#9#7#4#0#19#16#198#87#31#103#103#120	0#11#9#7#4#0#19#16#198#87#31#103#103#120	0#4#5#7#9#2#6#24#20#17#30#63#63#63	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#1#1#0#0#0#0#0#0#1#1#0	0#0#0#1#1#0#1#0#0#0#0#1#1#0	321242.03#320302.47#320241.22#324121.3#331191.53#331191.53#341015.72#335403.06#305390.7#330538.3#326697.66#326697.66#326697.66#319249.4	17846.78#17794.582#17791.18#18006.74#18399.53#18399.53#18945.318#18633.504#16966.148#18363.24#18149.87#18149.87#18149.87#17736.078	2824.1057#2850.2144#2883.0056#2896.322#2916.2966#2916.2966#2955.8843#2962.1196#2844.3252#2976.4475#2996.1953#2996.1953#2996.1953#2943.4343	0.9413686#0.95007145#0.9610019#0.9654407#0.9720989#0.9720989#0.98529476#0.98737323#0.9481084#0.9921492#0.9987318#0.9987318#0.9987318#0.9811448	113.75#112.37838#111.07894#111.9079#113.56579#113.56579#115.36842#113.23077#107.368416#111.05128#109.0375#109.0375#109.0375#108.46154	testMapReduceScheduling.json
719	11	0.0010738993296399713	9.962421991402817E-7	0	0	0	1	1.78	0	17	110.0	98.65540313720703	0	0	1	0	0	0	0	0	0	0	0	0	16729.258	929.4032	600.5375	0.20017916	27.857141	testWriteCache.json
