Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1570	11#16	0.0060010552406311035#0.0	8.264510175355055E-5#5.017778939392788E-8	0#0	0#0	0#0	1#1	1.78#1.56	0#0	19#28	92.0#145.0	99.9957504272461#91.43218231201172	0#0	0#0	0#0	0#1068	0#7	0#9	0#359	0#359	0#10	0#0	0#1	0#1	11741.332#27188.838	652.2962#1510.491	464.08426#749.63916	0.15469475#0.24987972	25.300001#36.269234	shouldFetchNewTokenIfExpired.json
502	9	2.0593828230630606E-4	6.411494174167994E-7	0	0	0	1	1.89	0	14	108.0	102.13433074951172	0	0	2	0	0	0	0	0	0	0	0	0	20814.822	1156.379	574.76825	0.19158942	36.214287	testGeneratePolicies.json
2923	15#14#14#15	0.0#8.564107702113688E-4#9.077391005121171E-4#0.0	1.5503155194517814E-10#6.792024500851882E-9#6.837662441551232E-9#1.3285096891400105E-10	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.6#1.64#1.64#1.6	0#0#0#0	31#25#25#29	166.0#145.0#145.0#167.0	91.46026611328125#93.31206512451172#93.31206512451172#91.39910125732422	0#0#0#0	0#0#0#0	6#7#7#7	0#1#18#867	0#9#1#4	0#19#2#7	0#547#10#94	0#547#10#94	0#2#2#4	0#0#0#0	0#0#0#0	0#0#0#0	35904.895#34435.367#34435.367#45737.4	1994.7163#1913.0759#1913.0759#2540.9666	911.64764#791.6176#791.6176#922.4349	0.30388254#0.26387253#0.26387253#0.30747828	39.384617#43.5#43.5#49.583336	resolverShouldCorrectlyMerge.json
1570	12#16	0.052284859120845795#0.0025576718617230654	8.143028038446801E-5#2.8565641084248832E-8	0#0	0#0	0#0	1#1	1.73#1.56	0#0	14#23	94.0#142.0	98.38755798339844#91.28925323486328	0#0	0#0	0#0	0#1068	0#4	0#4	0#254	0#254	0#10	0#0	0#1	0#1	7232.289#18193.06	401.79382#1010.7256	482.1526#770.5296	0.16071753#0.2568432	15.0#23.61111	setup.json
1570	10#10	0.008731050416827202#0.0029795935843139887	1.6919042496188575E-4#7.67029894410383E-5	0#0	0#0	0#0	1#1	1.83#1.83	0#0	16#16	86.0#90.0	101.93643951416016#101.65406799316406	0#0	0#0	0#0	0#1068	0#2	0#4	0#12	0#12	0#10	0#0	0#1	0#1	13545.0#13922.527	752.5#773.47375	430.0#453.99545	0.14333333#0.15133181	31.5#30.666668	shouldExpireTokenImmediatelyIfExceptionFetchingTTL.json
2007	9#8	0.027278175577521324#0.022168051451444626	0.006883116892558851#0.006495554537847132	0#0	0#0	0#0	1#1	1.89#1.73	0#0	11#11	67.0#66.0	105.14579772949219#107.18914031982422	0#0	0#0	2#2	0#522	0#0	0#1	0#9	0#9	0#1	0#0	0#1	0#1	6495.538#6041.0845	360.86322#335.6158	322.09277#313.82257	0.10736426#0.10460752	20.166668#19.25	getNotFoundResponse.json
2007	21#21#26#26	3.194207965862006E-4#2.9720511520281434E-4#0.0#0.0	5.839194554694941E-13#5.91188828956447E-13#2.6833331177513236E-18#7.647786523702526E-18	0#0#0#0	0#0#0#0	0#0#0#0	2#2#2#2	2.14#2.14#1.92#1.92	1#1#1#1	19#19#32#32	189.0#189.0#251.0#246.0	84.5512924194336#84.5512924194336#79.43755340576172#79.54218292236328	0#0#0#0	0#0#0#0	7#7#9#9	0#1#1499#2007	0#1#7#1	0#2#9#2	0#14#315#21	0#14#315#21	0#1#3#1	0#0#0#0	0#0#0#0	0#0#0#0	52830.426#56282.418#98721.87#96755.3	2935.0237#3126.801#5484.5483#5375.2944	1154.5111#1154.5111#1586.804#1555.1943	0.38483703#0.38483703#0.52893466#0.5183981	45.76#48.75#62.214283#62.214283	testWithNonExistingPath.json
1570	8#11	0.07056733220815659#0.0033568167127668858	0.00816907144881477#3.089147767881762E-5	0#0	0#0	0#0	1#1	1.94#1.78	0#0	11#18	59.0#98.0	107.6085205078125#99.66722106933594	0#0	0#0	0#0	0#1068	0#7	0#11	0#279	0#279	0#10	0#0	0#1	0#1	4390.8486#11679.033	243.93604#648.8352	289.50653#494.35062	0.09650218#0.16478354	15.166666#23.625	shouldFetchNewTokenForDifferentPolicies.json
502	9	2.287230163346976E-4	6.1505410631795E-7	0	0	0	1	1.89	0	14	108.0	102.13433074951172	0	0	2	0	0	0	0	0	0	0	0	0	20814.822	1156.379	574.76825	0.19158942	36.214287	testGeneratePoliciesWithFolder.json
1873	35#35#32	0.0#0.0#0.0	1.8417748059760876E-30#1.4465961770407136E-30#3.841800378432919E-30	0#0#0	0#0#0	0#0#0	1#1#1	4.21#4.21#2.62	1#1#1	49#50#50	387.0#389.0#379.0	72.37686157226562#72.36184692382812#73.98528289794922	0#0#0	0#0#0	12#12#12	0#12#797	0#1#23	0#2#50	0#20#184	0#20#184	0#2#3	0#0#0	0#1#0	0#1#0	279149.1#287954.84#255062.64	15508.283#15997.491#14170.146	2554.1663#2561.5503#2478.3413	0.85138875#0.8538501#0.82611376	109.291664#112.41428#102.91667	shouldRetrieveCorrectCredentialsFromVaultWithCustomKeys.json
2923	15#14#14#15	1.4352714060805738E-4#0.0016310845967382193#0.001736715086735785#5.949561018496752E-4	2.70688083729356E-10#1.197817781216418E-8#1.2074130019489389E-8#1.2087227260776989E-9	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.6#1.64#1.64#1.6	0#0#0#0	29#23#23#27	161.0#141.0#141.0#155.0	91.56023406982422#93.4267349243164#93.4267349243164#91.78685760498047	0#0#0#0	0#0#0#0	6#7#7#7	0#1#18#867	0#9#1#1	0#19#2#1	0#520#10#76	0#520#10#76	0#2#2#4	0#0#0#0	0#0#0#0	0#0#0#0	30525.06#30877.26#30877.26#37599.344	1695.8367#1715.4033#1715.4033#2088.8525	894.2888#774.3513#774.3513#856.1521	0.29809627#0.2581171#0.2581171#0.28538403	34.133335#39.875#39.875#43.916664	resolverShouldHandleAbsentConfigurationOnFolders.json
2923	7#9#9#9#12	0.07541017979383469#0.04049579054117203#0.01802392303943634#0.017431698739528656#0.0022202630061656237	0.01029460544013805#5.442046928603755E-4#3.4055335082189704E-4#2.239988585727545E-4#1.7359443603192066E-6	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.81#1.66#1.66#1.66#1.49	0#0#0#0#0	5#9#9#9#16	57.0#77.0#79.0#81.0#112.0	109.95105743408203#104.12792205810547#103.95201110839844#103.78096008300781#97.21644592285156	0#0#0#0#0	0#0#0#1#1	2#3#3#3#4	0#371#682#867#875	0#3#1#2#3	0#4#2#4#3	0#115#3#34#145	0#115#3#34#145	0#2#2#4#2	0#0#0#0#0	0#1#0#0#0	0#1#0#0#0	7831.397#11458.238#11120.855#12562.919#19628.035	435.0776#636.5688#617.8253#697.93994#1090.4464	279.69275#391.73465#405.21335#418.76395#603.9395	0.09323092#0.13057822#0.13507111#0.13958798#0.20131317	28.0#29.25#27.444445#30.000002#32.5	mockVaultAccessor.json
2923	8	0.12125150114297867	0.004659609921838372	0	0	0	1	1.94	0	9	62.0	107.25286865234375	0	0	3	0	0	0	0	0	0	0	0	0	6089.2856	338.29364	310.0	0.10333333	19.642857	resolverShouldNotFailIfNotInFolder.json
508	8	0.020667660981416702	0.006633531449240971	0	0	0	1	1.73	0	11	66.0	107.18914031982422	0	0	2	0	0	0	0	0	0	0	0	0	6041.0845	335.6158	313.82257	0.10460752	19.25	getAccessDeniedResponse.json
2398	23#23#23#23#23#20	1.3757601846009493E-4#1.2057988351443782E-4#1.1925414582947269E-4#1.2993467680644244E-4#1.294490066356957E-4#0.0	3.397280649106502E-17#8.847330235017444E-18#8.834988660228416E-18#1.0439777597103935E-19#1.0419393808189738E-19#5.143825303760428E-21	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	4.49#4.49#4.49#4.49#4.49#2.94	1#1#1#1#1#1	25#26#26#29#29#27	241.0#246.0#246.0#267.0#267.0#273.0	82.00871276855469#81.86815643310547#81.86815643310547#81.42572021484375#81.42572021484375#83.57430267333984	0#0#0#0#0#0	0#0#0#0#0#0	8#8#8#8#8#9	0#1#2#342#755#1322	0#1#1#1#1#12	0#2#2#2#2#28	0#16#3#68#4#286	0#16#3#68#4#286	0#1#1#4#1#3	0#0#0#0#0#0	0#1#0#0#1#0	0#0#0#0#1#0	127089.13#129098.21#129098.21#170464.73#170464.73#154913.44	7060.5073#7172.123#7172.123#9470.263#9470.263#8606.302	1482.089#1522.6969#1522.6969#1657.9241#1657.9241#1695.1808	0.49402967#0.5075656#0.5075656#0.55264133#0.55264133#0.56506026	85.75#84.78261#84.78261#102.818184#102.818184#91.38461	shouldInjectCredentialsForAppRole.json
1459	39	0.0	7.746705347897288E-18	4	4	8	4	4.08	2	27	281.0	71.82192993164062	0	1	5	0	0	0	0	0	0	0	0	0	164703.39	9150.188	1776.4618	0.5921539	92.71429	start.json
