Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2633	8#8	0.04930420219898224#0.04930420219898224	0.00761244931660138#0.00761244931660138	0#0	0#0	0#0	1#1	1.94#1.94	0#0	9#9	64.0#64.0	107.40904235839844#107.40904235839844	0#0	0#0	2#2	0#20	0#1	0#2	0#6	0#6	0#6	0#0	0#1	0#1	5715.735#5715.735	317.54083#317.54083	300.82816#300.82816	0.10027605#0.10027605	19.0#19.0	testRename_whenFileNowNotExist.json
1939	8#7#7#7#7	0.042081501334905624#0.05176564306020737#0.05176564306020737#0.05176564306020737#0.32353079319000244	0.009031148114269314#0.009160476038088802#0.009160476038088802#0.009160476038088802#0.16553453118843517	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.94#1.98#1.98#1.98#1.98	0#0#0#0#0	7#7#7#7#5	60.0#55.0#55.0#55.0#41.0	107.52112579345703#110.08689880371094#110.08689880371094#110.08689880371094#112.0172119140625	0#0#0#0#0	0#0#0#0#0	3#2#2#2#2	0#25#463#463#938	0#3#0#0#3	0#7#0#0#6	0#155#0#0#132	0#155#0#0#132	0#15#0#0#3	0#0#0#0#0	0#0#0#0#1	0#0#0#0#1	4808.753#3719.3628#3719.3628#3719.3628#2282.6562	267.15295#206.63127#206.63127#206.63127#126.81424	294.41342#272.4808#272.4808#272.4808#187.98346	0.09813781#0.090826936#0.090826936#0.090826936#0.062661156	16.333334#13.65#13.65#13.65#12.142858	getAvailabilityZone.json
3025	14#12#10#10#10	0.0#0.0#1.3901815691497177E-4#1.411785342497751E-4#0.0	3.9148048193582395E-9#1.5882612259789357E-7#9.88790405522311E-7#9.890948933996138E-7#5.044152089923846E-7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.64#1.73#1.83#1.83#1.83	0#0#0#0#0	18#14#13#13#14	138.0#117.0#104.0#104.0#107.0	93.20296478271484#96.67537689208984#100.29208374023438#100.29208374023438#100.11858367919922	0#0#0#0#0	0#0#0#0#0	5#4#4#4#4	0#23#676#1092#1265	0#1#2#1#1	0#4#6#2#2	0#141#73#8#10	0#141#73#8#10	0#7#7#8#7	0#0#0#0#0	0#1#0#0#0	0#1#0#0#0	27379.281#19868.47#14748.307#14748.307#15697.168	1521.0712#1103.804#819.35034#819.35034#872.0649	808.4014#670.1667#589.93225#589.93225#609.9471	0.26946715#0.2233889#0.19664408#0.19664408#0.20331569	33.868423#29.647058#25.0#25.0#25.735294	sendResponse_whenPortable.json
538	10	4.6000484144315124E-4	3.4527241783529577E-9	0	0	0	1	1.83	0	18	138.0	99.1181640625	0	0	2	0	0	0	0	0	0	0	0	0	37072.727	2059.596	739.34216	0.24644738	50.142857	queryWhenPKPresentInDbFieldNames.json
3537	22#22#22#19	0.011814694851636887#0.011814694851636887#0.013013925403356552#0.011662590317428112	1.6471898561884375E-9#1.6471898561884375E-9#1.6716164921780734E-9#1.0264374144909363E-8	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.95#3.95#3.95#2.56	1#1#1#1	20#20#20#20	158.0#158.0#158.0#143.0	85.09231567382812#85.09231567382812#85.09231567382812#88.09303283691406	0#0#0#0	0#0#0#0	8#8#8#8	0#206#2620#3095	0#0#2#6	0#0#4#16	0#0#12#166	0#0#12#166	0#0#13#4	0#0#0#0	0#0#1#0	0#0#1#0	48382.098#48382.098#48382.098#38428.33	2687.8943#2687.8943#2687.8943#2134.9072	940.76306#940.76306#940.76306#834.1033	0.3135877#0.3135877#0.3135877#0.27803442	51.42857#51.42857#51.42857#46.071426	testGetForUpdate_LoadsKeyFromMapLoader_whenKeyExistsInDb.json
3138	11#11#11#10	0.007155364844948053#0.006747647188603878#0.0038820262998342514#0.01617337018251419	6.52694779207538E-5#6.718418231734793E-5#1.2647902076746383E-5#9.999577182417672E-4	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.78#1.78#1.78#1.83	0#0#0#0	17#17#18#14	90.0#90.0#98.0#74.0	99.90435028076172#99.90435028076172#99.38871765136719#102.58515930175781	0#0#0#0	0#0#0#0	1#1#1#1	0#205#2228#2626	0#3#1#2	0#6#2#5	0#17#31#187	0#17#31#187	0#2#2#2	0#0#1#0	0#0#1#1	0#0#1#1	11241.062#11241.062#13299.498#9607.788	624.5034#624.5034#738.861#533.766	472.31348#472.31348#521.54895#379.56693	0.15743783#0.15743783#0.17384966#0.1265223	23.800001#23.800001#25.5#25.3125	test_cachePostJoinOperationSucceeds_whenJCacheAvailable_noWarningIsLogged.json
1008	10	0.0	1.8127681139538322E-7	0	0	0	1	1.83	0	14	111.0	99.9796142578125	0	0	3	0	0	0	0	0	0	0	0	0	18637.424	1035.4125	626.468	0.20882267	29.75	doNotGetEcsAddressesIfEc2Configured.json
709	17	5.445117712952197E-4	8.012819958358778E-7	1	1	2	2	2.58	1	16	124.0	90.68955993652344	0	1	5	0	0	0	0	0	0	0	0	0	27818.36	1545.4644	684.9217	0.22830723	40.615387	testWanConsumerConfigCustom.json
1078	11#11	2.2117319167591631E-4#4.2804423719644547E-4	4.95309105866494E-10#1.3786906961851805E-9	0#0	0#0	0#0	1#1	2.95#2.95	1#1	20#20	138.0#134.0	97.02507781982422#97.2195053100586	0#0	0#0	2#2	0#511	0#1	0#2	0#17	0#17	0#3	0#0	0#1	0#1	26034.254#26027.15	1446.3474#1445.9528	821.67914#791.5233	0.27389306#0.2638411	31.68421#32.882355	testFailJob_whenGetConnection_withNonTransientExceptionCause.json
3555	9#9#11	0.13234199583530426#0.16472236812114716#0.08679898083209991	0.002198393004164975#0.003482873094914669#9.007454590178733E-5	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.78	0#0#0	10#10#15	70.0#68.0#91.0	104.76156616210938#104.96218872070312#100.00837707519531	0#0#0	0#0#0	3#3#4	0#521#1433	0#1#6	0#2#10	0#22#165	0#22#165	0#34#1	0#0#0	0#0#0	0#0#0	8053.3223#8258.297#12222.122	447.4068#458.79428#679.0068	346.79376#333.66855#462.95914	0.11559792#0.11122285#0.15431972	23.222223#24.75#26.400002	getLockCalledSuccessfullyOverOSGiInstance.json
