Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2783	24	0.0	1.972324231469664E-46	0	0	0	2	3.4	1	66	561.0	76.56700134277344	0	1	9	0	0	0	0	0	0	0	0	0	757716.6	42095.367	3536.421	1.178807	214.26086	getRegionLocator.json
194	9	0.02616347186267376	5.048708366851827E-4	0	0	0	1	1.89	0	11	76.0	104.11228942871094	0	0	3	0	0	0	0	0	0	0	0	0	8172.618	454.03433	392.9143	0.13097143	20.800001	itReturnsNullRecorderOnFailedBufferedMutator.json
4149	4#4#4	7.122652605175972E-4#8.069848990999162E-4#8.069848990999162E-4	0.0012316355459440463#0.0012483432607016199#0.0012483432607016199	0#0#0	0#0#0	0#0#0	1#1#1	2.0#2.0#2.0	0#0#0	6#6#6	59.0#59.0#59.0	118.83750915527344#118.83750915527344#118.83750915527344	0#0#0	1#1#1	1#1#1	0#200#1281	0#1#0	0#2#0	0#12#0	0#12#0	0#2#1	0#0#0	0#0#0	0#0#0	5741.8794#5741.8794#5741.8794	318.9933#318.9933#318.9933	289.50653#289.50653#289.50653	0.09650218#0.09650218#0.09650218	19.833332#19.833332#19.833332	setupMockStartKeys.json
5366	44#46#46#50#53#53#53#53#53	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	3.5502866519007455E-20#1.0548478674269079E-22#4.580274826736264E-23#4.2831955018300146E-26#5.139474448871568E-29#2.1754558066285332E-29#2.1754558066285332E-29#5.597484333217958E-30#1.9105000972968906E-30	5#5#5#5#5#5#5#5#5	6#6#6#6#6#6#6#6#6	11#11#11#11#11#11#11#11#11	5#5#5#5#5#5#5#5#5	2.19#2.15#2.15#2.07#2.02#2.02#2.02#2.02#2.02	1#1#1#1#1#1#1#1#1	27#32#32#38#43#43#43#44#45	316.0#339.0#343.0#375.0#410.0#412.0#412.0#417.0#421.0	69.18826293945312#67.95683288574219#67.89583587646484#65.95439910888672#64.52040100097656#64.46976470947266#64.46976470947266#64.39461517333984#64.33271789550781	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	11#12#12#13#13#13#13#13#13	0#167#167#311#345#535#580#3769#3789	0#2#2#4#3#1#0#2#1	0#2#4#4#3#2#0#4#2	0#129#28#170#210#16#0#74#71	0#129#28#170#210#16#0#74#71	0#1#1#1#1#1#0#4#4	0#0#0#0#0#0#0#0#0	0#0#1#0#0#1#0#0#0	0#0#1#0#0#1#0#0#0	120084.914#144472.92#149191.58#187188.95#231564.4#223433.36#223433.36#239371.39#248688.98	6671.3843#8026.2734#8288.421#10399.387#12864.689#12412.965#12412.965#13298.41#13816.055	1936.8534#2136.9817#2162.1968#2422.2869#2661.66#2687.7075#2687.7075#2726.8293#2759.482	0.6456178#0.71232724#0.7207323#0.80742896#0.88721997#0.8959025#0.8959025#0.9089431#0.9198273	62.0#67.606064#69.0#77.27778#87.0#83.13158#83.13158#87.78378#90.12162	testExecutorService.json
42	12	0.0	2.0151914089187653E-11	0	0	0	1	1.73	0	26	155.0	94.91458892822266	0	0	4	0	0	0	0	0	0	0	0	0	36817.97	2045.4427	940.24384	0.3134146	39.157894	testMaxThrottleWithNoResults.json
21	24	1.3170357851777226E-4	2.2940475079702218E-15	0	0	0	1	2.49	1	32	219.0	81.76677703857422	0	0	5	0	0	0	0	0	0	0	0	0	58799.61	3266.645	1359.8704	0.45329013	43.23913	testRace.json
3582	17#18#20#22	0.0#0.0#0.0#0.0	5.459687879674467E-9#2.292215063768211E-10#4.779627024661127E-12#3.4749772090965254E-21	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.52#1.49#1.43#1.37	0#0#0#0	14#15#22#43	150.0#165.0#187.0#273.0	89.90059661865234#88.34423828125#85.91325378417969#81.90771484375	0#0#0#0	0#0#0#0	8#9#9#9	0#1381#2145#2517	0#2#2#3	0#3#2#4	0#108#102#468	0#108#102#468	0#6#8#6	0#0#0#0	0#0#0#0	0#0#0#0	39550.406#47080.88#57355.957#132707.53	2197.2449#2615.6045#3186.4421#7372.6406	833.1883#940.5726#1081.1143#1735.6117	0.27772942#0.3135242#0.3603714#0.5785372	47.46875#50.055553#53.05263#76.46153	testPositionalReadShortReadOfNecessaryBytes.json
2149	26#29#29#29	6.00632862187922E-4#3.529439272824675E-4#2.5321677094325423E-4#1.0059293708764017E-4	6.578311520316883E-11#1.001700662526324E-12#1.807623883433774E-13#6.963891716805823E-14	0#0#0#0	0#0#0#0	0#0#0#0	2#2#2#2	4.33#4.28#4.28#4.28	2#2#2#2	19#21#22#23	179.0#203.0#210.0#214.0	81.41031646728516#78.91580200195312#78.70573425292969#78.59115600585938	0#0#0#0	0#0#0#0	6#7#7#7	0#82#552#572	0#4#1#1	0#5#2#2	0#168#38#73	0#168#38#73	0#1#4#4	0#0#0#0	0#0#0#0	0#0#0#0	46380.45#52832.227#57401.957#61205.594	2576.6917#2935.1238#3188.9976#3400.3108	1085.83#1248.3986#1299.8632#1328.8231	0.3619433#0.41613287#0.4332877#0.44294104	42.714283#42.32#44.16#46.06	testSnapshotHandlers.json
589	37	0.0	4.308197713258814E-30	4	2	6	4	3.44	3	44	393.0	70.8053970336914	0	0	15	0	0	0	0	0	0	0	0	0	245447.55	13635.975	2544.9631	0.848321	96.44444	testRegionsPartiallyCachedOnOldServerAndNotCachedOnCurrentServer.json
2548	40#47#42	1.8271399312652647E-4#0.0#0.0	2.1655636822701043E-17#2.701527619330756E-19#5.19652032135836E-18	0#0#0	0#0#0	0#0#0	3#3#3	4.6#5.14#4.54	2#3#2	25#29#27	273.0#303.0#282.0	71.79197692871094#68.5386734008789#70.8036880493164	0#0#0	0#0#0	11#11#11	0#2522#2548	0#43#37	0#79#79	0#433#285	0#433#285	0#1#2	0#0#0	0#0#0	0#0#0	108411.234#150146.02#129359.56	6022.846#8341.445#7186.6426	1725.8864#1952.2119#1792.8297	0.57529545#0.6507373#0.5976099	62.814816#76.91071#72.15385	testConfigurePartitioner.json
