Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
597	13#13	4.791805404238403E-4#4.791805404238403E-4	6.103848682547132E-7#6.103848682547132E-7	0#0	0#0	0#0	1#1	1.69#1.69	0#0	20#20	119.0#119.0	95.60450744628906#95.60450744628906	0#0	0#0	4#4	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	18608.887#18608.887	1033.827#1033.827	641.6857#641.6857	0.21389525#0.21389525	29.0#29.0	visit_GivenUnknownType.json
597	13#13	6.29176152870059E-4#6.29176152870059E-4	6.325413253255717E-7#6.325413253255717E-7	0#0	0#0	0#0	1#1	1.69#1.69	0#0	20#20	119.0#119.0	95.60450744628906#95.60450744628906	0#0	0#0	4#4	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	18608.887#18608.887	1033.827#1033.827	641.6857#641.6857	0.21389525#0.21389525	29.0#29.0	visit_GivenLocalClassDeclarationStmt.json
597	13#13	3.6005795118398964E-4#3.6005795118398964E-4	5.916685103828826E-7#5.916685103828826E-7	0#0	0#0	0#0	1#1	1.69#1.69	0#0	20#20	119.0#119.0	95.60450744628906#95.60450744628906	0#0	0#0	4#4	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	18608.887#18608.887	1033.827#1033.827	641.6857#641.6857	0.21389525#0.21389525	29.0#29.0	visit_GivenNameExpr.json
597	11#11	0.005190793424844742#0.005190793424844742	3.361973318778827E-5#3.361973318778827E-5	0#0	0#0	0#0	1#1	1.78#1.78	0#0	14#14	93.0#93.0	99.6610336303711#99.6610336303711	0#0	0#0	4#4	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	12126.013#12126.013	673.66736#673.66736	494.9393#494.9393	0.16497977#0.16497977	24.5#24.5	visit_GivenBooleanLiteralExpr.json
597	21#21	0.0#0.0	3.5562529075557364E-14#3.5562529075557364E-14	0#0	0#0	0#0	1#1	1.4#1.4	0#0	44#44	223.0#223.0	84.38703918457031#84.38703918457031	0#0	0#0	4#4	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	63019.598#63019.598	3501.0889#3501.0889	1245.4467#1245.4467	0.41514888#0.41514888	50.6#50.6	visit_GivenParameter.json
2539	12#12	0.0#0.0	8.150485781548897E-11#1.1400414882818729E-10	0#0	0#0	0#0	1#1	1.73#1.73	0#0	18#18	155.0#154.0	95.23787689208984#95.29714965820312	0#0	0#0	3#3	0#149	0#1	0#2	0#7	0#7	0#15	0#0	0#0	0#0	31101.6#29788.176	1727.8667#1654.8987	883.5682#873.55347	0.29452273#0.29118448	35.2#34.100002	ambiguousNameInQualifiedNameRequalifiedAsTypeNameLeadingToMethod.json
597	17#17	0.0#0.0	1.308874452940106E-10#1.308874452940106E-10	0#0	0#0	0#0	1#1	1.52#1.52	0#0	32#32	171.0#171.0	89.24837493896484#89.24837493896484	0#0	0#0	4#4	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	35136.484#35136.484	1952.0269#1952.0269	944.5291#944.5291	0.31484303#0.31484303	37.2#37.2	visit_GivenForEachStmt.json
597	17#17	0.0#0.0	1.8143874974934231E-10#1.8143874974934231E-10	0#0	0#0	0#0	1#1	1.52#1.52	0#0	32#32	171.0#171.0	89.27831268310547#89.27831268310547	0#0	0#0	4#4	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	37430.12#37430.12	2079.4512#2079.4512	939.10693#939.10693	0.31303564#0.31303564	39.857143#39.857143	visit_GivenModuleDeclaration.json
597	13#13	4.915026947855949E-4#4.915026947855949E-4	5.914725432707442E-7#5.914725432707442E-7	0#0	0#0	0#0	1#1	1.69#1.69	0#0	20#20	119.0#119.0	95.60450744628906#95.60450744628906	0#0	0#0	4#4	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	18608.887#18608.887	1033.827#1033.827	641.6857#641.6857	0.21389525#0.21389525	29.0#29.0	visit_GivenThrowStmt.json
2491	10#11#11#11#11#11	0.00822268147021532#0.004340631887316704#0.004144241567701101#0.004125391598790884#0.004144241567701101#0.004021454602479935	9.94888640667314E-4#1.633994937892592E-4#2.1692748740307383E-4#2.1149854102748433E-4#2.1692748740307383E-4#2.1653651106518431E-4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.83#1.78#1.78#1.78#1.78#1.78	0#0#0#0#0#0	6#9#9#9#9#9	75.0#86.0#85.0#85.0#85.0#85.0	102.55792999267578#100.17902374267578#100.27944946289062#100.27944946289062#100.27944946289062#100.27944946289062	0#0#0#0#0#0	0#0#0#0#0#0	3#3#3#3#3#3	0#24#101#140#150#1850	0#1#2#1#1#1	0#1#4#2#2#2	0#47#11#11#5#6	0#47#11#11#5#6	0#1#15#1#1#1	0#0#0#0#0#0	0#1#0#0#0#0	0#1#0#0#0#0	8680.483#12992.377#12304.422#12304.422#12304.422#12304.422	482.24908#721.7987#683.579#683.579#683.579#683.579	381.55972#448.013#439.44363#439.44363#439.44363#439.44363	0.12718658#0.14933766#0.14648122#0.14648122#0.14648122#0.14648122	22.75#29.0#28.0#28.0#28.0#28.0	configureSymbolSolver.json
