Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
5629	10#11#16#16#18#18#18#18#15#15#15#15#16#16#12#12	2.5834431289695203E-4#1.0473510337760672E-4#6.858397973701358E-4#6.881062872707844E-4#1.0741707228589803E-4#1.128224830608815E-4#1.7111650959122926E-4#1.7445285629946738E-4#1.6415664867963642E-4#0.0#0.0#0.0#0.0#0.0#2.2147643903736025E-4#2.1951436065137386E-4	2.6136841379408173E-6#6.179057064030695E-7#1.3518048384521921E-9#1.3453828257269212E-9#1.518290795064948E-10#1.512823980998413E-10#2.596021914558528E-10#2.548133236592742E-10#4.830276666291512E-9#4.85033722970697E-11#1.0747066669623358E-10#9.324666859039398E-12#2.7611423278972E-13#3.312505186197821E-12#9.41155787885097E-9#1.2907319447975715E-8	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	1.83#1.78#3.53#3.53#3.33#3.33#3.33#3.33#2.29#2.29#2.29#2.29#2.22#2.22#2.56#2.56	0#0#1#1#1#1#1#1#1#1#1#1#1#1#1#1	20#23#25#25#29#29#29#29#25#24#24#26#29#27#24#24	106.0#116.0#150.0#150.0#165.0#165.0#163.0#163.0#141.0#162.0#158.0#170.0#188.0#176.0#131.0#130.0	100.59750366210938#98.54769134521484#90.65130615234375#90.65130615234375#88.22479248046875#88.22479248046875#88.31102752685547#88.31102752685547#92.09020233154297#91.27381896972656#91.40382385253906#91.00084686279297#89.36779022216797#89.73172760009766#96.08765411376953#96.15250396728516	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#2#2#2#2#2#2#2#2#2#2#2#2#1#1	0#108#123#411#881#1237#2007#3093#3093#3095#3738#3774#3805#3888#4582#5504	0#1#7#1#2#1#1#1#3#3#2#2#4#2#2#2	0#1#8#2#2#2#2#2#10#6#4#4#7#4#8#4	0#55#202#6#75#4#18#12#163#154#60#94#129#94#344#8	0#55#202#6#75#4#18#12#163#154#60#94#129#94#344#8	0#3#5#4#1#1#8#6#16#1#19#34#25#6#16#82	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#1#1#0#0#0#0#0#0#1#1#0#0	0#1#0#0#1#1#0#0#0#0#0#0#1#1#1#0	17924.59#21458.734#40338.78#40338.78#48861.67#48861.67#46965.867#46965.867#33547.992#53692.164#48120.51#56337.04#62717.547#54319.76#29482.799#28407.191	995.81055#1192.1519#2241.0435#2241.0435#2714.5374#2714.5374#2609.2148#2609.2148#1863.7773#2982.898#2673.3618#3129.8354#3484.308#3017.7646#1637.9332#1578.1772	556.28033#613.1067#871.1032#871.1032#962.4269#962.4269#946.5989#946.5989#807.6368#944.92816#921.5966#995.8568#1114.9786#1039.6127#750.3576#741.0572	0.18542677#0.20436889#0.29036772#0.29036772#0.32080895#0.32080895#0.31553295#0.31553295#0.26921225#0.31497607#0.30719888#0.33195227#0.37165955#0.34653756#0.2501192#0.24701907	32.222225#35.0#46.307693#46.307693#50.76923#50.76923#49.615383#49.615383#41.538464#56.821426#52.214287#56.571426#56.25#52.25#39.291664#38.333332	before.json
12	7	0.0024736104533076286	6.559316111141175E-4	0	0	0	1	1.98	0	15	68.0	108.84556579589844	0	0	0	0	0	0	0	0	0	0	0	0	5765.792	320.32178	345.94748	0.115315825	16.666668	shouldReturnIfVersionNotFound.json
2854	8#8#8#8#8	0.0#0.0#0.0#0.0#0.0	2.9015479490883995E-7#2.0428533796308773E-6#2.033195549861297E-6#2.2493690021989674E-5#2.9820547029157214E-5	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.94#1.94#1.94#1.94#1.94	0#0#0#0#0	15#15#15#15#15	108.0#100.0#100.0#88.0#87.0	103.84904479980469#104.3742904663086#104.3742904663086#105.10735321044922#105.20259094238281	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#586#590#999#2729	0#1#1#2#1	0#2#2#4#2	0#12#5#54#7	0#12#5#54#7	0#42#45#34#82	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	16657.363#13231.918#13231.918#9288.537#8794.248	925.40906#735.10657#735.10657#516.02985#488.56934	596.5447#539.23175#539.23175#468.32965#459.83	0.19884823#0.17974392#0.17974392#0.15610988#0.15327667	27.923077#24.538462#24.538462#19.833332#19.125	performProgressFails.json
12	15#15	0.0#0.0	5.0480410723876145E-14#1.0322215676539822E-13	0#0	0#0	0#0	1#1	1.6#1.6	0#0	25#25	190.0#188.0	90.25958251953125#90.35293579101562	0#0	0#0	6#6	0#0	0#1	0#2	0#22	0#22	0#5	0#1	0#1	0#1	47229.383#49529.453	2623.8545#2751.6362	1148.4348#1128.0	0.3828116#0.376	41.125#43.90909	shouldAddVersionWhenNoFixVersions.json
1	13	0.0033583631739020348	2.1249848192284494E-7	0	0	0	2	2.98	1	17	122.0	95.09086608886719	0	1	2	0	0	0	0	0	0	0	0	0	17348.092	963.7829	677.65985	0.22588661	25.6	withJiraStaticMocks.json
4422	32#16#16#14#14#14#14	0.0#6.132239359430969E-4#6.458928110077977E-4#5.367312114685774E-4#5.419132648967206E-4#8.024705457501113E-4#7.792867254465818E-4	8.508537584471018E-26#2.3331704326074934E-13#2.4526410661065267E-13#5.00813286222902E-12#4.9901980179788336E-12#7.462834035930645E-12#1.0334477087156424E-11	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	3.2#3.53#3.53#2.37#2.37#2.37#2.37	1#1#1#1#1#1#1	49#20#20#20#20#20#20	336.0#181.0#181.0#163.0#163.0#161.0#160.0	74.58714294433594#89.31010437011719#89.31010437011719#92.10176849365234#92.10176849365234#92.16596221923828#92.21600341796875	0#0#0#0#0#0#0	0#0#0#0#0#0#0	7#4#4#4#4#4#4	0#0#1569#1886#2158#2709#4297	0#5#3#5#1#1#1	0#27#6#13#2#2#2	0#899#37#128#5#5#7	0#899#37#128#5#5#7	0#1#9#16#45#4#82	0#0#0#0#0#0#0	0#0#0#0#0#1#0	0#0#0#0#0#1#0	144556.9#47351.484#47351.484#38297.8#38297.8#36882.195#35734.867	8030.9395#2630.638#2630.638#2127.6555#2127.6555#2049.0107#1985.2704	2207.4714#1127.4163#1127.4163#999.0731#999.0731#986.8146#977.3639	0.7358238#0.3758054#0.3758054#0.33302438#0.33302438#0.3289382#0.32578796	65.48529#42.0#42.0#38.333332#38.333332#37.375#36.5625	alternativeURLAnnotate.json
5506	9#9#9#9#8#8	0.0#0.0#0.0#0.0#0.0#0.0	4.6117426003756885E-6#4.82213670435323E-6#3.2188096372784276E-5#3.1742771757697844E-5#1.3724164239459262E-4#1.8472378141739517E-4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.94#1.94	0#0#0#0#0#0	9#9#10#10#9#9	94.0#94.0#86.0#86.0#77.0#76.0	102.78795623779297#102.78795623779297#103.3916244506836#103.3916244506836#105.99343872070312#106.1039810180664	0#0#0#0#0#0	0#0#0#0#0#0	3#3#3#3#2#2	0#2653#2970#3242#4459#5381	0#2#2#1#0#1	0#4#4#2#1#2	0#31#69#5#31#7	0#31#69#5#31#7	0#9#16#45#16#82	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#1#0	15839.932#15839.932#13293.479#13293.479#10861.256#10207.486	879.9962#879.9962#738.5266#738.5266#603.4031#567.0826	506.87784#506.87784#451.32178#451.32178#394.95477#386.6472	0.16895927#0.16895927#0.15044059#0.15044059#0.1316516#0.1288824	31.249998#31.249998#29.454546#29.454546#27.5#26.400002	matchMultipleIssueIds.json
4906	31#31#31#31#30#30#30#30#30#30	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	5.822263099036686E-23#5.792458636999567E-23#5.840781933683258E-23#5.819376583142649E-23#7.83853112663629E-23#1.17794970865177E-22#1.1734614316368217E-22#1.1734614316368217E-22#1.1754853766359828E-22#1.6367611522959827E-21	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.34#1.34#1.34#1.34#1.36#1.36#1.36#1.36#1.36#1.36	0#0#0#0#0#0#0#0#0#0	42#42#42#42#46#46#46#46#45#45	318.0#318.0#318.0#318.0#315.0#313.0#313.0#313.0#313.0#302.0	75.69762420654297#75.69762420654297#75.69762420654297#75.69762420654297#76.27810668945312#76.31123352050781#76.31123352050781#76.31123352050781#76.31123352050781#76.53104400634766	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	9#9#9#9#10#10#10#10#10#10	0#1393#1473#1475#1578#2638#2642#2979#3015#4781	0#2#3#3#5#2#1#0#1#6	0#4#6#6#11#4#2#0#2#12	0#6#3#48#310#20#5#0#18#42	0#6#3#48#310#20#5#0#18#42	0#4#11#10#5#42#45#3#19#82	0#0#0#0#1#0#0#0#0#0	0#0#0#0#1#0#0#0#0#0	0#0#0#1#1#0#0#0#0#0	121792.54#121792.54#121792.54#121792.54#122909.29#131334.38#131334.38#131334.38#129583.26#117896.55	6766.252#6766.252#6766.252#6766.252#6828.294#7296.354#7296.354#7296.354#7199.07#6549.808	1968.3643#1968.3643#1968.3643#1968.3643#1949.7948#1937.415#1937.415#1937.415#1937.415#1857.2235	0.65612143#0.65612143#0.65612143#0.65612143#0.6499316#0.645805#0.645805#0.645805#0.645805#0.6190745	61.875#61.875#61.875#61.875#63.037037#67.78846#67.78846#67.78846#66.88461#63.48	findIssuesWithJiraParameters.json
2019	15#15	1.256036339327693E-4#1.2445257743820548E-4	1.9483822841268363E-7#2.927478265260899E-7	0#0	0#0	0#0	1#1	1.6#1.6	0#0	28#28	145.0#144.0	92.85580444335938#92.94886016845703	0#0	0#0	3#3	0#1894	0#2	0#4	0#8	0#8	0#82	0#0	0#0	0#0	23212.312#21533.936	1289.5729#1196.3297	697.06647#684.7038	0.23235549#0.2282346	33.3#31.45	prepareMocks.json
3115	6#7#7	0.014601679518818855#0.01553084421902895#0.013973550871014595	0.020450959898329405#0.001440146578166807#0.0012320925136632993	0#0#0	0#0#0	0#0#0	1#1#1	2.0#1.98#1.98	0#0#0	9#8#8	49.0#63.0#64.0	113.45822143554688#109.33287811279297#109.25098419189453	0#0#0	0#0#1	0#0#0	0#1260#2990	0#4#2	0#7#4	0#155#21	0#155#21	0#34#82	0#0#0	0#0#0	0#0#0	2175.2593#5544.0#5984.0	120.84774#308.0#332.44446	230.32156#315.0#320.0	0.07677385#0.105#0.10666667	9.444445#17.6#18.7	setUp.json
