Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
422	16#11	0.0#0.001282793702557683	1.3858174925913427E-11#1.0994456543888432E-6	0#0	0#0	0#0	1#1	1.56#1.78	0#0	33#20	175.0#109.0	89.94635009765625#98.73458099365234	0#0	0#0	4#2	0#218	0#5	0#15	0#342	0#342	0#6	0#0	0#0	0#0	34859.773#14089.49	1936.654#782.74945	997.57697#591.4628	0.33252564#0.19715428	34.944447#23.82143	excavationShouldHaveTreasureDrops.json
443	11#11	0.07922407239675522#0.059793438762426376	1.871037111904699E-4#1.1944566612009248E-4	0#0	0#0	0#0	1#1	1.78#1.78	0#0	9#9	86.0#88.0	100.2186279296875#100.05947875976562	0#0	0#0	5#5	0#21	0#1	0#2	0#6	0#6	0#17	0#0	0#1	0#1	9781.498#9732.861	543.41656#540.71454	444.61356#458.43192	0.14820452#0.15281063	22.0#21.230768	createPartyWithPasswordShouldSucceed.json
422	8#8	0.0#0.0	3.587975154696793E-7#6.176974431819738E-7	0#0	0#0	0#0	1#1	1.73#1.73	0#0	24#24	123.0#121.0	103.84044647216797#103.98017120361328	0#0	0#0	0#0	0#33	0#1	0#2	0#8	0#8	0#6	0#0	0#0	0#0	12222.239#12564.503	679.0133#698.02795	597.5317#581.68994	0.19917722#0.19389665	20.454546#21.6	mockPermissions.json
200	18	1.504940737504512E-4	6.472355693087733E-9	0	0	0	1	1.49	0	31	160.0	88.93434143066406	0	0	3	0	0	0	0	0	0	0	0	0	45995.168	2555.287	839.66846	0.2798895	54.777775	testUnload.json
254	12	0.022937286645174026	3.083868418692174E-5	0	0	0	1	1.89	0	12	92.0	98.17501831054688	0	0	3	0	0	0	0	0	0	0	0	0	11167.085	620.3936	502.2677	0.16742256	22.233334	rollShouldLowerDamage.json
422	10	0.00440155528485775	6.783733788366707E-5	0	0	0	1	1.83	0	10	89.0	101.5843505859375	0	0	0	0	0	0	0	0	0	0	0	0	8140.644	452.258	460.12335	0.15337445	17.692308	setUp.json
1608	10#10#21#21#23#13#13	0.0016762100858613849#0.0016762100858613849#0.0#0.0#0.0#1.0448545071994886E-4#0.002694872673600912	1.963438174466423E-4#1.963438174466423E-4#1.9419583455939748E-13#2.411973482041022E-13#7.772746962445939E-16#3.355289257269454E-7#5.4188442738529525E-6	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.83#1.83#1.4#1.4#1.35#1.69#1.69	0#0#0#0#0#0#0	15#15#40#40#45#22#22	87.0#87.0#211.0#209.0#247.0#126.0#110.0	101.97406768798828#101.97406768798828#84.64704895019531#84.69657135009766#82.41012573242188#95.56732940673828#96.31607055664062	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#3#105#109#173#362#1236	0#0#11#2#14#2#8	0#0#11#4#26#14#16	0#0#884#46#217#872#63	0#0#884#46#217#872#63	0#0#3#1#5#3#7	0#0#1#1#0#0#0	0#0#1#1#1#1#0	0#0#1#1#1#1#0	8964.889#8964.889#35621.887#39986.137#56612.367#17961.469#11285.689	498.04938#498.04938#1978.9937#2221.4521#3145.1316#997.8594#626.9827	426.89948#426.89948#1184.7037#1173.4744#1371.9834#646.2897#559.6209	0.14229983#0.14229983#0.39490125#0.39115813#0.4573278#0.21542989#0.1865403	21.0#21.0#30.068182#34.074997#41.263157#27.791668#20.166668	setUpMock.json
422	11#9	1.2938350846525282E-4#7.867945823818445E-4	1.8182296193496982E-6#1.1760226964550349E-4	0#0	0#0	0#0	1#1	1.78#1.89	0#0	18#13	109.0#82.0	98.87135314941406#103.7582015991211	0#0	0#0	2#1	0#218	0#4	0#10	0#150	0#150	0#6	0#0	0#0	0#0	14402.721#8867.676	800.1511#492.64865	576.1088#420.6012	0.19203627#0.14020039	25.0#21.083334	harvestLumberShouldNotDoubleDrop.json
303	8	0.02259206958115101	0.001604812353857919	0	0	0	1	1.94	0	9	61.0	107.16364288330078	0	0	1	0	0	0	0	0	0	0	0	0	4730.482	262.80457	315.36545	0.10512181	15.0	getRNGDisplayValuesShouldReturn100PercentForDoubleDrops.json
422	4#4	0.0897505059838295#0.1613752245903015	0.19096866154463765#0.2556271164591842	0#0	0#0	0#0	1#1	2.0#2.0	0#0	4#4	34.0#32.0	122.27970123291016#122.678955078125	0#0	0#0	0#0	0#33	0#1	0#2	0#8	0#8	0#6	0#0	0#0	0#0	1306.7145#1244.7153	72.595245#69.15085	149.33879#138.3017	0.049779598#0.046100564	8.75#9.0	mockAdvancedConfig.json
372	8#7#11	0.027833223342895508#0.04413546994328499#0.0038366704247891903	0.0012298039913915483#0.0034722752344726487#7.369271345445256E-6	0#0#0	0#0#0	0#0#0	1#1#1	1.94#1.98#1.78	0#0#0	8#6#9	67.0#59.0#101.0	106.75939178466797#109.67398071289062#99.26773834228516	0#0#0	0#0#0	2#2#5	0#168#190	0#0#5	0#1#6	0#68#297	0#68#297	0#1#2	0#0#0	0#0#1	0#0#1	6154.417#4146.3887#10962.491	341.91205#230.35492#609.0273	340.86002#295.0#533.8256	0.113620006#0.09833334#0.17794187	18.055555#14.055555#20.535715	setIneligibleShouldThrowIndexOutOfBoundsException.json
303	8	0.014007864519953728	0.001625145939531893	0	0	0	1	1.94	0	9	61.0	107.16364288330078	0	0	1	0	0	0	0	0	0	0	0	0	4730.482	262.80457	315.36545	0.10512181	15.0	getRNGDisplayValuesShouldReturn0PercentForDodge.json
254	11#12	2.861129178199917E-4#0.0	2.6302272808953372E-5#1.363561548211563E-6	0#0	0#0	0#0	1#1	1.78#1.73	0#0	20#24	102.0#120.0	99.50515747070312#97.1603012084961	0#0	1#1	1#1	0#175	0#1	0#1	0#96	0#96	0#1	0#0	0#0	0#0	13684.999#18314.867	760.2777#1017.4926	510.0#610.49554	0.17#0.20349851	26.833332#30.0	mockEntityDamageEvent.json
422	5#5	0.010978330858051777#0.03227391093969345	0.017879534698836626#0.03635592888758063	0#0	0#0	0#0	1#1	1.96#1.96	0#0	9#9	52.0#48.0	116.30227661132812#116.7927474975586	0#0	0#0	0#0	0#33	0#2	0#4	0#16	0#16	0#6	0#0	0#0	0#0	2957.117#2568.6326	164.28427#142.70181	235.22522#214.05272	0.078408405#0.07135091	12.571428#12.0	mockExperienceConfig.json
303	8	0.021067766472697258	0.0014767620380610603	0	0	0	1	1.94	0	9	61.0	107.12403106689453	0	0	1	0	0	0	0	0	0	0	0	0	4399.9844	244.44357	317.77667	0.10592556	13.846153	getRNGDisplayValuesShouldReturn10PercentForDoubleDrops.json
422	10#7	0.0010383626213297248#0.04324117675423622	3.5272076944691934E-5#0.09273953462498162	0#0	0#0	0#0	1#1	1.83#1.98	0#0	16#10	93.0#47.0	101.35574340820312#111.45137786865234	0#0	0#0	0#0	0#7	0#2	0#7	0#245	0#245	0#2	0#0	0#1	0#1	9135.258#2235.6619	507.5143#124.20344	480.80304#209.59329	0.16026768#0.06986443	19.0#10.666667	setupMocks.json
303	8	0.015330045484006405	0.0014516214857806914	0	0	0	1	1.94	0	9	61.0	107.12403106689453	0	0	1	0	0	0	0	0	0	0	0	0	4399.9844	244.44357	317.77667	0.10592556	13.846153	getRNGDisplayValuesShouldReturn10PercentForDodge.json
