Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2325	6#6	0.018417099490761757#0.018417099490761757	0.017496806775745652#0.017496806775745652	0#0	0#0	0#0	1#1	2.0#2.0	0#0	7#7	49.0#49.0	113.39833068847656#113.39833068847656	0#0	0#0	1#1	0#2042	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#1	3994.1055#3994.1055	221.89474#221.89474	232.98949#232.98949	0.07766316#0.07766316	17.142857#17.142857	should_not_throw_NPE_when_verifying_with_returns_smart_nulls.json
6104	9#9#9#9#9#9	8.193543762899935E-4#8.193543762899935E-4#8.193543762899935E-4#3.2118914532475173E-4#3.1045108335092664E-4#3.1045108335092664E-4	0.0019452377927960585#0.0019452377927960585#0.0019452377927960585#0.002028235702081047#0.0039860809131546816#0.0039860809131546816	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	13#13#13#13#13#13	80.0#80.0#80.0#80.0#78.0#78.0	104.69316864013672#104.69316864013672#104.69316864013672#104.69316864013672#104.9986343383789#104.9986343383789	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#205#2443#2463#4804#5821	0#0#0#1#1#0	0#0#0#2#2#0	0#0#0#18#17#0	0#0#0#18#17#0	0#1#0#52#100#0	0#0#0#0#0#0	0#1#0#1#1#1	0#1#0#1#1#1	17173.96#17173.96#17173.96#17173.96#14288.966#14288.966	954.10895#954.10895#954.10895#954.10895#793.8314#793.8314	351.38538#351.38538#351.38538#351.38538#331.33835#331.33835	0.11712846#0.11712846#0.11712846#0.11712846#0.11044612#0.11044612	48.875#48.875#48.875#48.875#43.125#43.125	should_return_consecutive_values_set_by_shorten_then_return_method.json
3674	9#9#9#9#9	0.6558820605278015#0.6558820605278015#0.5804637670516968#0.5804637670516968#0.5804637670516968	0.04615989995262364#0.04615989995262364#0.030417723500600742#0.0340858377945178#0.0340858377945178	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	3.98#3.98#3.98#3.98#3.98	1#1#1#1#1	6#6#6#6#6	54.0#54.0#56.0#56.0#56.0	106.11102294921875#106.11102294921875#105.87405395507812#105.92191314697266#105.92191314697266	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#13#188#360#3391	0#0#1#1#0	0#0#2#2#0	0#0#8#6#0	0#0#8#6#0	0#0#1#6#0	0#0#0#0#0	0#0#1#1#1	0#0#1#1#1	6130.8184#6130.8184#6000.0#5707.2344#5707.2344	340.601#340.601#333.33334#317.06857#317.06857	267.5266#267.5266#280.0#277.435#277.435	0.08917554#0.08917554#0.093333334#0.092478335#0.092478335	22.916668#22.916668#21.428572#20.571428#20.571428	coexists_with_mockito_matcher.json
1940	13#13	0.1092204824090004#0.1092204824090004	8.240637066027878E-4#8.240637066027878E-4	0#0	0#0	0#0	2#2	2.72#2.72	1#1	13#13	80.0#80.0	97.54354858398438#97.54354858398438	0#0	0#0	1#1	0#1657	0#0	0#0	0#0	0#0	0#0	0#0	0#1	0#1	13530.63#13530.63	751.70166#751.70166	422.83218#422.83218	0.14094406#0.14094406	32.0#32.0	should_array_equals_deal_with_null_array.json
5675	8#8#8#8#8#8	2.894600620493293E-4#2.894600620493293E-4#2.894600620493293E-4#2.894600620493293E-4#2.894600620493293E-4#2.894600620493293E-4	1.0309951605536703E-4#1.0014743448907262E-4#1.0014743448907262E-4#1.0309951605536703E-4#1.0309951605536703E-4#1.0309951605536703E-4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0	13#13#13#13#13#13	82.0#82.0#82.0#82.0#82.0#82.0	105.6662826538086#105.6662826538086#105.6662826538086#105.6662826538086#105.6662826538086#105.6662826538086	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#19#44#44#2014#5392	0#1#0#1#0#0	0#2#0#2#0#0	0#4#0#4#0#0	0#4#0#4#0#0	0#8#3#8#0#0	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#1	10328.096#10328.096#10328.096#10328.096#10328.096#10328.096	573.7831#573.7831#573.7831#573.7831#573.7831#573.7831	420.6012#420.6012#420.6012#420.6012#420.6012#420.6012	0.14020039#0.14020039#0.14020039#0.14020039#0.14020039#0.14020039	24.555555#24.555555#24.555555#24.555555#24.555555#24.555555	withAnyPatternArguments.json
5932	4#4#4#4	0.6478453278541565#0.6478453278541565#0.6817175149917603#0.6817175149917603	0.5252680371780282#0.5252680371780282#0.5301387604997466#0.5301387604997466	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	4#4#4#4	23.0#23.0#23.0#23.0	124.6862564086914#124.6862564086914#124.6862564086914#124.6862564086914	0#0#0#0	0#0#0#0	0#0#0#0	0#2271#4526#5649	0#0#1#0	0#0#2#0	0#0#6#0	0#0#6#0	0#0#20#0	0#0#0#0	0#0#1#1	0#0#1#1	658.08154#658.08154#658.08154#658.08154	36.560085#36.560085#36.560085#36.560085	94.01165#94.01165#94.01165#94.01165	0.031337216#0.031337216#0.031337216#0.031337216	7.0#7.0#7.0#7.0	shouldMentionFinalAndObjectMethodsWhenMisplacedArgumentMatcher.json
3091	7#6#6	0.16164818406105042#0.20932723581790924#0.20932723581790924	0.22068273146125766#0.31432786063974044#0.31432786063974044	0#0#0	0#0#0	0#0#0	1#1#1	1.98#2.0#2.0	0#0#0	6#5#5	38.0#33.0#33.0	112.55669403076172#115.95040893554688#115.95040893554688	0#0#0	0#0#0	0#0#0	0#0#2808	0#0#0	0#1#0	0#29#0	0#29#0	0#2#0	0#0#0	0#1#1	0#1#1	2016.5549#1711.4835#1711.4835	112.03083#95.08242#95.08242	169.4584#142.62363#142.62363	0.056486133#0.04754121#0.04754121	11.9#12.0#12.0	stubbed_method_is_implicitly_verified.json
3140	14#13#12#9#8#8	0.06515870988368988#0.07032866030931473#0.07236304134130478#0.044050849974155426#0.05333651229739189#0.05333651229739189	0.02344103243935265#0.03040612413789931#0.027575227572311435#0.04214950528536893#0.10468067891129222#0.10468067891129222	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	5.11#5.09#4.93#1.89#1.94#1.94	1#1#1#0#0#0	10#9#9#10#8#8	72.0#68.0#67.0#54.0#47.0#47.0	97.40953063964844#98.95516204833984#100.3787841796875#106.38442993164062#109.21392059326172#109.21392059326172	0#0#0#0#0#0	0#0#0#0#0#0	1#0#0#0#0#0	0#0#0#0#0#2857	0#2#0#6#0#0	0#5#1#16#1#0	0#55#8#191#45#0	0#55#8#191#45#0	0#7#1#7#4#0	0#0#0#0#1#0	0#0#0#0#1#1	0#0#0#0#1#1	9360.0#8422.134#7890.28#4653.4355#3826.9333#3826.9333	520.0#467.89633#438.34888#258.5242#212.6074#212.6074	360.0#336.88535#328.76166#253.82376#212.6074#212.6074	0.12#0.11229511#0.10958722#0.08460792#0.07086913#0.07086913	26.0#25.0#24.0#18.333334#18.0#18.0	verify_no_more_interactions_ignores_stubs.json
6289	12#12#12#12#12#12#12	0.028991948813199997#0.028991948813199997#0.028991948813199997#0.03269336745142937#0.04030400142073631#0.042349521070718765#0.042349521070718765	0.03472271508171369#0.03472271508171369#0.03472271508171369#0.03362058726219844#0.06025397209355158#0.1023896451847985#0.1023896451847985	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	2.56#2.56#2.56#2.56#2.56#2.56#2.56	1#1#1#1#1#1#1	11#11#11#11#10#10#10	66.0#66.0#66.0#66.0#63.0#61.0#61.0	100.51347351074219#100.51347351074219#100.51347351074219#100.51347351074219#100.82174682617188#101.13385772705078#101.13385772705078	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#390#2628#2648#2952#4989#6006	0#0#0#2#1#1#0	0#0#0#4#2#2#0	0#0#0#13#33#17#0	0#0#0#13#33#17#0	0#1#0#52#15#100#0	0#0#0#0#1#0#0	0#1#0#1#1#1#1	0#1#0#1#1#1#1	7866.6924#7866.6924#7866.6924#7866.6924#7076.8896#6029.8945#6029.8945	437.03845#437.03845#437.03845#437.03845#393.16052#334.99414#334.99414	306.4945#306.4945#306.4945#306.4945#288.85263#272.02533#272.02533	0.102164835#0.102164835#0.102164835#0.102164835#0.09628421#0.09067511#0.09067511	25.666666#25.666666#25.666666#25.666666#24.5#22.166666#22.166666	should_stub_void_method.json
6210	6#6#6#6#6	0.0930936336517334#0.0930936336517334#0.07515483349561691#0.12555134296417236#0.12555134296417236	0.06850261141207134#0.06850261141207134#0.035755354189649036#0.08652811513565614#0.08652811513565614	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	2.0#2.0#2.0#2.0#2.0	0#0#0#0#0	8#8#9#9#9	46.0#46.0#50.0#46.0#46.0	114.1393051147461#114.1393051147461#113.62686920166016#114.31311798095703#114.31311798095703	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#2549#2569#4910#5927	0#0#2#2#0	0#0#4#4#0	0#0#34#28#0	0#0#34#28#0	0#0#52#100#0	0#0#0#0#0	0#0#1#1#1	0#0#1#1#1	4293.49#4293.49#4169.569#3663.8376#3663.8376	238.52724#238.52724#231.64272#203.54654#203.54654	202.0466#202.0466#222.97159#195.40468#195.40468	0.06734887#0.06734887#0.07432386#0.06513489#0.06513489	21.25#21.25#18.7#18.75#18.75	should_stub.json
