Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3228	21#21	6.076866411603987E-4#9.630483109503984E-4	9.965890350706315E-12#1.9998909457757866E-11	0#0	0#0	0#0	1#1	4.2#4.2	1#1	22#22	176.0#172.0	85.11688232421875#85.21939086914062	0#0	0#0	5#5	0#145	0#2	0#4	0#27	0#27	0#38	0#0	0#0	0#0	41788.332#40695.754	2321.574#2260.8752	1082.3555#1061.2272	0.36078516#0.3537424	38.608696#38.347824	canSendGoAwayUsingVoidPromise.json
3829	39#40#40#41#41#41#41#41#42#41	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.2290636918487952E-30#5.034724833412888E-31#2.1140377337457536E-31#2.903686349495025E-32#6.81551531681398E-32#5.87669131731639E-32#9.179999134821805E-32#9.178838487392426E-32#1.9926169994830677E-32#4.8294556463148615E-32	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	4.1#4.24#4.24#4.19#4.19#4.19#4.19#4.19#4.19#4.24	2#2#2#2#2#2#2#2#2#2	62#64#64#66#65#65#65#65#66#65	398.0#404.0#407.0#416.0#413.0#413.0#411.0#411.0#418.0#413.0	70.45491027832031#69.96695709228516#69.91712188720703#69.38105773925781#69.42977905273438#69.42977905273438#69.45502471923828#69.45502471923828#68.95478057861328#69.41869354248047	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	8#8#8#8#8#8#8#8#9#9	0#97#147#209#480#763#1252#2677#3191#3800	0#1#2#2#1#2#1#1#3#0	0#1#4#3#2#4#2#2#5#1	0#31#37#66#16#58#15#1#59#21	0#31#37#66#16#58#15#1#59#21	0#5#10#3#2#4#3#5#2#1	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#1#1#1#0	0#0#0#1#0#1#1#1#1#0	284343.75#288630.34#298990.6#322777.62#315446.12#315446.12#310351.25#310351.25#313806.25#301750.44	15796.875#16035.02#16610.588#17932.09#17524.785#17524.785#17241.736#17241.736#17433.68#16763.914	2638.484#2678.26#2704.0493#2775.729#2749.8416#2749.8416#2736.525#2736.525#2794.9573#2755.7117	0.8794946#0.89275336#0.9013498#0.925243#0.9166139#0.9166139#0.91217494#0.91217494#0.9316524#0.9185706	107.76786#107.76786#110.57143#116.28571#114.71429#114.71429#113.41071#113.41071#112.27586#109.5	flowControlProperlyChunksLargeMessage.json
3207	19#19#19#19#19#24	0.0036384747363626957#0.02640475519001484#0.0011602244339883327#0.001206018845550716#0.002411077730357647#0.0010807476937770844	5.425651827356101E-8#5.815080194534782E-6#1.2050622632854876E-10#1.2127197697139393E-10#8.110041597822863E-10#6.223582433992341E-10	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	2.87#2.87#2.87#2.87#2.87#3.16	1#1#1#1#1#1	16#12#25#25#22#23	140.0#118.0#165.0#165.0#156.0#168.0	88.29771423339844#89.31812286376953#87.24187469482422#87.24187469482422#87.55406188964844#83.32376861572266	0#0#0#0#0#0	0#0#0#0#0#0	3#3#4#4#4#4	0#309#813#991#1158#1728	0#6#10#1#2#9	0#12#20#2#4#12	0#282#528#9#37#204	0#282#528#9#37#204	0#1#5#4#10#18	0#0#0#0#0#0	0#1#1#0#1#0	0#1#1#0#1#0	31508.334#19770.768#45028.613#45028.613#41556.68#50995.637	1750.463#1098.376#2501.5896#2501.5896#2308.7043#2833.0908	801.9089#659.0256#982.44244#982.44244#925.19507#1008.0	0.26730296#0.2196752#0.32748082#0.32748082#0.30839837#0.336	39.291664#30.0#45.833336#45.833336#44.916668#50.590908	failedOutboundStreamCreationThrowsAndClosesChannel.json
4747	9#9#10#10#10#9	0.02683805301785469#0.10855678468942642#0.03420165181159973#0.03420165181159973#0.03420165181159973#0.0265026967972517	0.9947934763782507#0.9953206974009173#0.9965024576938694#0.9965024576938694#0.9965024576938694#0.9950540809375581	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.83#1.83#1.83#1.89	0#0#0#0#0#0	5#5#8#8#8#9	3.0#3.0#4.0#4.0#4.0#4.0	129.46217346191406#129.46217346191406#126.25939178466797#126.25939178466797#126.25939178466797#127.96623229980469	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#115#184#207#222#1664	0#1#1#0#0#5	0#2#1#0#0#11	0#20#45#0#0#131	0#20#45#0#0#131	0#15#10#0#0#38	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	3.0#3.0#6.0#6.0#6.0#6.0	0.16666667#0.16666667#0.33333334#0.33333334#0.33333334#0.33333334	3.0#3.0#4.0#4.0#4.0#4.0	0.001#0.001#0.0013333333#0.0013333333#0.0013333333#0.0013333333	1.0#1.0#1.5#1.5#1.5#1.5	testTraceWithException.json
3783	17#18#19#19#21#21#20#27	0.0023958925157785416#0.002089192857965827#0.0022886027581989765#8.74979596119374E-4#2.7467843028716743E-4#2.8991568251512945E-4#7.507369155064225E-4#0.0	2.254942917698869E-7#1.1465253842906003E-7#1.285826954444916E-7#5.719865692597654E-9#9.400469622285184E-11#1.1502160988853132E-10#2.5100269611638584E-9#2.2613395764326817E-15	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	3.43#3.33#3.33#3.33#3.18#3.18#3.25#2.82	1#1#1#1#1#1#1#1	21#22#22#25#30#30#26#53	126.0#131.0#132.0#148.0#169.0#168.0#153.0#232.0	90.5758285522461#89.4246826171875#88.48693084716797#87.89199829101562#85.45611572265625#85.48697662353516#86.84503936767578#79.6802978515625	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3	0#101#119#128#202#253#287#426	0#2#1#4#2#1#0#8	0#3#1#8#2#2#1#9	0#39#18#107#107#10#68#465	0#39#18#107#107#10#68#465	0#10#4#14#5#4#3#4	0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#1	0#0#0#0#0#0#1#1	28171.48#31519.479#32605.525#39881.137#44109.0#46099.2#40842.74#93533.49	1565.0823#1751.0822#1811.4181#2215.6187#2450.5#2561.0667#2269.041#5196.305	731.72675#764.1086#773.25354#866.9812#1014.0#1008.0#903.7542#1407.3326	0.24390891#0.25470287#0.25775117#0.28899375#0.338#0.336#0.3012514#0.46911088	38.5#41.25#42.166668#46.0#43.5#45.733334#45.192307#66.46154	flowControlledWriteThrowsAnException.json
1592	6#11	0.0#2.8447803924791515E-4	3.6379247073635977E-6#2.0139838823410545E-7	0#0	0#0	0#0	1#1	1.89#3.45	0#1	17#18	92.0#116.0	109.4356918334961#98.15460205078125	0#0	1#1	1#1	0#113	0#9	0#12	0#180	0#180	0#18	0#0	0#0	0#0	9216.302#14679.773	512.0168#815.54297	499.21637#661.25104	0.16640545#0.22041701	18.461538#22.2	headersContentLengthSign.json
3906	15#15#16#16	0.0#0.0#0.0#1.0819896124303341E-4	1.5894199077368376E-10#1.3456612458998824E-10#2.278657036307898E-11#1.8623897919975844E-11	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.6#1.6#1.56#1.56	0#0#0#0	19#19#22#24	166.0#166.0#177.0#179.0	91.46026611328125#91.43032836914062#90.02203369140625#89.99273681640625	0#0#0#0	0#0#0#0	5#5#5#5	0#180#469#823	0#2#1#11	0#4#1#22	0#14#51#160	0#14#51#160	0#2#1#38	0#0#0#0	0#1#0#0	0#1#0#0	45126.56#41895.793#48855.598#46431.695	2507.031#2327.544#2714.2#2579.5386	911.64764#916.91125#983.16223#988.7176	0.30388254#0.3056371#0.32772073#0.32957253	49.5#45.69231#49.692307#46.961536	testListenerFailure.json
6171	9#9#9#9#9#9#8	0.005685911979526281#0.005685911979526281#0.005685911979526281#0.12087097018957138#0.12087097018957138#0.12087097018957138#0.10828285664319992	9.611496320366339E-4#9.611496320366339E-4#9.611496320366339E-4#0.019452438889828547#0.019452438889828547#0.019452438889828547#0.017200886521162896	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.94	0#0#0#0#0#0#0	8#8#8#8#8#8#8	73.0#73.0#73.0#57.0#57.0#57.0#56.0	104.40531921386719#104.40531921386719#104.40531921386719#105.87976837158203#105.87976837158203#105.87976837158203#107.93197631835938	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	0#1200#1220#1539#1631#1646#3088	0#0#0#1#0#0#4	0#0#0#2#0#0#9	0#0#0#54#0#0#68	0#0#0#54#0#0#68	0#0#0#15#0#0#38	0#0#1#0#0#0#0	0#0#1#0#0#0#0	0#0#1#0#0#0#0	7765.319#7765.319#7765.319#5513.943#5513.943#5513.943#4702.5254	431.40662#431.40662#431.40662#306.33017#306.33017#306.33017#261.2514	371.3848#371.3848#371.3848#279.69275#279.69275#279.69275#272.04694	0.123794936#0.123794936#0.123794936#0.09323092#0.09323092#0.09323092#0.09068231	20.909092#20.909092#20.909092#19.714287#19.714287#19.714287#17.285713	testIsInfoEnabled.json
6171	9#9#9#9#10#10#10#9	0.0668472945690155#0.0668472945690155#0.0668472945690155#0.26140159368515015#0.10297435522079468#0.10297435522079468#0.10297435522079468#0.0847916305065155	0.9956574950805026#0.9956574950805026#0.9956574950805026#0.9961001904681208#0.9969322991264409#0.9969322991264409#0.9969322991264409#0.9958063052508332	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.83#1.83#1.83#1.89	0#0#0#0#0#0#0#0	5#5#5#5#8#8#8#9	3.0#3.0#3.0#3.0#4.0#4.0#4.0#4.0	129.46217346191406#129.46217346191406#129.46217346191406#129.46217346191406#126.25939178466797#126.25939178466797#126.25939178466797#127.96623229980469	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2	0#1200#1220#1539#1608#1631#1646#3088	0#0#0#1#1#0#0#5	0#0#0#2#1#0#0#11	0#0#0#20#45#0#0#125	0#0#0#20#45#0#0#125	0#0#0#15#10#0#0#38	0#0#1#0#0#0#0#0	0#0#1#0#0#0#0#0	0#0#1#0#0#0#0#0	3.0#3.0#3.0#3.0#6.0#6.0#6.0#6.0	0.16666667#0.16666667#0.16666667#0.16666667#0.33333334#0.33333334#0.33333334#0.33333334	3.0#3.0#3.0#3.0#4.0#4.0#4.0#4.0	0.001#0.001#0.001#0.001#0.0013333333#0.0013333333#0.0013333333#0.0013333333	1.0#1.0#1.0#1.0#1.5#1.5#1.5#1.5	testError.json
1807	14#14#14	0.0019095503957942128#0.001478786813095212#0.0019757221452891827	2.0540594112947302E-8#1.171336886814095E-8#5.787412492937967E-8	0#0#0	0#0#0	0#0#0	1#1#1	1.64#1.64#1.64	0#0#0	22#22#19	137.0#140.0#132.0	93.54644775390625#93.4338150024414#93.76972198486328	0#0#0	0#0#0	5#5#5	0#377#1758	0#1#2	0#2#4	0#20#55	0#20#55	0#7#6	0#0#0	0#1#0	0#1#0	25728.75#26292.154#22925.74	1429.375#1460.6753#1273.6522	756.72797#773.29865#724.9246	0.25224265#0.25776622#0.24164154	34.0#34.0#31.625	open0FailsPromiseOnHttp2MultiplexHandlerError.json
