Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4533	17#17#17#17#17	0.5813432931900024#0.5328313708305359#0.5572995543479919#0.5324839353561401#0.5028325915336609	4.2151136298026726E-11#1.5828614540837332E-11#3.0006479367294834E-11#3.0118759356319845E-11#2.975972755430368E-11	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.29#1.29#1.29#1.29#1.29	0#0#0#0#0	21#21#21#21#22	167.0#170.0#168.0#168.0#168.0	89.11092376708984#88.97320556640625#89.05706787109375#89.05706787109375#89.05706787109375	0#0#0#0#0	0#0#0#0#0	6#6#6#6#6	0#511#797#824#880	0#1#1#1#1	0#2#2#2#2	0#65#64#16#8	0#65#64#16#8	0#2#2#1#1	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	33723.574#33153.734#33317.47#33317.47#35076.88	1873.5319#1841.8741#1850.9705#1850.9705#1948.7155	969.82825#995.8568#979.92554#979.92554#979.92554	0.32327607#0.33195227#0.32664186#0.32664186#0.32664186	34.772728#33.291668#34.0#34.0#35.795452	testWFNotificationTimeout.json
2330	17#17#13	2.1131512767169625E-4#2.1791177277918905E-4#0.010879112407565117	1.8441307197896676E-10#1.8395896932888003E-10#5.658373654546104E-7	0#0#0	0#0#0	0#0#0	1#1#1	1.52#1.52#1.69	0#0#0	31#31#19	172.0#172.0#122.0	89.3767318725586#89.3767318725586#95.69404602050781	0#0#0	0#0#0	5#5#5	0#251#314	0#1#0	0#2#4	0#12#316	0#12#316	0#4#8	0#0#0	0#0#0	0#0#0	32743.93#32743.93#18291.195	1819.1072#1819.1072#1016.1775	921.49896#921.49896#630.7309	0.3071663#0.3071663#0.21024363	35.533333#35.533333#29.0	testGetLastYarnIdFromUnorderedListSuccess.json
3052	28#29	0.0#0.0	9.29252653769173E-17#8.754188102187902E-18	0#0	0#0	0#0	1#1	3.58#3.53	1#1	23#23	237.0#249.0	78.75072479248047#77.89662170410156	0#0	0#0	7#8	0#249	0#6	0#11	0#92	0#92	0#19	0#0	0#0	0#0	94566.38#103116.52	5253.688#5728.696	1502.5444#1587.3849	0.5008482#0.5291283	62.937496#64.96	testAddToJobConfFromOozieConfig.json
2363	10	0.0	3.3732819189494124E-10	0	0	0	1	1.6	0	14	144.0	98.52483367919922	0	7	4	0	0	0	0	0	0	0	0	0	26062.734	1447.9297	828.7038	0.2762346	31.45	createAndAddMockedFileStatus.json
2630	18	0.0	3.2762836145257816E-14	0	0	0	1	1.49	0	31	198.0	87.0728759765625	0	0	4	0	0	0	0	0	0	0	0	0	42659.99	2369.9993	1201.0857	0.4003619	35.517857	testStoreCoordinators.json
2875	20#20	3.1202155514620245E-4#4.4984061969444156E-4	1.7546666998374304E-8#1.9850133599386535E-8	0#0	0#0	0#0	1#1	2.8#2.8	1#1	30#30	143.0#143.0	87.23976135253906#87.26207733154297	0#0	0#0	3#3	0#859	0#3	0#6	0#34	0#34	0#8	0#0	0#0	0#0	38174.785#37147.383	2120.8213#2063.7434	837.6913#834.1033	0.27923042#0.27803442	45.571426#44.535713	multibyteInputsAreAcceptedInScripts.json
2630	13	8.353798184543848E-4	1.4296620377509262E-8	0	0	0	1	1.69	0	18	129.0	94.8465347290039	0	0	3	0	0	0	0	0	0	0	0	0	23248.23	1291.5684	742.3805	0.24746017	31.315788	testStoreLastBundles.json
2330	7	0.15129026770591736	0.0068670552382110155	0	0	0	1	1.98	0	9	57.0	110.0031509399414	0	0	1	0	0	0	0	0	0	0	0	0	5451.566	302.86478	276.90494	0.092301644	19.6875	testGetLastYarnIdOnOneElementSuccess.json
2756	21	0.12341353297233582	7.3947296668020025E-6	0	0	0	2	3.3	1	9	117.0	87.3079833984375	0	0	3	0	0	0	0	0	0	0	0	0	22422.197	1245.6776	679.4605	0.22648683	33.0	testNoRetriesOnNonSQLError.json
2335	13	3.100516914855689E-4	2.4751981873954677E-5	0	0	0	1	1.69	0	15	99.0	96.66546630859375	0	0	2	0	0	0	0	0	0	0	0	0	13081.37	726.7428	523.2548	0.17441827	25.0	testQueueSizeWhenCommandIsFinished.json
2335	10	0.0014263228513300419	1.4364297883281359E-5	0	0	0	1	1.83	0	17	93.0	101.17036437988281	0	0	1	0	0	0	0	0	0	0	0	0	10363.649	575.7583	498.25235	0.16608411	20.800001	testSubmitCallableWithDelay.json
1083	6	0.05315982922911644	0.022972267990293394	0	0	0	1	2.0	0	7	50.0	113.29327392578125	0	0	1	0	0	0	0	0	0	0	0	0	5468.121	303.78452	237.74438	0.07924813	23.0	testPrintContentsOfDirWithRetry.json
2630	10	0.002407949883490801	2.2039886373329033E-4	0	0	0	1	1.83	0	8	80.0	102.02384948730469	0	0	2	0	0	0	0	0	0	0	0	0	15565.51	864.75055	422.83218	0.14094406	36.8125	testGetServerConfiguration.json
2335	10	0.0012069116346538067	2.174018755024142E-5	0	0	0	1	1.83	0	23	101.0	101.25025177001953	0	0	0	0	0	0	0	0	0	0	0	0	11591.75	643.9861	490.6561	0.16355203	23.625	testShutDown.json
2756	14	0.2186959832906723	7.678821999227075E-5	0	0	0	1	3.58	1	8	93.0	95.47572326660156	0	1	2	0	0	0	0	0	0	0	0	0	14430.826	801.7126	522.168	0.17405601	27.636364	tryOnceAndAssert.json
1839	11	0.007207604590803385	2.716066958529451E-6	0	0	0	1	1.78	0	13	103.0	99.02899932861328	0	0	4	0	0	0	0	0	0	0	0	0	12732.561	707.3645	558.9053	0.18630175	22.78125	testAddWorkflowAppFileSystemCredentials.json
1964	11	7.437309250235558E-4	3.4121305886884505E-6	0	0	0	1	1.78	0	21	104.0	99.07971954345703	0	0	2	0	0	0	0	0	0	0	0	0	13219.669	734.426	553.4805	0.18449351	23.884615	testServerNotSupports.json
2335	16	0.04262632876634598	4.415014901187989E-4	0	0	0	2	2.22	1	11	90.0	93.46318054199219	0	1	2	0	0	0	0	0	0	0	0	0	11356.22	630.9011	485.30856	0.16176952	23.4	testIllegalPriority.json
2756	6	0.24953490495681763	0.02793085931666396	0	0	0	1	2.0	0	5	47.0	113.50348663330078	0	0	1	0	0	0	0	0	0	0	0	0	4376.2314	243.12396	228.32512	0.07610837	19.166666	testNoRetry.json
