Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2846	8#9#9#9#9#9#9	0.030325477942824364#0.01572059839963913#0.008511953055858612#0.003866732819005847#0.0016853082925081253#0.0015323490370064974#8.411401649937034E-4	9.08777248014174E-4#1.6656593381278816E-4#1.0604780010264029E-4#3.968643971050397E-5#2.4876154824832842E-5#1.4207402248984877E-5#8.992124568365197E-6	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.94#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0	9#11#11#11#11#11#11	66.0#76.0#78.0#83.0#85.0#88.0#90.0	106.6032943725586#103.86064147949219#103.69388580322266#103.37079620361328#103.21619415283203#103.03582763671875#102.88903045654297	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#0#0#0#9#9#9	0#1#1#1#1#1#1	0#1#2#2#2#2#2	0#79#14#26#3#21#6	0#79#14#26#3#21#6	0#3#4#4#4#4#4	0#0#0#0#0#0#0	0#0#0#1#1#0#0	0#0#0#1#1#0#0	8429.934#10206.804#10220.056#11479.365#11490.647#12625.7705#12619.215	468.32965#567.0447#567.7809#637.7425#638.3693#701.4317#701.0675	351.24725#412.39612#425.83566#453.1328#466.80753#483.28308#497.12057	0.11708242#0.13746537#0.14194523#0.15104426#0.15560251#0.16109437#0.16570686	24.0#24.75#24.0#25.333334#24.615385#26.125#25.384615	shouldSetLastUpdate.json
2260	8	4.3191402801312506E-4	4.028766797391013E-5	0	0	0	1	1.94	0	10	83.0	105.37683868408203	0	0	2	0	0	0	0	0	0	0	0	0	8478.505	471.02805	444.67682	0.1482256	19.066668	testProlongAllImpossible.json
2260	8	1.8466637993697077E-4	1.6600730092328293E-5	0	0	0	1	1.94	0	11	89.0	105.01390075683594	0	0	3	0	0	0	0	0	0	0	0	0	9917.901	550.9945	476.82214	0.15894072	20.800001	testProlongSuccess.json
2283	12#12#12	9.79219563305378E-4#9.075996349565685E-4#8.278714958578348E-4	7.673652164136108E-6#7.693766619020932E-6#7.730656636353537E-6	0#0#0	0#0#0	0#0#0	2#2#2	2.83#2.83#2.83	1#1#1	17#17#17	104.0#104.0#104.0	97.47594451904297#97.47594451904297#97.47594451904297	0#0#0	0#0#0	0#0#0	0#462#462	0#1#1	0#2#2	0#15#7	0#15#7	0#4#4	0#0#0	0#1#1	0#1#1	24735.682#24735.682#24735.682	1374.2046#1374.2046#1374.2046	549.6818#549.6818#549.6818	0.18322727#0.18322727#0.18322727	45.0#45.0#45.0	testLoginError.json
2846	9#9#9#9#9	0.005428992211818695#0.002410593908280134#0.0010497872717678547#9.015732211992145E-4#4.947524284943938E-4	1.8342453544004962E-4#5.588170512598141E-5#3.507398988926963E-5#2.0309586847454158E-5#1.292716761055737E-5	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	11#11#11#11#11	76.0#81.0#83.0#86.0#88.0	103.86064147949219#103.46684265136719#103.31007385253906#103.12543487548828#102.97676086425781	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#0#9#9#9	0#1#1#1#1	0#2#2#2#2	0#26#3#21#6	0#26#3#21#6	0#4#4#4#4	0#0#0#0#0	0#1#1#0#0	0#1#1#0#0	10206.804#9854.92#9955.036#10852.525#10945.714	567.0447#547.49554#553.05756#602.9181#608.0952	412.39612#444.84012#458.45563#475.02634#488.8038	0.13746537#0.14828004#0.15281855#0.15834211#0.1629346	24.75#22.153847#21.714285#22.846155#22.392857	shouldClearSearchFields.json
2260	9	1.6464217333123088E-4	6.924868759680793E-6	0	0	0	1	1.89	0	12	95.0	102.7329330444336	0	0	3	0	0	0	0	0	0	0	0	0	10821.707	601.20593	512.27014	0.17075671	21.125	testProlongAllPartialSuccess.json
1196	24	0.0	1.4282287466538058E-19	0	0	0	1	1.32	0	27	271.0	80.81800842285156	0	0	7	0	0	0	0	0	0	0	0	0	117721.32	6540.073	1632.0618	0.5440206	72.13043	testProlongAll.json
2919	3	0.1854161024093628	0.2771591983273538	0	0	0	1	1.89	0	5	29.0	127.76728820800781	0	1	0	0	0	0	0	0	0	0	0	0	1222.8212	67.93451	127.377205	0.042459067	9.6	setNotificationsEnabled.json
2283	8#8#8	0.0#0.0#0.0	6.656815667702282E-6#6.642550078908621E-6#6.74142168320439E-6	0#0#0	0#0#0	0#0#0	1#1#1	1.94#1.94#1.94	0#0#0	16#16#16	95.0#95.0#95.0	104.70934295654297#104.70934295654297#104.70934295654297	0#0#0	0#0#0	1#1#1	0#462#462	0#1#1	0#2#2	0#15#7	0#15#7	0#4#4	0#0#0	0#1#1	0#1#1	14746.175#14746.175#14746.175	819.23193#819.23193#819.23193	505.58316#505.58316#505.58316	0.16852772#0.16852772#0.16852772	29.166666#29.166666#29.166666	testLoginSuccess.json
2919	7#7#7	0.014527392573654652#0.015537569299340248#0.015537569299340248	0.030807104837434263#0.02078528941067143#0.02078528941067143	0#0#0	0#0#0	0#0#0	1#1#1	1.98#1.98#1.98	0#0#0	7#8#8	50.0#52.0#52.0	110.73896789550781#110.48055267333984#110.48055267333984	0#0#0	0#0#0	0#0#0	0#0#487	0#1#0	0#2#0	0#13#0	0#13#0	0#2#1	0#0#0	0#0#0	0#0#0	3966.0679#4357.609#4357.609	220.3371#242.08939#242.08939	240.36775#252.61502#252.61502	0.08012258#0.08420501#0.08420501	16.5#17.25#17.25	shouldDoNothingWithoutAccounts.json
