Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2875	6#12#12#12#12#12	0.0#0.0#0.0#0.0#0.0#0.0	2.7001339147304605E-5#8.078270381356803E-12#4.645985058606815E-11#9.92224278392614E-13#9.949785687154033E-13#9.87865327334536E-13	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	2.0#1.73#1.73#1.73#1.73#1.73	0#0#0#0#0#0	4#16#15#16#16#17	99.0#177.0#168.0#183.0#183.0#183.0	109.43383026123047#94.62650299072266#94.89787292480469#94.3249282836914#94.3249282836914#94.3249282836914	0#0#0#0#0#0	0#0#0#0#0#0	2#3#3#3#3#3	0#0#186#186#1718#1718	0#8#2#1#1#1	0#10#4#2#2#2	0#380#134#79#4#24	0#380#134#79#4#24	0#1#1#1#1#1	0#0#0#0#0#0	0#0#0#1#0#1	0#0#0#1#0#1	22472.775#61491.6#51491.51#55500.707#55500.707#56395.887	1248.4875#3416.2002#2860.6396#3083.3726#3083.3726#3133.1047	499.39502#993.80365#943.27124#1053.1444#1053.1444#1053.1444	0.166465#0.3312679#0.31442374#0.35104814#0.35104814#0.35104814	45.0#61.875#54.588234#52.699997#52.699997#53.550003	testPrivateKeyTemplateSimple2048.json
2387	18#19#17#17#17	0.0#0.0#0.02267119474709034#0.02267119474709034#0.021189557388424873	1.0581914779205166E-15#1.151755714506643E-16#2.9345753808600718E-18#2.9345753808600718E-18#2.4172765891911467E-18	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.49#1.46#1.52#1.52#1.52	0#0#0#0#0	14#15#23#23#24	232.0#241.0#247.0#247.0#247.0	86.62399291992188#85.44889068603516#86.9458236694336#86.9458236694336#86.92570495605469	0#0#0#0#0	0#0#0#0#0	5#6#7#7#7	0#71#71#71#72	0#2#10#0#1	0#3#22#0#2	0#109#1408#0#14	0#109#1408#0#14	0#1#1#0#2	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	146649.95#149421.08#137824.34#137824.34#133445.36	8147.2197#8301.171#7656.908#7656.908#7413.631	1309.3746#1386.9279#1470.6865#1470.6865#1476.3882	0.4364582#0.46230927#0.49022883#0.49022883#0.4921294	112.0#107.73529#93.71429#93.71429#90.38637	testPutKey.json
2682	11#7#7#7#7	0.0#0.0#0.0#0.0#0.0	4.3631771538502595E-9#4.4261504356917305E-7#4.413892774360724E-7#3.572507443997181E-8#3.1313342063873544E-8	2#2#2#2#2	1#1#1#1#1	3#3#3#3#3	3#2#2#2#2	3.53#2.56#2.56#2.56#2.56	2#1#1#1#1	10#9#9#9#9	138.0#107.0#107.0#120.0#120.0	96.95545959472656#106.02400207519531#106.02400207519531#105.35942840576172#105.32678985595703	0#0#0#0#0	1#3#3#4#4	4#2#2#2#2	0#105#195#195#1235	0#5#1#2#1	0#14#2#4#2	0#289#8#51#14	0#289#8#51#14	0#1#1#3#2	0#0#0#0#0	0#1#0#0#1	0#0#0#0#1	25011.379#13009.657#13009.657#15723.996#16409.025	1389.521#722.7587#722.7587#873.55536#911.61255	762.2515#569.4463#569.4463#647.07806#651.1518	0.25408384#0.18981543#0.18981543#0.21569268#0.2170506	32.8125#22.846153#22.846153#24.3#25.199999	setupContentResolverResult.json
2682	3#3	0.0#0.0	0.010404713947631865#0.009913073235113886	0#0	0#0	0#0	1#1	1.89#1.89	0#0	8#8	52.0#52.0	124.57765197753906#124.57765197753906	0#0	1#1	0#0	0#195	0#1	0#2	0#12	0#12	0#3	0#0	0#0	0#0	2665.886#2665.886	148.10478#148.10478	235.22522#235.22522	0.078408405#0.078408405	11.333334#11.333334	setupSelectPubkeyPendingIntentFactoryResult.json
3167	36#35#35#41#42#41#41#41#41#41#41#41#41#41#41	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	8.138680331901329E-49#5.2122616627746076E-48#5.1668708961086334E-48#4.684072824752342E-55#3.431137448785287E-56#4.684072824752342E-55#4.710688281903547E-55#4.6997651361194796E-55#3.7704217516382514E-55#3.7492388234108325E-55#3.0071291118021335E-55#1.9448826595072303E-55#1.9430665602745848E-55#1.6065869971653022E-54#1.0039010842158409E-54	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	1.11#1.12#1.12#1.04#1.03#1.04#1.04#1.04#1.04#1.04#1.04#1.04#1.04#1.04#1.04	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	53#53#53#63#65#63#63#63#64#64#65#66#66#70#72	548.0#540.0#540.0#615.0#627.0#615.0#615.0#615.0#615.0#615.0#615.0#615.0#615.0#605.0#607.0	69.81404113769531#70.36395263671875#70.36395263671875#67.0741958618164#66.57522583007812#67.0741958618164#67.0741958618164#67.0741958618164#67.06609344482422#67.06609344482422#67.05805969238281#67.0422134399414#67.0422134399414#67.11964416503906#67.10247802734375	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	14#13#13#14#14#14#14#14#14#14#14#14#14#14#14	0#2#31#161#161#162#529#529#529#529#619#619#739#1022#3059	0#1#3#7#1#0#1#1#1#1#1#1#1#11#2	0#3#6#8#1#1#2#2#2#2#2#2#2#22#4	0#93#18#380#83#83#15#9#32#21#22#20#27#95#12	0#93#18#380#83#83#15#9#32#21#22#20#27#95#12	0#1#2#2#1#1#4#4#4#4#3#2#4#1#4	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#1#0	0#0#0#0#0#0#0#0#0#0#0#0#0#1#0	412402.5#401330.28#401330.28#518268.06#546328.5#518268.06#518268.06#518268.06#511211.66#511211.66#504360.03#506012.1#506012.1#486678.34#498432.4	22911.25#22296.127#22296.127#28792.67#30351.584#28792.67#28792.67#28792.67#28400.648#28400.648#28020.002#28111.783#28111.783#27037.686#27690.69	3829.799#3761.5234#3761.5234#4325.555#4416.835#4325.555#4325.555#4325.555#4332.3022#4332.3022#4338.999#4352.2417#4352.2417#4287.915#4302.09	1.2765996#1.2538412#1.2538412#1.4418517#1.4722784#1.4418517#1.4418517#1.4418517#1.4441007#1.4441007#1.446333#1.4507473#1.4507473#1.429305#1.4340299	107.68254#106.69355#106.69355#119.815384#123.69231#119.815384#119.815384#119.815384#118.0#118.0#116.2388#116.2647#116.2647#113.5#115.85821	testMimeDecoding.json
2315	21	0.0	6.652915186164382E-14	0	0	0	1	1.4	0	42	216.0	84.55288696289062	0	0	5	0	0	0	0	0	0	0	0	0	70313.086	3906.2825	1206.3519	0.4021173	58.285713	resetAndWipeToken.json
2392	10	0.0018123132176697254	6.284111464327491E-6	3	2	5	3	2.99	1	11	96.0	100.44731903076172	0	2	2	0	0	0	0	0	0	0	0	0	12665.882	703.6601	524.10547	0.17470182	24.166666	expectChained.json
2316	10#10#10#10#10#10	6.413188530132174E-4#6.640527280978858E-4#6.640527280978858E-4#5.468267481774092E-4#5.468267481774092E-4#4.382604965940118E-4	1.5107243549596935E-7#1.4855204170492169E-7#1.4855204170492169E-7#1.469852415073621E-7#1.469852415073621E-7#6.140576288271044E-8	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.83#1.83#1.83#1.83#1.83#1.83	0#0#0#0#0#0	16#16#16#17#17#18	117.0#117.0#117.0#117.0#117.0#120.0	99.87862396240234#99.87862396240234#99.87862396240234#99.87862396240234#99.87862396240234#99.68624877929688	0#0#0#0#0#0	0#0#0#0#0#0	3#3#3#3#3#3	0#0#0#1#1#69	0#1#0#1#0#1	0#2#0#2#0#2	0#9#0#14#0#21	0#9#0#14#0#21	0#1#0#2#0#1	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	23268.879#23268.879#23268.879#21611.158#21611.158#23972.258	1292.7155#1292.7155#1292.7155#1200.6199#1200.6199#1331.7921	638.7535#638.7535#638.7535#638.7535#638.7535#662.82745	0.21291782#0.21291782#0.21291782#0.21291782#0.21291782#0.22094248	36.428574#36.428574#36.428574#33.833332#33.833332#36.166664	testRsaDecrypt.json
2682	3#3	0.0#0.004288162104785442	0.010404713947631865#0.09410769634802237	0#0	0#0	0#0	1#1	1.89#1.89	0#0	8#6	52.0#39.0	124.57765197753906#126.2267074584961	0#0	1#1	0#0	0#195	0#2	0#4	0#71	0#71	0#3	0#0	0#0	0#0	2665.886#1498.8782	148.10478#83.27101	235.22522#171.30037	0.078408405#0.057100125	11.333334#8.75	setupDeduplicatePendingIntentFactoryResult.json
2392	9	0.002429301617667079	9.14539705864961E-4	2	2	4	3	2.95	1	10	74.0	103.91877746582031	0	2	0	0	0	0	0	0	0	0	0	0	5972.5625	331.80902	373.28516	0.124428384	16.0	expect.json
