Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
302	11	0.0	1.0799608285140446E-11	0	0	0	1	1.78	0	17	160.0	96.34060668945312	0	0	2	0	0	0	0	0	0	0	0	0	34523.04	1917.9467	937.277	0.31242567	36.833336	testObsValueMatch_shouldReturnTrueIfValueTextMatch.json
3584	8#8#8#8#13#11#11	0.031475163996219635#0.0374908521771431#0.0374908521771431#0.033665046095848083#0.0#0.0#0.0	0.003734482256259148#0.005644100993178877#0.005644100993178877#0.00966064591822606#1.4828959369698581E-6#6.506144065068138E-6#6.506144065068138E-6	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.94#1.94#1.94#1.94#1.69#1.78#1.78	0#0#0#0#0#0#0	5#6#6#6#23#20#20	63.0#62.0#62.0#60.0#113.0#103.0#103.0	107.16967010498047#107.30072784423828#107.30072784423828#107.5732192993164#95.7784194946289#99.09526824951172#99.09526824951172	0#0#0#0#0#0#0	0#0#0#0#0#2#2	2#2#2#2#2#0#0	0#169#537#537#538#1744#1744	0#1#0#1#8#1#0	0#2#0#2#11#4#0	0#28#0#17#344#108#0	0#28#0#17#344#108#0	0#2#8#6#4#4#4	0#0#0#0#1#0#0	0#0#0#0#1#0#0	0#0#0#0#1#0#0	6142.5#7039.088#7039.088#6145.3467#15802.612#12238.754#12238.754	341.25#391.06042#391.06042#341.40814#877.9229#679.9308#679.9308	315.0#307.1602#307.1602#291.47888#620.5794#551.8279#551.8279	0.105#0.10238673#0.10238673#0.097159624#0.2068598#0.18394263#0.18394263	19.5#22.916668#22.916668#21.083334#25.464287#22.178572#22.178572	validate_shouldFailIfNonCodedAllergenIsNullAndAllergenIsSetToOtherNonCoded.json
358	10	0.002341311424970627	5.981590090416058E-6	0	0	0	1	1.83	0	10	102.0	100.76052856445312	0	0	4	0	0	0	0	0	0	0	0	0	13036.685	724.26025	539.111	0.17970367	24.181818	deserialize_shouldNotDeserializeClassesThatAreNotWhitelisted.json
358	8	0.01662357710301876	4.010746812419536E-4	0	0	0	1	1.94	0	8	75.0	106.08924865722656	0	0	3	0	0	0	0	0	0	0	0	0	10469.099	581.6166	387.7444	0.12924813	27.0	deserialize_shouldDeserializeWhitelistedHierarchies.json
1904	9#9	0.05002541095018387#0.036756161600351334	0.003520193986082064#0.003206835060110644	0#0	0#0	0#0	1#1	1.89#1.89	0#0	9#10	67.0#67.0	105.03923034667969#104.98934173583984	0#0	0#0	3#3	0#1722	0#1	0#2	0#16	0#16	0#5	0#0	0#0	0#0	8641.735#8111.5674	480.0964#450.64264	328.76166#331.93115	0.10958722#0.110643715	26.285715#24.4375	shouldNotIgnoreDisableForeignKeyChecksForFilenameOtherThanLiquibaseCoreData_1_9_x.json
2664	3	0.4628399610519409	0.6015372894478251	0	0	0	1	1.89	0	3	23.0	129.4591827392578	0	1	0	0	0	0	0	0	0	0	0	0	996.6666	55.37037	92.0	0.030666666	10.833333	whenGettingMessageFromMessageSourceServiceWithKeyReturnSameKey.json
1904	9#9	0.012383943423628807#0.008817956782877445	0.0034446550337436923#0.0031447595468233453	0#0	0#0	0#0	1#1	1.89#1.89	0#0	9#10	67.0#67.0	105.03923034667969#104.98934173583984	0#0	0#0	3#3	0#1722	0#1	0#2	0#16	0#16	0#5	0#0	0#0	0#0	8641.735#8111.5674	480.0964#450.64264	328.76166#331.93115	0.10958722#0.110643715	26.285715#24.4375	shouldIgnoreEnableForeignKeyChecks.json
4011	18#18#18	1.2055593833792955E-4#1.2658357445616275E-4#0.0	8.032166275518488E-9#7.984343495034747E-9#2.3108826930126877E-9	0#0#0	0#0#0	0#0#0	1#1#1	1.26#1.26#1.26	0#0#0	19#19#21	149.0#149.0#155.0	89.00940704345703#89.00940704345703#88.77576446533203	0#0#0	0#0#0	3#3#3	0#2#2158	0#1#2	0#2#4	0#4#20	0#4#20	0#1#1	0#0#0	0#0#0	0#0#0	41943.293#41943.293#45200.3	2330.1829#2330.1829#2511.128	827.6337#827.6337#865.6692	0.27587792#0.27587792#0.2885564	50.67857#50.67857#52.214287	authenticateMockUser.json
48	10	0.06897301226854324	1.6424112770595145E-4	0	0	0	1	1.83	0	11	85.0	101.86450958251953	0	0	3	0	0	0	0	0	0	0	0	0	16567.584	920.4213	435.98904	0.14532968	38.0	resolveInitializationProperties_shouldFallbackToInstallScriptWhenNotInSystemOrEnvironment.json
48	20	3.756806836463511E-4	5.538117233107211E-12	0	0	0	1	2.19	1	20	182.0	85.9857177734375	0	0	5	0	0	0	0	0	0	0	0	0	77139.28	4285.5156	1066.1526	0.3553842	72.35294	shouldMergePropertiesFromSystemEnvAndInstallScript.json
358	15	0.0	1.480618348383972E-10	0	0	0	1	1.6	0	17	164.0	91.40825653076172	0	0	7	0	0	0	0	0	0	0	0	0	33799.234	1877.7352	920.81244	0.3069375	36.705883	deserialize_shouldDeserializeWhitelistedClassesAndPackages.json
2672	11	0.0020877374336123466	3.806562411539216E-4	0	0	0	1	1.78	0	14	83.0	100.36365509033203	0	0	2	0	0	0	0	0	0	0	0	0	12539.154	696.6197	432.38464	0.14412822	29.0	removeGlobalPropertyListener_shouldRemoveListener.json
4678	17#17#17	0.0#0.0#0.0	6.55044138846037E-11#3.32883928513626E-11#7.261831097244566E-11	0#0#0	0#0#0	0#0#0	1#1#1	1.52#1.52#1.52	0#0#0	26#26#26	171.0#173.0#168.0	89.13634490966797#89.02400207519531#89.15149688720703	0#0#0	0#0#0	3#3#3	0#548#1631	0#3#2	0#6#4	0#33#16	0#33#16	0#1#6	0#0#0	0#0#0	0#0#0	73566.89#72319.586#72332.19	4087.0496#4017.755#4018.4548	965.09937#986.1761#962.29065	0.3216998#0.32872537#0.32076356	76.22727#73.333336#75.16667	post_shouldPostUrlParametersAndGetResponse.json
3021	7#7#7#7	0.0010324009926989675#0.0010324009926989675#0.0010652410564944148#0.0016775414114817977	1.1536937701277529E-4#1.1536937701277529E-4#9.615905771752431E-5#1.4901676374277827E-4	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.98#1.98#1.98#1.98	0#0#0#0	14#14#14#14	78.0#78.0#78.0#76.0	107.93363952636719#107.93363952636719#107.86312866210938#108.03289794921875	0#0#0#0	0#0#0#0	1#1#1#1	0#0#229#1175	0#0#1#1	0#0#2#2	0#0#19#7	0#0#19#7	0#1#1#1	0#0#0#0	0#0#0#0	0#0#0#0	9564.465#9564.465#9117.58#9100.497	531.35913#531.35913#506.53223#505.58316	412.26138#412.26138#417.88907#404.46652	0.13742046#0.13742046#0.13929635#0.13482217	23.2#23.2#21.818182#22.5	getDuplicatePatientsByAttributes_shouldCallDaoGivenAttributes.json
48	8	0.10164585709571838	0.0019545722571006653	0	0	0	1	1.94	0	10	67.0	106.80360412597656	0	0	2	0	0	0	0	0	0	0	0	0	7604.424	422.468	337.9744	0.112658136	22.5	resolveInitializationProperties_shouldReturnNullForNonExistingProperties.json
3584	18#18#18#18#18#15#15	0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.449387843597696E-13#2.2036954039059677E-13#2.2036954039059677E-13#4.41452302845433E-13#2.5835853073405334E-13#1.1750072409379373E-11#1.1750072409379373E-11	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.49#1.49#1.49#1.49#1.49#1.6#1.6	0#0#0#0#0#0#0	18#19#19#19#20#17#17	194.0#193.0#193.0#191.0#193.0#172.0#172.0	87.23596954345703#87.2825698852539#87.2825698852539#87.37738037109375#87.30268859863281#90.98516082763672#90.98516082763672	0#0#0#0#0#0#0	0#0#0#0#0#1#1	8#8#8#8#8#6#6	0#169#537#537#538#1744#1744	0#1#0#1#1#3#0	0#2#0#2#2#9#0	0#28#0#17#73#225#0	0#28#0#17#73#225#0	0#2#8#6#4#4#4	0#0#0#0#1#0#0	0#0#0#0#1#0#0	0#0#0#0#1#0#0	48119.754#51160.32#51160.32#47724.125#49688.67#44738.64#44738.64	2673.3196#2842.24#2842.24#2651.3403#2760.4817#2485.48#2485.48	1164.0#1153.6151#1153.6151#1132.7709#1149.1599#998.86505#998.86505	0.388#0.38453838#0.38453838#0.3775903#0.3830533#0.332955#0.332955	41.339996#44.347824#44.347824#42.130432#43.23913#44.789474#44.789474	validate_shouldRejectADuplicateNonCodedAllergen.json
3845	11#11#10#9#9#8#8	0.0#0.0#0.0#0.0#0.0#0.0#0.0	8.612286374513257E-6#8.612286374513257E-6#1.8294564109122903E-5#1.3262731253120235E-4#2.3037633317882678E-4#1.6542631920803168E-4#1.6542631920803168E-4	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.92#1.92#1.96#1.89#1.89#1.94#1.94	0#0#0#0#0#0#0	9#9#8#8#8#8#8	100.0#100.0#94.0#82.0#80.0#80.0#80.0	99.24897766113281#99.24897766113281#101.14944458007812#103.67755126953125#103.88660430908203#105.8372573852539#105.8372573852539	0#0#0#0#0#0#0	0#0#0#0#0#0#0	3#3#3#3#3#3#3	0#164#274#798#800#1994#1997	0#0#0#0#1#1#0	0#0#1#1#2#3#0	0#0#59#140#17#28#0	0#0#59#140#17#28#0	0#1#1#8#1#1#1	0#1#0#0#0#0#0	0#1#0#0#0#0#0	0#1#0#0#0#0#0	17048.496#17048.496#14400.376#11124.354#9831.126#11233.118#11233.118	947.1387#947.1387#800.0209#618.01965#546.17365#624.06213#624.06213	535.7552#535.7552#500.26123#427.1752#410.34265#406.99704#406.99704	0.17858507#0.17858507#0.16675374#0.14239173#0.13678089#0.13566568#0.13566568	31.82143#31.82143#28.785713#26.041666#23.958332#27.599998#27.599998	checkIdentifierAgainstFormat_shouldIncludeFormatDescriptionInErrorMessageIfSpecified.json
3584	17#17#17#17#14#14	0.0#0.0#0.0#0.0#0.0#0.0	1.3877520398740263E-12#1.3877520398740263E-12#2.7962696750224918E-12#1.980925977683336E-12#6.01689710551911E-11#6.01689710551911E-11	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.52#1.52#1.52#1.52#1.64#1.64	0#0#0#0#0#0	18#18#18#19#16#16	185.0#185.0#183.0#184.0#165.0#165.0	88.51166534423828#88.51166534423828#88.61235046386719#88.56169128417969#92.41552734375#92.41552734375	0#0#0#0#0#0	0#0#0#0#1#1	7#7#7#7#5#5	0#537#537#538#1744#1744	0#0#1#2#4#0	0#0#2#4#11#0	0#0#17#77#226#0	0#0#17#77#226#0	0#8#6#4#4#4	0#0#0#1#0#0	0#0#0#1#0#0	0#0#0#1#0#0	44842.45#44842.45#41605.074#42330.836#39974.336#39974.336	2491.247#2491.247#2311.393#2351.7131#2220.7964#2220.7964	1088.289#1088.289#1067.4188#1077.8685#940.5726#940.5726	0.362763#0.362763#0.35580626#0.3592895#0.3135242#0.3135242	41.204544#41.204544#38.977272#39.272728#42.5#42.5	validate_shouldRejectADuplicateAllergen.json
