Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2706	29#29#29#29	0.0#0.0#0.0#0.0	1.0742451838094005E-25#9.034875406493499E-26#1.388465161018347E-25#2.1358165551500273E-25	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.22#1.22#1.22#1.22	0#0#0#0	43#43#43#43	331.0#331.0#329.0#327.0	76.36126708984375#76.34797668457031#76.3794937133789#76.41120147705078	0#0#0#0	0#0#0#0	8#8#8#8	0#18#74#86	0#1#1#1	0#2#2#2	0#9#3#3	0#9#3#3	0#5#4#4	0#0#1#1	0#0#1#1	0#0#1#1	127988.22#130736.805#128259.234#125802.18	7110.4565#7263.156#7125.513#6989.01	2132.6143#2138.0718#2125.153#2112.2341	0.7108714#0.7126906#0.70838434#0.704078	60.014706#61.14706#60.35294#59.558823	testCancelAfterNodeFound.json
3226	11#11	0.00515077356249094#0.00515077356249094	1.3632879696009438E-5#1.3632879696009438E-5	0#0	0#0	0#0	1#1	1.78#1.78	0#0	12#12	96.0#96.0	99.4276123046875#99.4276123046875	0#0	0#0	3#3	0#520	0#0	0#0	0#0	0#0	0#4	0#0	0#0	0#0	13280.033#13280.033	737.7796#737.7796	517.6625#517.6625	0.17255417#0.17255417	25.653845#25.653845	handleEvent_OnOffType1invertFalse_returnOnOffTypeOn.json
3226	11#11	0.003079101676121354#0.003079101676121354	6.049192050763627E-6#6.049192050763627E-6	0#0	0#0	0#0	1#1	1.78#1.78	0#0	12#12	100.0#100.0	99.15101623535156#99.15101623535156	0#0	0#0	3#3	0#520	0#0	0#0	0#0	0#0	0#4	0#0	0#0	0#0	16014.334#16014.334	889.68524#889.68524	545.9432#545.9432	0.18198106#0.18198106	29.333334#29.333334	handleEvent_PercentType0invertPercentFalse_returnPercentType0.json
3226	11#11	0.005787515547126532#0.005787515547126532	6.625914169873116E-5#6.625914169873116E-5	0#0	0#0	0#0	1#1	1.78#1.78	0#0	11#11	87.0#87.0	99.93950653076172#99.93950653076172	0#0	0#0	2#2	0#520	0#0	0#0	0#0	0#0	0#4	0#0	0#0	0#0	12559.933#12559.933	697.77405#697.77405	469.1316#469.1316	0.1563772#0.1563772	26.772728#26.772728	receiveCommand_PercentType80invertPercentFalse_setValue80.json
3226	11#11	0.005447546020150185#0.005447546020150185	6.902007505288382E-5#6.902007505288382E-5	0#0	0#0	0#0	1#1	1.78#1.78	0#0	11#11	87.0#87.0	99.93950653076172#99.93950653076172	0#0	0#0	2#2	0#520	0#0	0#0	0#0	0#0	0#4	0#0	0#0	0#0	12559.933#12559.933	697.77405#697.77405	469.1316#469.1316	0.1563772#0.1563772	26.772728#26.772728	receiveCommand_PercentType0invertPercentFalse_setValue0.json
2410	10#10	0.021686876192688942#0.021989893168210983	0.0011588678776322764#0.0011529522480612964	0#0	0#0	0#0	1#1	1.83#1.83	0#0	9#9	74.0#74.0	102.71790313720703#102.71790313720703	0#0	0#0	0#0	0#689	0#1	0#2	0#4	0#4	0#12	0#0	0#0	0#0	3330.0#3330.0	185.0#185.0	370.0#370.0	0.123333335#0.123333335	9.0#9.0	setup.json
3226	9#11#16#16#16#16	0.013256200589239597#6.181160570122302E-4#0.0#0.0#0.0#0.0	4.0121713120532253E-4#8.95753972800893E-7#1.9064836322687392E-12#1.9064836322687392E-12#1.3456539275605375E-12#1.337051314729437E-12	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.66#1.54#1.32#1.32#1.32#1.32	0#0#0#0#0#0	9#12#24#24#24#24	79.0#111.0#184.0#184.0#185.0#185.0	103.99458312988281#98.6400375366211#89.6855697631836#89.6855697631836#89.63237762451172#89.63237762451172	0#0#0#0#0#0	1#1#1#1#1#1	4#5#4#4#4#4	0#63#185#520#636#1505	0#2#11#0#1#1	0#2#17#0#2#2	0#177#558#0#10#8	0#177#558#0#10#8	0#2#14#4#1#12	0#0#0#0#0#0	0#0#1#0#0#0	0#0#1#0#0#0	7736.7593#12966.511#33723.8#33723.8#35245.387#35245.387	429.81995#720.3617#1873.5444#1873.5444#1958.077#1958.077	401.90958#602.31537#1048.881#1048.881#1059.6653#1059.6653	0.13396986#0.2007718#0.349627#0.349627#0.35322177#0.35322177	19.25#21.527777#32.152172#32.152172#33.260868#33.260868	getCommandClass.json
3041	24#24#24	0.0#0.0#0.0	3.556990046509723E-18#3.556990046509723E-18#3.547120551111744E-18	0#0#0	0#0#0	0#0#0	1#1#1	3.12#3.12#3.12	1#1#1	39#39#39	252.0#252.0#252.0	81.05338287353516#81.05338287353516#81.05338287353516	0#0#0	0#0#0	4#4#4	0#335#1320	0#0#4	0#0#8	0#0#31	0#0#31	0#4#12	0#0#0	0#0#0	0#0#0	99439.53#99439.53#99439.53	5524.4185#5524.4185#5524.4185	1559.8358#1559.8358#1559.8358	0.51994526#0.51994526#0.51994526	63.75#63.75#63.75	TestTransactionType4Wakeup.json
3226	26#26#26	0.0#0.0#0.0	1.6753873160890494E-13#9.638188071462092E-14#9.638188071462092E-14	1#1#1	1#1#1	2#2#2	4#4#4	4.62#4.62#4.62	3#3#3	27#27#27	204.0#206.0#206.0	80.16549682617188#80.09829711914062#80.09829711914062	0#0#0	1#1#1	5#5#5	0#185#520	0#1#0	0#2#0	0#31#0	0#31#0	0#14#4	0#0#0	0#1#0	0#1#0	58186.332#62624.93#62624.93	3232.574#3479.1628#3479.1628	1262.7242#1279.1475#1279.1475	0.4209081#0.42638248#0.42638248	46.079998#48.958336#48.958336	processCommandClassMessages.json
3226	11#11	0.005101751536130905#0.005101751536130905	1.3658410836159126E-5#1.3658410836159126E-5	0#0	0#0	0#0	1#1	1.78#1.78	0#0	12#12	96.0#96.0	99.4276123046875#99.4276123046875	0#0	0#0	3#3	0#520	0#0	0#0	0#0	0#0	0#4	0#0	0#0	0#0	13280.033#13280.033	737.7796#737.7796	517.6625#517.6625	0.17255417#0.17255417	25.653845#25.653845	handleEvent_OnOffType1invertTrue_returnOnOffTypeOff.json
3226	11#11#11	0.003032984444871545#0.002968198386952281#0.002968198386952281	9.619127196878019E-6#9.763179965931852E-6#9.763179965931852E-6	0#0#0	0#0#0	0#0#0	1#1#1	1.78#1.78#1.78	0#0#0	12#12#12	98.0#98.0#98.0	99.28775787353516#99.28775787353516#99.28775787353516	0#0#0	0#0#0	3#3#3	0#280#520	0#3#0	0#6#0	0#8#0	0#8#0	0#2#4	0#0#0	0#0#0	0#0#0	13498.876#13498.876#13498.876	749.93756#749.93756#749.93756	531.7739#531.7739#531.7739	0.17725797#0.17725797#0.17725797	25.384615#25.384615#25.384615	handleEvent_PercentType99invertPercentTrue_returnPercentType0.json
3226	11#11	0.0031470211688429117#0.0031470211688429117	5.372826362467975E-6#5.372826362467975E-6	0#0	0#0	0#0	1#1	1.78#1.78	0#0	12#12	100.0#100.0	99.12023162841797#99.12023162841797	0#0	0#0	3#3	0#520	0#0	0#0	0#0	0#0	0#4	0#0	0#0	0#0	14870.248#14870.248	826.1249#826.1249	549.1853#549.1853	0.18306176#0.18306176	27.076923#27.076923	handleEvent_PercentType0invertPercentTrue_returnPercentType100.json
2706	25#25#26#26	0.0#0.0#0.0#0.0	4.14131415926542E-21#3.466406426043027E-21#7.054229829859759E-22#1.0719252997855256E-21	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.3#1.3#1.28#1.28	0#0#0#0	43#43#46#46	286.0#286.0#293.0#291.0	79.73394012451172#79.71747589111328#78.9085693359375#78.94418334960938	0#0#0#0	0#0#0#0	6#6#6#6	0#18#74#86	0#1#3#1	0#2#5#2	0#9#71#3	0#9#71#3	0#5#4#4	0#0#1#1	0#0#1#1	0#0#1#1	113851.766#116543.68#125701.02#122829.414	6325.098#6474.649#6983.39#6823.8564	1770.2898#1775.9037#1836.1685#1823.6349	0.5900966#0.5919679#0.61205614#0.60787827	64.3125#65.625#68.45833#67.35417	testCancelBeforeNodeFound.json
2478	19#19	1.6270815103780478E-4#1.3656733790412545E-4	3.2179147060496285E-13#3.182975938562214E-13	0#0	0#0	0#0	1#1	3.14#3.14	1#1	27#27	189.0#189.0	86.38500213623047#86.38500213623047	0#0	0#0	6#6	0#757	0#3	0#6	0#48	0#48	0#12	0#0	0#0	0#0	63585.18#63585.18	3532.51#3532.51	1158.4344#1158.4344	0.38614482#0.38614482	54.88889#54.88889	test.json
