Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
576	26#26	0.0#0.0	1.720679358711308E-18#1.720679358711308E-18	0#0	0#0	0#0	1#1	1.44#1.44	0#0	32#32	257.0#257.0	79.62187194824219#79.62187194824219	0#0	0#0	9#9	0#117	0#0	0#0	0#0	0#0	0#148	0#0	0#0	0#0	100850.805#100850.805	5602.8223#5602.8223	1600.8064#1600.8064	0.5336021#0.5336021	63.0#63.0	shouldReturnErrorWhenRemoveAnotherUserImage.json
459	17	0.0	6.654952275964899E-10	0	0	0	1	1.7	0	23	162.0	89.52952575683594	0	0	4	0	0	0	0	0	0	0	0	0	33581.957	1865.6643	894.817	0.29827234	37.52941	shouldGetCountOfDiaryEntriesForSpecificPlant.json
459	17	4.969943547621369E-4	7.500557751102123E-9	0	0	0	1	1.7	0	25	151.0	89.95589447021484	0	0	5	0	0	0	0	0	0	0	0	0	20067.002	1114.8335	824.3742	0.2747914	24.342104	shouldReturnUserStats.json
459	7	0.08086121827363968	0.018497014446093633	0	0	0	1	1.98	0	5	52.0	110.53502655029297	0	0	1	0	0	0	0	0	0	0	0	0	3166.4446	175.91359	249.98245	0.08332749	12.666667	testGetEntryByNonExistentId.json
459	11	0.0	2.8936220110891174E-8	0	0	0	1	1.92	0	16	123.0	97.82490539550781	0	0	2	0	0	0	0	0	0	0	0	0	16103.641	894.6467	704.53424	0.23484474	22.857143	testGetAllPlantsWithDefaultParams.json
459	9	0.009917332790791988	0.0013715698285639366	0	0	0	1	1.99	0	8	69.0	104.57514190673828	0	0	2	0	0	0	0	0	0	0	0	0	6365.301	353.6278	359.4523	0.119817436	17.708332	testCountUserImage.json
576	15#16	0.003942406736314297#5.877178045921028E-4	1.2908664699174536E-7#4.9980339964679114E-8	0#0	0#0	0#0	1#1	1.77#1.73	0#0	17#19	131.0#138.0	92.72236633300781#91.4061508178711	0#0	0#0	4#4	0#117	0#14	0#27	0#368	0#368	0#148	0#0	0#0	0#0	20650.982#26218.377	1147.2769#1456.5765	715.18555#753.40155	0.23839518#0.25113386	28.875#34.800003	shouldGetPlantById.json
459	19	0.00113395182415843	2.0253686898463E-9	0	0	0	1	1.63	0	21	159.0	87.76737976074219	0	0	5	0	0	0	0	0	0	0	0	0	33195.867	1844.2148	888.00903	0.296003	37.38235	shouldGetDiaryEntryByIdSuccessfully.json
459	10	0.0033597007859498262	1.094540148888121E-4	0	0	0	1	1.96	0	9	84.0	101.69963836669922	0	0	3	0	0	0	0	0	0	0	0	0	8679.234	482.1797	450.03436	0.15001145	19.285715	testGetDiaryEntryStatsByPlantId.json
459	10#10	0.03665973246097565#0.03659826144576073	7.675908722886613E-5#7.650561146225099E-5	0#0	0#0	0#0	1#1	1.96#1.96	0#0	8#8	87.0#87.0	101.62466430664062#101.62466430664062	0#0	0#0	3#3	0#56	0#1	0#2	0#8	0#8	0#20	0#0	0#0	0#0	9219.195#9219.195	512.1775#512.1775	456.5697#456.5697	0.1521899#0.1521899	20.192307#20.192307	testUpdateNonExistentDiaryEntry.json
