Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3192	13#13#13#16#16#16#17#16#17#16#17#16#16#16#16#16	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	6.701100296847904E-10#6.781792184807471E-10#8.739842883903625E-10#5.060914264036458E-13#4.987216625560639E-13#4.996521455830526E-13#2.878813095530804E-14#2.2640212788308745E-13#2.878813095530804E-14#2.2640212788308745E-13#5.751426454469633E-14#7.028838834971526E-14#1.2044889836334854E-13#3.86783751222713E-14#5.716018380367154E-14#5.716018380367154E-14	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	1.69#1.69#1.69#1.56#1.56#1.56#1.52#1.56#1.52#1.56#1.52#1.56#1.56#1.56#1.56#1.56	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	21#21#20#27#27#27#31#28#31#28#30#28#28#29#29#29	145.0#145.0#145.0#184.0#184.0#184.0#199.0#188.0#199.0#188.0#197.0#194.0#192.0#197.0#195.0#195.0	94.16854095458984#94.16854095458984#94.21468353271484#89.43897247314453#89.43897247314453#89.43897247314453#88.01026153564453#89.32714080810547#88.01026153564453#89.32714080810547#88.10186004638672#89.16378021240234#89.23778533935547#89.083984375#89.13704681396484#89.13704681396484	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	4#4#4#5#5#5#5#5#5#5#5#5#5#5#5#5	0#0#0#303#348#378#1021#1168#1168#1169#1663#2015#2057#2319#2319#2632	0#2#1#4#2#1#1#0#1#0#2#3#1#1#1#0	0#4#2#5#4#2#1#1#1#1#4#6#2#2#2#0	0#10#13#201#6#5#60#38#38#38#69#170#11#24#12#0	0#10#13#201#6#5#60#38#38#38#69#170#11#24#12#0	0#4#4#4#3#3#3#2#1#1#3#7#8#8#7#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#1#1#0#1#0#0#0#0#0#0#0#1#0	0#1#0#0#0#0#1#0#0#0#0#0#0#0#1#0	27381.773#27381.773#27001.992#44067.773#44067.773#44067.773#49240.71#45025.766#49240.71#45025.766#50472.97#47392.035#47806.78#51570.207#49960.55#49960.55	1521.2096#1521.2096#1500.1107#2448.2097#2448.2097#2448.2097#2735.595#2501.4314#2735.595#2501.4314#2804.0537#2632.8909#2655.9324#2865.0115#2775.5862#2775.5862	845.76904#845.76904#838.2972#1099.8196#1099.8196#1099.8196#1198.4512#1123.7286#1198.4512#1123.7286#1177.5242#1159.5924#1143.2057#1177.5242#1165.5696#1165.5696	0.28192303#0.28192303#0.2794324#0.36660653#0.36660653#0.36660653#0.3994837#0.3745762#0.3994837#0.3745762#0.39250806#0.38653082#0.38106856#0.39250806#0.3885232#0.3885232	32.375#32.375#32.210526#40.068184#40.068184#40.068184#41.086956#40.068184#41.086956#40.068184#42.863636#40.869564#41.81818#43.795456#42.863636#42.863636	testAuxClasspathChangeInvalidatesCache.json
2685	11#11#11#11#11#11	7.781278109177947E-4#6.827580509707332E-4#9.292809991165996E-4#3.9875556831248105E-4#9.0251729125157E-4#9.0251729125157E-4	1.8152169438314996E-7#2.2000076389251435E-7#3.550927638767501E-7#1.1179207984342666E-7#1.8944569584737617E-7#1.8944569584737617E-7	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.78#1.78#1.78#1.78#1.78#1.78	0#0#0#0#0#0	15#16#16#17#17#17	118.0#117.0#115.0#120.0#117.0#117.0	98.25955200195312#98.3038101196289#98.42425537109375#98.14221954345703#98.27387237548828#98.27387237548828	0#0#0#0#0#0	0#0#0#0#0#0	3#3#3#3#3#3	0#1508#1550#1812#1812#2125	0#3#1#1#2#0	0#6#2#2#4#0	0#121#11#24#33#0	0#121#11#24#33#0	0#7#8#8#7#0	0#0#0#0#0#0	0#0#0#0#1#0	0#0#0#0#1#0	22276.33#20561.498#20927.82#21873.307#20506.225#20506.225	1237.5739#1142.3054#1162.6567#1215.1837#1139.2347#1139.2347	648.0387#642.5468#627.83466#662.82745#646.2568#646.2568	0.2160129#0.21418227#0.20927823#0.22094248#0.21541892#0.21541892	34.375#32.0#33.333332#33.0#31.730768#31.730768	testAuxClasspathNonExistingAuxclasspathEntriesIgnored.json
826	6	0.011759365908801556	0.011108867386200703	0	0	0	1	1.89	0	10	59.0	112.62183380126953	0	0	1	0	0	0	0	0	0	0	0	0	4869.23	270.5128	270.5128	0.09017093	18.0	createMockListener.json
3192	10#10#10#10#10#10#10#10#10#10	0.00590152945369482#0.0057183182798326015#0.0075762346386909485#0.0072361477650702#0.0076270815916359425#0.005242444574832916#0.007322403602302074#0.002939607249572873#0.005338232032954693#0.005338232032954693	3.4658505248668595E-4#3.506824213202063E-4#3.949600243521565E-4#4.1327178839425526E-4#2.2382535736139236E-4#1.8983659531496028E-4#2.9818755556671047E-4#9.987889034464565E-5#1.4076711932200494E-4#1.4076711932200494E-4	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.83#1.83#1.83#1.83#1.83#1.83#1.83#1.83#1.83#1.83	0#0#0#0#0#0#0#0#0#0	10#10#9#9#9#9#9#10#10#10	80.0#80.0#80.0#80.0#82.0#83.0#81.0#86.0#84.0#84.0	102.09911346435547#102.09911346435547#102.13871765136719#102.13871765136719#101.93244934082031#101.86941528320312#102.03451538085938#101.64778137207031#101.7701416015625#101.7701416015625	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3#3#3	0#0#0#303#1939#2015#2057#2319#2319#2632	0#2#1#1#1#2#1#1#1#0	0#4#2#2#2#4#2#2#2#0	0#10#13#6#19#94#11#24#12#0	0#10#13#6#19#94#11#24#12#0	0#4#4#4#2#7#8#8#7#0	0#0#0#0#0#0#0#0#0#0	0#1#0#1#1#0#0#0#1#0	0#1#0#0#1#0#0#0#1#0	9116.544#9116.544#9399.864#9399.864#10562.648#9909.399#9973.735#10738.616#9989.41#9989.41	506.47467#506.47467#522.21466#522.21466#586.8138#550.5222#554.09644#596.5898#554.9672#554.9672	416.7563#416.7563#413.59402#413.59402#430.33008#435.578#421.96573#454.5446#443.9738#443.9738	0.13891876#0.13891876#0.13786468#0.13786468#0.14344336#0.14519267#0.14065525#0.15151486#0.14799125#0.14799125	21.875#21.875#22.727274#22.727274#24.545456#22.75#23.636364#23.625#22.5#22.5	testRulesetChangeInvalidatesCache.json
1803	11#11#11	0.004185500089079142#0.004032712895423174#0.0028786947950720787	3.0408396469821597E-5#4.0669424459212054E-5#5.100437975704982E-5	0#0#0	0#0#0	0#0#0	1#1#1	1.78#1.78#1.78	0#0#0	14#14#14	92.0#91.0#91.0	99.68255615234375#99.77407836914062#99.84689331054688	0#0#0	0#0#0	3#3#3	0#668#977	0#1#2	0#2#4	0#7#40	0#7#40	0#8#1	0#0#0	0#0#0	0#0#0	18298.719#17434.637#17013.127	1016.59546#968.59094#945.1737	492.89478#484.29544#477.56143	0.16429825#0.16143182#0.15918714	37.125#36.0#35.625	testViolationCounterOnMulti.json
894	24#21#21#21#21#21#21	0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.2329005236976236E-16#1.1391199818399284E-15#1.3842751472042166E-15#1.3906339370794087E-15#1.4071490568357744E-15#1.4071490568357744E-15#5.8688922805539675E-15	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	2.66#2.84#2.84#2.84#2.84#2.84#2.84	2#2#2#2#2#2#2	35#30#30#30#30#30#32	235.0#216.0#215.0#215.0#215.0#215.0#208.0	81.45034790039062#84.001708984375#84.02584075927734#84.02584075927734#84.02584075927734#84.02584075927734#84.19795989990234	0#0#0#0#0#0#0	0#0#0#0#0#0#0	6#6#6#6#6#6#6	0#21#21#21#22#334#348	0#3#1#1#2#0#1	0#9#2#2#4#0#2	0#194#21#4#8#0#83	0#194#21#4#8#0#83	0#8#7#1#2#0#1	0#0#0#0#0#0#0	0#0#1#0#0#0#0	0#0#1#0#0#0#0	61744.52#50231.676#49999.12#49999.12#49999.12#49999.12#47357.43	3430.251#2790.6487#2777.729#2777.729#2777.729#2777.729#2630.9683	1445.1906#1341.242#1335.0325#1335.0325#1335.0325#1335.0325#1291.5664	0.4817302#0.44708064#0.4450108#0.4450108#0.4450108#0.4450108#0.43052214	42.724136#37.451614#37.451614#37.451614#37.451614#37.451614#36.666664	testDisplayNameIsRespected.json
1808	7#7	0.004544097930192947#0.003509024390950799	0.0034210298404096194#0.0023851415076390366	0#0	0#0	0#0	1#1	1.81#1.81	0#0	11#11	64.0#65.0	109.51236724853516#109.32020568847656	0#0	1#2	1#1	0#228	0#2	0#4	0#33	0#33	0#1	0#0	0#0	0#0	6086.256#6946.913	338.12534#385.9396	304.3128#315.76877	0.1014376#0.10525626	20.0#22.0	newIvar.json
3192	10#10#10#11#11#11#11#11#11#11	0.0020650248043239117#0.0019857275765389204#0.0026285783387720585#9.77985793724656E-4#0.0010950055439025164#1.8972101679537445E-4#2.576711121946573E-4#1.1104229633929208E-4#2.5077324244193733E-4#2.5077324244193733E-4	5.418246272535695E-6#5.47846489576499E-6#6.799439176599896E-6#7.844223841061927E-7#7.689325827204903E-7#1.0613588720098434E-7#1.7229689094348874E-7#5.380738985278151E-8#9.188566802801483E-8#9.188566802801483E-8	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.83#1.83#1.83#1.78#1.78#1.78#1.78#1.78#1.78#1.78	0#0#0#0#0#0#0#0#0#0	13#13#12#15#15#16#16#17#17#17	97.0#97.0#97.0#111.0#111.0#120.0#118.0#123.0#120.0#120.0	100.7927017211914#100.7927017211914#100.85343170166016#98.60834503173828#98.60834503173828#98.11309051513672#98.2296142578125#97.95633697509766#98.08473205566406#98.08473205566406	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3#3#3	0#0#0#303#348#2015#2057#2319#2319#2632	0#2#1#1#2#3#1#1#2#0	0#4#2#1#4#6#2#2#4#0	0#10#13#49#6#130#11#24#33#0	0#10#13#49#6#130#11#24#33#0	0#4#4#4#3#7#8#8#7#0	0#0#0#0#0#0#0#0#0#0	0#1#0#1#1#0#0#0#1#0	0#1#0#0#0#0#0#0#1#0	14960.78#14960.78#14827.816#18583.904#18583.904#19196.658#19367.188#20402.426#19167.592#19167.592	831.1545#831.1545#823.7676#1032.4391#1032.4391#1066.481#1075.9548#1133.4681#1064.8662#1064.8662	535.7855#535.7855#529.5649#605.9969#605.9969#666.55066#651.78033#686.9504#670.1955#670.1955	0.17859517#0.17859517#0.17652163#0.20199896#0.20199896#0.22218356#0.2172601#0.22898346#0.22339849#0.22339849	27.923077#27.923077#28.0#30.666666#30.666666#28.8#29.714285#29.699999#28.6#28.6	testAuxClasspathChangeWithoutDFAorTypeResolutionDoesNotInvalidatesCache.json
2889	15#15#15#16#15#16#15#15#15#15#15	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	5.552659785283788E-12#5.468311984238721E-12#5.477336563894932E-12#3.2109334607649264E-13#2.479394220466856E-12#6.286597750755974E-13#7.705862679523275E-13#1.3063426469266411E-12#4.238757615025087E-13#6.262910348721203E-13#6.262910348721203E-13	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1.6#1.6#1.6#1.56#1.6#1.56#1.6#1.6#1.6#1.6#1.6	0#0#0#0#0#0#0#0#0#0#0	24#24#24#28#25#27#25#25#26#26#26	170.0#170.0#170.0#185.0#174.0#183.0#180.0#178.0#183.0#181.0#181.0	90.89601135253906#90.89601135253906#90.89601135253906#89.37171173095703#90.77507781982422#89.46731567382812#90.59879302978516#90.67700958251953#90.5128402709961#90.56998443603516#90.56998443603516	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	5#5#5#5#5#5#5#5#5#5#5	0#45#75#718#865#1360#1712#1754#2016#2016#2329	0#2#1#1#0#2#3#1#1#1#0	0#4#2#1#1#4#6#2#2#2#0	0#6#5#60#38#69#170#11#24#12#0	0#6#5#60#38#69#170#11#24#12#0	0#3#3#3#2#3#7#8#8#7#0	0#0#0#0#0#0#0#0#0#0#0	0#1#0#1#0#0#0#0#0#1#0	0#0#0#1#0#0#0#0#0#1#0	38821.074#38821.074#38821.074#43742.03#39734.51#44847.535#42100.844#42393.875#45866.793#44357.395#44357.395	2156.7263#2156.7263#2156.7263#2430.1128#2207.473#2491.5298#2338.9358#2355.2153#2548.1553#2464.2998#2464.2998	1016.13763#1016.13763#1016.13763#1114.1381#1040.0468#1093.8423#1075.9104#1059.8469#1093.8423#1081.8877#1081.8877	0.33871254#0.33871254#0.33871254#0.37137935#0.34668225#0.3646141#0.3586368#0.3532823#0.3646141#0.36062923#0.36062923	38.204544#38.204544#38.204544#39.26087#38.204544#41.0#39.130436#40.0#41.931816#41.0#41.0	testAuxClasspathJarContentsChangeInvalidatesCache.json
1529	12#12#12#12#12#12	0.0017891235183924437#3.490791714284569E-4#4.6643317909911275E-4#2.1079393627587706E-4#4.4822506606578827E-4#4.4822506606578827E-4	3.695620046240937E-7#5.974170205806208E-8#9.768906471558831E-8#3.012964798541052E-8#5.163822116509213E-8#5.163822116509213E-8	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.73#1.73#1.73#1.73#1.73#1.73	0#0#0#0#0#0	15#16#16#17#17#17	117.0#125.0#123.0#128.0#125.0#125.0	96.89422607421875#96.46287536621094#96.57510375976562#96.31192779541016#96.43525695800781#96.43525695800781	0#0#0#0#0#0	0#0#0#0#0#0	4#4#4#4#4#4	0#352#394#656#656#969	0#3#1#1#2#0	0#6#2#2#4#0	0#132#11#24#33#0	0#132#11#24#33#0	0#7#8#8#7#0	0#0#0#0#0#0	0#0#0#0#1#0	0#0#0#0#1#0	21352.326#20943.61#21134.1#22234.252#20989.365#20989.365	1186.2404#1163.5338#1174.1167#1235.2362#1166.0758#1166.0758	642.5468#698.1203#683.2144#718.68286#701.83875#701.83875	0.21418227#0.23270677#0.22773814#0.23956095#0.23394625#0.23394625	33.23077#30.0#30.933332#30.9375#29.90625#29.90625	testCacheValidityWithIrrelevantChanges.json
