Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4230	6#5#5#5#5#5#5#5	0.20616480708122253#0.19219015538692474#0.42497608065605164#0.42497608065605164#0.42497608065605164#0.5007333755493164#0.4899774193763733#0.48778265714645386	0.0797696751983145#0.14643109675985816#0.1357118745758537#0.1357118745758537#0.1357118745758537#0.17424393799796256#0.1744141224396946#0.17753131869795313	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	2.0#1.96#1.96#1.96#1.96#1.96#1.96#1.96	0#0#0#0#0#0#0#0	4#4#6#6#6#6#6#6	40.0#34.0#35.0#35.0#35.0#34.0#34.0#34.0	114.39656066894531#118.37519836425781#118.29083251953125#118.29083251953125#118.29083251953125#118.51167297363281#118.51167297363281#118.51167297363281	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#0#0#0#0#0#0#0	0#0#6#166#1537#1581#1585#1661	0#2#1#0#0#1#1#1	0#5#2#0#0#2#2#2	0#75#31#0#0#4#13#16	0#75#31#0#0#4#13#16	0#4#3#0#16#2#7#9	0#0#0#0#0#0#0#0	0#0#0#0#1#0#0#0	0#0#0#0#1#0#0#0	2403.6772#1421.02#1524.5#1524.5#1524.5#1384.21#1384.21#1384.21	133.53763#78.94556#84.69444#84.69444#84.69444#76.90055#76.90055#76.90055	192.29419#157.89111#160.47368#160.47368#160.47368#153.8011#153.8011#153.8011	0.06409806#0.052630372#0.053491227#0.053491227#0.053491227#0.051267035#0.051267035#0.051267035	12.5#9.0#9.5#9.5#9.5#9.0#9.0#9.0	shouldNotScheduleIncomingBackupIfAutoBackupIsDisabled.json
3520	9#9#9	2.1052775264251977E-4#2.1052775264251977E-4#2.196775167249143E-4	3.07381569917166E-5#3.07381569917166E-5#3.0508139361261463E-5	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	15#15#15	97.0#97.0#97.0	103.06523895263672#103.06523895263672#103.06523895263672	0#0#0	0#0#0	0#0#0	0#827#951	0#0#1	0#0#2	0#0#6	0#0#6	0#16#5	0#0#0	0#1#0	0#1#0	19342.422#19342.422#19342.422	1074.579#1074.579#1074.579	480.55707#480.55707#480.55707	0.1601857#0.1601857#0.1601857	40.25#40.25#40.25	shouldUseOAuth2ClientWhenRefreshTokenIsPresent.json
4210	10#10#10	0.0034477070439606905#0.0034477070439606905#0.0034477070439606905	3.5349363020931825E-6#3.5349363020931825E-6#3.5349363020931825E-6	0#0#0	0#0#0	0#0#0	1#1#1	1.83#1.83#1.83	0#0#0	11#11#11	99.0#99.0#99.0	100.68657684326172#100.68657684326172#100.68657684326172	0#0#0	0#0#0	3#3#3	0#146#1517	0#0#0	0#0#0	0#0#0	0#0#0	0#0#16	0#0#0	0#0#1	0#0#1	13944.232#13944.232#13944.232	774.67957#774.67957#774.67957	546.83264#546.83264#546.83264	0.18227755#0.18227755#0.18227755	25.5#25.5#25.5	shouldAddMessageWithInvalidDate.json
4230	9#9#9#9#8	0.017786676064133644#0.017786676064133644#0.017786676064133644#0.01718587800860405#0.11465007811784744	6.343631933771265E-4#6.343631933771265E-4#6.343631933771265E-4#6.442266253547936E-4#0.004561352545232379	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.94	0#0#0#0#0	10#10#10#10#9	72.0#72.0#72.0#72.0#61.0	104.31556701660156#104.31556701660156#104.31556701660156#104.31556701660156#107.24725341796875	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#166#1537#1666#1673	0#0#0#1#1	0#0#0#2#3	0#0#0#7#52	0#0#0#7#52	0#0#16#9#4	0#0#0#0#1	0#0#1#0#1	0#0#1#0#1	6549.414#6549.414#6549.414#6549.414#4468.8276	363.85632#363.85632#363.85632#363.85632#248.2682	377.8508#377.8508#377.8508#377.8508#310.33524	0.12595026#0.12595026#0.12595026#0.12595026#0.103445075	17.333334#17.333334#17.333334#17.333334#14.400001	shouldCheckForValidStore.json
4225	5#5#5	4.5631692046299577E-4#4.5631692046299577E-4#4.5631692046299577E-4	0.001983926478466021#0.001983926478466021#0.001983926478466021	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	11#11#11	58.0#58.0#58.0	115.12355041503906#115.12355041503906#115.12355041503906	0#0#0	0#0#0	0#0#0	0#161#1532	0#0#0	0#0#0	0#0#0	0#0#0	0#0#16	0#0#0	0#0#1	0#0#1	3688.4106#3688.4106#3688.4106	204.9117#204.9117#204.9117	295.07285#295.07285#295.07285	0.09835762#0.09835762#0.09835762	12.5#12.5#12.5	shouldEnableSync.json
4230	9#9#8#8#8	0.0#0.0#0.0#0.0#0.0	3.2587622861092903E-12#3.2587622861092903E-12#3.124364572916763E-11#3.2057570233263437E-11#1.786533377430242E-11	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.99#1.99#1.94#1.94#1.94	0#0#0#0#0	21#21#21#21#21	161.0#161.0#151.0#151.0#155.0	99.58139038085938#99.58139038085938#101.94236755371094#101.94236755371094#101.83203125	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#166#1537#1661#1748	0#0#0#1#1	0#0#1#2#2	0#0#48#7#33	0#0#48#7#33	0#0#16#2#2	0#0#0#0#0	0#0#1#1#0	0#0#1#1#0	35417.31#35417.31#35443.324#35443.324#40389.438	1967.6283#1967.6283#1969.0736#1969.0736#2243.8577	939.0953#939.0953#860.7664#860.7664#879.2259	0.31303176#0.31303176#0.28692213#0.28692213#0.2930753	37.714287#37.714287#41.17647#41.17647#45.9375	shouldLookupExistingPersonUsingGmailAsPrimaryEmail.json
4210	14#14#14	1.95527114556171E-4#1.95527114556171E-4#1.95527114556171E-4	3.723566828162626E-9#3.723566828162626E-9#3.723566828162626E-9	0#0#0	0#0#0	0#0#0	1#1#1	1.64#1.64#1.64	0#0#0	19#19#19	144.0#144.0#144.0	93.25819396972656#93.25819396972656#93.25819396972656	0#0#0	0#0#0	4#4#4	0#146#1517	0#0#0	0#0#0	0#0#0	0#0#0	0#0#16	0#0#0	0#0#1	0#0#1	27338.098#27338.098#27338.098	1518.7832#1518.7832#1518.7832	799.8608#799.8608#799.8608	0.26662025#0.26662025#0.26662025	34.17857#34.17857#34.17857	shouldAddMessageAndRememberMaxDate.json
2645	6#7#6#6	0.11789271235466003#0.23113475739955902#0.5716723799705505#0.5711944699287415	0.08029380520659263#0.041821354675533204#0.1393249861412058#0.1429964784578327	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	2.0#1.98#2.0#2.0	0#0#0#0	5#9#6#6	40.0#49.0#38.0#38.0	114.39656066894531#110.90109252929688#114.84321594238281#114.84321594238281	0#0#0#0	0#0#0#0	1#1#1#1	0#17#40#76	0#3#2#1	0#5#5#2	0#111#93#16	0#111#93#16	0#4#3#9	0#0#0#0	0#0#0#0	0#0#0#0	2163.3096#3261.8528#2117.5981#2117.5981	120.18387#181.21405#117.64434#117.64434	192.29419#232.98949#176.46652#176.46652	0.06409806#0.07766316#0.058822174#0.058822174	11.25#14.0#12.0#12.0	shouldCancelAllJobsAfterBootIfAutoBackupDisabled.json
2603	8#7	0.23580820858478546#0.23158226907253265	0.040106231550444744#0.031057209880346277	0#0	0#0	0#0	1#1	1.94#1.98	0#0	7#7	50.0#49.0	108.57575988769531#110.84402465820312	0#0	0#0	2#2	0#39	0#0	0#1	0#6	0#6	0#9	0#0	0#0	0#0	3605.5164#3533.406	200.30646#196.30034	240.36775#235.5604	0.08012258#0.078520134	15.0#15.0	testOnStartJob.json
2480	6	0.004879997577518225	1.5456188150855777E-4	0	0	0	1	2.0	0	12	75.0	110.83330535888672	0	0	1	0	0	0	0	0	0	0	0	0	7358.6523	408.81403	381.55972	0.12718658	19.285715	shouldIgnoreIllegalArgumentException.json
4217	5#5#5	0.30493593215942383#0.30493593215942383#0.30493593215942383	0.04128632757875394#0.04128632757875394#0.04128632757875394	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	6#6#6	42.0#42.0#42.0	117.15352630615234#117.15352630615234#117.15352630615234	0#0#0	0#0#0	0#0#0	0#153#1524	0#0#0	0#0#0	0#0#0	0#0#0	0#0#16	0#0#0	0#0#1	0#0#1	2795.8738#2795.8738#2795.8738	155.32632#155.32632#155.32632	199.70528#199.70528#199.70528	0.06656843#0.06656843#0.06656843	14.0#14.0#14.0	shouldHandleSecurityExceptionWhenInvalidatingToken.json
4230	10#10#9	9.899771539494395E-4#9.899771539494395E-4#8.870552410371602E-4	1.42579229049594E-7#1.42579229049594E-7#1.342885359127113E-6	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.89	0#0#0	20#20#20	115.0#115.0#105.0	99.90755462646484#99.90755462646484#102.24613189697266	0#0#0	0#0#0	1#1#1	0#166#1537	0#0#0	0#0#1	0#0#48	0#0#48	0#0#16	0#0#0	0#0#1	0#0#1	15245.03#15245.03#14823.008	846.9461#846.9461#823.5004	635.2096#635.2096#562.54297	0.21173653#0.21173653#0.18751432	24.0#24.0#26.35	shouldLookupUnknownPerson.json
