Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1089	13#13	0.0#0.0	2.351614358828294E-10#2.351614358828294E-10	0#0	0#0	0#0	1#1	2.46#2.46	1#1	30#30	155.0#155.0	94.047607421875#94.047607421875	0#0	0#0	2#2	0#253	0#0	0#0	0#0	0#0	0#5	0#0	0#0	0#0	29519.318#29519.318	1639.9622#1639.9622	865.6692#865.6692	0.2885564#0.2885564	34.1#34.1	fail_if_expirationDate_is_after_the_max_allowed_token_lifetime.json
1096	4	0.03902244195342064	0.43328248209069187	0	0	0	1	1.73	0	5	27.0	123.74861145019531	0	0	0	0	0	0	0	0	0	0	0	0	844.40985	46.91166	112.58798	0.037529327	7.5	before.json
747	20#12	0.0#0.0	2.0237382787578306E-22#1.819206194994606E-13	0#0	0#0	0#0	1#1	1.99#1.73	1#0	56#32	280.0#179.0	83.2917251586914#94.26280212402344	0#0	0#0	6#5	0#113	0#4	0#16	0#460	0#460	0#35	0#0	0#0	0#0	128168.74#47035.49	7120.486#2613.0828	1789.8489#1065.8011	0.59661627#0.35526705	71.608696#44.13158	import_project_with_NCD_developer_edition.json
2260	13#13#13#13	0.0#0.0#0.0#0.0	4.875102502793356E-12#6.578295200336918E-12#1.0132137133273398E-12#1.0105318908963513E-12	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.69#1.69#1.69#1.69	0#0#0#0	26#27#30#30	169.0#168.0#177.0#177.0	93.34976196289062#93.40293884277344#93.1092529296875#93.1092529296875	0#0#0#0	0#0#0#0	8#8#8#8	0#265#2001#2047	0#2#3#1	0#4#6#2	0#64#33#24	0#64#33#24	0#26#154#36	0#0#0#0	0#0#0#0	0#1#0#0	40990.668#44096.65#47886.684#47886.684	2277.2593#2449.8137#2660.3713#2660.3713	989.99884#979.92554#1036.8627#1036.8627	0.32999963#0.32664186#0.3456209#0.3456209	41.404762#45.0#46.18421#46.18421	formats_returns_html_message_for_single_issue_on_branch_when_user_change.json
2818	8#8#8#8#8#8#8	1.908417179947719E-4#1.8260686192661524E-4#1.9875806174241006E-4#1.915040338644758E-4#1.8651057325769216E-4#0.0#0.0	9.826367324988691E-7#9.731393513422493E-7#9.82030889135485E-7#9.851380021551524E-7#9.834697602118387E-7#4.615326682197687E-7#6.171570919097901E-7	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.94#1.94#1.94#1.94#1.94#1.94#1.94	0#0#0#0#0#0#0	13#13#13#13#13#13#13	99.0#99.0#99.0#99.0#99.0#103.0#102.0	104.2440185546875#104.2440185546875#104.2440185546875#104.2440185546875#104.2440185546875#104.03805541992188#104.11714172363281	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	0#152#461#788#788#1344#2556	0#1#1#1#1#1#1	0#2#2#2#2#2#2	0#13#6#7#11#6#7	0#13#6#7#11#6#7	0#22#32#13#9#7#7	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#1#0#0#0#0#0	11392.882#11392.882#11392.882#11392.882#11392.882#12731.215#12106.665	632.93787#632.93787#632.93787#632.93787#632.93787#707.28973#672.5925	552.91125#552.91125#552.91125#552.91125#552.91125#575.2511#566.56805	0.18430375#0.18430375#0.18430375#0.18430375#0.18430375#0.19175036#0.18885602	20.605263#20.605263#20.605263#20.605263#20.605263#22.131578#21.368422	should_skip_highlighting_on_pr_when_file_status_is_SAME.json
453	6#6	0.009222513064742088#0.010409270413219929	0.03780033651677131#0.025176933971002045	0#0	0#0	0#0	1#1	2.0#2.0	0#0	12#13	49.0#51.0	113.52119445800781#113.25019073486328	0#0	0#0	0#0	0#240	0#1	0#2	0#5	0#5	0#10	0#0	0#0	0#0	2522.0007#2796.7617	140.11115#155.37566	227.54895#239.72244	0.07584965#0.079907484	11.083333#11.666666	evaluateIfActiveVersion_whenInstalledVersionIsLatestLta_shouldReturnActiveVersion.json
3288	8#12#12#12#12#11#11#11#7#7#8#7#7	0.014272874221205711#0.023402012884616852#0.011637916788458824#0.008867013268172741#0.00868275947868824#0.016273783519864082#0.016385506838560104#0.016385506838560104#0.007347155828028917#0.00752953439950943#0.001309319632127881#5.35009428858757E-4#6.187520921230316E-4	3.5974630088810174E-4#3.001007868695427E-4#1.7258145725452816E-5#8.663418926272781E-6#1.5153602838771964E-5#1.0567049128544078E-4#1.0608916706854997E-4#1.0608916706854997E-4#3.9392213927258325E-5#3.9401022254536624E-5#2.375242058343049E-6#1.473872260399944E-6#1.4172434545515028E-6	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1	1.94#2.56#2.56#2.56#2.56#2.67#2.67#2.67#1.98#1.98#1.94#1.98#1.98	0#1#1#1#1#1#1#1#0#0#0#0#0	13#14#18#19#19#16#16#16#15#15#14#19#19	75.0#83.0#95.0#98.0#96.0#86.0#86.0#86.0#84.0#84.0#98.0#99.0#99.0	106.08924865722656#98.8429946899414#97.94743347167969#97.75663757324219#97.92292022705078#100.06794738769531#100.06794738769531#100.06794738769531#107.62353515625#107.62353515625#104.44670867919922#106.58975982666016#106.58975982666016	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#1#0#0	0#155#155#155#564#693#896#1141#1969#2105#2130#2162#2414	0#5#1#1#1#1#1#0#2#1#2#2#2	0#6#2#2#2#3#2#0#8#2#3#5#4	0#89#63#21#17#61#2#0#187#3#138#179#16	0#89#63#21#17#61#2#0#187#3#138#179#16	0#26#26#26#157#6#17#0#113#80#10#23#14	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#1#1#0#1#0#0#0#0#0#0#0	0#0#1#1#0#1#0#0#0#0#0#0#0	8812.373#10822.141#13793.124#14755.767#13425.228#10456.36#10456.36#10456.36#13587.297#13587.297#16522.975#18053.48#18053.48	489.5763#601.23004#766.28467#819.76483#745.84595#580.90894#580.90894#580.90894#754.84985#754.84985#917.94305#1002.9711#1002.9711	387.7444#441.72003#524.7384#544.34973#527.2179#457.68582#457.68582#457.68582#437.59412#437.59412#531.7739#533.8394#533.8394	0.12924813#0.14724001#0.1749128#0.1814499#0.1757393#0.15256195#0.15256195#0.15256195#0.14586471#0.14586471#0.17725797#0.17794648#0.17794648	22.727274#24.5#26.285715#27.107143#25.464287#22.846153#22.846153#22.846153#31.05#31.05#31.071428#33.818184#33.818184	does_not_authenticate_from_user_token_when_token_does_not_match_existing_user.json
2847	10#10#11#11#11#11	0.0#0.0#0.0#0.0#0.0#0.0	3.1762989005796245E-35#3.177005885615648E-35#1.9971103567491559E-35#2.016012125186746E-35#2.016012125186746E-35#2.0315405494243482E-35	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.83#1.83#1.78#1.78#1.78#1.78	0#0#0#0#0#0	36#36#37#37#37#37	402.0#402.0#405.0#405.0#405.0#405.0	92.65414428710938#92.65414428710938#91.05738067626953#91.05738067626953#91.05738067626953#91.05738067626953	0#0#0#0#0#0	0#0#0#0#0#0	3#3#3#3#3#3	0#0#0#64#700#1927	0#2#1#2#0#1	0#4#1#4#0#2	0#4#36#6#0#13	0#4#36#6#0#13	0#5#15#9#0#54	0#0#0#0#0#0	0#1#0#0#0#0	0#1#0#0#0#0	260975.0#260975.0#269244.4#269244.4#269244.4#269244.4	14498.611#14498.611#14958.022#14958.022#14958.022#14958.022	2562.7659#2562.7659#2588.8884#2588.8884#2588.8884#2588.8884	0.8542553#0.8542553#0.8629628#0.8629628#0.8629628#0.8629628	101.833336#101.833336#104.0#104.0#104.0#104.0	response_sort_nodes_by_type_name_host_then_port_when_clustered.json
1071	15#15#15	3.4514532308094203E-4#3.9158243453130126E-4#3.156728344038129E-4	6.585086466411781E-9#6.574071610725009E-9#3.240042263869354E-9	0#0#0	0#0#0	0#0#0	1#1#1	1.6#1.6#1.6	0#0#0	26#26#27	141.0#141.0#144.0	92.14083099365234#92.14083099365234#92.00572967529297	0#0#0	0#0#0	3#3#3	0#4#287	0#1#1	0#2#2	0#8#25	0#8#25	0#13#147	0#0#0	0#0#0	0#0#0	24194.31#24194.31#25583.576	1344.1284#1344.1284#1421.3098	799.81195#799.81195#820.86334	0.26660398#0.26660398#0.2736211	30.25#30.25#31.166668	nothing_to_broadcast_if_project_key_does_not_exist.json
2849	7#7#7#7#7#7	0.05355711281299591#0.01747267134487629#0.029428139328956604#0.029428139328956604#0.020677851513028145#0.010868609882891178	0.002116135127554296#7.963354193718727E-4#0.0038854367022325615#0.003737740636628982#0.0015718823735110957#8.911367691726471E-4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.98#1.98#1.98#1.98#1.98#1.98	0#0#0#0#0#0	10#10#8#8#9#9	64.0#68.0#61.0#61.0#65.0#67.0	109.20501708984375#108.80299377441406#109.54849243164062#109.54849243164062#109.12439727783203#108.92259979248047	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	0#29#241#630#1151#1478	0#1#3#1#1#1	0#2#6#2#2#2	0#30#37#26#13#21	0#30#37#26#13#21	0#10#6#8#20#10	0#0#0#0#1#0	0#0#0#0#1#0	0#0#0#0#1#0	5995.6226#6045.715#4432.3545#4432.3545#4901.89#4988.951	333.09015#335.87305#246.24191#246.24191#272.32724#277.16394	322.84122#348.79123#302.206#302.206#327.88562#340.86002	0.10761374#0.11626374#0.10073533#0.10073533#0.109295204#0.113620006	18.571428#17.333334#14.666667#14.666667#14.95#14.636363	isOperational_should_return_true_if_Elasticsearch_is_YELLOW.json
