Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4079	21#21#21#19#21#21#21#21#21#21	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	2.157140585645149E-16#1.4020650336741725E-16#1.3920017528686877E-16#9.726645822992501E-14#4.773651268942961E-16#4.798703806992932E-16#4.808563307086566E-16#4.792769854753875E-16#1.2950222332020315E-18#1.9151086765999913E-18	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.4#1.4#1.4#1.46#1.4#1.4#1.4#1.4#1.4#1.4	0#0#0#0#0#0#0#0#0#0	34#34#34#30#34#34#34#34#46#46	233.0#235.0#235.0#201.0#229.0#229.0#229.0#229.0#257.0#256.0	83.78618621826172#83.74174499511719#83.74174499511719#86.257080078125#83.89595794677734#83.89595794677734#83.89595794677734#83.89595794677734#83.25704193115234#83.29666137695312	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	5#5#5#4#4#4#4#4#4#4	0#0#102#356#383#449#638#1502#1848#3538	0#2#1#10#2#2#1#3#10#1	0#4#2#22#2#4#2#6#20#2	0#20#7#238#266#64#5#15#527#7	0#20#7#238#266#64#5#15#527#7	0#2#92#12#9#7#18#2#545#42	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#1#0#1#1#1#0#0#0#0	84445.86#86614.29#86614.29#66612.93#82127.83#82127.83#82127.83#82127.83#100990.59#97996.805	4691.4365#4811.905#4811.905#3700.7183#4562.657#4562.657#4562.657#4562.657#5610.5884#5444.267	1398.0#1410.0#1410.0#1187.2849#1368.7971#1368.7971#1368.7971#1368.7971#1547.7485#1536.0	0.466#0.47#0.47#0.39576164#0.45626572#0.45626572#0.45626572#0.45626572#0.51591617#0.512	60.404762#61.428574#61.428574#56.105263#60.0#60.0#60.0#60.0#65.25#63.800003	sendToUserSingleSession.json
707	9#12#12#12	0.001501629245467484#3.422088047955185E-4#7.641902775503695E-4#7.384947966784239E-4	3.310802796196941E-6#2.5313628912494317E-7#1.4106254391740233E-6#1.9156841383523848E-6	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.73#1.73#1.73	0#0#0#0	17#23#22#22	96.0#117.0#109.0#108.0	102.6141586303711#96.89422607421875#97.32499694824219#97.40555572509766	0#0#0#0	0#0#0#0	1#1#1#1	0#50#77#165	0#4#3#1	0#5#6#2	0#108#62#7	0#108#62#7	0#28#28#208	0#0#0#0	0#0#0#0	0#0#0#0	12159.247#17348.764#16378.971#15589.604	675.51373#963.8202#909.9428#866.0891	524.10547#642.5468#591.4628#582.37024	0.17470182#0.21418227#0.19715428#0.19412342	23.2#27.0#27.692308#26.769232	queryForIntegerWithIndexedParamAndSingleValue.json
6090	15#15#15#11#12#12#12#12	7.643700228072703E-4#7.643700228072703E-4#7.643700228072703E-4#0.0025901056360453367#0.002358192577958107#0.005618568975478411#0.0075130341574549675#0.007262057159096003	2.160624402660026E-7#2.160624402660026E-7#2.160624402660026E-7#4.807987056803451E-6#5.219336624521788E-6#1.5191165499638784E-6#2.8889558324861525E-6#3.881997100316936E-6	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.36#1.36#1.36#1.54#1.73#1.73#1.73#1.73	0#0#0#0#0#0#0#0	14#14#14#12#12#15#15#15	124.0#124.0#124.0#102.0#103.0#109.0#106.0#105.0	92.83517456054688#92.83517456054688#92.83517456054688#99.04804229736328#97.55693817138672#97.23258209228516#97.40764617919922#97.48772430419922	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	5#5#5#4#4#4#4#4	0#49#1190#1566#2525#3859#5196#5538	0#0#0#2#2#3#1#1	0#0#0#8#3#6#2#2	0#0#0#169#11#71#25#7	0#0#0#169#11#71#25#7	0#30#0#66#70#545#559#95	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#1#1#0#0#0	22861.38#22861.38#22861.38#14606.919#15316.356#16811.598#16809.19#16050.729	1270.0767#1270.0767#1270.0767#811.4955#850.9087#933.97766#933.8439#891.70715	699.83813#699.83813#699.83813#556.862#565.6609#602.06824#582.1364#573.2403	0.23327938#0.23327938#0.23327938#0.18562067#0.18855363#0.2006894#0.19404547#0.1910801	32.666668#32.666668#32.666668#26.23077#27.076923#27.923077#28.875#28.0	webSphereResourceAdapterSetup.json
4097	19#19#20#20#20#20	0.0#0.0#0.0#0.0#0.0#0.0	7.277122332371722E-12#7.228244808847585E-12#4.131019523735052E-13#4.1518146446330383E-13#3.9271038642281E-15#5.643949609648888E-15	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.46#1.46#1.43#1.43#1.43#1.43	0#0#0#0#0#0	25#25#27#27#37#37	180.0#180.0#194.0#194.0#216.0#215.0	86.85227966308594#86.85227966308594#85.56897735595703#85.56897735595703#84.97054290771484#85.01439666748047	0#0#0#0#0#0	0#0#0#0#0#0	6#6#6#6#6#6	0#120#401#467#1866#3556	0#1#1#1#8#1	0#2#1#2#16#2	0#7#130#32#330#7	0#7#130#32#330#7	0#92#9#7#545#42	0#0#0#0#0#0	0#0#0#0#0#0	0#0#1#1#0#0	49042.664#49042.664#54125.348#54125.348#67003.195#64930.445	2724.5925#2724.5925#3006.9639#3006.9639#3722.3997#3607.247	1058.8757#1058.8757#1155.1141#1155.1141#1296.0#1285.1152	0.3529586#0.3529586#0.38503805#0.38503805#0.432#0.42837176	46.31579#46.31579#46.857143#46.857143#51.699997#50.524998	testMessageSentToChannel.json
4340	15#15#10#10#10	0.017896227538585663#0.018982458859682083#0.018903682008385658#0.024500666186213493#0.023537900298833847	6.543051232623266E-6#6.491667115159178E-6#6.6832114736775885E-6#1.2526463205370238E-5#1.6702588618398062E-5	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	2#2#1#1#1	2.53#2.53#1.83#1.83#1.83	1#1#0#0#0	10#10#10#10#10	107.0#107.0#97.0#94.0#93.0	93.45482635498047#93.45482635498047#100.85343170166016#101.0484848022461#101.13673400878906	0#0#0#0#0	0#0#0#0#0	4#4#4#4#4	0#363#2106#3446#3801	0#1#1#1#1	0#2#7#2#2	0#7#176#18#7	0#7#176#18#7	0#92#98#559#54	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	19935.186#19935.186#12709.557#12612.612#12012.856	1107.5103#1107.5103#706.0865#700.7007#667.3809	594.341#594.341#529.5649#510.06888#501.4855	0.19811366#0.19811366#0.17652163#0.17002296#0.16716184	33.541664#33.541664#24.0#24.727272#23.954544	readWithMarshallingFailureException.json
6090	49#49#49#23#23#23#23#23	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	2.5218235675052854E-21#2.5218235675052854E-21#2.5218235675052854E-21#3.1898936073166616E-12#3.4302736381426816E-13#5.912457857592642E-14#5.971541079473843E-14#5.971541079473843E-14	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	0.79#0.79#0.79#1.35#1.35#1.35#1.35#1.35	0#0#0#0#0#0#0#0	50#50#50#41#41#45#45#45	343.0#343.0#343.0#200.0#207.0#215.0#215.0#215.0	67.97390747070312#67.97390747070312#67.97390747070312#83.3985366821289#83.09740447998047#82.87741088867188#82.87741088867188#82.87741088867188	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	9#9#9#1#1#1#1#1	0#2#1190#1522#2179#3859#4566#5124	0#0#0#11#1#4#2#0	0#0#0#48#2#8#4#0	0#0#0#1051#197#88#20#0	0#0#0#1051#197#88#20#0	0#0#0#213#3#545#6#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#1#1#0#0#0	217301.11#217301.11#217301.11#71958.77#70324.164#75244.28#70646.02#70646.02	12072.284#12072.284#12072.284#3997.7097#3906.898#4180.238#3924.779#3924.779	2087.9998#2087.9998#2087.9998#1134.4851#1202.1224#1254.0714#1254.0714#1254.0714	0.6959999#0.6959999#0.6959999#0.3781617#0.40070748#0.4180238#0.4180238#0.4180238	104.07143#104.07143#104.07143#63.428574#58.5#60.0#56.333332#56.333332	mySQLMaxValueIncrementer.json
4822	12#12#10#12#12#15#16#14#14#14	0.009739556349813938#0.01706874556839466#0.17595712840557098#0.004206694196909666#0.002507912227883935#5.993866361677647E-4#1.0085389658343047E-4#3.1786877661943436E-4#3.442562301643193E-4#4.6652305172756314E-4	0.00529361213134365#0.004671245537089527#0.0789539391584083#9.817148845288054E-5#6.077142831597327E-6#1.0255791411252027E-5#2.632829172301179E-6#3.264116754880786E-6#1.1502032419009053E-6#2.971682504495898E-6	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	3.45#3.45#3.77#1.73#1.73#1.6#1.56#1.64#1.64#1.64	1#1#1#0#0#0#0#0#0#0	5#5#5#12#12#13#14#14#16#16	76.0#76.0#55.0#92.0#103.0#107.0#116.0#110.0#115.0#111.0	99.67347717285156#99.62561798095703#104.46522521972656#98.4583511352539#97.65205383300781#93.7746810913086#92.27841186523438#94.71778869628906#94.45670318603516#94.70152282714844	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#2#2#3#3#3#3#3	0#93#107#121#180#191#226#322#2591#3928	0#4#3#10#1#13#1#4#2#2	0#8#8#19#2#23#1#10#4#4	0#51#194#366#47#481#70#209#49#42	0#51#194#366#51#482#70#209#49#42	0#5#11#4#3#12#12#162#545#559	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#1#1#1#0#1#1#1#0#0	7059.73#7410.0#3966.0676#12842.094#15652.428#19309.705#24208.09#21747.74#23502.756#23179.38	392.2072#411.66666#220.3371#713.44965#869.57935#1072.7614#1344.8939#1208.2078#1305.7086#1287.7434	376.51892#380.0#264.4045#475.63312#555.4087#584.1592#637.055#604.1039#635.2096#605.9969	0.12550631#0.12666667#0.08813484#0.15854438#0.18513623#0.19471973#0.21235166#0.20136796#0.21173653#0.20199896	18.75#19.5#15.0#27.0#28.18182#33.055553#38.0#36.0#37.0#38.25	startCallableProcessingPreProcessException.json
6090	19#19#19#8#7#7	0.01670948415994644#0.01670948415994644#0.01670948415994644#0.16768768429756165#0.2578136920928955#0.24674639105796814	0.0010914053948337086#0.0010914053948337086#0.0010914053948337086#0.017552576535933232#0.014186114242895793#0.01827968374813785	1#1#1#0#0#0	1#1#1#0#0#0	2#2#2#0#0#0	3#3#3#1#1#1	2.21#2.21#2.21#1.94#1.98#1.98	1#1#1#0#0#0	11#11#11#8#8#8	91.0#91.0#91.0#55.0#53.0#52.0	90.3917465209961#90.3917465209961#90.3917465209961#108.02567291259766#110.38150024414062#110.53502655029297	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#1#1#1	0#2#1190#1522#3844#5548	0#0#0#5#1#1	0#0#0#21#3#2	0#0#0#430#36#7	0#0#0#430#36#7	0#2#0#213#60#208	0#0#0#0#0#0	0#0#0#0#1#0	0#0#0#1#1#0	10399.083#10399.083#10399.083#3778.8152#3947.9194#3666.4094	577.7268#577.7268#577.7268#209.93417#219.32886#203.6894	490.70087#490.70087#490.70087#267.18896#257.473#249.98245	0.16356696#0.16356696#0.16356696#0.08906299#0.08582433#0.08332749	21.192307#21.192307#21.192307#14.142857#15.333334#14.666667	testOverMaxRows.json
6084	12#13#13#13#11#11#11#11#11#11	0.022220971062779427#0.02142304554581642#0.02142304554581642#0.02142304554581642#0.18006888031959534#0.06323675066232681#0.09836151450872421#0.08248084038496017#0.10342217981815338#0.10001066327095032	1.1161708048332646E-4#1.2019277495992108E-4#1.2019277495992108E-4#1.2019277495992108E-4#6.021206027386291E-4#2.599478105119701E-4#3.789307854608403E-4#1.990526584183981E-4#3.75795735800443E-4#5.006714814017599E-4	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.49#1.69#1.69#1.69#1.78#1.78#1.78#1.78#1.78#1.78	0#0#0#0#0#0#0#0#0#0	9#9#9#9#7#7#7#8#8#8	91.0#92.0#92.0#92.0#80.0#84.0#82.0#85.0#82.0#81.0	98.47557067871094#97.08378601074219#97.08378601074219#97.08378601074219#100.63573455810547#100.34098815917969#100.46629333496094#100.23983764648438#100.46629333496094#100.57113647460938	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	3#3#3#3#4#4#4#4#4#4	0#35#43#1184#1528#2187#3524#3853#5190#5535	0#2#0#0#2#4#1#1#1#1	0#3#0#0#6#8#2#2#2#2	0#15#0#0#117#57#11#19#19#7	0#15#0#0#117#57#11#19#19#7	0#6#0#0#31#7#5#545#559#39	0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0	0#1#0#0#1#1#1#0#0#0	11357.693#12029.999#12029.999#12029.999#10258.566#10856.843#10116.604#10989.579#11022.28#10386.798	630.983#668.33325#668.33325#668.33325#569.92035#603.15796#562.0335#610.53217#612.3489#577.0443	474.06027#482.80936#482.80936#482.80936#410.34265#434.2737#423.93387#442.80356#423.93387#415.47192	0.1580201#0.16093644#0.16093644#0.16093644#0.13678089#0.1447579#0.14131129#0.14760119#0.14131129#0.13849065	23.958332#24.916666#24.916666#24.916666#25.0#25.0#23.863636#24.818182#26.0#25.0	testPropertiesPassedIn.json
6090	30#30#30#24#23#24#17#18#16#16#17#17#17	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.8032973664481485E-13#1.8032973664481485E-13#1.8032973664481485E-13#2.8957754560384407E-11#2.58768240274357E-9#1.9283427032499618E-10#6.220186452052488E-10#6.54162973565215E-10#1.4715025388928207E-9#1.3876851452511495E-8#1.1979436685394765E-9#9.681460155528562E-9#1.3477048616869809E-8	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1	1.0#1.0#1.0#1.11#1.13#1.11#1.29#1.49#1.56#1.56#1.52#1.52#1.52	0#0#0#0#0#0#0#0#0#0#0#0#0	27#27#27#27#22#25#22#22#20#23#26#26#26	220.0#220.0#220.0#185.0#162.0#176.0#156.0#157.0#149.0#140.0#153.0#144.0#143.0	78.40930938720703#78.40930938720703#78.40930938720703#83.03942108154297#84.4942855834961#83.32318115234375#89.58748626708984#88.60267639160156#90.80833435058594#91.21311950683594#89.68846130371094#90.08451080322266#90.14910125732422	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	7#7#7#4#4#4#4#4#4#4#4#4#4	0#50#1190#1268#1375#1461#1590#2525#2554#3279#4433#5196#5551	0#0#0#12#1#1#9#2#1#3#1#3#1	0#0#0#30#3#1#25#3#4#6#1#6#2	0#0#0#616#159#88#628#17#64#138#75#66#7	0#0#0#616#159#88#628#17#64#138#75#66#7	0#0#0#12#11#5#162#70#4#24#6#559#54	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#0#0#0#1#0#0#0	0#0#0#1#1#1#1#1#1#1#0#0#0	76288.59#76288.59#76288.59#56771.117#47416.938#50168.496#35395.934#36851.668#30215.59#25802.525#28640.074#29297.115#28084.398	4238.2554#4238.2554#4238.2554#3153.951#2634.2744#2787.1387#1966.4408#2047.315#1678.6439#1433.4736#1591.1152#1627.6176#1560.2444	1294.1815#1294.1815#1294.1815#1064.6542#918.9329#1008.114#884.8983#894.96906#845.19135#781.8947#867.88104#804.23456#794.3062	0.43139383#0.43139383#0.43139383#0.3548847#0.30631098#0.336038#0.2949661#0.298323#0.28173044#0.26063156#0.28929368#0.26807818#0.26476875	58.94737#58.94737#58.94737#53.32353#51.6#49.764706#40.0#41.17647#35.75#33.0#33.0#36.42857#35.357143	forceEncodingAlwaysSetsEncoding.json
