Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2845	5	0.05736909061670303	0.03541753028333771	1	1	2	2	1.96	0	4	46.0	116.3934097290039	0	2	1	0	0	0	0	0	0	0	0	0	4459.623	247.75684	221.13832	0.07371277	20.166668	withExists.json
3204	69#66#66#66#58#58#58#59#59	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	6.858761855136555E-54#5.442549156801403E-54#5.442549156801403E-54#5.401731073642184E-54#4.881842062043276E-47#3.1266442577649042E-47#2.0025663340633172E-47#3.833803660040176E-49#1.057487230127034E-47	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1.84#1.78#1.78#1.78#1.89#1.89#1.89#1.87#1.87	1#1#1#1#1#1#1#1#1	81#79#79#79#66#66#66#66#66	679.0#676.0#676.0#676.0#590.0#592.0#594.0#610.0#594.0	58.32663345336914#59.08000564575195#59.08000564575195#59.08000564575195#61.880802154541016#61.86320495605469#61.845664978027344#61.40018081665039#61.52850341796875	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	15#16#16#16#16#16#16#17#17	0#73#198#367#385#493#507#728#2096	0#1#0#3#4#1#1#3#10	0#5#0#6#16#2#2#5#20	0#90#0#54#784#6#6#105#315	0#90#0#54#792#6#6#105#315	0#6#10#13#14#6#6#23#76	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#1#0#0#0#0#0#0	571754.1#535463.8#535463.8#535463.8#409441.8#412904.62#416381.47#444047.16#423451.5	31764.117#29747.99#29747.99#29747.99#22746.768#22939.146#23132.305#24669.287#23525.084	4595.597#4566.304#4566.304#4566.304#3985.3838#3998.8936#4012.4033#4144.5938#4043.5688	1.5318657#1.5221014#1.5221014#1.5221014#1.3284613#1.3329645#1.3374678#1.3815312#1.3478563	124.41346#117.26415#117.26415#117.26415#102.735855#103.254715#103.77358#107.138885#104.72222	testLaunchContainerFromEmpty.json
3610	9#9	0.04974880442023277#0.07036370784044266	6.992372469629979E-4#0.00130626800337981	2#2	1#1	3#3	2#2	2.27#2.27	1#1	6#6	75.0#72.0	103.95116424560547#104.20447540283203	0#0	1#1	3#3	0#2795	0#1	0#2	0#7	0#7	0#3	0#0	0#0	0#0	7931.1353#7847.803	440.61862#435.98907	387.7444#369.30838	0.12924813#0.12310279	20.454546#21.25	createMockTridentTuples.json
3089	11#11	0.0#0.0	1.7313195617123965E-9#1.7313195617123965E-9	0#0	0#0	0#0	1#1	1.54#1.54	0#0	14#14	141.0#141.0	97.21852111816406#97.21852111816406	0#0	2#2	1#1	0#83	0#0	0#0	0#0	0#0	0#10	0#0	0#0	0#1	35625.332#35625.332	1979.185#1979.185	791.6741#791.6741	0.26389137#0.26389137	45.0#45.0	setUpWindowedProcessorBolt.json
2452	12	0.00985656026750803	1.1284691504452335E-6	0	0	0	1	1.73	0	12	110.0	97.24581909179688	0	0	4	0	0	0	0	0	0	0	0	0	23220.783	1290.0435	600.5375	0.20017916	38.666668	authorizationFailsWhenFilterConfigured.json
2907	21#21#21	0.0#0.0#0.0	1.3524058654536371E-11#9.677224598911092E-12#4.627219918620354E-12	0#0#0	0#0#0	0#0#0	1#1#1	2.93#2.93#2.93	1#1#1	15#15#16	179.0#180.0#183.0	85.19702911376953#85.14794158935547#85.0422592163086	0#0#0	0#0#0	7#7#7	0#3#571	0#3#1	0#6#2	0#309#9	0#309#9	0#10#11	0#0#0	0#1#0	0#0#0	54258.965#56142.957#58693.09	3014.387#3119.0532#3260.7273	1065.8011#1075.9104#1098.0	0.35526705#0.3586368#0.366	50.90909#52.181816#53.454544	testReturnsZeroMatchesForUnseenPattern.json
3131	14#14#14#14#12#12#12	1.1778686894103885E-4#1.1778686894103885E-4#1.1951623309869319E-4#0.0#0.0#0.0#1.2756827345583588E-4	5.541207455363409E-8#5.541207455363409E-8#4.5476837139039534E-8#4.792380445701107E-8#4.306981392765143E-9#4.325841157121575E-9#2.6638996289284575E-8	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.64#1.64#1.64#1.64#1.73#1.73#1.73	0#0#0#0#0#0#0	8#8#8#8#11#11#12	137.0#137.0#137.0#137.0#139.0#139.0#129.0	93.85089874267578#93.85089874267578#93.81263732910156#93.81263732910156#95.9982681274414#95.9982681274414#96.38650512695312	0#0#0#0#0#0#0	0#0#0#0#0#0#0	3#3#3#3#3#3#3	0#125#165#168#266#1663#2023	0#0#1#4#5#1#6	0#0#2#8#12#2#12	0#0#6#12#251#19#204	0#0#6#12#251#19#204	0#10#2#10#2#1#76	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#1#0#0#0#0#0	26147.195#26147.195#27353.389#27353.389#25367.293#25367.293#26277.023	1452.622#1452.622#1519.6327#1519.6327#1409.2941#1409.2941#1459.8346	713.6951#713.6951#718.96606#718.96606#763.3676#763.3676#708.4491	0.23789838#0.23789838#0.23965536#0.23965536#0.25445586#0.25445586#0.2361497	36.636364#36.636364#38.045452#38.045452#33.23077#33.23077#37.09091	testValidateTopologyBlobStoreMissingKey.json
3456	11#11#11#11#11	1.3195977953728288E-4#1.1198785796295851E-4#1.1198785796295851E-4#1.1198785796295851E-4#0.0	8.230750046066355E-7#8.584197377646593E-7#8.584197377646593E-7#8.584197377646593E-7#1.5409737539980197E-6	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.78#1.78#1.78#1.78#1.78	0#0#0#0#0	20#20#20#20#21	110.0#110.0#110.0#110.0#108.0	98.7197265625#98.7197265625#98.7197265625#98.7197265625#98.88346862792969	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#450#2348	0#1#0#0#2	0#2#0#0#4	0#24#0#0#28	0#24#0#0#28	0#3#0#10#76	0#0#0#0#0	0#1#1#0#0	0#0#1#1#0	16539.896#16539.896#16539.896#16539.896#13876.548	918.8831#918.8831#918.8831#918.8831#770.9193	593.1549#593.1549#593.1549#593.1549#574.76825	0.1977183#0.1977183#0.1977183#0.1977183#0.19158942	27.884615#27.884615#27.884615#27.884615#24.142857	testRollback.json
2830	11#11#11#16#16#15#15#15	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.437851057051347E-10#3.456621922853483E-10#8.549570667096841E-11#1.189369149423733E-17#2.9769190723626753E-18#3.162745029465185E-17#6.283982972023937E-17#1.59592205960508E-17	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.78#1.78#1.78#1.56#1.56#1.6#1.6#1.6	0#0#0#0#0#0#0#0	22#21#22#36#37#34#34#34	146.0#142.0#148.0#225.0#231.0#219.0#217.0#223.0	96.77352142333984#96.93936157226562#96.68182373046875#88.11636352539062#87.96456146240234#89.31761932373047#89.39642333984375#89.23892211914062	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	3#3#3#5#5#5#5#5	0#48#79#129#142#669#1722#2274	0#1#1#6#1#0#1#2	0#2#2#7#2#1#2#4	0#23#26#472#35#59#17#26	0#23#26#472#35#59#17#26	0#8#4#3#13#2#76#12	0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0	0#1#0#0#0#0#0#0	34208.77#31394.688#32984.887#82884.86#83532.89#75879.734#71970.4#74123.055	1900.4872#1744.1493#1832.4937#4604.7144#4640.7163#4215.541#3998.3555#4117.9473	862.406#835.3353#877.74915#1418.3506#1460.3654#1376.503#1355.8003#1397.4934	0.28746867#0.2784451#0.29258305#0.47278354#0.48678845#0.45883435#0.45193344#0.46583113	39.666664#37.583336#37.578945#58.4375#57.199997#55.125004#53.083336#53.04	testAtMostOnceModeCommitsBeforeEmit.json
2934	15#15#15	0.0#0.0#0.0	6.848586841376875E-15#4.43201597270699E-18#2.453935155501421E-17	0#0#0	0#0#0	0#0#0	1#1#1	1.6#1.6#1.6	0#0#0	17#29#29	210.0#248.0#239.0	89.99436950683594#89.12950134277344#89.32171630859375	0#0#0	0#0#0	6#6#6	0#12#1826	0#11#1	0#22#2	0#272#25	0#272#25	0#4#76	0#0#0	0#1#0	0#1#0	54383.688#68506.19#64644.65	3021.316#3805.8994#3591.3694	1208.5264#1427.2122#1375.4181	0.40284213#0.4757374#0.4584727	45.0#48.0#47.0	testGetEntriesFromFirstPartOfChunkInRedis.json
