Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
956	15	0.0	5.903027471231271E-11	0	0	0	1	1.6	0	26	162.0	91.31996154785156	0	0	4	0	0	0	0	0	0	0	0	0	34653.47	1925.1927	936.58026	0.31219342	37.0	shouldBeAbleToDeserializeAListOfDogs.json
2426	12#19#20#17#12	0.1413225680589676#0.013638943433761597#0.006276080850511789#0.003822486149147153#7.659902330487967E-4	0.017059059524409517#1.237492881661621E-6#1.854974224746433E-8#2.228436229404725E-8#1.1965685014416504E-7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	4.75#4.66#4.61#3.43#1.73	0#0#0#0#0	10#21#24#20#18	67.0#129.0#149.0#139.0#122.0	100.19085693359375#88.88301849365234#87.16779327392578#90.11241912841797#96.64668273925781	0#0#0#0#0	0#0#0#0#0	0#2#1#1#1	0#0#4#101#189	0#9#4#4#3	0#11#7#11#12	0#447#282#418#131	0#447#282#418#131	0#1#2#5#4	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	6135.4805#23693.652#33225.18#32208.922#22111.51	340.86002#1316.314#1845.8433#1789.3845#1228.4172	340.86002#716.54193#849.36554#799.9294#673.8746	0.113620006#0.23884732#0.28312185#0.26664314#0.22462486	18.0#33.066666#39.117645#40.264706#32.8125	willSetMethodParametersWithDeserializationAndContinueStackAfterDeserialization.json
2448	20#20#20#10	0.018941670656204224#0.01666445843875408#0.016697200015187263#0.002817328553646803	6.765073735199691E-6#3.2537433034092896E-6#2.833824264243152E-6#1.0968125312350515E-5	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	4.64#4.64#4.64#1.83	0#0#0#0	25#25#25#17	124.0#127.0#127.0#96.0	88.34748077392578#88.1923828125#88.16244506835938#101.0052719116211	0#0#0#0	0#0#0#0	1#1#1#1	0#7#369#1071	0#1#1#6	0#2#2#23	0#39#2#372	0#39#2#372	0#4#6#23	0#0#0#0	0#0#0#0	0#0#0#0	21793.213#24934.385#25838.305#16131.103	1210.734#1385.2437#1435.4614#896.17236	676.96954#697.46533#701.4924#514.325	0.22565651#0.23248844#0.2338308#0.17144167	32.19231#35.75#36.833336#31.363636	whenRefererDontMatchAControllerShouldForwardToPage.json
2395	7	0.015487056225538254	4.584357737793729E-4	0	0	0	1	1.98	0	12	68.0	108.57657623291016	0	0	1	0	0	0	0	0	0	0	0	0	5722.759	317.93103	364.31354	0.12143785	15.708334	whenResultIsAnInputStreamShouldCreateAInputStreamDownload.json
2325	8	0.037910349667072296	2.3076359354452458E-4	0	0	0	1	1.94	0	10	73.0	105.9781494140625	0	0	0	0	0	0	0	0	0	0	0	0	5694.1865	316.3437	396.11734	0.13203911	14.375	willSetHttpStatusCode415IfThereIsNoDeserializerButIsAccepted.json
876	13	0.0	5.6766389770801744E-11	0	0	0	1	1.69	0	23	157.0	93.73275756835938	0	0	5	0	0	0	0	0	0	0	0	0	39834.64	2213.0356	919.70306	0.3065677	43.3125	shouldInjectOnlyAttributesWithSameType.json
2380	15#15	6.007265183143318E-4#5.713952705264091E-4	7.782613450103873E-10#7.680900641557002E-10	0#0	0#0	0#0	2#2	2.72#2.72	1#1	20#20	158.0#158.0	91.48711395263672#91.48711395263672	0#0	0#0	1#1	0#104	0#2	0#4	0#14	0#14	0#2	0#0	0#0	0#0	33106.582#33106.582	1839.2545#1839.2545	867.7128#867.7128	0.28923762#0.28923762	38.153847#38.153847	onSerializerResultsShouldBeAbleToCreateValidationInstancesEvenIfChildClassesUsesCovariantType.json
1400	5	0.5773522257804871	0.12065716524309375	0	0	0	1	1.96	0	4	36.0	118.21444702148438	0	0	0	0	0	0	0	0	0	0	0	0	1221.3618	67.85343	162.84824	0.054282747	7.5	shouldThrowMissingConfigurationExceptionIfHasNoBasePackages.json
2651	16#16#16#12#12#12#12#6#6	0.020941663533449173#0.014425050467252731#0.014425050467252731#0.08648116886615753#0.09327530115842819#0.1342869997024536#0.1545850932598114#0.008332950063049793#0.018566833809018135	1.5229884008347643E-5#9.217004389203636E-6#9.217004389203636E-6#0.04846689591558375#0.04925232918970224#0.02621014381513406#0.030024001895675757#0.02094688967420481#0.03592273565667195	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	4.47#4.47#4.47#4.46#4.46#4.46#4.46#2.0#2.0	0#0#0#0#0#0#0#0#0	18#18#18#9#9#9#9#7#6	109.0#111.0#111.0#62.0#62.0#65.0#65.0#50.0#47.0	92.57213592529297#92.44845581054688#92.44845581054688#100.68433380126953#100.68433380126953#100.39265441894531#100.4386215209961#113.1817398071289#113.55796813964844	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#0#0#0#0#0#0	0#0#1#32#34#210#230#1274#1274	0#1#0#1#1#1#2#2#1	0#2#0#6#2#2#4#11#2	0#23#0#276#8#39#17#163#74	0#23#0#276#8#39#17#163#74	0#2#0#1#1#2#15#15#5	0#0#0#0#0#0#0#0#0	0#0#1#0#0#0#0#0#1	0#0#1#0#0#0#0#0#1	16047.434#16931.668#16931.668#5580.0#5580.0#5635.534#6383.928#4190.009#3728.1038	891.5241#940.6482#940.6482#310.0#310.0#313.08524#354.6627#232.77826#207.11688	602.06824#616.5593#616.5593#310.0#310.0#327.88562#325.0#242.89906#225.94568	0.2006894#0.20551978#0.20551978#0.10333333#0.10333333#0.109295204#0.108333334#0.08096635#0.07531523	26.653845#27.461538#27.461538#18.0#18.0#17.1875#19.642857#17.25#16.5	shouldHandle404.json
2127	6	0.012424100190401077	0.006083485614392609	0	0	0	1	2.0	0	8	57.0	112.55486297607422	0	0	0	0	0	0	0	0	0	0	0	0	6165.4326	342.52405	274.01923	0.091339745	22.5	shouldBuildRelationsOfControllersUsingGivenName.json
2397	7	0.01915881410241127	0.045914997167133036	0	0	0	1	1.98	0	8	47.0	111.06072235107422	0	0	0	0	0	0	0	0	0	0	0	0	2711.3484	150.63046	225.94568	0.07531523	12.000001	shouldForwardToMethodsDefaultViewWhenResponseIsNotCommited.json
2638	15#18#9	0.0038006482645869255#0.0013291728682816029#0.0037829119246453047	4.022163961300934E-6#2.246391472752613E-7#1.8872619851859445E-4	0#0#0	0#0#0	0#0#0	1#1#1	3.09#3.73#1.89	0#0#0	8#13#9	118.0#137.0#84.0	93.3637924194336#89.47515869140625#103.63288879394531	0#0#0	0#0#0	6#6#2	0#209#1261	0#3#3	0#3#16	0#116#456	0#116#456	0#2#23	0#0#0	0#1#0	0#1#0	23276.13#33232.97#11824.707	1293.1184#1846.276#656.92816	632.19116#756.72797#430.85977	0.21073039#0.25224265#0.14361992	36.818184#43.916664#27.444445	shouldInvokeInterceptorsMethodIfAbleToInstantiateIt.json
1782	9	0.0318462997674942	0.004450021997834506	0	0	0	1	1.89	0	9	64.0	105.13372802734375	0	0	2	0	0	0	0	0	0	0	0	0	8575.47	476.41498	322.84122	0.10761374	26.5625	ignoresPopulationIfIfRequestCanProvide.json
