Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1849	12#11#11#11#12#12#11#11#11	7.659902330487967E-4#0.002678783144801855#0.002678783144801855#3.5584825673140585E-4#1.8968802760355175E-4#1.0008064418798313E-4#2.3889911244623363E-4#2.8585034306161106E-4#2.475863147992641E-4	1.1965685014416504E-7#3.4003809300572116E-7#3.4003809300572116E-7#1.0111905573191236E-7#6.033765463033771E-9#1.7110413941404301E-9#5.868463370891882E-8#5.923161524254587E-8#5.986937458350402E-8	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1.73#1.78#1.78#1.78#1.73#1.73#1.78#1.78#1.78	0#0#0#0#0#0#0#0#0	18#16#16#16#18#20#18#18#18	122.0#114.0#114.0#120.0#134.0#140.0#123.0#123.0#123.0	96.64668273925781#98.40894317626953#98.40894317626953#98.11309051513672#95.99491882324219#95.74214172363281#97.98468780517578#97.98468780517578#97.98468780517578	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#2#2#1#1#1	0#73#73#77#116#117#117#185#200	0#2#0#1#5#2#1#1#1	0#5#0#2#9#4#3#2#2	0#103#0#29#211#38#111#17#13	0#103#0#29#211#38#111#17#13	0#6#0#6#4#4#8#6#28	0#0#0#0#0#0#0#0#0	0#1#0#1#0#0#0#0#0	0#1#0#1#0#0#0#0#0	22111.51#19520.268#19520.268#21308.791#25971.205#28066.81#24049.148#24049.148#24049.148	1228.4172#1084.4594#1084.4594#1183.8218#1442.8447#1559.2672#1336.0638#1336.0638#1336.0638	673.8746#629.68604#629.68604#666.55066#763.85895#801.9089#683.2144#683.2144#683.2144	0.22462486#0.20989534#0.20989534#0.22218356#0.25461966#0.26730296#0.22773814#0.22773814#0.22773814	32.8125#31.0#31.0#31.96875#34.0#35.0#35.2#35.2#35.2	willSetMethodParametersWithDeserializationAndContinueStackAfterDeserialization.json
1849	10	0.00303289876319468	1.1018424217769786E-5	0	0	0	1	1.83	0	17	96.0	101.0052719116211	0	0	1	0	0	0	0	0	0	0	0	0	16131.103	896.17236	514.325	0.17144167	31.363636	whenRefererDontMatchAControllerShouldForwardToPage.json
1849	7#9#8#8#8#8	0.01487070694565773#0.017022565007209778#0.023948734626173973#0.023948734626173973#0.012235162779688835#0.012165544554591179	4.5751347123883603E-4#8.987863326579575E-6#4.01832756393943E-5#4.01832756393943E-5#2.5734327337865175E-5#2.592974322842258E-5	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.98#1.89#1.94#1.94#1.94#1.94	0#0#0#0#0#0	12#16#16#16#16#16	68.0#93.0#84.0#84.0#86.0#86.0	108.57657623291016#102.77925109863281#105.31455993652344#105.31455993652344#105.1585693359375#105.1585693359375	0#0#0#0#0#0	0#0#0#0#0#0	1#2#1#1#1#1	0#70#70#72#77#116	0#3#1#0#1#2	0#4#3#0#2#4	0#170#79#0#8#14	0#170#79#0#8#14	0#6#6#0#6#20	0#0#0#0#0#0	0#1#0#0#1#0	0#1#0#0#1#0	5722.759#12185.451#10463.299#10463.299#10455.214#10455.214	317.93103#676.9695#581.2944#581.2944#580.8452#580.8452	364.31354#507.72714#450.03436#450.03436#463.7393#463.7393	0.12143785#0.16924238#0.15001145#0.15001145#0.15457976#0.15457976	15.708334#24.0#23.25#23.25#22.545456#22.545456	whenResultIsAnInputStreamShouldCreateAInputStreamDownload.json
1255	15#6#6	0.0#0.060171086341142654#0.08513358980417252	1.10083944464089E-9#0.04065829440184101#0.03768590733229895	0#0#0	0#0#0	0#0#0	1#1#1	1.6#2.0#2.0	0#0#0	32#8#8	174.0#48.0#48.0	91.75127410888672#113.69478607177734#113.69478607177734	0#0#0	0#0#0	0#0#0	0#2#3	0#1#1	0#11#2	0#640#47	0#640#47	0#4#4	0#0#0	0#0#0	0#0#0	47971.984#5017.7827#5017.7827	2665.1104#278.76572#278.76572	862.0302#220.07819#220.07819	0.2873434#0.07335939#0.07335939	55.65#22.800001#22.800001	whenCtxPathAppearsInItsPlaceRefererShouldBeReturnedCorrectly.json
1849	8#7#7#7#7#7	0.037910349667072296#0.10796257108449936#0.10796257108449936#0.012281307950615883#0.014070293866097927#0.012499935925006866	2.3076359354452458E-4#3.0939603821287273E-4#3.0939603821287273E-4#9.714779730749301E-5#9.640968231587546E-5#1.0018364426674492E-4	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.94#1.98#1.98#1.98#1.98#1.98	0#0#0#0#0#0	10#9#9#9#9#9	73.0#69.0#69.0#75.0#75.0#75.0	105.9781494140625#108.43439483642578#108.43439483642578#107.96912384033203#107.96912384033203#107.96912384033203	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#73#73#77#185#200	0#1#0#1#1#1	0#3#0#2#2#2	0#79#0#29#17#13	0#79#0#29#17#13	0#6#0#6#6#28	0#0#0#0#0#0	0#1#0#1#0#0	0#1#0#1#0#0	5694.1865#5202.36#5202.36#6141.8604#6141.8604#6141.8604	316.3437#289.02#289.02#341.21448#341.21448#341.21448	396.11734#374.41226#374.41226#409.45737#409.45737#409.45737	0.13203911#0.12480409#0.12480409#0.13648579#0.13648579#0.13648579	14.375#13.894737#13.894737#15.0#15.0#15.0	willSetHttpStatusCode415IfThereIsNoDeserializerButIsAccepted.json
1696	10#10#11#11#10#10#10	0.0012499958975240588#0.0012499958975240588#6.168233812786639E-4#6.792100612074137E-4#7.85969546996057E-4#8.046822040341794E-4#9.82262077741325E-4	8.721759931562634E-7#8.721759931562634E-7#1.3001735747050845E-8#2.0291538280307815E-8#2.168607833430033E-7#2.1828294539798773E-7#5.864986958664194E-7	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.83#1.83#1.78#1.78#1.83#1.83#1.83	0#0#0#0#0#0#0	13#13#16#16#16#16#15	106.0#106.0#128.0#125.0#114.0#114.0#110.0	100.27383422851562#100.27383422851562#97.64271545410156#97.74103546142578#99.92384338378906#99.92384338378906#100.16864013671875	0#0#0#0#0#0#0	0#0#0#0#0#0#0	4#4#4#4#3#3#3	0#0#0#3#233#233#234	0#1#4#1#0#1#1	0#2#7#2#1#2#2	0#6#109#7#46#6#50	0#6#109#7#46#6#50	0#1#1#1#11#11#2	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	18329.416#18329.416#29551.08#29741.127#21529.586#21529.586#20766.07	1018.3009#1018.3009#1641.7267#1652.2848#1196.0881#1196.0881#1153.6705	592.006#592.006#729.6563#715.99005#633.22314#633.22314#604.1039	0.19733533#0.19733533#0.24321876#0.23866335#0.21107438#0.21107438#0.20136796	30.961538#30.961538#40.5#41.538464#34.0#34.0#34.375	shouldInjectOnlyAttributesWithSameType.json
1849	15#16	5.713952705264091E-4#4.6047792420722544E-4	7.680900641557002E-10#8.150030903492733E-10	0#0	0#0	0#0	2#2	2.72#2.63	1#1	20#21	158.0#159.0	91.48711395263672#90.37884521484375	0#0	0#0	1#1	0#384	0#2	0#3	0#87	0#87	0#29	0#0	0#0	0#0	33106.582#34555.613	1839.2545#1919.7563	867.7128#878.24634	0.28923762#0.29274878	38.153847#39.346153	onSerializerResultsShouldBeAbleToCreateValidationInstancesEvenIfChildClassesUsesCovariantType.json
1814	11#12#12#12#12#12#11#11#11#12	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.4961772928797324E-8#2.0727218713883285E-9#4.71106659093059E-9#4.747807441211428E-9#4.747807441211428E-9#3.914780840385695E-9#1.8503894545329894E-8#1.8349128625797708E-8#1.8503894545329894E-8#2.7512280758327467E-9	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.78#1.73#1.73#1.73#1.73#1.73#1.78#1.78#1.78#1.73	0#0#0#0#0#0#0#0#0#0	14#18#18#18#18#18#17#17#17#20	124.0#136.0#132.0#132.0#132.0#133.0#124.0#124.0#124.0#135.0	97.68836975097656#95.776123046875#95.95367431640625#95.95367431640625#95.95367431640625#95.9144287109375#97.73451232910156#97.73451232910156#97.73451232910156#95.8368148803711	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2	0#2#36#36#37#43#43#160#161#332	0#3#3#1#0#2#0#1#1#1	0#5#6#2#0#4#1#2#2#1	0#172#53#5#0#54#58#5#5#64	0#172#53#5#0#54#58#5#5#64	0#13#13#13#0#13#12#15#15#14	0#0#0#0#0#0#0#0#0#0	0#0#1#0#0#1#0#0#0#0	0#0#1#0#0#1#0#0#0#0	27801.014#36541.305#35472.3#35472.3#35472.3#35741.03#30442.164#30442.164#30442.164#34174.9	1544.5007#2030.0725#1970.6833#1970.6833#1970.6833#1985.6128#1691.2313#1691.2313#1691.2313#1898.6055	723.2784#796.6854#769.94147#769.94147#769.94147#775.77435#716.8886#716.8886#716.8886#787.4401	0.2410928#0.26556182#0.25664717#0.25664717#0.25664717#0.25859144#0.23896287#0.23896287#0.23896287#0.26248005	38.4375#45.86667#46.071426#46.071426#46.071426#46.071426#42.464287#42.464287#42.464287#43.399998	mustConvertUnixPathToFileName.json
1849	6#6#6#6#7#7#7#7#7#7#7#7#7#7#7	0.01836497336626053#0.02696668542921543#0.02696668542921543#0.026113318279385567#0.013170404359698296#0.028067436069250107#0.057418085634708405#0.11490996927022934#0.11772124469280243#0.04435177892446518#0.03888537734746933#0.03406867757439613#0.015249479562044144#0.015661999583244324#0.03486209735274315	0.03699103655004849#0.018928211449040628#0.018928211449040628#0.018983522674380842#0.004443281243237759#0.006911300093662428#0.0108221784021887#0.012807103551159403#0.027375710031033822#0.010438629679168768#0.010281718430582436#0.010396162071331197#0.004041261486122558#0.004058450454312066#0.010467918618606594	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	2.0#2.0#2.0#2.0#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98#1.98	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	6#6#6#6#9#9#9#9#9#9#9#9#9#9#9	47.0#50.0#50.0#50.0#60.0#58.0#56.0#55.0#51.0#55.0#55.0#55.0#60.0#60.0#55.0	113.55796813964844#113.1817398071289#113.1817398071289#113.1817398071289#109.58658599853516#109.81072998046875#110.04309844970703#110.13679504394531#110.5815200805664#110.03904724121094#110.03904724121094#110.03904724121094#109.54061889648438#109.54061889648438#110.03904724121094	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#84#84#84#105#107#195#195#196#196#196#196#198#200#211	0#1#0#1#2#1#1#1#1#1#1#1#1#1#1	0#2#0#2#3#2#2#2#2#2#2#2#2#2#2	0#50#0#24#53#25#12#4#16#27#10#10#27#11#27	0#50#0#24#53#25#12#4#16#27#10#10#27#11#27	0#3#0#3#3#10#3#3#3#6#16#3#3#28#7	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0#0#0#0#0#0	3728.1038#3724.4524#3724.4524#3724.4524#4821.4287#4433.298#4396.5737#4318.0635#3798.9414#3513.8892#3513.8892#3513.8892#4035.5154#4035.5154#3513.8892	207.11688#206.91402#206.91402#206.91402#267.85715#246.29433#244.25409#239.89241#211.0523#195.21606#195.21606#195.21606#224.1953#224.1953#195.21606	225.94568#242.89906#242.89906#242.89906#300.0#287.34338#274.78586#269.87897#247.75703#275.0#275.0#275.0#302.66364#302.66364#275.0	0.07531523#0.08096635#0.08096635#0.08096635#0.1#0.095781125#0.091595285#0.08995966#0.08258568#0.09166667#0.09166667#0.09166667#0.10088788#0.10088788#0.09166667	16.5#15.333334#15.333334#15.333334#16.071428#15.428572#16.0#16.0#15.333334#12.777779#12.777779#12.777779#13.333334#13.333334#12.777779	shouldHandle404.json
1849	7	0.01915881410241127	0.045914997167133036	0	0	0	1	1.98	0	8	47.0	111.06072235107422	0	0	0	0	0	0	0	0	0	0	0	0	2711.3484	150.63046	225.94568	0.07531523	12.000001	shouldForwardToMethodsDefaultViewWhenResponseIsNotCommited.json
1849	9#9	0.0037829119246453047#0.0018869061022996902	1.8872619851859445E-4#6.976865921741046E-5	0#0	0#0	0#0	1#1	1.89#1.89	0#0	9#9	84.0#89.0	103.63288879394531#103.29119110107422	0#0	0#0	2#2	0#475	0#1	0#2	0#37	0#37	0#4	0#0	0#0	0#0	11824.707#13113.516	656.92816#728.5286	430.85977#460.12335	0.14361992#0.15337445	27.444445#28.5	shouldInvokeInterceptorsMethodIfAbleToInstantiateIt.json
1849	9#9#9#9	0.0318462997674942#0.0318462997674942#0.03282908722758293#0.023811696097254753	0.004450021997834506#0.004450021997834506#0.004317521392544312#0.0011751386347280156	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	9#9#9#10	64.0#64.0#64.0#71.0	105.13372802734375#105.13372802734375#105.13372802734375#104.54977416992188	0#0#0#0	0#0#0#0	2#2#2#2	0#386#386#386	0#0#1#2	0#0#2#4	0#0#8#26	0#0#8#26	0#0#11#11	0#0#0#0	0#0#0#0	0#0#0#0	8575.47#8575.47#8575.47#11739.32	476.41498#476.41498#476.41498#652.18445	322.84122#322.84122#322.84122#361.20987	0.10761374#0.10761374#0.10761374#0.12040329	26.5625#26.5625#26.5625#32.5	ignoresPopulationIfIfRequestCanProvide.json
1849	6#7	0.011531003750860691#0.0076266624964773655	0.0035028696947046393#0.004138039301184453	0#0	0#0	0#0	1#1	2.0#1.98	0#0	6#7	59.0#60.0	112.17122650146484#109.54061889648438	0#0	0#0	1#1	0#384	0#2	0#3	0#87	0#87	0#29	0#0	0#0	0#0	3942.2727#4237.291	219.01515#235.40506	295.0#302.66364	0.09833334#0.10088788	13.363636#14.0	onHttpResultShouldThrowExceptionsOnSendErrorWithMessage.json
