Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1181	3#3#3#3	0.9424794316291809#0.9152114391326904#0.9152114391326904#0.9152114391326904	0.9313190668346772#0.919020021640475#0.919020021640475#0.919020021640475	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0	0#0#0#0	0#0#0#0	0#17#18#41	0#1#0#0	0#2#0#0	0#5#0#0	0#5#0#0	0#2#0#4	0#0#0#0	0#0#0#0	0#0#0#0	186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5	getVira.json
2	3	0.8237701058387756	0.9253387130849227	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getExpectativa.json
1181	3#3#3#3	0.42935284972190857#0.41576018929481506#0.41576018929481506#0.41576018929481506	0.7092859768684818#0.6945270710472098#0.6945270710472098#0.6945270710472098	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	1#1#1#1	19.0#19.0#19.0#19.0	130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844	0#0#0#0	0#0#0#0	0#0#0#0	0#17#18#41	0#1#0#0	0#2#0#0	0#5#0#0	0#5#0#0	0#2#0#4	0#0#0#0	0#0#0#0	0#0#0#0	504.80167#504.80167#504.80167#504.80167	28.044537#28.044537#28.044537#28.044537	77.6618#77.6618#77.6618#77.6618	0.025887266#0.025887266#0.025887266#0.025887266	6.5#6.5#6.5#6.5	getOpponentCard.json
1360	3#3#3#3	0.8828071355819702#0.8828071355819702#0.8828071355819702#0.8828071355819702	0.9284336437395975#0.9284336437395975#0.9284336437395975#0.9284336437395975	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0	0#0#0#0	0#0#0#0	0#62#62#197	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#1#0#0	0#1#0#0	186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5	getUsername.json
1431	3#3#3#3#3	0.9238075613975525#0.9180448055267334#0.9180448055267334#0.9180448055267334#0.9180448055267334	0.9161007440324154#0.9391714066478363#0.9391714066478363#0.9391714066478363#0.9391714066478363	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	0#0#0#0#0	13.0#12.0#12.0#12.0#12.0	132.9956512451172#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#133#133#268	0#1#0#0#0	0#2#0#0#0	0#6#0#0#0	0#6#0#0#0	0#1#0#0#0	0#0#0#0#0	0#0#1#0#0	0#0#1#0#0	233.02258#186.80931#186.80931#186.80931#186.80931	12.945699#10.378295#10.378295#10.378295#10.378295	46.604515#41.51318#41.51318#41.51318#41.51318	0.015534839#0.013837727#0.013837727#0.013837727#0.013837727	5.0#4.5#4.5#4.5#4.5	getScore.json
1249	3#3#3	0.5970478653907776#0.8379993438720703#0.8379993438720703	0.7026156922510957#0.8585093106039121#0.8585093106039121	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	19.0#15.0#15.0	130.34019470214844#131.9385528564453#131.9385528564453	0#0#0	0#0#0	0#0#0	0#20#86	0#1#0	0#2#0	0#17#0	0#17#0	0#1#0	0#0#0	0#0#0	0#0#0	543.63257#314.10678#314.10678	30.201809#17.450377#17.450377	77.6618#57.110325#57.110325	0.025887266#0.019036775#0.019036775	7.0#5.5#5.5	getCards.json
1182	3#3#3	0.9824118614196777#0.9824118614196777#0.92350172996521	0.9222581640140368#0.9222581640140368#0.9331796662594624	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	13.0#13.0#12.0	132.9956512451172#132.9956512451172#133.59722900390625	0#0#0	0#0#0	0#0#0	0#19#64	0#0#1	0#0#2	0#0#11	0#0#11	0#0#1	0#0#0	0#0#0	0#0#0	233.02258#233.02258#186.80931	12.945699#12.945699#10.378295	46.604515#46.604515#41.51318	0.015534839#0.015534839#0.013837727	5.0#5.0#4.5	isBot.json
1158	8#5#5#5	0.023929636925458908#0.023823954164981842#0.026772618293762207#0.026772618293762207	2.435159106075057E-5#0.005619450243532673#0.002990707964640099#0.002990707964640099	1#0#0#0	1#0#0#0	2#0#0#0	2#1#1#1	2.4#1.96#1.96#1.96	0#0#0#0	12#8#8#8	87.0#54.0#57.0#57.0	104.83582305908203#115.58531188964844#115.2139892578125#115.2139892578125	0#0#0#0	0#0#1#1	3#1#1#1	0#1#5#48	0#3#1#0	0#9#2#0	0#221#18#0	0#221#18#0	0#1#1#0	0#0#1#0	0#0#1#0	0#0#1#0	12360.044#4680.0#6089.693#6089.693	686.6691#260.0#338.31628#338.31628	472.08502#270.0#289.98538#289.98538	0.15736167#0.09#0.09666179#0.09666179	26.181818#17.333334#21.0#21.0	shouldHandle.json
6	13	0.0	2.7987818724425898E-8	6	5	11	4	3.64	1	19	135.0	94.16340637207031	0	1	2	0	0	0	0	0	0	0	0	0	28543.908	1585.7727	741.4002	0.2471334	38.5	decideIfRaises.json
1431	3#3#3	0.6073759198188782#0.6073759198188782#0.7106202244758606	0.7888484654388787#0.7888484654388787#0.8130346376878771	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	2#2#1	18.0#18.0#16.0	130.85629272460938#130.85629272460938#131.60296630859375	0#0#0	0#0#0	0#0#0	0#133#160	0#0#1	0#0#2	0#0#11	0#0#11	0#0#1	0#0#0	0#0#0	0#0#0	421.94415#421.94415#335.04724	23.441341#23.441341#18.613735	70.32403#70.32403#60.91768	0.023441343#0.023441343#0.020305892	6.0#6.0#5.5	takeOne.json
