Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1298	8	0.007389390841126442	5.6415048617823E-4	2	1	3	2	2.4	1	7	79.0	105.91268157958984	0	2	2	0	0	0	0	0	0	0	0	0	6796.113	377.56183	383.78052	0.12792684	17.708332	equal.json
2314	14#11	0.001020554336719215#0.0	2.4578357819186433E-6#1.6084611764856028E-6	0#0	0#0	0#0	1#1	1.64#1.54	0#0	14#12	120.0#117.0	94.62049102783203#98.7015380859375	0#0	0#1	7#8	0#1016	0#10	0#23	0#419	0#419	0#10	0#1	0#1	0#1	21542.988#17006.662	1196.8326#944.8146	615.514#595.23315	0.20517133#0.19841105	35.0#28.57143	serialize.json
4809	3#3	0.8853185176849365#0.8853185176849365	0.931864556175617#0.931864556175617	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1432	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getState.json
2520	8#13	0.573313295841217#0.08980630338191986	0.35347893282122017#0.005068390150408521	1#2	1#2	2#4	2#3	2.65#2.46	1#1	1#5	39.0#75.0	109.81769561767578#97.8476333618164	0#0	1#1	1#3	0#156	0#9	0#13	0#192	0#192	0#1	0#0	0#0	0#0	2580.823#8775.874	143.37906#487.54855	181.11038#381.55972	0.06037013#0.12718658	14.25#23.0	parse.json
2314	9	0.020401928573846817	0.037141721322283404	1	1	2	2	2.67	1	5	60.0	105.54666900634766	0	2	1	0	0	0	0	0	0	0	0	0	8487.474	471.5263	285.29324	0.09509775	29.75	render.json
2314	4#3	0.46122992038726807#0.6766549944877625	0.386525492893904#0.8228918839645982	0#0	0#0	0#0	1#1	2.0#1.89	0#0	2#1	29.0#17.0	123.1068344116211#131.28770446777344	0#0	1#1	1#0	0#1016	0#2	0#5	0#61	0#61	0#10	0#1	0#1	0#1	1273.7721#474.65027	70.765114#26.36946	127.377205#64.72504	0.042459067#0.021575011	10.0#7.3333335	findByLocation.json
4616	6#6#3#3#3#3	0.5655381679534912#0.5811144709587097#0.4833890199661255#0.4833890199661255#0.8888543844223022#0.8830282092094421	0.7838899366070994#0.6874566754733618#0.5907509231613322#0.5907509231613322#0.9326114731486957#0.9434682963935453	1#1#1#1#0#0	1#1#1#1#0#0	2#2#2#2#0#0	2#2#2#2#1#1	2.75#2.75#1.89#1.89#1.89#1.89	1#1#0#0#0#0	1#2#1#1#0#0	27.0#29.0#23.0#23.0#12.0#12.0	116.9500732421875#116.48211669921875#128.91647338867188#128.91647338867188#133.59722900390625#133.59722900390625	0#0#0#0#0#0	1#1#1#1#0#0	0#0#0#0#0#0	0#526#702#1239#2254#4588	0#2#2#0#2#2	0#4#7#0#4#4	0#23#69#0#65#21	0#23#69#0#65#21	0#1#1#0#1#1	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#1	1182.1738#1385.8864#1099.1514#1099.1514#186.80931#186.80931	65.67632#76.99368#61.063965#61.063965#10.378295#10.378295	112.58798#123.1899#97.70234#97.70234#41.51318#41.51318	0.037529327#0.0410633#0.032567445#0.032567445#0.013837727#0.013837727	10.5#11.25#11.25#11.25#4.5#4.5	getFinance.json
2314	13#18	0.00624282518401742#1.1005915439454839E-4	2.2405817142507152E-5#2.24557784355066E-9	0#3	0#2	0#5	2#3	3.29#1.89	1#1	4#7	103.0#151.0	96.26649475097656#88.24867248535156	0#0	1#2	5#9	0#1016	0#16	0#27	0#512	0#512	0#10	0#1	0#1	0#1	25337.65#24115.041	1407.6472#1339.7245	540.53656#876.9106	0.18017885#0.29230353	46.875#27.5	deserialize.json
4820	3#3#3	0.9366533756256104#0.7867762446403503#0.7867762446403503	0.93216813976155#0.9241119526963487#0.9241119526963487	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#204#1443	0#2#0	0#4#0	0#11#0	0#11#0	0#4#0	0#0#0	0#0#0	0#0#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getFinalWave.json
1298	10	0.007588857319205999	0.0013300389807277295	1	1	2	2	2.15	1	7	75.0	102.32793426513672	0	1	4	0	0	0	0	0	0	0	0	0	9157.434	508.7463	381.55972	0.12718658	24.0	create.json
