Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3039	3	0.8289137482643127	0.8798725493746185	0	0	0	1	1.89	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	284.93387	15.829659	51.806156	0.01726872	5.5	getName.json
3039	3	0.8115221261978149	0.9120962884420887	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getAwsAccessKey.json
2552	7	0.11463552713394165	0.3552380840762539	1	1	2	2	3.02	1	0	40.0	112.13882446289062	0	2	0	0	0	0	0	0	0	0	0	0	3689.5464	204.9748	175.69269	0.05856423	21.0	getAWSCodePipelineClient.json
3039	3#3#3	0.22787632048130035#0.26097220182418823#0.37682127952575684	0.9269669835746429#0.9312952469867033#0.9277854482657306	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#13#378	0#1#1	0#2#2	0#5#6	0#5#6	0#2#1	0#0#0	0#0#1	0#0#1	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getCodePipelineClient.json
2552	3	0.30374765396118164	0.46013162464193474	0	0	0	1	1.89	0	0	25.0	128.8092498779297	0	2	0	0	0	0	0	0	0	0	0	0	1303.1017	72.39454	104.24813	0.034749378	12.5	getS3Client.json
3039	3	0.5510199069976807	0.919641030753084	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getCompressionType.json
3039	3	0.76678866147995	0.9327995175804625	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getProxyPort.json
3039	3	0.917911171913147	0.9401375110455964	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getRegion.json
3039	9#10#10#10#10#10#10#9	0.01419858355075121#0.011853324249386787#3.4545260132290423E-4#0.0#0.0#0.0#0.0#0.0	0.015384847690161178#0.0012109014345956619#4.1207139229470435E-5#9.250032115360856E-6#2.4525745066507033E-5#9.250032115360856E-6#9.129094392065104E-6#1.4845281913168583E-4	4#4#4#4#4#4#4#4	2#2#2#2#2#2#2#2	6#6#6#6#6#6#6#6	2#2#2#2#2#2#2#2	2.67#2.53#2.53#2.53#2.53#2.53#2.53#2.67	1#1#1#1#1#1#1#1	4#6#6#6#5#6#6#4	60.0#74.0#93.0#101.0#97.0#101.0#101.0#87.0	105.48960876464844#102.3977279663086#101.12574005126953#100.65702819824219#100.94779968261719#100.65702819824219#100.65702819824219#103.40101623535156	0#0#0#0#0#0#0#0	0#0#5#6#6#6#6#6	1#2#2#2#2#2#2#1	0#13#42#362#469#469#1086#3039	0#3#1#3#1#1#3#2	0#5#2#6#2#2#6#5	0#81#118#58#21#21#36#81	0#81#118#58#21#21#36#81	0#2#2#1#1#1#1#1	0#0#0#0#0#0#0#0	0#0#1#1#1#0#0#0	0#0#1#1#1#0#0#0	5480.3843#7592.191#12981.682#14570.439#13827.479#14570.439#14570.439#11766.712	304.4658#421.7884#721.2045#809.4689#768.19324#809.4689#809.4689#653.70624	288.44128#376.47226#480.80304#526.1548#497.54044#526.1548#526.1548#431.0151	0.0961471#0.12549075#0.16026768#0.17538492#0.16584681#0.17538492#0.17538492#0.1436717	19.0#20.166668#27.0#27.692307#27.791668#27.692307#27.692307#27.3	getAwsClient.json
2990	5	0.006804825738072395	0.1717912586085032	0	0	0	1	1.96	0	5	39.0	118.22151184082031	0	0	0	0	0	0	0	0	0	0	0	0	2114.152	117.452896	162.62709	0.05420903	13.0	getEncryptionKey.json
3039	3	0.7932446599006653	0.9157659232096544	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getAwsSecretKey.json
3039	3#3	0.9316174387931824#0.955803632736206	0.9119575351145044#0.9400661521972995	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#42	0#2	0#4	0#10	0#10	0#2	0#0	0#1	0#1	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getJob.json
3039	3	0.8740348219871521	0.9083485797784219	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getProxyHost.json
