Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
281	3	0.8294427990913391	0.9412813094355167	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getContainer.json
1577	3	0.0	0.004772586445800211	0	0	0	1	1.89	0	1	53.0	124.10772705078125	0	6	0	0	0	0	0	0	0	0	0	0	3913.5894	217.42163	257.473	0.08582433	15.2	downloadWithResponse.json
462	3	0.8961207866668701	0.9132103806651014	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getProjectId.json
1267	16#16	0.49203991889953613#0.49203991889953613	0.9731304166963317#0.9731304166963317	0#0	0#0	0#0	1#1	3.53#3.53	1#1	0#0	51.0#51.0	97.71331024169922#97.71331024169922	0#0	3#3	0#0	0#853	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	3332.1216#3332.1216	185.11786#185.11786	224.00818#224.00818	0.07466939#0.07466939	14.875#14.875	simple.json
1233	3#3	0.08047908544540405#0.08047908544540405	0.6551881904633928#0.6551881904633928	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	19.0#19.0	130.34019470214844#130.34019470214844	0#0	0#0	0#0	0#10	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	465.97076#465.97076	25.887264#25.887264	77.6618#77.6618	0.025887266#0.025887266	6.0#6.0	sayHello.json
1577	3#5#5	0.0#0.0#0.0	6.286049129391705E-5#2.8341358039591968E-8#1.5880976227451432E-8	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.96#1.96	0#0#0	2#8#9	73.0#110.0#113.0	122.0413589477539#111.15435028076172#111.01443481445312	0#0#0	8#8#8	0#2#2	0#642#1229	0#3#1	0#4#2	0#295#18	0#295#18	0#1#1	0#0#0	0#1#0	0#1#0	7885.449#18600.137#20850.318	438.0805#1033.341#1158.3511	383.09872#633.03766#650.3023	0.12769957#0.21101256#0.21676743	20.583334#29.382353#32.0625	uploadBlockBlob.json
5146	3	0.8378556966781616	0.9307750058371937	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getEngine.json
70	3	0.8866257071495056	0.9382011182172916	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getClient.json
3324	6#6#6	0.4189660847187042#0.39235571026802063#0.39235571026802063	0.3328597503765579#0.35147960826386376#0.35147960826386376	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	38.0#38.0#38.0	115.30660247802734#115.30660247802734#115.30660247802734	0#0#0	2#2#2	1#1#1	0#1182#2223	0#2#0	0#4#0	0#40#0	0#40#0	0#2#1	0#0#0	0#0#1	0#0#1	3329.3132#3329.3132#3329.3132	184.96185#184.96185#184.96185	161.42125#161.42125#161.42125	0.053807084#0.053807084#0.053807084	20.625#20.625#20.625	create.json
462	3	0.7276530265808105	0.9141214563129788	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDestinationName.json
5063	3	0.8806983828544617	0.9386509073994969	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getResult.json
1411	3	0.16619102656841278	0.5271127681912414	0	0	0	1	1.89	0	1	22.0	129.47398376464844	0	1	0	0	0	0	0	0	0	0	0	0	715.5592	39.75329	91.73836	0.030579453	7.8	createInstance.json
2731	23#22#22#22#22	0.0#0.0#0.0#0.0#0.0	1.2243084897711688E-23#2.6139102628567708E-24#9.026273553534843E-24#2.227919889973708E-24#2.3831602987277473E-24	3#2#2#2#2	2#2#2#2#2	5#4#4#4#4	3#3#3#3#3	2.88#2.94#2.94#2.94#2.94	2#2#2#2#2	46#48#47#47#47	296.0#302.0#297.0#302.0#300.0	80.2112045288086#80.84008026123047#80.94017791748047#80.82697296142578#80.8358383178711	0#0#0#0#0	2#2#2#3#3	6#6#6#6#6	0#1727#1993#2107#2170	0#6#1#2#1	0#13#2#4#2	0#346#35#29#30	0#346#35#29#30	0#4#4#4#3	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	130872.32#136300.69#129627.87#134116.28#122738.92	7270.6846#7572.2603#7201.5483#7450.9043#6818.829	1916.817#1950.7484#1913.5542#1955.6715#1952.3385	0.638939#0.6502495#0.6378514#0.6518905#0.6507795	68.275856#69.87097#67.741936#68.578125#62.867645	join.json
1270	3#3#3	0.896518349647522#0.896518349647522#0.896518349647522	0.9307086327654758#0.9307086327654758#0.9307086327654758	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#16#711	0#0#0	0#0#0	0#0#0	0#0#0	0#6#8	0#1#0	0#1#1	0#1#1	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getChannel.json
61	3	0.5428019762039185	0.9287027978196264	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getPreviewClient.json
1831	8	0.06294109672307968	0.46319809957369484	1	1	2	2	3.12	1	2	37.0	110.30216217041016	0	2	0	0	0	0	0	0	0	0	0	0	2598.734	144.3741	164.99898	0.05499966	15.75	newThreadPool.json
5687	3#3#3#3#3	0.7567520141601562#0.8509607911109924#0.889421284198761#0.892284095287323#0.892284095287323	0.13318807221986745#0.027053356498056885#0.004627045160046537#0.0045702372916939194#0.0045702372916939194	0#1#2#2#2	0#1#2#2#2	0#2#4#4#4	1#2#3#3#3	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	6#7#9#9#9	37.0#46.0#57.0#57.0#57.0	126.77063751220703#125.13829040527344#123.7145004272461#123.7145004272461#123.7145004272461	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#147#1131#3545#3906	0#1#1#1#0	0#2#2#2#0	0#45#50#3#0	0#45#50#3#0	0#1#1#2#1	0#0#0#0#0	0#0#1#0#0	0#0#0#0#0	2700.0266#4293.49#6863.0654#6863.0654#6863.0654	150.00148#238.52724#381.2814#381.2814#381.2814	154.28723#202.0466#254.1876#254.1876#254.1876	0.051429078#0.06734887#0.0847292#0.0847292#0.0847292	17.5#21.25#27.0#27.0#27.0	getConnectionString.json
4518	3#3#3	0.6742538809776306#0.7035799622535706#0.7035799622535706	0.9543291377955465#0.9330959666789194#0.9330959666789194	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	11.0#12.0#12.0	134.26058959960938#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#797#4391	0#1#0	0#2#0	0#7#0	0#7#0	0#2#0	0#0#0	0#0#0	0#0#0	146.16483#186.80931#186.80931	8.120268#10.378295#10.378295	36.541206#41.51318#41.51318	0.012180402#0.013837727#0.013837727	4.0#4.5#4.5	getLdapTemplate.json
1270	4#4#4#4	0.3929663598537445#0.1408260464668274#0.07867957651615143#0.07807593792676926	0.7302719886518316#0.07129536537701024#0.5858709467837022#0.5921044965778006	0#2#0#0	0#1#0#0	0#3#0#0	1#2#1#1	1.73#1.73#1.73#1.73	0#0#0#0	2#6#2#2	20.0#38.0#24.0#24.0	125.5254898071289#121.31822204589844#124.26470947265625#124.26470947265625	0#0#0#0	0#0#0#0	0#0#0#0	0#16#711#729	0#2#1#1	0#4#2#2	0#125#100#6	0#125#100#6	0#6#8#4	0#1#0#0	0#1#1#0	0#1#1#0	560.0#1547.0582#764.62695#764.62695	31.11111#85.94768#42.479275#42.479275	80.0#171.89536#101.950264#101.950264	0.026666667#0.05729845#0.03398342#0.03398342	7.0#9.0#7.5#7.5	createProducer.json
70	3	0.7923992872238159	0.9338997509350485	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getOperation.json
1577	5	0.8146753311157227	0.16624010531447292	0	0	0	1	1.96	0	1	36.0	118.07797241210938	0	0	2	0	0	0	0	0	0	0	0	0	1934.4977	107.47209	167.17882	0.05572627	11.571428	openInputStream.json
462	3	0.8886429071426392	0.9293857694852491	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getLocation.json
462	3	0.3306007385253906	0.252226491620479	0	0	0	1	1.89	0	2	29.0	127.76728820800781	0	2	0	0	0	0	0	0	0	0	0	0	1624.0593	90.22552	127.377205	0.042459067	12.75	getPublisher.json
3636	4#4#4#4	0.51511150598526#0.51511150598526#0.51511150598526#0.51511150598526	0.8641185606284968#0.8641185606284968#0.8641185606284968#0.8641185606284968	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	1#1#1#1	16.0#16.0#16.0#16.0	127.09062194824219#127.09062194824219#127.09062194824219#127.09062194824219	0#0#0#0	0#0#0#0	0#0#0#0	0#1188#1294#1519	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	325.6387#325.6387#325.6387#325.6387	18.09104#18.09104#18.09104#18.09104	59.207035#59.207035#59.207035#59.207035	0.019735679#0.019735679#0.019735679#0.019735679	5.5#5.5#5.5#5.5	isStopOnException.json
