Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
689	16	0.0043889605440199375	7.281637937614901E-5	5	6	11	6	3.38	2	6	105.0	91.88273620605469	0	0	3	0	0	0	0	0	0	0	0	0	20057.578	1114.3099	551.0324	0.18367746	36.399998	getPreviousResult.json
689	4	0.0	0.17598686640604194	0	0	0	1	1.73	0	3	32.0	122.5160903930664	0	0	0	0	0	0	0	0	0	0	0	0	1123.7767	62.43204	142.70181	0.04756727	7.875	toString.json
689	4	0.8846694827079773	0.8826599644321091	0	0	0	1	1.73	0	1	15.0	127.42622375488281	0	0	0	0	0	0	0	0	0	0	0	0	305.2863	16.96035	55.506596	0.018502198	5.5	getPath.json
689	14	7.982832030393183E-4	2.197990115717297E-9	3	3	6	3	2.7	1	13	142.0	92.66284942626953	0	0	6	0	0	0	0	0	0	0	0	0	33659.074	1869.9486	820.95306	0.27365103	41.0	getCoverageTrends.json
689	3	0.7119460701942444	0.9212636776271663	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getBranchCoverage.json
689	10	0.07623431831598282	0.37075387696438467	1	1	2	2	2.53	1	4	45.0	105.5951156616211	0	1	2	0	0	0	0	0	0	0	0	0	4834.5566	268.5865	203.56029	0.06785343	23.75	createIndirectCoverageChangesTree.json
689	19	0.0022735483944416046	0.021724380686033978	2	3	5	5	2.96	2	4	83.0	90.75707244873047	0	0	2	0	0	0	0	0	0	0	0	0	12429.702	690.539	418.6847	0.13956156	29.6875	getResult.json
689	3	0.040748197585344315	0.6352920632791924	0	0	0	1	1.89	0	1	21.0	129.7158966064453	0	1	0	0	0	0	0	0	0	0	0	0	766.22375	42.567986	87.56843	0.029189477	8.75	getCoverageDelta.json
689	8	0.6073805689811707	0.887460117107607	1	1	2	2	2.78	1	1	24.0	113.0059585571289	0	0	0	0	0	0	0	0	0	0	0	0	637.64417	35.424675	98.099106	0.0326997	6.5	getUrlName.json
689	3	0.744443953037262	0.9303097339007922	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getLineCoverage.json
689	10	0.08989258855581284	0.39004031595206134	1	1	2	2	2.53	1	4	45.0	105.5951156616211	0	1	2	0	0	0	0	0	0	0	0	0	4834.5566	268.5865	203.56029	0.06785343	23.75	createChangeCoverageTree.json
689	3	0.6294987797737122	0.9272126897613768	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getReferenceBuildUrl.json
