Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1047	3	0.9301944375038147	0.9025501799340998	0	0	0	1	1.89	0	0	13.0	132.9956512451172	0	0	0	0	0	0	0	0	0	0	0	0	209.72032	11.651129	46.604515	0.015534839	4.5	asString.json
3309	36#36#36#41#41#41#13#16#16#16#16#19#22	0.0#0.0#0.0#0.0#0.0#0.0#0.026992784813046455#0.003213426098227501#0.0012818695977330208#0.0012818695977330208#0.0013401657342910767#2.1310710872057825E-4#0.0	4.903567262495965E-10#4.903567262495965E-10#4.903567262495965E-10#3.4385418834845915E-13#4.739310662067499E-14#1.7445671562927094E-14#0.011128246156799991#9.085140711884885E-5#1.1994004714108415E-6#1.1994004714108415E-6#6.178298021436568E-7#2.2197309350427668E-8#1.7371114343420468E-9	7#7#7#9#10#10#3#5#6#6#6#8#9	7#7#7#8#9#9#2#4#5#5#5#7#8	14#14#14#17#19#19#5#9#11#11#11#15#17	9#9#9#10#10#10#3#4#5#5#5#6#7	5.2#5.2#5.2#5.89#5.89#5.89#3.96#3.8#3.8#3.8#3.8#4.2#3.98	5#5#5#5#5#5#2#2#2#2#2#3#3	11#11#11#15#17#17#6#9#12#12#12#13#16	207.0#207.0#207.0#253.0#262.0#266.0#71.0#98.0#116.0#116.0#119.0#143.0#160.0	74.12165069580078#74.12165069580078#74.12165069580078#70.66625213623047#70.46061706542969#70.3584976196289#98.22280883789062#92.56036376953125#91.21644592285156#91.21644592285156#91.05741119384766#87.06246948242188#83.7767562866211	0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1	5#5#5#6#6#6#2#2#2#2#2#2#2	0#2#2#2#2#5#55#320#365#541#559#1052#3292	0#0#0#6#1#2#5#3#2#0#3#3#3	0#0#0#7#2#4#38#3#4#0#6#3#3	0#0#0#292#27#13#1232#215#130#0#18#177#114	0#0#0#292#27#13#1232#215#130#0#18#177#114	0#2#0#1#1#2#3#1#1#5#5#1#1	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#1#1#1#0#0#0#1#0#1#1#0	0#0#1#1#1#0#0#1#1#0#1#1#0	77580.54#77580.54#77580.54#103739.05#114455.74#119718.625#7028.9995#17126.488#30061.06#30061.06#31810.252#48909.773#59931.902	4310.03#4310.03#4310.03#5763.2803#6358.6523#6651.0347#390.49997#951.47156#1670.059#1670.059#1767.2362#2717.2097#3329.55	1174.192#1174.192#1174.192#1455.9866#1514.7162#1544.7565#355.0#528.4471#654.6873#654.6873#675.0186#815.1629#929.17676	0.39139733#0.39139733#0.39139733#0.48532885#0.5049054#0.5149188#0.11833333#0.17614903#0.2182291#0.2182291#0.22500621#0.27172098#0.30972558	66.07143#66.07143#66.07143#71.25#75.5625#77.5#19.8#32.40909#45.916668#45.916668#47.125#60.0#64.5	parse.json
3960	3#3#3#3#3#3	0.8786495923995972#0.8786495923995972#0.8786495923995972#0.8786495923995972#0.8786495923995972#0.8786495923995972	0.9108409305907287#0.9099832944361639#0.9099832944361639#0.9099832944361639#0.9099832944361639#0.9099832944361639	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	0#0#0#0#0#0	12.0#12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#5#5#7#17#18	0#1#0#0#0#0	0#2#0#0#0#0	0#9#0#0#0#0	0#9#0#0#0#0	0#3#1#1#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	186.80931#186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5#4.5	getField.json
3953	3#3#3#3#3#3#3	0.1658429056406021#0.1658429056406021#0.1658429056406021#0.1658429056406021#0.1658429056406021#0.24943338334560394#0.24943338334560394	0.5007358490896627#0.5007358490896627#0.5007358490896627#0.5007358490896627#0.5007358490896627#0.5620695435225014#0.5620695435225014	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0	1#1#1#1#1#1#1	25.0#25.0#25.0#25.0#25.0#22.0#22.0	128.8092498779297#128.8092498779297#128.8092498779297#128.8092498779297#128.8092498779297#129.37762451171875#129.37762451171875	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#3#10#11#184#1183#1185	0#0#0#0#0#1#0	0#0#0#0#0#2#0	0#0#0#0#0#15#0	0#0#0#0#0#15#0	0#1#0#0#2#1#5	0#0#0#0#0#0#0	0#0#0#0#1#0#0	0#0#0#0#1#0#0	781.86096#781.86096#781.86096#781.86096#781.86096#747.63525#747.63525	43.43672#43.43672#43.43672#43.43672#43.43672#41.535294#41.535294	104.24813#104.24813#104.24813#104.24813#104.24813#93.45441#93.45441	0.034749378#0.034749378#0.034749378#0.034749378#0.034749378#0.03115147#0.03115147	7.5#7.5#7.5#7.5#7.5#8.0#8.0	getFieldDefinitions.json
3960	3#3#3#3#3#3	0.710889458656311#0.7684553861618042#0.7684553861618042#0.7684553861618042#0.618503212928772#0.618503212928772	0.9082474875860016#0.9230285924505912#0.9230285924505912#0.9230285924505912#0.9110366428816549#0.9110366428816549	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	0#0#0#0#0#0	12.0#12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#4#17#18#284#285	0#1#0#0#1#0	0#2#0#0#2#0	0#4#0#0#10#0	0#4#0#0#10#0	0#1#0#0#2#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#1#0	186.80931#186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5#4.5	getSpecialChar.json
3307	3#3#3#3	0.35189324617385864#0.35189324617385864#0.745224118232727#0.7599616050720215	0.8249708243308138#0.8249708243308138#0.8059791082684331#0.7662788029003923	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#1#1	17.0#17.0#18.0#19.0	131.03103637695312#131.03103637695312#130.85629272460938#130.45266723632812	0#0#0#0	0#0#1#1	0#0#0#0	0#0#53#557	0#0#2#1	0#0#4#2	0#0#37#6	0#0#37#6	0#0#3#5	0#0#0#0	0#1#0#1	0#1#0#1	442.0#442.0#562.5922#658.6667	24.555555#24.555555#31.255123#36.592594	68.0#68.0#70.32403#76.0	0.022666667#0.022666667#0.023441343#0.025333334	6.5#6.5#8.0#8.666667	getStringMappingValue.json
3771	3#3#3#3	0.6238102316856384#0.6238102316856384#0.6238102316856384#0.6288421750068665	0.7828746347981018#0.7828746347981018#0.7828746347981018#0.7531130133672299	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	1#1#1#1	18.0#18.0#18.0#19.0	130.85629272460938#130.85629272460938#130.85629272460938#130.45266723632812	0#0#0#0	1#1#1#1	0#0#0#0	0#2#1003#1021	0#0#0#1	0#0#0#2	0#0#0#6	0#0#0#6	0#2#5#5	0#0#0#0	0#1#0#1	0#1#0#1	562.5922#562.5922#562.5922#658.6667	31.255123#31.255123#31.255123#36.592594	70.32403#70.32403#70.32403#76.0	0.023441343#0.023441343#0.023441343#0.025333334	8.0#8.0#8.0#8.666667	getFieldDefinition.json
3960	3#3#3#3#3#3	0.9366533756256104#0.9366533756256104#0.9366533756256104#0.8563385009765625#0.8563385009765625#0.7314719557762146	0.9474581576040605#0.9474581576040605#0.9474581576040605#0.9215773872277774#0.9215773872277774#0.9215155644015809	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	0#0#0#0#0#0	12.0#12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#17#18#284#285#656	0#0#0#1#0#2	0#0#0#2#0#4	0#0#0#15#0#34	0#0#0#15#0#34	0#0#0#2#0#2	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#1#0#0	186.80931#186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5#4.5	getExpression.json
3960	19#19#26#26#26#26#30#30#30	3.4119674819521606E-4#2.5032294797711074E-4#0.1116383746266365#0.1116383746266365#0.1116383746266365#0.1116383746266365#0.0587206706404686#0.0587206706404686#0.0591597855091095	7.433200012303102E-7#1.5300035501566042E-7#0.0995790540557541#0.0995790540557541#0.0995790540557541#0.0995790540557541#0.03913318639237924#0.03913318639237924#0.02874180505582608	1#1#1#1#1#1#1#1#1	6#6#6#6#6#6#7#7#7	7#7#7#7#7#7#8#8#8	8#8#8#8#8#8#9#9#9	3.87#3.87#3.67#3.67#3.67#3.67#3.52#3.52#3.52	2#2#2#2#2#2#2#2#2	8#13#2#2#2#2#2#2#2	131.0#136.0#92.0#92.0#92.0#92.0#106.0#106.0#107.0	87.25208282470703#86.94225311279297#84.36371612548828#84.36371612548828#84.36371612548828#84.36371612548828#80.99825286865234#80.99825286865234#80.9111557006836	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1#1#0#0#0#0#0#0#0	0#1#5#17#18#19#1012#1192#1210	0#3#16#0#0#0#4#0#1	0#6#25#0#0#0#4#0#2	0#116#456#0#0#0#107#0#6	0#116#456#0#0#0#107#0#6	0#1#3#0#0#1#1#5#5	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#1	14219.378#16438.621#6245.6567#6245.6567#6245.6567#6245.6567#7847.0825#7847.0825#8422.925	789.96545#913.2567#346.98093#346.98093#346.98093#346.98093#435.94904#435.94904#467.94028	719.4328#763.6005#471.89404#471.89404#471.89404#471.89404#552.2021#552.2021#561.52826	0.23981093#0.2545335#0.15729801#0.15729801#0.15729801#0.15729801#0.18406737#0.18406737#0.1871761	19.764706#21.527777#13.235294#13.235294#13.235294#13.235294#14.210526#14.210526#15.000001	forField.json
3307	7#7#8#7#7#7#7#7	0.0027696057222783566#0.0027696057222783566#0.003093387931585312#0.0019328701309859753#0.0021415860392153263#0.001841614255681634#0.0021415860392153263#0.00245211785659194	7.413605421426165E-4#7.413605421426165E-4#2.307359443238264E-4#2.8851027441671446E-4#2.327090409955661E-4#6.459338373273416E-4#2.327090409955661E-4#1.0725010552964567E-4	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	1.98#1.98#1.94#1.98#1.98#1.98#1.98#1.98	0#0#0#0#0#0#0#0	9#9#10#10#10#10#10#10	77.0#77.0#85.0#81.0#81.0#72.0#81.0#85.0	108.73999786376953#108.73999786376953#105.9334487915039#108.34730529785156#108.34730529785156#108.84282684326172#108.34730529785156#108.0367660522461	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	3#3#3#3#3#3#3#3	0#0#5#52#53#67#73#557	0#0#2#1#1#3#3#4	0#0#3#3#2#6#6#8	0#0#36#43#19#30#30#24	0#0#36#43#19#30#30#24	0#0#1#1#3#1#1#5	0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#1	0#1#1#0#0#0#0#1	7413.8843#7413.8843#10228.157#9137.655#9137.655#5616.7383#9137.655#10306.219	411.88245#411.88245#568.23096#507.64752#507.64752#312.04102#507.64752#572.5677	353.0421#353.0421#399.53738#380.73563#380.73563#346.12955#380.73563#404.16544	0.117680706#0.117680706#0.13317913#0.12691188#0.12691188#0.11537652#0.12691188#0.13472182	21.0#21.0#25.6#24.0#24.0#16.227272#24.0#25.5	removeValidChars.json
