Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
6284	3#3	0.6833680868148804#0.5055513381958008	0.9207055670081008#0.9210614813792706	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1027	0#1	0#2	0#8	0#8	0#5	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getMessageNumber.json
6215	3	0.6722137928009033	0.8432305856712674	0	0	0	1	1.89	0	2	16.0	131.91592407226562	0	0	0	0	0	0	0	0	0	0	0	0	315.4767	17.526484	57.3594	0.019119801	5.5	getLocalName.json
6284	3#3#3#3	0.5872929692268372#0.5872929692268372#0.5872929692268372#0.5872929692268372	0.920606266927731#0.920606266927731#0.920606266927731#0.920606266927731	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0	0#0#0#0	0#0#0#0	0#1359#1906#1937	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#1#0#0	0#1#0#0	186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5	getToEndpointReference.json
6284	3#3	0.509768545627594#0.6969279050827026	0.7681769658475637#0.8361480653776471	0#0	0#0	0#0	1#1	1.89#1.89	0#0	2#1	18.0#15.0	130.99049377441406#132.086669921875	0#0	0#0	0#0	0#1632	0#1	0#2	0#11	0#11	0#1	0#0	0#0	0#0	411.19434#305.2863	22.84413#16.96035	68.53239#55.506596	0.022844128#0.018502198	6.0#5.5	getEndpointIdentifier.json
6284	7#7#8#8#8#8#8	0.003290949622169137#0.0010158777004107833#9.800744010135531E-4#9.571608388796449E-4#0.0011156128020957112#2.979855635203421E-4#0.0	7.881687891030331E-4#3.0671138318395325E-4#3.4380408438150603E-4#5.358759217988373E-4#1.263299768027963E-4#4.1230946854938954E-5#2.0823306556654367E-5	0#0#1#1#1#1#1	0#0#1#1#1#1#1	0#0#2#2#2#2#2	1#1#2#2#2#2#2	1.81#1.81#2.4#2.4#2.4#2.4#2.4	0#0#1#1#1#1#1	8#9#8#8#8#8#8	73.0#78.0#79.0#77.0#85.0#90.0#94.0	108.6146469116211#108.2222900390625#105.71687316894531#105.89617919921875#105.33621978759766#104.95221710205078#104.72608947753906	0#0#0#0#0#0#0	3#3#4#4#4#5#5	1#1#0#0#0#0#0	0#896#1171#1355#1997#2002#2290	0#1#4#1#3#2#2	0#2#7#2#6#4#4	0#22#104#9#46#14#6	0#22#104#9#46#14#6	0#1#2#1#1#8#6	0#0#0#0#0#0#0	0#0#1#0#0#0#0	0#0#1#0#0#0#0	10917.501#12870.0#13698.683#12705.0#14739.089#16003.363#18107.508	606.52783#715.0#761.0379#705.8333#818.83826#889.07574#1005.97266	361.65634#390.0#398.50714#385.0#428.7735#461.63547#482.1526	0.120552115#0.13#0.13283572#0.12833333#0.1429245#0.1538785#0.16071753	30.1875#33.0#34.375#33.0#34.375#34.666668#37.555553	initialisePolicy.json
4303	4	0.3505140244960785	0.688307524027149	0	0	0	1	1.73	0	0	21.0	124.95906829833984	0	3	0	0	0	0	0	0	0	0	0	0	624.4454	34.69141	89.20648	0.029735494	7.0	faultOccurred.json
6284	3#3	0.6665845513343811#0.34335803985595703	0.9099301930900707#0.9322167027988338	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#666	0#1	0#2	0#26	0#26	0#1	0#0	0#1	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getMessageObserver.json
3294	3	0.6404786109924316	0.9204599877489958	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getCreatedTime.json
3015	12	0.0	8.683129860025839E-6	0	0	0	1	1.49	0	8	106.0	97.8495864868164	0	1	1	0	0	0	0	0	0	0	0	0	17311.1	961.7278	534.70575	0.17823525	32.375	create.json
6284	3	0.8654038310050964	0.9231686119025075	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getEndTime.json
