Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2037	3	0.7452635765075684	0.7167022806613725	0	0	0	1	1.89	0	1	20.0	130.18594360351562	0	1	0	0	0	0	0	0	0	0	0	0	693.3334	38.51852	80.0	0.026666667	8.666667	internalOpenHttpConnection.json
2037	24#25#25	0.00484859524294734#0.004080078564584255#0.004051686730235815	2.3898168188655384E-8#1.7506077570994468E-8#1.7858598235366338E-8	2#2#2	3#3#3	5#5#5	6#6#6	4.0#3.93#3.93	2#2#2	12#13#13	148.0#151.0#151.0	82.89324951171875#82.1070556640625#82.1070556640625	0#0#0	1#1#1	5#5#5	0#36#184	0#1#1	0#1#2	0#33#6	0#33#6	0#1#1	0#0#0	0#1#1	0#1#1	29093.727#30606.305#30606.305	1616.3181#1700.3502#1700.3502	877.74915#899.0837#899.0837	0.29258305#0.29969457#0.29969457	33.145832#34.041664#34.041664	doInBackground.json
2217	25#28#33#36#39#42#45#10#14#13#14#10	0.0011558831902220845#5.09417150169611E-4#2.1613403805531561E-4#0.0#0.0#0.0#0.0#0.0017992231296375394#0.0#4.656397504732013E-4#1.0944564564852044E-4#0.001772445859387517	0.005645085595137101#0.002525012580496082#6.595282353682541E-5#2.587981730099693E-5#1.0355931979317488E-5#4.13051986595146E-6#1.5996270876850224E-6#6.424448696381388E-4#1.230679501470582E-6#1.1279866381576576E-5#1.3018379219715311E-6#1.3215465277805508E-4	3#3#4#4#4#4#4#2#3#3#3#2	6#7#8#9#10#11#12#2#3#3#3#2	9#10#12#13#14#15#16#4#6#6#6#4	8#9#10#11#12#13#14#3#4#4#4#3	5.69#5.5#5.49#5.37#5.27#5.16#5.06#2.8#2.7#2.65#2.56#2.53	4#4#4#4#4#4#4#1#1#1#1#1	9#10#12#13#14#15#16#3#6#4#5#3	106.0#117.0#144.0#156.0#168.0#180.0#192.0#78.0#115.0#102.0#114.0#82.0	84.14359283447266#81.52725219726562#77.4190444946289#75.36323547363281#73.45118713378906#71.66187286376953#69.97858428955078#101.85140991210938#93.76670837402344#95.65177154541016#93.81211853027344#101.36494445800781	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#1#2#2#2#2	0#47#52#59#182#182#186#187#822#822#822#1540	0#3#5#3#3#3#3#8#4#0#1#0	0#3#5#3#3#3#3#51#4#1#1#4	0#104#176#117#103#101#107#1237#184#80#110#153	0#104#176#117#103#101#107#1237#184#80#110#153	0#1#1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0	0#0#1#1#0#1#1#1#1#0#1#1	0#0#1#1#1#1#1#1#1#0#1#1	40385.953#52563.33#74687.11#88741.13#103999.79#120463.07#138130.98#9602.018#23629.797#17899.135#23424.32#12300.939	2243.664#2920.1848#4149.2837#4930.063#5777.766#6692.3926#7673.9434#533.44543#1312.7665#994.39636#1301.3511#683.3855	556.28033#618.3921#781.38214#846.4973#911.6125#976.72766#1041.8428#400.08408#635.2096#556.862#629.68604#439.31927	0.18542677#0.2061307#0.2604607#0.28216577#0.30387083#0.3255759#0.34728092#0.13336135#0.21173653#0.18562067#0.20989534#0.14643976	72.6#85.0#95.58333#104.83333#114.08333#123.33333#132.58333#24.0#37.2#32.142857#37.2#28.0	read.json
2037	14	0.0	8.713023166203314E-11	1	3	4	4	3.89	3	17	169.0	91.79481506347656	0	1	0	0	0	0	0	0	0	0	0	0	38216.832	2123.1572	928.12317	0.3093744	41.176468	validateResponse.json
2037	4	0.11175209283828735	0.5788021127856249	0	0	0	1	1.73	0	0	24.0	124.361083984375	0	1	0	0	0	0	0	0	0	0	0	0	875.68427	48.649124	100.0782	0.0333594	8.75	getCommand.json
2037	5	0.4771590828895569	0.13546539510700958	2	2	4	2	2.99	0	2	39.0	117.56822967529297	0	0	0	0	0	0	0	0	0	0	0	0	2513.9695	139.66498	176.41891	0.058806304	14.25	startWrite.json
2037	13#14	0.010077591054141521#0.0037697001826018095	0.00851281705063331#0.0038965998678049353	0#0	0#0	0#0	2#2	2.46#2.37	1#1	8#9	69.0#75.0	98.46864318847656#96.75386047363281	0#0	3#3	1#1	0#1051	0#1	0#1	0#49	0#49	0#1	0#0	0#1	0#1	10617.616#12038.722	589.86755#668.8179	353.92053#390.709	0.117973514#0.13023634	30.0#30.8125	getHttpURLConnection.json
2213	11#11#13	0.2923319935798645#0.2923319935798645#0.12886880338191986	0.19113745556176828#0.19113745556176828#0.02657024606518103	1#1#2	2#2#3	3#3#5	4#4#5	4.96#4.96#4.71	2#2#2	1#1#2	53.0#53.0#68.0	102.2673568725586#102.2673568725586#97.85456085205078	0#0#0	2#2#2	0#0#0	0#0#3	0#0#3	0#0#4	0#0#102	0#0#102	0#1#1	0#0#0	0#0#0	0#0#0	4151.9263#4151.9263#6045.715	230.66257#230.66257#335.87305	262.57242#262.57242#348.79123	0.08752414#0.08752414#0.11626374	15.8125#15.8125#17.333334	poll.json
2217	8	7.715323590673506E-4	0.00418089367404176	0	0	0	2	3.12	1	6	63.0	106.8936996459961	0	1	0	0	0	0	0	0	0	0	0	0	5402.546	300.14145	317.7968	0.10593227	17.0	loadCurrentSettings.json
2037	3	0.8603379130363464	0.7266750039679131	0	0	0	1	1.89	0	0	18.0	130.85629272460938	0	0	0	0	0	0	0	0	0	0	0	0	457.10617	25.394787	70.32403	0.023441343	6.5	openRead.json
2037	3	0.6435127258300781	0.8968476666561316	0	0	0	1	1.89	0	1	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	474.65027	26.36946	64.72504	0.021575011	7.3333335	parseUri.json
2037	15#17	0.0025403681211173534#2.490926708560437E-4	5.92997270461106E-6#8.902307333493557E-8	2#3	2#3	4#6	4#5	3.92#3.85	2#2	8#11	111.0#136.0	92.8331069946289#89.43411254882812	0#0	2#2	1#1	0#0	0#2	0#2	0#152	0#152	0#9	0#0	0#1	0#1	23451.662#35316.523	1302.8701#1962.029	613.11536#763.6005	0.20437178#0.2545335	38.25#46.25	openItemFile.json
