Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1490	3#3	0.8322849869728088#0.8322849869728088	0.9435138877062945#0.9435138877062945	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#10	0#0	0#0	0#0	0#0	0#5	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getProportion.json
411	3	0.923893928527832	0.9275684830026859	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getCors.json
1455	10#10#10	0.22695063054561615#0.22695063054561615#0.22695063054561615	0.0643169547053073#0.0643169547053073#0.0643169547053073	0#0#0	0#0#0	0#0#0	3#3#3	3.1#3.1#3.1	1#1#1	3#3#3	54.0#54.0#54.0	103.94418334960938#103.94418334960938#103.94418334960938	0#0#0	1#1#1	0#0#0	0#182#240	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#1	0#0#1	4586.1704#4586.1704#4586.1704	254.78725#254.78725#254.78725	267.5266#267.5266#267.5266	0.08917554#0.08917554#0.08917554	17.142857#17.142857#17.142857	getChildren.json
5009	3#3#3#4#3#3#3#3#3#3#3#4	0.8506372570991516#0.8506372570991516#0.8506372570991516#0.8328682780265808#0.8506372570991516#0.8506372570991516#0.8506372570991516#0.8506372570991516#0.8506372570991516#0.8506372570991516#0.8506372570991516#0.8328682780265808	0.902648354100877#0.902648354100877#0.902648354100877#0.9092086646569144#0.902648354100877#0.902648354100877#0.902648354100877#0.902648354100877#0.902648354100877#0.902648354100877#0.902648354100877#0.9092086646569144	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.73#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.73	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	12.0#12.0#12.0#13.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0#13.0	133.59722900390625#133.59722900390625#133.59722900390625#128.335205078125#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#128.335205078125	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#155#155#2375#2430#2548#2782#2783#2784#2914#2923#3810	0#0#0#1#0#0#0#0#0#0#0#1	0#0#0#1#1#0#0#0#0#0#0#1	0#0#0#10#10#0#0#0#0#0#0#10	0#0#0#10#10#0#0#0#0#0#0#10	0#0#0#5#7#0#2#0#0#1#2#2	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	186.80931#186.80931#186.80931#233.02258#186.80931#186.80931#186.80931#186.80931#186.80931#186.80931#186.80931#233.02258	10.378295#10.378295#10.378295#12.945699#10.378295#10.378295#10.378295#10.378295#10.378295#10.378295#10.378295#12.945699	41.51318#41.51318#41.51318#46.604515#41.51318#41.51318#41.51318#41.51318#41.51318#41.51318#41.51318#46.604515	0.013837727#0.013837727#0.013837727#0.015534839#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.015534839	4.5#4.5#4.5#5.0#4.5#4.5#4.5#4.5#4.5#4.5#4.5#5.0	getMethodName.json
308	3	0.014311382547020912	0.2782039615380415	0	0	0	1	1.89	0	2	28.0	127.87090301513672	0	2	0	0	0	0	0	0	0	0	0	0	1331.8837	73.99354	124.86409	0.041621365	10.666667	header.json
2366	3#3	0.923893928527832#0.923893928527832	0.9384720879901919#0.9384720879901919	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#271	0#0	0#0	0#0	0#0	0#1	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getGroup.json
857	3	0.8841277956962585	0.9267478669663027	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	cause.json
5009	4#4#4#4	0.6748265624046326#0.6748265624046326#0.6748265624046326#0.6748265624046326	0.8309653434904645#0.8309653434904645#0.8309653434904645#0.8309653434904645	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	1#1#1#1	17.0#17.0#17.0#17.0	126.62725830078125#126.62725830078125#126.62725830078125#126.62725830078125	0#0#0#0	1#1#1#1	0#0#0#0	0#67#155#2430	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#7	0#0#0#0	0#0#0#0	0#0#0#0	582.5253#582.5253#582.5253#582.5253	32.36252#32.36252#32.36252#32.36252	64.72504#64.72504#64.72504#64.72504	0.021575011#0.021575011#0.021575011#0.021575011	9.0#9.0#9.0#9.0	getChannel.json
862	3#3#3	0.5981601476669312#0.5981601476669312#0.5981601476669312	0.8036183013039306#0.8036183013039306#0.8036183013039306	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	16.0#16.0#16.0	131.60296630859375#131.60296630859375#131.60296630859375	0#0#0	0#0#0	0#0#0	0#127#297	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#1#0	0#1#0	335.04724#335.04724#335.04724	18.613735#18.613735#18.613735	60.91768#60.91768#60.91768	0.020305892#0.020305892#0.020305892	5.5#5.5#5.5	getInvokers.json
2021	3	0.8537238240242004	0.9376858755571656	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getSecretKey.json
5002	7#7#7#7#7#7#7#7#7	0.3032035529613495#0.3032035529613495#0.09743868559598923#0.17673611640930176#0.3032035529613495#0.17673611640930176#0.17673611640930176#0.17673611640930176#0.23086591064929962	0.6428563011303754#0.6428563011303754#0.1933020348976222#0.36955501415571645#0.6428563011303754#0.36955501415571645#0.36955501415571645#0.36955501415571645#0.41897956349565335	2#2#4#3#2#3#3#3#3	2#2#4#3#2#3#3#3#2	4#4#8#6#4#6#6#6#5	2#2#2#2#2#2#2#2#2	2.56#2.56#2.56#2.56#2.56#2.56#2.56#2.56#2.56	1#1#1#1#1#1#1#1#1	3#3#5#4#3#4#4#4#4	31.0#31.0#43.0#37.0#31.0#37.0#37.0#37.0#35.0	113.63807678222656#113.63807678222656#111.76275634765625#112.54422760009766#113.63807678222656#112.54422760009766#112.54422760009766#112.54422760009766#112.83319091796875	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#131#131#131#277#279#2244#2423#2648	0#0#1#1#1#1#0#0#1	0#0#2#2#2#2#0#0#2	0#0#75#39#36#36#0#0#40	0#0#75#39#36#36#0#0#40	0#0#1#1#1#1#1#7#3	0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#1#0#1	1234.554#1234.554#2719.723#1820.1764#1234.554#1820.1764#1820.1764#1820.1764#1537.311	68.586334#68.586334#151.09572#101.12091#68.586334#101.12091#101.12091#101.12091#85.406166	131.68576#131.68576#188.86964#162.51575#131.68576#162.51575#162.51575#162.51575#153.73111	0.043895252#0.043895252#0.06295655#0.054171916#0.043895252#0.054171916#0.054171916#0.054171916#0.051243704	9.375#9.375#14.4#11.2#9.375#11.2#11.2#11.2#10.0	getDefaultExtension.json
1516	3#3	0.39147526025772095#0.39147526025772095	0.7187288313774669#0.7187288313774669	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	20.0#20.0	130.18594360351562#130.18594360351562	0#0	1#1	0#0	0#317	0#0	0#0	0#0	0#0	0#2	0#0	0#0	0#0	693.3334#693.3334	38.51852#38.51852	80.0#80.0	0.026666667#0.026666667	8.666667#8.666667	getAttribute.json
5009	3#3	0.8740348219871521#0.8740348219871521	0.9063146412213942#0.9063146412213942	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#2430	0#0	0#0	0#0	0#0	0#7	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getLogThread.json
1980	3#3	0.8652061820030212#0.8828071355819702	0.9413275624575608#0.9367273608184453	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#182	0#1	0#2	0#7	0#7	0#3	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getRegistry.json
5009	10#10#10#10#10#10#13#13	0.019598210230469704#0.019598210230469704#0.019598210230469704#0.019598210230469704#0.019598210230469704#0.019598210230469704#0.0027280105277895927#9.142074850387871E-4	0.004209744588632985#0.004209744588632985#0.004209744588632985#0.004209744588632985#0.004209744588632985#0.004209744588632985#1.0915058008411152E-4#1.7975803772255818E-5	1#1#1#1#1#1#3#3	1#1#1#1#1#1#2#2	2#2#2#2#2#2#5#5	3#3#3#3#3#3#4#4	4.1#4.1#4.1#4.1#4.1#4.1#4.83#4.83	2#2#2#2#2#2#3#3	6#6#6#6#6#6#10#10	70.0#70.0#70.0#70.0#70.0#70.0#93.0#101.0	102.45669555664062#102.45669555664062#102.45669555664062#102.45669555664062#102.45669555664062#102.45669555664062#96.23006439208984#95.76732635498047	0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2	1#1#1#1#1#1#1#1	0#5#5#155#2329#2430#3812#4024	0#0#0#0#0#0#3#1	0#0#0#0#0#0#3#2	0#0#0#0#0#0#164#39	0#0#0#0#0#0#164#39	0#0#0#0#0#7#1#2	0#0#0#0#0#0#1#0	0#0#0#0#1#0#1#1	0#0#0#0#1#0#1#1	10995.279#10995.279#10995.279#10995.279#10995.279#10995.279#18534.988#22255.32	610.8489#610.8489#610.8489#610.8489#610.8489#610.8489#1029.7216#1236.4067	356.1224#356.1224#356.1224#356.1224#356.1224#356.1224#498.25235#544.624	0.11870747#0.11870747#0.11870747#0.11870747#0.11870747#0.11870747#0.16608411#0.18154134	30.875#30.875#30.875#30.875#30.875#30.875#37.2#40.86364	invoke.json
909	4#4	0.09595569223165512#0.08091972768306732	0.31528495110660243#0.4467698475479427	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#0	29.0#27.0	122.9537353515625#123.47842407226562	0#0	3#3	0#0	0#48	0#1	0#2	0#22	0#22	0#1	0#0	0#1	0#1	1115.0581#889.4443	61.947674#49.41357	131.1833#118.59257	0.043727767#0.039530855	8.5#7.5	getAllInstances.json
1511	13#13#13#13#13#13#13	0.2397558093070984#0.2397558093070984#0.16475361585617065#0.17387212812900543#0.2038975954055786#0.07953216135501862#0.0787256583571434	0.039589558107996664#0.039589558107996664#0.01956382679217018#0.019467022947437893#0.016171302665840676#0.002997307709713231#0.00307248154028017	2#2#2#2#2#2#2	1#1#1#1#1#1#1	3#3#3#3#3#3#3	3#3#3#3#3#3#3	2.46#2.46#2.46#2.46#2.46#2.46#2.46	1#1#1#1#1#1#1	4#4#4#4#4#4#4	62.0#62.0#65.0#65.0#65.0#73.0#73.0	98.88167572021484#98.88167572021484#98.54918670654297#98.54918670654297#98.54918670654297#97.90457153320312#97.90457153320312	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2#2#2#2#2#2#2	0#21#107#118#126#533#582	0#0#1#1#1#1#1	0#0#2#2#2#2#2	0#0#18#11#28#45#27	0#0#18#11#28#45#27	0#6#9#2#1#1#1	0#0#1#0#0#0#0	0#0#1#1#1#1#1	0#0#1#1#1#1#1	5316.7915#5316.7915#5360.1006#5360.1006#5360.1006#7116.7715#7116.7715	295.37732#295.37732#297.78336#297.78336#297.78336#395.3762#395.3762	312.75244#312.75244#333.40338#333.40338#333.40338#377.40454#377.40454	0.10425081#0.10425081#0.11113446#0.11113446#0.11113446#0.12580152#0.12580152	17.0#17.0#16.076923#16.076923#16.076923#18.857143#18.857143	getDelay.json
2097	7#6#6#6	0.04028424993157387#0.12306802719831467#0.12306802719831467#0.12306802719831467	0.08574647354989798#0.2209405413215887#0.2209405413215887#0.2209405413215887	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.81#1.89#1.89#1.89	0#0#0#0	6#4#4#4	47.0#38.0#38.0#38.0	111.53023529052734#115.216796875#115.216796875#115.216796875	0#0#0#0	0#0#0#0	1#1#1#1	0#67#71#600	0#0#0#1	0#1#0#2	0#62#0#1	0#62#0#1	0#1#0#1	0#0#0#0	0#0#0#0	0#0#0#0	2972.7205#2299.2656#2299.2656#2299.2656	165.15114#127.73698#127.73698#127.73698	206.43892#164.23326#164.23326#164.23326	0.068812974#0.05474442#0.05474442#0.05474442	14.4#14.0#14.0#14.0	getDisplayServiceKey.json
2068	4	0.0178090650588274	0.17863930832457486	0	0	0	1	1.73	0	0	33.0	122.21172332763672	0	3	0	0	0	0	0	0	0	0	0	0	1653.5339	91.863	151.30376	0.050434586	10.928572	select.json
5009	3#3#3#4#4	0.7029292583465576#0.7029292583465576#0.7029292583465576#0.714432954788208#0.726519763469696	0.8708610671789369#0.8708610671789369#0.8708610671789369#0.8710986047459317#0.8833164407302586	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.73#1.73	0#0#0#0#0	1#1#1#1#1	15.0#15.0#15.0#16.0#16.0	132.25152587890625#132.25152587890625#132.25152587890625#127.09062194824219#127.09062194824219	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#5#155#2375#2430	0#0#0#1#1	0#0#0#1#2	0#0#0#10#6	0#0#0#10#6	0#0#0#5#7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	268.8722#268.8722#268.8722#325.6387#325.6387	14.937344#14.937344#14.937344#18.09104#18.09104	53.77444#53.77444#53.77444#59.207035#59.207035	0.017924814#0.017924814#0.017924814#0.019735679#0.019735679	5.0#5.0#5.0#5.5#5.5	isBound.json
1341	3	0.1563902050256729	0.7529425927601845	0	0	0	1	1.89	0	1	18.0	130.7338104248047	0	0	0	0	0	0	0	0	0	0	0	0	468.0	26.0	72.0	0.024	6.5	getMetadataConfigs.json
2213	4#4	0.5764389038085938#0.2884894907474518	0.27822939464237356#0.18830313737165344	0#0	0#0	0#0	1#1	1.73#1.73	0#0	3#3	29.0#31.0	122.9537353515625#122.47046661376953	0#0	1#1	0#0	0#809	0#1	0#2	0#13	0#13	0#9	0#1	0#1	0#1	1869.362#2015.4335	103.85345#111.96853	131.1833#143.95953	0.043727767#0.04798651	14.25#14.0	getInstances.json
1704	3#3	0.8947087526321411#0.8947087526321411	0.9304198426682501#0.9304198426682501	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#224	0#0	0#0	0#0	0#0	0#5	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getStep.json
5009	11#14#14#14#17#17#18#18#18#13#18#4#4	0.013354103080928326#0.0018805034924298525#0.0018805034924298525#0.001277158153243363#1.7974185175262392E-4#1.7974185175262392E-4#1.8773016927298158E-4#1.913436863105744E-4#1.8186410306952894E-4#9.374705259688199E-4#1.8186410306952894E-4#0.11107431352138519#0.056635163724422455	6.202100623060506E-5#4.139516695645954E-6#4.139516695645954E-6#5.172126900432338E-7#3.550967306161882E-8#3.550967306161882E-8#4.50722895300528E-8#4.546970548664339E-8#8.192336091920632E-8#3.7727510175335573E-6#8.192336091920632E-8#0.2313089193523064#0.1495024851838624	2#3#3#3#4#4#4#4#4#3#4#0#0	2#3#3#3#4#4#4#4#4#3#4#0#0	4#6#6#6#8#8#8#8#8#6#8#0#0	3#4#4#4#5#5#5#5#5#4#5#1#1	2.95#2.81#2.81#2.81#2.7#2.7#2.63#2.63#2.63#2.72#2.63#1.73#1.73	1#1#1#1#1#1#1#1#1#1#1#0#0	3#4#4#5#6#6#6#6#6#4#6#2#3	95.0#116.0#116.0#126.0#148.0#148.0#149.0#149.0#147.0#114.0#147.0#32.0#35.0	99.46271514892578#94.14935302734375#94.14935302734375#93.6357421875#89.38397216796875#89.38397216796875#88.42298889160156#88.42298889160156#88.53286743164062#95.39776611328125#88.53286743164062#122.5949478149414#122.05010986328125	0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#1#0#1#0#0	0#124#138#138#284#2430#2559#2655#2675#3075#3104#3605#3616	0#3#0#1#3#0#2#2#2#1#6#2#1	0#3#0#2#3#0#3#4#4#7#7#18#2	0#181#0#31#131#0#8#2#40#180#180#686#19	0#181#0#31#131#0#8#2#40#180#180#686#19	0#1#0#3#1#7#1#3#2#1#1#9#2	0#0#0#0#0#0#0#1#0#0#0#1#0	0#0#0#0#0#0#0#1#1#0#1#1#1	0#0#0#0#0#0#0#1#1#0#1#1#1	17590.494#30687.576#30687.576#34199.055#49172.61#49172.61#49504.855#49504.855#46738.707#27027.902#46738.707#1799.0931#2122.6895	977.2497#1704.8654#1704.8654#1899.9475#2731.8115#2731.8115#2750.2698#2750.2698#2596.5947#1501.5502#2596.5947#99.949615#117.92719	470.64865#590.1457#590.1457#651.4106#770.99915#770.99915#776.20856#776.20856#759.979#584.7383#759.979#140.55415#156.08011	0.15688288#0.19671524#0.19671524#0.21713686#0.2569997#0.2569997#0.2587362#0.2587362#0.25332633#0.19491276#0.25332633#0.046851385#0.052026704	37.375#52.0#52.0#52.5#63.777775#63.777775#63.777775#63.777775#61.499996#46.22222#61.499996#12.8#13.6	getExtensionLoader.json
5009	3#3#3#3#3#3#3#3#3#3	0.8028814792633057#0.8028814792633057#0.8028814792633057#0.8152414560317993#0.8152414560317993#0.8353835344314575#0.8353835344314575#0.8353835344314575#0.8353835344314575#0.8353835344314575	0.9252263346918375#0.9252263346918375#0.9252263346918375#0.9208441827160787#0.9208441827160787#0.9287500755878402#0.9287500755878402#0.9287500755878402#0.9287500755878402#0.9287500755878402	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	12.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#155#155#2430#2548#2782#2783#2784#2914#3605	0#0#0#1#0#2#0#0#0#0	0#0#0#2#0#4#0#0#0#0	0#0#0#2#0#8#0#0#0#0	0#0#0#2#0#8#0#0#0#0	0#0#0#7#0#2#0#0#1#9	0#0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#0#1	186.80931#186.80931#186.80931#186.80931#186.80931#186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295#10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318#41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5#4.5#4.5#4.5#4.5#4.5	getServiceKey.json
2488	3#3#3	0.8828071355819702#0.8828071355819702#0.8828071355819702	0.9284336437395975#0.9284336437395975#0.9284336437395975	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#47#393	0#0#0	0#0#0	0#0#0	0#0#0	0#0#1	0#0#0	0#0#0	0#0#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getUsername.json
1395	4	0.2587527632713318	0.8557294092949884	0	0	0	1	1.73	0	1	16.0	127.09062194824219	0	0	0	0	0	0	0	0	0	0	0	0	325.6387	18.09104	59.207035	0.019735679	5.5	getOrDefaultApplicationModel.json
1778	7#7#9#11	0.27076029777526855#0.27076029777526855#0.23375838994979858#0.0669204369187355	0.6680168586473139#0.6680168586473139#0.4891831679586532#0.2061647109064291	1#1#2#3	1#1#2#3	2#2#4#6	2#2#3#4	2.8#2.8#2.95#2.95	1#1#2#3	2#2#2#3	31.0#31.0#41.0#54.0	113.54827117919922#113.54827117919922#107.63027954101562#102.64302062988281	0#0#0#0	0#0#0#0	0#0#0#0	0#3#22#84	0#0#3#3	0#0#4#4	0#0#71#105	0#0#71#105	0#2#3#4	0#0#0#0	0#0#0#1	0#0#0#0	1205.8179#1205.8179#1950.2582#2791.6838	66.98988#66.98988#108.34768#155.09355	133.97977#133.97977#182.8367#244.27234	0.044659924#0.044659924#0.060945567#0.08142411	9.0#9.0#10.666667#11.428572	getDirectory.json
