Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
67	3	0.7785571217536926	0.8986253663710534	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getKeyPairInfo.json
105	10	0.026020407676696777	0.001256313403238074	1	1	2	2	2.8	1	6	73.0	102.34526062011719	0	1	3	0	0	0	0	0	0	0	0	0	12771.41	709.52277	380.2901	0.12676337	33.583336	setupSshClient.json
1861	4#4#4#4#4	0.0#0.0#0.0#0.0#0.0	8.092788845601428E-6#8.178470263100385E-11#8.178470263100385E-11#3.941699017886584E-11#1.6183157886933086E-11	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#1#1#2#2	96.0#146.0#146.0#149.0#153.0	116.52960968017578#113.66903686523438#113.66903686523438#113.5296401977539#113.35924530029297	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#1693#1756#1794#1801	0#1#0#1#1	0#2#0#2#2	0#369#0#14#42	0#369#0#14#42	0#1#1#7#1	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	12634.783#19392.107#19392.107#19395.41#19813.484	701.9324#1077.3394#1077.3394#1077.5228#1100.7491	451.24225#782.2026#782.2026#803.45526#830.2185	0.15041408#0.2607342#0.2607342#0.26781842#0.2767395	28.0#24.791668#24.791668#24.14#23.865385	getSlaveTemplate.json
67	3	0.8886429071426392	0.9347013398647162	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getMaterial.json
4322	21#13	0.0#5.136268446221948E-4	2.0277531074140104E-11#1.6869976827569263E-7	4#4	2#2	6#6	4#4	4.18#3.72	2#2	18#20	190.0#128.0	84.5298080444336#94.56902313232422	0#0	1#1	5#3	0#4255	0#6	0#20	0#446	0#446	0#7	0#0	0#0	0#0	63031.883#25601.955	3501.7712#1422.3308	1061.1428#685.76666	0.3537143#0.2285889	59.399998#37.333332	find.json
1509	9#9#10#11#11	0.0015384862199425697#0.0015384862199425697#0.0016002118354663253#0.0020814239978790283#0.0019691481720656157	2.939993090106932E-4#2.939993090106932E-4#1.673528879937595E-4#2.1474399778558705E-4#2.123021349468638E-4	3#3#3#3#3	3#3#3#3#3	6#6#6#6#6	3#3#3#3#3	3.66#3.66#3.77#3.74#3.74	1#1#1#2#2	5#5#6#6#6	77.0#77.0#81.0#82.0#82.0	103.43363189697266#103.43363189697266#101.39511108398438#99.78728485107422#99.78728485107422	0#0#0#0#0	2#2#2#2#2	1#1#1#1#1	0#14#46#1320#1442	0#0#2#2#1	0#0#3#3#2	0#0#30#12#12	0#0#30#12#12	0#3#1#1#7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	11064.288#11064.288#12579.197#12734.496#12734.496	614.6827#614.6827#698.8443#707.472#707.472	409.78845#409.78845#436.7777#442.17#442.17	0.13659616#0.13659616#0.14559257#0.14739001#0.14739001	27.0#27.0#28.8#28.8#28.8	provision.json
1861	4#4	0.7726168632507324#0.856246829032898	0.8481616922541972#0.8948957316635308	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#0	15.0#13.0	127.27810668945312#128.335205078125	0#0	0#0	0#0	0#1756	0#2	0#4	0#60	0#60	0#1	0#0	0#0	0#0	342.66196#233.02258	19.036776#12.945699	57.110325#46.604515	0.019036775#0.015534839	6.0#5.0	getNode.json
1509	3	0.8319862484931946	0.9208441827160789	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getRemoteAdmin.json
1509	3	0.009234830737113953	0.41620282637531	0	0	0	1	1.89	0	2	24.0	129.0215301513672	0	0	0	0	0	0	0	0	0	0	0	0	600.46924	33.3594	100.0782	0.0333594	6.0	getDisplayName.json
1509	12#12#13#13	0.18803896009922028#0.18803896009922028#0.14695611596107483#0.03002377785742283	0.017044150431633175#0.017044150431633175#0.006087205683690842#5.461997568944771E-4	2#2#2#2	2#2#2#2	4#4#4#4	3#3#3#3	2.56#2.56#2.46#2.46	1#1#1#1	3#3#4#10	65.0#65.0#72.0#84.0	100.02647399902344#100.02647399902344#98.10411071777344#97.17471313476562	0#0#0#0	1#1#1#1	2#2#2#2	0#14#1301#1442	0#0#1#3	0#0#1#6	0#0#43#87	0#0#43#87	0#3#1#7	0#0#0#0	0#0#0#0	0#0#0#0	8721.45#8721.45#10792.121#13679.622	484.52502#484.52502#599.56226#759.979	322.02277#322.02277#363.19638#434.2737	0.107340924#0.107340924#0.12106546#0.1447579	27.083334#27.083334#29.714287#31.5	getKeyPair.json
4442	3	0.5070946216583252	0.9054443495798775	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getSpotInstanceRequestId.json
