Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
847	4#5	0.6787386536598206#0.721817672252655	0.78999706386417#0.7770432999701288	0#0	0#0	0#0	1#1	1.73#1.96	0#0	1#2	18.0#21.0	126.19583892822266#121.6568603515625	0#0	0#0	0#0	0#317	0#1	0#1	0#13	0#13	0#1	0#0	0#0	0#0	457.10617#588.0	25.394787#32.666668	70.32403#84.0	0.023441343#0.028	6.5#7.0	getPos.json
3759	4#4	0.35406678915023804#0.46145597100257874	0.6927283889263021#0.8221465263351866	0#0	0#0	0#0	1#1	1.73#1.73	0#0	1#1	22.0#19.0	124.71717071533203#125.79222106933594	0#0	1#1	0#0	0#937	0#1	0#2	0#20	0#20	0#1	0#0	0#0	0#0	996.84705#658.6667	55.38039#36.592594	93.45441#76.0	0.03115147#0.025333334	10.666667#8.666667	addBufferListener.json
4043	3#3#3#4#4#4	0.3102138042449951#0.3102138042449951#0.3102138042449951#0.633921205997467#0.609780490398407#0.633921205997467	0.8878622160243189#0.8878622160243189#0.8878622160243189#0.8807449966321381#0.9133854034351712#0.8807449966321381	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.73#1.73#1.73	0#0#0#0#0#0	0#0#0#1#1#1	14.0#14.0#14.0#16.0#15.0#16.0	132.4454345703125#132.4454345703125#132.4454345703125#126.94251251220703#127.42622375488281#126.94251251220703	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#32#33#219#292#1311	0#0#0#3#1#1	0#0#0#5#2#2	0#0#0#31#7#7	0#0#0#31#7#7	0#0#0#5#1#2	0#0#0#0#0#0	0#0#0#0#1#0	0#0#0#0#1#0	284.93387#284.93387#284.93387#365.50607#305.2863#365.50607	15.829659#15.829659#15.829659#20.305893#16.96035#20.305893	51.806156#51.806156#51.806156#60.91768#55.506596#60.91768	0.01726872#0.01726872#0.01726872#0.020305892#0.018502198#0.020305892	5.5#5.5#5.5#6.0#5.5#6.0	isReleased.json
463	4	0.015032441355288029	0.020778082723247444	0	0	0	1	2.0	0	1	46.0	120.13176727294922	0	2	1	0	0	0	0	0	0	0	0	0	3413.969	189.66495	225.71696	0.07523899	15.125	create.json
539	4	0.872258186340332	0.9058966557180794	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	getTaskName.json
3095	4	0.5031079649925232	0.8299758565562046	0	0	0	1	1.73	0	0	15.0	127.27810668945312	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getStatus.json
3759	4	0.8047444224357605	0.918530760937489	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	isDestroyed.json
2199	3	0.3797914385795593	0.7107833493029869	0	0	0	1	0.0	0	0	17.0	131.03103637695312	0	1	0	0	0	0	0	0	0	0	0	0	408.0	22.666666	68.0	0.022666667	6.0	onProcessingTime.json
3824	6#6	0.3390825688838959#0.3317587971687317	0.69587058949473#0.6778709283074924	1#1	1#1	2#2	2#2	2.75#2.75	1#1	2#2	28.0#28.0	116.7609634399414#116.7609634399414	0#0	0#0	0#0	0#42	0#1	0#2	0#8	0#8	0#1	0#0	0#0	0#0	817.3053#817.3053	45.40585#45.40585	116.757904#116.757904	0.0389193#0.0389193	7.0#7.0	getBufferProvider.json
3611	3#3	0.6059228181838989#0.861801028251648	0.8737783450889598#0.9037395521016637	0#0	0#0	0#0	1#1	0.0#0.0	0#0	0#0	15.0#12.0	132.086669921875#133.59722900390625	0#0	2#1	0#0	0#3333	0#1	0#2	0#22	0#22	0#1	0#0	0#0	0#0	277.533#186.80931	15.418499#10.378295	55.506596#41.51318	0.018502198#0.013837727	5.0#4.5	open.json
3938	4#3#3#3	0.8243266940116882#0.6829051375389099#0.6829051375389099#0.8088745474815369	0.7851924241237183#0.9192745591536526#0.9192745591536526#0.9166096773425395	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.89#1.89#1.89	0#0#0#0	0#0#0#0	18.0#12.0#12.0#12.0	125.96089172363281#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0	1#0#0#0	0#0#0#0	0#0#0#114	0#2#0#2	0#5#0#4	0#68#0#17	0#68#0#17	0#1#0#5	0#0#0#0	0#0#0#0	0#0#0#0	515.0203#166.05272#166.05272#166.05272	28.61224#9.225151#9.225151#9.225151	73.57433#41.51318#41.51318#41.51318	0.024524778#0.013837727#0.013837727#0.013837727	7.0#4.0#4.0#4.0	getInputChannelId.json
2987	3	0.6404603123664856	0.9330540453985781	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getParallelism.json
2987	7	0.32113730907440186	0.06476457784100947	2	2	4	2	3.02	1	2	47.0	110.83072662353516	0	1	0	0	0	0	0	0	0	0	0	0	4970.8047	276.15582	225.94568	0.07531523	22.0	getState.json
2703	4#4	0.9205403923988342#0.882276713848114	0.9337109650130171#0.9399584238902683	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#0	13.0#13.0	128.335205078125#128.335205078125	0#0	0#0	0#0	0#1954	0#1	0#2	0#11	0#11	0#5	0#0	0#0	0#0	233.02258#233.02258	12.945699#12.945699	46.604515#46.604515	0.015534839#0.015534839	5.0#5.0	channel.json
539	4	0.22174225747585297	0.90402498620694	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	getNumberOfParallelSubtasks.json
586	73	0.0	1.2288432343422214E-22	5	5	10	6	3.95	3	35	386.0	59.319862365722656	0	6	3	0	0	0	0	0	0	0	0	0	240049.31	13336.073	2553.278	0.8510927	94.01613	getBundle.json
