Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
219	3#3	0.6066483855247498#0.6485684514045715	0.7975498579949528#0.7510135573290239	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	18.0#18.0	130.99049377441406#130.85629272460938	0#0	1#1	0#0	0#1	0#1	0#2	0#12	0#12	0#1	0#0	0#0	0#0	428.32742#483.4777	23.795967#26.85987	68.53239#70.32403	0.022844128#0.023441343	6.25#6.875	getMemberInfo.json
127	4#6	0.3141370117664337#0.4869905412197113	0.3019258955788934#0.06266843351647888	0#0	0#0	0#0	1#1	2.0#1.89	0#0	2#4	30.0#46.0	122.93054962158203#113.78675079345703	0#0	2#2	1#3	0#5	0#3	0#4	0#157	0#157	0#1	0#0	0#0	0#0	1686.6498#3814.7424	93.70277#211.93013	131.76952#216.22023	0.043923173#0.07207341	12.8#17.642857	deliveryPrice.json
212	3#10#10#11#11#11#9#9#13	0.11446261405944824#0.06963246315717697#0.042641136795282364#0.05024045333266258#0.09572852402925491#0.09527196735143661#0.040251825004816055#0.039828382432460785#0.0022395416162908077	0.5185067102649888#0.01455115897009488#0.014805474020780746#0.013733033216890629#0.012808830537982563#0.014030982051180476#0.002353708541770579#0.002346618612209444#1.531533049214927E-5	0#1#1#1#1#1#1#1#4	0#2#2#2#2#2#1#1#2	0#3#3#3#3#3#2#2#6	1#3#3#3#3#3#2#2#3	1.89#2.8#2.8#2.67#2.67#2.67#2.95#2.95#2.72	0#0#0#2#2#2#1#1#1	1#2#2#2#2#2#3#3#5	24.0#61.0#61.0#64.0#64.0#64.0#67.0#67.0#99.0	129.12539672851562#103.41233825683594#103.41233825683594#101.61866760253906#101.61866760253906#101.61866760253906#104.66551971435547#104.66551971435547#96.24246215820312	0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#3	0#2#2#2#2#2#2#2#3	0#3#12#14#24#26#29#58#61	0#9#4#4#4#4#4#1#8	0#11#8#7#8#8#10#2#12	0#283#56#16#24#12#191#1#352	0#283#56#16#24#12#191#1#352	0#4#3#4#3#3#4#1#2	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	956.4663#4364.234#4364.234#4578.868#4578.868#4578.868#5914.552#5914.552#12914.401	53.137016#242.45744#242.45744#254.38156#254.38156#254.38156#328.5862#328.5862#717.46674	98.099106#296.33685#296.33685#310.9108#310.9108#310.9108#337.9744#337.9744#519.54486	0.0326997#0.09877895#0.09877895#0.103636935#0.103636935#0.103636935#0.112658136#0.112658136#0.17318162	9.75#14.727273#14.727273#14.727273#14.727273#14.727273#17.5#17.5#24.857143	updateMemberPassword.json
147	4#4	0.0019696608651429415#0.0016849878011271358	0.005126464861079976#0.004959733605169417	2#2	1#1	3#3	2#2	2.0#2.0	0#0	6#6	52.0#52.0	119.31632232666016#119.31632232666016	0#0	1#1	1#1	0#5	0#2	0#4	0#12	0#12	0#1	0#0	0#0	0#0	3929.567#3929.567	218.30927#218.30927	252.61502#252.61502	0.08420501#0.08420501	15.555555#15.555555	findPeekByMemberId.json
83	12	0.01201937347650528	3.5108089093328475E-4	0	0	0	1	2.83	1	9	83.0	98.95407104492188	0	0	2	0	0	0	0	0	0	0	0	0	11674.386	648.57697	432.38464	0.14412822	27.0	getRiderList.json
210	3#9#9#9#10#10#10#8#8#8	0.0025177537463605404#0.013132180087268353#0.013900908641517162#0.013900908641517162#0.01933933235704899#0.022979186847805977#0.022767115384340286#5.507550667971373E-4#0.011374629102647305#0.002991243964061141	0.38799983726125786#0.030888035447081078#0.030800347761491674#0.030800347761491674#0.02867229351169006#0.027372093158854503#0.03003726976162338#0.0039426061006617025#0.012509128978776459#0.0052055428406854246	0#1#1#1#1#1#1#1#1#1	0#2#2#2#2#2#2#1#1#1	0#3#3#3#3#3#3#2#2#2	1#3#3#3#3#3#3#2#2#2	1.89#2.95#2.95#2.95#2.8#2.8#2.8#3.12#3.12#3.12	0#0#0#0#2#2#2#1#1#1	1#1#1#1#1#1#1#2#2#2	29.0#57.0#57.0#57.0#60.0#60.0#60.0#65.0#58.0#63.0	128.0374755859375#105.5833969116211#105.5833969116211#105.5833969116211#103.60983276367188#103.60983276367188#103.60983276367188#106.82501220703125#107.46741485595703#106.9875259399414	0#0#0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3#2#3	0#1#1#1#1#1#1#1#1#1	0#1#10#12#12#22#24#27#31#34	0#8#4#0#4#4#4#5#3#2	0#10#8#0#7#8#8#12#6#4	0#215#56#0#16#24#12#203#50#37	0#215#56#0#16#24#12#203#50#37	0#4#3#1#4#3#3#4#1#1	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#1#0	0#0#0#0#0#0#0#0#0#0	1257.6495#3916.3635#3916.3635#3916.3635#4122.488#4122.488#4122.488#5854.9595#4838.194#5391.067	69.869415#217.57574#217.57574#217.57574#229.0271#229.0271#229.0271#325.2755#268.78854#299.50372	120.92783#271.0286#271.0286#271.0286#285.29324#285.29324#285.29324#322.02277#284.59964#312.11438	0.040309276#0.090342864#0.090342864#0.090342864#0.09509775#0.09509775#0.09509775#0.107340924#0.094866544#0.10403813	10.400001#14.450001#14.450001#14.450001#14.450001#14.450001#14.450001#18.181818#17.0#17.272728	updateMemberAddress.json
212	3#9#9#10#10#10#8	0.668286144733429#0.10842384397983551#0.139601469039917#0.15954427421092987#0.15228553116321564#0.15131844580173492#0.3189060091972351	0.7816416478204085#0.17421331915703736#0.17709960059961588#0.17095456786375438#0.1607930240455093#0.17704628166200995#0.044085898758946	0#1#1#1#1#1#1	0#2#2#2#2#2#1	0#3#3#3#3#3#2	1#3#3#3#3#3#2	1.89#2.95#2.95#2.8#2.8#2.8#3.12	0#0#0#2#2#2#1	1#1#1#1#1#1#2	19.0#47.0#47.0#50.0#50.0#50.0#51.0	130.57513427734375#106.77572631835938#106.77572631835938#104.74713897705078#104.74713897705078#104.74713897705078#108.18831634521484	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#1#1#1#1#1#1	0#3#12#14#24#26#29	0#8#4#4#4#4#5	0#10#8#7#8#8#12	0#215#56#16#24#12#186	0#215#56#16#24#12#186	0#4#3#4#3#3#4	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	593.84735#2801.4119#2801.4119#2980.2256#2980.2256#2980.2256#3853.9983	32.99152#155.63399#155.63399#165.56808#165.56808#165.56808#214.11102	74.23092#215.49323#215.49323#229.24812#229.24812#229.24812#247.75703	0.024743639#0.07183108#0.07183108#0.07641604#0.07641604#0.07641604#0.08258568	8.0#13.0#13.0#13.0#13.0#13.0#15.555555	deleteMember.json
133	3#3	0.3828687369823456#0.3828687369823456	0.7150470630287995#0.7150470630287995	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	20.0#20.0	130.07347106933594#130.07347106933594	0#0	1#1	0#0	0#2	0#0	0#0	0#0	0#0	0#3	0#0	0#0	0#0	664.2127#664.2127	36.900707#36.900707	81.74926#81.74926	0.027249753#0.027249753	8.125#8.125	isIssued.json
147	3#4	0.12648934125900269#2.4382819538004696E-4	0.4185438715931368#0.009801217085168542	0#0	0#0	0#0	1#1	1.89#2.0	0#0	2#6	25.0#51.0	128.62307739257812#119.75883483886719	0#0	2#2	0#1	0#0	0#2	0#3	0#135	0#135	0#1	0#0	0#0	0#0	972.43384#4503.5576	54.0241#250.19765	108.0482#242.49927	0.03601607#0.08083309	9.0#18.571428	deleteByMemberIdAndIndex.json
147	3#3	4.2143839527852833E-4#9.966966463252902E-4	0.0771031778038753#0.11787527561730755	0#0	0#0	0#0	1#1	1.89#1.89	0#0	5#4	36.0#33.0	126.41971588134766#126.9422836303711	0#0	1#1	0#0	0#4	0#1	0#2	0#12	0#12	0#1	0#0	0#0	0#0	1733.1157#1480.3356	96.28421#82.24087	165.05864#149.27754	0.055019546#0.04975918	10.5#9.916666	getMenuCount.json
133	12#12	0.09412815421819687#0.09412815421819687	0.0036530131289182607#0.0036530131289182607	3#3	2#2	5#5	3#3	3.04#3.04	1#1	4#4	75.0#75.0	99.2344970703125#99.2344970703125	0#0	1#1	1#1	0#2	0#0	0#0	0#0	0#0	0#3	0#0	0#0	0#0	8662.499#8662.499	481.24994#481.24994	375.0#375.0	0.125#0.125	23.099998#23.099998	deleteCoupon.json
133	12#12	0.003617772599682212#0.003617772599682212	1.8230778472996817E-4#1.8230778472996817E-4	3#3	2#2	5#5	3#3	3.04#3.04	1#1	4#4	89.0#89.0	98.17073822021484#98.17073822021484	0#0	3#3	1#1	0#2	0#1	0#2	0#1	0#1	0#3	0#0	0#0	0#0	12423.33#12423.33	690.185#690.185	460.12335#460.12335	0.15337445#0.15337445	27.0#27.0	updateCouponNameAndEndAt.json
