Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2923	3	0.8886429071426392	0.9288229875696947	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getVaultUrl.json
2006	3	0.8888543844223022	0.9376235381557783	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getTimeout.json
1873	5#6#6	0.7224913835525513#0.2337324023246765#0.6556171178817749	0.8339553731084179#0.41001379043767233#0.5886420244251706	0#0#0	0#0#0	0#0#0	1#1#1	1.6#1.89#1.89	0#0#0	1#2#2	18.0#29.0#25.0	122.45844268798828#116.53829956054688#117.48390197753906	0#0#0	0#0#0	0#1#1	0#12#230	0#2#1	0#3#2	0#104#23	0#104#23	0#3#3	0#0#0	0#1#1	0#1#1	504.0#1114.5505#995.60803	28.0#61.919476#55.311558	72.0#127.377205#106.19819	0.024#0.042459067#0.035399396	7.0#8.75#9.375	getUsername.json
2923	3#3	0.48655566573143005#0.6688681840896606	0.8945133426794789#0.9146388302900473	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#18	0#2	0#4	0#10	0#10	0#3	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getVaultCredentialId.json
3207	3#3#4#3#4	0.6820957064628601#0.7855438590049744#0.8929007649421692#0.917911171913147#0.9036461710929871	0.867897996663991#0.8667495056043892#0.9254906813686963#0.9212112594270816#0.9247071653774838	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.73#1.89#1.73	0#0#0#0#0	0#0#0#0#0	14.0#14.0#13.0#12.0#13.0	132.4454345703125#132.4454345703125#128.335205078125#133.59722900390625#128.335205078125	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#283#283#302#1159	0#2#2#0#1	0#4#3#1#1	0#21#15#10#9	0#21#15#10#9	0#2#2#3#2	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	284.93387#284.93387#233.02258#186.80931#233.02258	15.829659#15.829659#12.945699#10.378295#12.945699	51.806156#51.806156#46.604515#41.51318#46.604515	0.01726872#0.01726872#0.015534839#0.013837727#0.015534839	5.5#5.5#5.0#4.5#5.0	getRoleId.json
1873	5#6	0.6159169673919678#0.39214658737182617	0.6919624900112696#0.11253022218086012	0#1	0#1	0#2	1#2	1.6#1.89	0#0	2#3	22.0#39.0	121.10224151611328#114.35527801513672	0#0	0#0	0#1	0#874	0#2	0#3	0#66	0#66	0#1	0#0	0#0	0#0	747.63525#3569.7317	41.535294#198.31842	93.45441#185.44061	0.03115147#0.061813537	8.0#19.25	getPrivateKeys.json
3207	3#3#4#3#4	0.6820957064628601#0.6873851418495178#0.8442771434783936#0.870337963104248#0.8659672141075134	0.867897996663991#0.9047175690646169#0.9447463580263966#0.9435089457698689#0.9345521443242263	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.73#1.89#1.73	0#0#0#0#0	0#0#0#0#0	14.0#14.0#13.0#12.0#13.0	132.4454345703125#132.4454345703125#128.335205078125#133.59722900390625#128.335205078125	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#283#283#302#1159	0#2#2#0#1	0#4#3#1#1	0#18#15#10#9	0#18#15#10#9	0#2#2#3#2	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	284.93387#284.93387#233.02258#186.80931#233.02258	15.829659#15.829659#12.945699#10.378295#12.945699	51.806156#51.806156#46.604515#41.51318#46.604515	0.01726872#0.01726872#0.015534839#0.013837727#0.015534839	5.5#5.5#5.0#4.5#5.0	getSecretId.json
1873	5#6#6	0.7027314305305481#0.2494082748889923#0.6809571981430054	0.8366606837193453#0.40459026798118575#0.5865593003774997	0#0#0	0#0#0	0#0#0	1#1#1	1.6#1.89#1.89	0#0#0	1#2#2	18.0#29.0#25.0	122.45844268798828#116.53829956054688#117.48390197753906	0#0#0	0#0#0	0#1#1	0#12#230	0#2#1	0#3#2	0#110#23	0#110#23	0#3#3	0#0#0	0#1#1	0#1#1	504.0#1114.5505#995.60803	28.0#61.919476#55.311558	72.0#127.377205#106.19819	0.024#0.042459067#0.035399396	7.0#8.75#9.375	getPrivateKey.json
1307	7#7	0.6339359879493713#0.5246871709823608	0.2955129511552954#0.21711758351687344	0#0	0#0	0#0	1#1	1.98#1.98	0#0	3#3	34.0#36.0	112.99071502685547#112.62712097167969	0#0	0#0	2#2	0#86	0#1	0#2	0#15	0#15	0#2	0#0	0#1	0#1	1870.6646#1934.4977	103.92581#107.47209	155.88872#167.17882	0.051962905#0.05572627	12.0#11.571428	getPassword.json
1307	21#21	0.00557758379727602#0.0046373046934604645	1.0789288127421071E-8#6.4311323231341264E-9	0#0	0#0	0#0	3#3	2.84#2.84	1#1	13#13	141.0#143.0	85.88107299804688#85.78954315185547	0#0	0#0	4#4	0#86	0#1	0#2	0#15	0#15	0#2	0#0	0#1	0#1	27301.768#27420.977	1516.7649#1523.3876	855.31854#870.5072	0.28510618#0.29016906	31.92#31.5	getKeyStore.json
