Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3412	3#3#3	0.476240336894989#0.476240336894989#0.476240336894989	0.9252306819979305#0.9252306819979305#0.9252306819979305	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#819#1221	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getMetricsRegistry.json
2533	3#3#3	0.5853243470191956#0.5853243470191956#0.5853243470191956	0.8561887054849774#0.8561887054849774#0.8561887054849774	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	1#1#1	14.0#14.0#14.0	132.61029052734375#132.61029052734375#132.61029052734375	0#0#0	0#0#0	0#0#0	0#1057#1057	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	250.94739#250.94739#250.94739	13.941522#13.941522#13.941522	50.189476#50.189476#50.189476	0.016729826#0.016729826#0.016729826	5.0#5.0#5.0	getAvailabilityZone.json
2488	3	0.10868827998638153	0.8422057933025107	0	0	0	1	1.89	0	1	17.0	131.43582153320312	0	0	0	0	0	0	0	0	0	0	0	0	345.99112	19.22173	62.907475	0.020969158	5.5	getHazelcastInstance.json
121	4	0.3360929489135742	0.8777791118225995	0	0	0	1	1.73	0	1	16.0	127.09062194824219	0	0	0	0	0	0	0	0	0	0	0	0	325.6387	18.09104	59.207035	0.019735679	5.5	createHealthMonitor.json
820	3	0.6042948365211487	0.8902393435064073	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getUploadDirectoryPath.json
3794	3#3#3#3	0.8115221261978149#0.8115221261978149#0.8115221261978149#0.8115221261978149	0.9342885826981604#0.9342885826981604#0.9342885826981604#0.9342885826981604	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0	0#0#0#0	0#0#0#0	0#229#1201#1603	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5	getClientConfig.json
598	8	0.7948182225227356	0.7822222191007521	1	1	2	2	2.78	1	1	28.0	111.91433715820312	0	0	0	0	0	0	0	0	0	0	0	0	968.1119	53.783993	121.013985	0.040337995	8.0	subject.json
3794	3#3#3#3#4	0.32912784814834595#0.32912784814834595#0.32912784814834595#0.32912784814834595#0.4438874125480652	0.9279287323887823#0.9279287323887823#0.9279287323887823#0.9279287323887823#0.9334371786245083	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.73	0#0#0#0#0	0#0#0#0#0	12.0#12.0#12.0#12.0#13.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#128.335205078125	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#229#1201#1603#3298	0#0#0#0#1	0#0#0#0#1	0#0#0#0#10	0#0#0#0#10	0#0#0#0#2	0#0#0#0#0	0#0#0#0#1	0#0#0#0#1	186.80931#186.80931#186.80931#186.80931#233.02258	10.378295#10.378295#10.378295#10.378295#12.945699	41.51318#41.51318#41.51318#41.51318#46.604515	0.013837727#0.013837727#0.013837727#0.013837727#0.015534839	4.5#4.5#4.5#4.5#5.0	getInvocationService.json
3794	4#4#4#4#4#5	0.4728395342826843#0.4728395342826843#0.6482317447662354#0.6482317447662354#0.6482317447662354#0.6985628604888916	0.853340910855296#0.853340910855296#0.9405974449906036#0.9405974449906036#0.9405974449906036#0.9448573487060089	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.73#1.73#1.73#1.73#1.73#1.6	0#0#0#0#0#0	0#0#0#0#0#0	16.0#16.0#13.0#13.0#13.0#14.0	127.09062194824219#127.09062194824219#128.335205078125#128.335205078125#128.335205078125#124.17005920410156	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#229#348#1201#1603#1692	0#0#1#0#0#1	0#0#2#0#0#1	0#0#32#0#0#9	0#0#32#0#0#9	0#0#1#0#0#22	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#1	355.24222#355.24222#233.02258#233.02258#233.02258#284.93387	19.73568#19.73568#12.945699#12.945699#12.945699#15.829659	59.207035#59.207035#46.604515#46.604515#46.604515#51.806156	0.019735679#0.019735679#0.015534839#0.015534839#0.015534839#0.01726872	6.0#6.0#5.0#5.0#5.0#5.5	getLoggingService.json
3762	3#3#3#3	0.4029054343700409#0.22684237360954285#0.22684237360954285#0.22684237360954285	0.9142721759462025#0.9091847027968205#0.9091847027968205#0.9091847027968205	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0	0#0#0#0	0#0#0#0	0#1#1190#3237	0#2#0#0	0#4#0#0	0#6#0#0	0#6#0#0	0#1#3#1	0#0#0#0	0#0#0#1	0#0#0#1	186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5	isRepublishingEnabled.json
