Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
5510	3#3#4#4#4	0.6664578318595886#0.6664578318595886#0.7368943691253662#0.5685243606567383#0.5685243606567383	0.5338807253016489#0.5338807253016489#0.16317015528577156#0.817220397595892#0.817220397595892	0#0#1#0#0	0#0#1#0#0	0#0#2#0#0	1#1#2#1#1	1.89#1.89#2.0#1.73#1.73	0#0#0#0#0	2#2#2#1#1	19.0#19.0#31.0#16.0#16.0	130.45266723632812#130.45266723632812#122.30683135986328#126.94251251220703#126.94251251220703	0#0#0#0#0	0#0#0#0#0	0#0#1#0#0	0#724#1560#2562#2672	0#0#2#3#0	0#0#3#6#0	0#0#100#135#0	0#0#100#135#0	0#0#1#1#0	0#0#0#0#0	0#0#0#0#0	0#0#1#0#0	494.0#494.0#1620.3258#365.50607#365.50607	27.444445#27.444445#90.0181#20.305893#20.305893	76.0#76.0#142.13383#60.91768#60.91768	0.025333334#0.025333334#0.047377944#0.020305892#0.020305892	6.5#6.5#11.400001#6.0#6.0	getBulkLoadTimestamp.json
4074	13#12#12	0.054510753601789474#0.10142064839601517#0.10142064839601517	0.00111018421615793#0.008193855408430603#0.008193855408430603	2#2#2	2#2#2	4#4#4	3#3#3	3.64#3.77#3.77	2#2#2	7#5#5	80.0#69.0#69.0	97.2777328491211#99.49429321289062#99.49429321289062	0#0#0	2#2#2	3#2#2	0#407#2667	0#1#0	0#3#0	0#71#0	0#71#0	0#1#1	0#0#0	0#0#0	0#0#0	9934.265#7883.6196#7883.6196	551.90356#437.97888#437.97888	425.75424#356.72485#356.72485	0.14191808#0.118908286#0.118908286	23.333332#22.1#22.1	getDeadline.json
3079	3#3	0.25194498896598816#0.25194498896598816	0.9138066195782383#0.9138066195782383	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1182	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getReadRequestsCount.json
2567	3#3	0.39706864953041077#0.39706864953041077	0.9218199455678119#0.9218199455678119	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#670	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getCpRequestsCount.json
3940	4#4#4	0.1910962611436844#0.08303553611040115#0.08303553611040115	0.922677762073274#0.9194735158462073#0.9194735158462073	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#0	13.0#13.0#13.0	128.335205078125#128.335205078125#128.335205078125	0#0#0	0#0#0	0#0#0	0#977#3680	0#1#0	0#2#0	0#10#0	0#10#0	0#1#0	0#0#0	0#0#0	0#0#0	233.02258#233.02258#233.02258	12.945699#12.945699#12.945699	46.604515#46.604515#46.604515	0.015534839#0.015534839#0.015534839	5.0#5.0#5.0	getRegionServerSpaceQuotaManager.json
3414	6#6	0.0547766238451004#0.05186633765697479	0.03175507037861289#0.032610568719596195	0#0	0#0	0#0	1#1	2.0#2.0	0#0	6#6	48.0#48.0	113.39401245117188#113.39401245117188	0#0	2#2	1#1	0#2025	0#1	0#2	0#4	0#4	0#12	0#0	0#0	0#0	4469.343#4469.343	248.29681#248.29681	233.1831#233.1831	0.077727705#0.077727705	19.166666#19.166666	isSplitOrMergeEnabled.json
4248	4#4#4	0.5475665926933289#0.5475665926933289#0.5475665926933289	0.9265165875389105#0.9265165875389105#0.9265165875389105	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#0	13.0#13.0#13.0	128.335205078125#128.335205078125#128.335205078125	0#0#0	0#0#0	0#0#0	0#2041#3988	0#0#0	0#0#0	0#0#0	0#0#0	0#1#0	0#0#0	0#0#0	0#0#0	233.02258#233.02258#233.02258	12.945699#12.945699#12.945699	46.604515#46.604515#46.604515	0.015534839#0.015534839#0.015534839	5.0#5.0#5.0	getNonceManager.json
4600	4#4#4	0.6924662590026855#0.6924662590026855#0.6924662590026855	0.9109616200166161#0.9109616200166161#0.9109616200166161	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#0	13.0#13.0#13.0	128.335205078125#128.335205078125#128.335205078125	0#0#0	0#0#0	0#0#0	0#335#1762	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	233.02258#233.02258#233.02258	12.945699#12.945699#12.945699	46.604515#46.604515#46.604515	0.015534839#0.015534839#0.015534839	5.0#5.0#5.0	getMaxSequenceId.json
2914	3#3	0.18468235433101654#0.18468235433101654	0.9055987031510031#0.9055987031510031	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1525	0#0	0#0	0#0	0#0	0#12	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getEventLoopGroupConfig.json
2752	4#4#4	0.8364190459251404#3.822812286671251E-4#0.005621297284960747	0.7893210150158199#0.06166387129997367#0.17236212897937614	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#0	17.0#39.0#33.0	126.37059020996094#121.09674835205078#122.08238220214844	0#0#0	1#7#5	0#0#0	0#545#1472	0#1#1	0#2#2	0#130#75	0#130#75	0#3#1	0#0#0	0#0#0	0#0#0	442.0#1874.8684#1396.0306	24.555555#104.159355#77.55726	68.0#187.48685#155.11452	0.022666667#0.062495615#0.05170484	6.5#10.0#9.0	replicate.json
