Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3064	4#4#4#4	0.6651004552841187#0.022166313603520393#0.022166313603520393#0.022359296679496765	0.8528361257642478#0.6911720319949295#0.6911720319949295#0.6970202137408893	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	0#0#0#0	16.0#20.0#20.0#20.0	126.80831146240234#125.41301727294922#125.41301727294922#125.41301727294922	0#0#0#0	0#0#0#0	0#0#0#0	0#57#538#661	0#1#0#1	0#2#0#2	0#66#0#7	0#66#0#7	0#10#0#1	0#0#0#0	0#0#0#0	0#0#0#0	375.0615#490.49554#490.49554#490.49554	20.83675#27.249752#27.249752#27.249752	62.51025#81.74926#81.74926#81.74926	0.02083675#0.027249753#0.027249753#0.027249753	6.0#6.0#6.0#6.0	getModifiers.json
369	15	0.0	1.3329918311286428E-6	7	4	11	4	2.53	1	18	112.0	92.5975570678711	0	1	2	0	0	0	0	0	0	0	0	0	17871.113	992.8396	641.5271	0.21384236	27.857143	solveType.json
3612	3#3#3#3#3	0.8528116345405579#0.8528116345405579#0.8528116345405579#0.8528116345405579#0.8528116345405579	0.9178849865048104#0.9178849865048104#0.9178849865048104#0.9178849865048104#0.9178849865048104	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	0#0#0#0#0	12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#79#706#868#885	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5	getThenExpr.json
3129	3#4	0.29965049028396606#0.08233602344989777	0.9155133677271904#0.8242159027131812	0#0	0#0	0#0	1#1	1.89#1.73	0#0	0#0	12.0#17.0	133.59722900390625#126.62725830078125	0#0	0#0	0#0	0#122	0#1	0#1	0#74	0#74	0#10	0#0	0#0	0#0	186.80931#323.62518	10.378295#17.979177	41.51318#64.72504	0.013837727#0.021575011	4.5#5.0	getClassDeclaration.json
3612	3#3#3#3#3	0.8454246520996094#0.8454246520996094#0.8454246520996094#0.8454246520996094#0.8454246520996094	0.9314271694866921#0.9314271694866921#0.9314271694866921#0.9314271694866921#0.9314271694866921	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	0#0#0#0#0	12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#79#706#868#885	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5	getElseExpr.json
1652	4#4#4#5#4	0.024983668699860573#0.024983668699860573#0.024983668699860573#0.04882099851965904#0.024983668699860573	0.7313483962765561#0.7313483962765561#0.7313483962765561#0.7615996086931712#0.7313483962765561	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.6#1.73	0#0#0#0#0	0#0#0#0#0	20.0#20.0#20.0#21.0#20.0	125.41301727294922#125.41301727294922#125.41301727294922#121.44052124023438#125.41301727294922	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#89#89#1016#1253	0#0#0#1#0	0#0#0#1#1	0#0#0#10#10	0#0#0#10#10	0#0#0#3#3	0#0#0#0#0	0#0#0#1#0	0#0#0#1#0	490.49554#490.49554#490.49554#569.19476#490.49554	27.249752#27.249752#27.249752#31.621931#27.249752	81.74926#81.74926#81.74926#87.56843#81.74926	0.027249753#0.027249753#0.027249753#0.029189477#0.027249753	6.0#6.0#6.0#6.5#6.0	getTypeParameters.json
1563	4	0.06561142206192017	0.8477171527855826	0	0	0	1	1.73	0	0	17.0	126.62725830078125	0	0	0	0	0	0	0	0	0	0	0	0	323.62518	17.979177	64.72504	0.021575011	5.0	getRecordDeclaration.json
3612	3#3#3#3#3	0.6324962377548218#0.6324962377548218#0.6324962377548218#0.6324962377548218#0.6324962377548218	0.8318393597933567#0.8318393597933567#0.8318393597933567#0.8318393597933567#0.8318393597933567	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	0#0#0#0#0	15.0#15.0#15.0#15.0#15.0	131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#79#706#868#885	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	314.10678#314.10678#314.10678#314.10678#314.10678	17.450377#17.450377#17.450377#17.450377#17.450377	57.110325#57.110325#57.110325#57.110325#57.110325	0.019036775#0.019036775#0.019036775#0.019036775#0.019036775	5.5#5.5#5.5#5.5#5.5	getResources.json
3612	3#3#3#3#3	0.8625766634941101#0.8625766634941101#0.8625766634941101#0.8625766634941101#0.8625766634941101	0.9122978416600263#0.9122978416600263#0.9122978416600263#0.9122978416600263#0.9122978416600263	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	0#0#0#0#0	12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#79#706#868#885	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5	getTryBlock.json
3612	3#3#3#3#3	0.7515018582344055#0.7515018582344055#0.7515018582344055#0.7515018582344055#0.7515018582344055	0.9106893469322758#0.9106893469322758#0.9106893469322758#0.9106893469322758#0.9106893469322758	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	0#0#0#0#0	12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#79#706#868#885	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	186.80931#186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5#4.5	getMemberValue.json
