Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3623	10#10#10#10#10	0.05891435220837593#0.06856168806552887#0.02264237031340599#0.02395429089665413#0.005004029255360365	2.1996137012647652E-4#2.277223147976926E-4#9.391962290243762E-5#8.981169434094756E-5#6.207254960858444E-6	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	2#2#2#2#2	2.99#2.99#2.99#2.99#2.99	1#1#1#1#1	8#8#8#8#11	79.0#79.0#83.0#83.0#95.0	101.6600112915039#101.6600112915039#101.37322998046875#101.37322998046875#100.53275299072266	0#0#0#0#0	1#1#1#1#1	2#2#2#2#2	0#185#468#1696#1732	0#1#1#1#1	0#2#2#2#2	0#7#16#5#67	0#7#16#5#67	0#2#1#6#2	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	8243.271#8243.271#9025.845#9025.845#11361.395	457.95953#457.95953#501.43582#501.43582#631.1886	433.8564#433.8564#458.45563#458.45563#538.8804	0.14461881#0.14461881#0.15281855#0.15281855#0.1796268	19.0#19.0#19.6875#19.6875#21.083334	getAvailableActions.json
3429	3	0.7042068839073181	0.9263043245499742	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDateTimePattern.json
6668	3	0.7941080331802368	0.8438021177016739	0	0	0	1	1.89	0	1	15.0	132.086669921875	0	0	0	0	0	0	0	0	0	0	0	0	305.2863	16.96035	55.506596	0.018502198	5.5	getName.json
2252	4#4#4	0.1757027804851532#0.1855960637331009#0.1855960637331009	0.5560757476050382#0.5779025992840889#0.5712831645366107	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	2#2#2	25.0#25.0#25.0	124.1488037109375#124.25267028808594#124.25267028808594	0#0#0	0#0#0	0#0#0	0#361#1014	0#1#1	0#2#2	0#8#1	0#8#1	0#2#2	0#0#0	0#0#0	0#0#0	781.86096#715.30597#715.30597	43.43672#39.73922#39.73922	104.24813#102.18657#102.18657	0.034749378#0.034062188#0.034062188	7.5#7.0#7.0	get.json
4801	4#6#7#7#7#7#7#7#7#7	0.0014939833199605346#0.0#0.0#0.0#0.0#0.0#0.0#1.8618661852087826E-4#3.0234790756367147E-4#4.2188502266071737E-4	0.0011497324827735979#7.570836064847944E-7#3.40933222809313E-6#1.2401463539763381E-6#3.40933222809313E-6#7.624015086970018E-6#4.153433016439104E-6#1.0345768353038224E-5#9.386508975262218E-6#1.0368068526589613E-5	0#2#2#2#2#2#2#2#2#2	0#2#1#1#1#1#1#1#1#1	0#4#3#3#3#3#3#3#3#3	1#2#2#2#2#2#2#2#2#2	2.0#2.75#2.56#2.56#2.56#2.56#2.56#2.56#2.56#2.56	0#0#1#1#1#1#1#1#1#1	3#6#6#6#6#6#6#6#6#6	59.0#103.0#99.0#103.0#99.0#95.0#97.0#93.0#93.0#93.0	118.73976135253906#108.79217529296875#106.61981201171875#106.372802734375#106.61981201171875#106.87684631347656#106.68489837646484#106.94491577148438#106.94491577148438#106.94491577148438	0#0#0#0#0#0#0#0#0#0	2#3#3#3#3#3#3#3#3#3	0#0#0#0#0#0#0#0#0#0	0#12#512#735#750#1178#1946#4751#4780#4789	0#3#2#2#2#3#1#2#2#2	0#4#3#4#4#6#2#4#4#4	0#227#35#60#60#44#24#34#20#42	0#227#35#60#60#44#24#34#20#42	0#2#5#1#1#12#3#2#2#2	0#0#0#0#0#0#0#0#0#1	0#0#0#0#1#0#0#0#1#1	0#0#0#0#0#0#0#1#1#1	5654.1665#20789.87#16757.367#17154.182#16757.367#14833.868#16857.535#16457.305#16457.305#16457.305	314.12036#1154.9927#930.96484#953.0101#930.96484#824.10376#936.5297#914.2947#914.2947#914.2947	295.0#540.53656#507.799#532.5023#507.799#483.309#501.48276#477.02332#477.02332#477.02332	0.09833334#0.18017885#0.16926634#0.17750077#0.16926634#0.161103#0.16716091#0.15900777#0.15900777#0.15900777	19.166666#38.46154#33.0#32.214287#33.0#30.692307#33.615383#34.5#34.5#34.5	getIssuesWithFixVersion.json
3154	3#3	0.8888543844223022#0.8888543844223022	0.9214505432997036#0.9214505432997036	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getValue.json
6605	7#8#10#10#12#12#12#12#10#10#9#9	0.0661124661564827#0.025827547535300255#0.008668771013617516#0.009004836902022362#0.012801749631762505#0.012801749631762505#0.012801749631762505#0.012801749631762505#0.04660949110984802#0.04656897857785225#0.2115991860628128#0.2115991860628128	0.02058322440804726#0.01066014910255163#3.2031112128063694E-4#3.1339098465745126E-4#1.947153270530665E-4#1.947153270530665E-4#1.947153270530665E-4#1.947153270530665E-4#0.0013794790762640134#0.002090595961309946#0.014235073797422957#0.014235073797422957	1#1#1#1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#1#1#1#1	2#2#2#2#2#2#2#2#2#2#2#2	3#3#3#3#3#3#3#3#2#2#2#2	3.02#3.12#3.12#3.12#3.46#3.46#3.46#3.46#3.12#3.12#3.14#3.14	1#1#1#1#2#2#2#2#1#1#1#1	3#4#7#7#7#7#7#7#6#6#3#3	53.0#59.0#80.0#80.0#86.0#86.0#86.0#86.0#74.0#71.0#59.0#59.0	109.81951904296875#107.00480651855469#101.56385040283203#101.56385040283203#98.13003540039062#98.13003540039062#98.13003540039062#98.13003540039062#102.3977279663086#102.57036590576172#105.37268829345703#105.37268829345703	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#2#2#2#2#1#1#1#1	0#99#338#451#976#1165#1387#2316#2982#4023#4166#4678	0#1#2#1#5#0#0#0#4#1#2#0	0#1#2#2#8#0#0#0#10#2#5#0	0#42#132#9#165#0#0#0#164#6#50#0	0#42#132#9#165#0#0#0#164#6#50#0	0#2#1#1#1#1#1#5#12#2#3#6	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#1#0#0#0#0#0#0#1#0	0#0#0#1#0#0#0#0#0#0#1#0	5470.2583#6632.657#12262.134#12262.134#12173.156#12173.156#12173.156#12173.156#9411.807#9468.656#6031.1113#6031.1113	303.90323#368.48096#681.2297#681.2297#676.28644#676.28644#676.28644#676.28644#522.8782#526.03644#335.06174#335.06174	262.57242#297.61923#422.83218#422.83218#463.7393#463.7393#463.7393#463.7393#376.47226#364.17908#295.0#295.0	0.08752414#0.09920641#0.14094406#0.14094406#0.15457976#0.15457976#0.15457976#0.15457976#0.12549075#0.121393025#0.09833334#0.09833334	20.833332#22.285715#29.0#29.0#26.25#26.25#26.25#26.25#25.0#26.0#20.444445#20.444445	getProjectKeys.json
3154	3#3	0.9353305697441101#0.9353305697441101	0.927484957604467#0.927484957604467	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getId.json
6668	5#7#7#7#17#12#13#12#14#14#14#13#14#14#15#15#16#16#18#18#30#35#17#17#17#18#18#19#18#19#19#18#18	0.07669823616743088#0.14167223870754242#0.0708615630865097#0.0708615630865097#0.0#0.003750262316316366#0.0034165845718234777#0.0027801620308309793#0.022355860099196434#0.03639928251504898#0.03484359011054039#0.036914605647325516#0.020409269258379936#0.010861371643841267#0.007590015884488821#0.007590015884488821#0.008212324231863022#0.006613040342926979#0.0021234797313809395#0.004303440917283297#0.0#0.0#0.0026478299405425787#0.002748145954683423#0.0027094120159745216#9.480284061282873E-4#9.480284061282873E-4#5.165482289157808E-4#6.170065025798976E-4#2.067051245830953E-4#2.1234658197499812E-4#0.022744042798876762#0.012953952886164188	0.01432866217607847#0.0040733393526258075#0.002642780676461324#0.002642780676461324#2.3689037466657475E-11#1.534228463207049E-7#1.6400359161881592E-7#7.606858891798737E-8#2.068689659700362E-5#3.3334862664665704E-5#3.396014810123869E-5#3.117405215697747E-5#7.859401254709562E-6#2.20838548978399E-6#9.065014422959422E-8#8.937479203297959E-8#2.0458073139400624E-7#3.405234195255833E-7#8.358640848194219E-10#2.1006769576229857E-8#2.8977369718359725E-14#5.701688812088199E-16#7.132868498149319E-8#7.106036041204501E-8#7.015171111386102E-8#3.862125028121947E-9#3.9179890634889605E-9#1.5188074592142856E-9#4.573306726621403E-10#1.181463251074182E-10#1.6376850262653254E-10#6.34181253361669E-6#1.943706867987416E-6	0#2#2#2#4#3#3#3#2#2#2#2#2#2#3#3#3#2#3#2#2#3#1#1#1#2#2#2#2#2#2#2#2	0#2#2#2#4#3#3#3#2#2#2#2#2#2#3#3#3#2#5#2#2#3#1#1#1#1#1#1#2#2#2#2#2	0#4#4#4#8#6#6#6#4#4#4#4#4#4#6#6#6#4#8#4#4#6#2#2#2#3#3#3#4#4#4#4#4	1#2#2#2#4#3#3#3#3#3#3#3#3#3#4#4#4#4#6#4#4#5#3#3#3#3#3#3#4#4#4#4#4	1.96#2.56#2.56#2.56#3.1#2.75#2.92#2.75#2.81#2.81#2.81#2.65#2.56#2.56#2.47#2.47#2.4#2.4#2.27#2.27#3.69#3.71#2.33#2.33#2.33#2.27#2.27#2.34#2.27#2.34#2.34#2.4#2.4	0#0#0#0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#2#2#1#1#1#1#1#1#1#1#1#1#1	2#2#2#2#20#7#7#8#4#4#4#4#5#7#7#7#7#7#9#9#14#15#10#10#10#12#12#13#14#15#15#8#8	51.0#61.0#63.0#63.0#180.0#124.0#125.0#127.0#99.0#97.0#97.0#96.0#105.0#111.0#125.0#125.0#124.0#122.0#154.0#138.0#223.0#247.0#133.0#133.0#133.0#147.0#147.0#154.0#157.0#166.0#165.0#114.0#119.0	115.98028564453125#109.18045806884766#108.97013092041016#108.97013092041016#88.26251983642578#96.19454193115234#94.82439422607422#96.03854370117188#94.7466049194336#94.88185119628906#94.88185119628906#96.16622924804688#94.46975708007812#94.15166473388672#91.97823333740234#91.97823333740234#91.02276611328125#91.13232421875#87.41123962402344#88.4639892578125#77.36772918701172#74.01561737060547#89.93130493164062#89.93130493164062#89.93130493164062#88.36546325683594#88.36546325683594#87.24767303466797#87.74906921386719#86.58332061767578#86.63658905029297#89.65571594238281#89.37932586669922	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#1#1#2	2#2#2#2#4#4#4#4#2#2#2#2#2#2#3#3#3#3#5#5#6#7#4#4#4#5#5#5#4#4#4#3#3	0#1#162#1037#2245#2246#2276#2286#3045#3046#3105#3110#3111#3155#3230#4110#4132#4133#4134#4134#4229#4247#4359#4395#4402#4636#4741#4790#4844#5011#5621#5920#6096	0#2#1#0#10#2#1#1#8#1#1#1#1#1#2#1#3#1#3#3#17#6#1#1#1#2#1#1#8#1#1#1#2	0#2#2#0#10#9#1#2#15#2#2#3#1#2#3#2#5#2#4#6#20#7#22#2#2#3#2#1#17#1#2#3#4	0#67#6#0#553#271#12#27#468#18#6#14#50#33#89#3#27#20#197#96#699#279#924#5#16#145#3#87#475#66#8#334#36	0#67#6#0#553#271#12#27#468#18#6#14#50#33#89#3#27#20#197#96#699#279#924#5#16#145#3#87#475#66#8#334#36	0#2#2#1#1#1#2#1#12#3#1#3#2#1#2#1#4#1#1#1#3#1#1#3#2#1#6#1#3#1#2#1#2	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#1#1#0#1#1#0#0#0#1#0#0#0#0	0#0#0#0#0#0#1#1#0#0#0#0#0#1#0#0#0#0#0#0#1#1#0#1#1#0#0#0#1#0#1#0#0	3785.0525#5603.275#6067.9414#6067.9414#54913.52#26942.307#28207.062#28658.377#17642.764#16698.65#16698.65#15948.342#21362.377#23377.875#28184.129#28184.129#26279.7#25036.332#43514.46#34091.527#80774.64#98086.35#31896.81#31896.81#31896.81#36314.887#36314.887#41214.516#53435.41#62776.207#60755.633#30132.852#32111.598	210.2807#311.29306#337.10785#337.10785#3050.751#1496.7948#1567.0591#1592.1321#980.15356#927.7028#927.7028#886.019#1186.7987#1298.7709#1565.7849#1565.7849#1459.9833#1390.9073#2417.47#1893.9738#4487.48#5449.2417#1772.045#1772.045#1772.045#2017.4937#2017.4937#2289.6953#2968.6338#3487.5671#3375.313#1674.0474#1783.9777	250.2514#310.33524#323.14484#323.14484#999.826#672.8568#682.42896#693.34784#549.9043#535.7855#535.7855#527.2179#579.974#616.5593#722.67#722.67#710.26215#695.4537#902.1291#804.93884#1384.7081#1561.5162#758.1585#758.1585#758.1585#857.4348#857.4348#898.2651#923.575#976.5188#966.5669#640.0769#675.0186	0.08341713#0.103445075#0.10771494#0.10771494#0.33327532#0.2242856#0.22747631#0.23111595#0.18330143#0.17859517#0.17859517#0.1757393#0.19332467#0.20551978#0.24089#0.24089#0.23675404#0.23181789#0.3007097#0.26831296#0.46156937#0.5205054#0.2527195#0.2527195#0.2527195#0.2858116#0.2858116#0.2994217#0.30785835#0.32550627#0.32218897#0.21335897#0.22500621	15.125#18.055555#18.777777#18.777777#54.923077#40.041664#41.333332#41.333332#32.083336#31.166668#31.166668#30.25#36.833336#37.916668#39.0#39.0#37.0#36.0#48.235294#42.352943#58.333332#62.814816#42.071426#42.071426#42.071426#42.352943#42.352943#45.882355#57.857143#64.28571#62.857143#47.076923#47.571426	createSession.json
3122	4#4	0.9331426620483398#0.9331426620483398	0.923548020223729#0.923548020223729	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#0	13.0#13.0	128.335205078125#128.335205078125	0#0	0#0	0#0	0#1195	0#0	0#0	0#0	0#0	0#6	0#0	0#0	0#0	233.02258#233.02258	12.945699#12.945699	46.604515#46.604515	0.015534839#0.015534839	5.0#5.0	getKey.json
