Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
1441	15#15	0.007200254593044519#0.007200254593044519	0.01398355858953039#0.01398355858953039	4#4	4#4	8#8	5#5	2.47#2.47	1#1	10#10	81.0#81.0	95.08064270019531#95.08064270019531	0#0	3#3	0#0	0#665	0#0	0#0	0#0	0#0	0#2	0#0	0#0	0#0	7614.7124#7614.7124	423.03958#423.03958	380.73563#380.73563	0.12691188#0.12691188	20.0#20.0	isAtLeast.json
4479	3#3#3#5	0.01799018494784832#0.2371644526720047#0.26377540826797485#0.1618252694606781	0.2001536752760647#0.4839378068976962#0.448508556308393#0.2381215052044673	0#0#0#1	0#0#0#1	0#0#0#2	1#1#1#2	1.89#1.89#1.89#2.99	0#0#0#0	3#2#2#2	31.0#25.0#25.0#35.0	127.26738739013672#128.712890625#128.712890625#118.13093566894531	0#0#0#0	2#2#2#2	0#0#0#0	0#2139#2149#4100	0#2#2#4	0#4#4#6	0#51#12#110	0#51#12#110	0#5#3#1	0#0#0#0	0#0#0#1	0#0#0#1	1766.9032#1415.9758#1415.9758#2632.1475	98.161285#78.66532#78.66532#146.23041	140.23042#106.19819#106.19819#158.32466	0.046743475#0.035399396#0.035399396#0.052774888	12.599999#13.333333#13.333333#16.625	isSubSkillEnabled.json
4569	3#3#3#3#3	0.048128195106983185#0.05988072231411934#0.02133066952228546#0.006936224177479744#0.006452518980950117	0.5730569419190079#0.5616689418145498#0.5535120894758975#0.5662181235725178#0.5570322361489806	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	1#1#1#1#1	19.0#19.0#19.0#19.0#19.0	130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#62#295#324#2262	0#1#1#1#1	0#2#2#2#2	0#6#9#1#7	0#6#9#1#7	0#1#2#5#2	0#0#0#0#1	0#0#0#0#1	0#0#0#0#1	465.97076#465.97076#465.97076#465.97076#465.97076	25.887264#25.887264#25.887264#25.887264#25.887264	77.6618#77.6618#77.6618#77.6618#77.6618	0.025887266#0.025887266#0.025887266#0.025887266#0.025887266	6.0#6.0#6.0#6.0#6.0	getFastFoodChance.json
2323	3#3	0.06734728813171387#0.06734728813171387	0.42078700679966385#0.42078700679966385	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	26.0#26.0	128.41912841796875#128.41912841796875	0#0	3#3	0#0	0#1547	0#0	0#0	0#0	0#0	0#2	0#0	0#0	0#0	1348.4417#1348.4417	74.91342#74.91342	112.37013#112.37013	0.03745671#0.03745671	12.0#12.0	hasReachedRank.json
3358	3#3#3#3#3	0.0#0.0#0.0#0.0#0.0	0.396564537753208#0.3799619985475428#0.396564537753208#0.5675731784332355#0.4477686249685277	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	2#2#2#1#2	26.0#26.0#26.0#23.0#26.0	128.41912841796875#128.3351287841797#128.41912841796875#129.2428436279297#128.50894165039062	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#0#0#3154#3288	0#1#1#2#1	0#2#2#4#2	0#1#1#29#8	0#1#1#29#8	0#1#1#1#1	0#0#0#0#0	0#0#1#0#1	0#0#1#0#1	1011.3312#856.5019#1011.3312#748.0846#927.7475	56.185066#47.58344#56.185066#41.560257#51.541527	112.37013#114.20025#112.37013#95.90828#110.44612	0.03745671#0.03806675#0.03745671#0.031969428#0.036815375	9.0#7.5#9.0#7.8#8.400001	getBlockCenter.json
4774	3#3#3#3#3#3#5#5#5#5#5	0.12880274653434753#0.09158472716808319#0.0032044132240116596#0.003541291691362858#0.004045955371111631#0.003913445398211479#0.005931869149208069#0.006728955544531345#0.006728955544531345#0.008306015282869339#0.013191849924623966	0.6489212271466506#0.6547046878391439#0.16256315632656995#0.16512187933885777#0.15993936691351177#0.15769775440702938#0.054796957352975115#0.053168670098267694#0.053168670098267694#0.05348912924470995#0.06149057206923131	0#0#0#0#0#0#1#1#1#1#1	0#0#0#0#0#0#1#1#1#1#1	0#0#0#0#0#0#2#2#2#2#2	1#1#1#1#1#1#2#2#2#2#2	1.89#1.89#1.89#1.89#1.89#1.89#2.99#2.99#2.99#2.99#2.99	0#0#0#0#0#0#0#0#0#0#0	1#1#5#5#5#5#7#7#7#7#7	19.0#19.0#34.0#34.0#34.0#34.0#45.0#45.0#45.0#45.0#44.0	130.34019470214844#130.34019470214844#127.31420135498047#127.31420135498047#127.31420135498047#127.31420135498047#116.97720336914062#116.97720336914062#116.97720336914062#116.97720336914062#117.09406280517578	0#0#0#0#0#0#0#0#0#0#0	0#0#2#2#2#2#2#2#2#2#2	0#0#0#0#0#0#0#0#0#0#0	0#128#296#2434#2449#2524#2986#2986#3265#4569#4569	0#2#2#1#1#1#2#1#0#1#1	0#4#4#2#2#2#2#2#0#2#2	0#23#143#10#4#5#72#14#0#12#26	0#23#143#10#4#5#72#14#0#12#26	0#1#3#5#4#1#1#1#0#2#2	0#0#0#0#0#0#1#0#0#0#0	0#0#0#0#0#0#1#0#0#0#0	0#0#0#0#0#0#1#0#0#0#0	465.97076#465.97076#2258.3232#2258.3232#2258.3232#2258.3232#4111.209#4111.209#4111.209#4111.209#4019.8486	25.887264#25.887264#125.4624#125.4624#125.4624#125.4624#228.4005#228.4005#228.4005#228.4005#223.32492	77.6618#77.6618#138.97374#138.97374#138.97374#138.97374#197.65428#197.65428#197.65428#197.65428#193.26196	0.025887266#0.025887266#0.04632458#0.04632458#0.04632458#0.04632458#0.06588476#0.06588476#0.06588476#0.06588476#0.064420655	6.0#6.0#16.25#16.25#16.25#16.25#20.8#20.8#20.8#20.8#20.8	getDoubleDropsEnabled.json
4569	3#3#3#3	0.03593358024954796#0.04335275664925575#0.019260581582784653#0.00625415425747633	0.6288603243701434#0.5999779965864852#0.5240807444646111#0.5370469009594878	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	1#1#1#1	19.0#19.0#19.0#19.0	130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844	0#0#0#0	0#0#0#0	0#0#0#0	0#11#97#324	0#2#2#1	0#4#4#2	0#10#42#1	0#10#42#1	0#1#1#5	0#1#0#0	0#1#0#0	0#1#0#0	465.97076#465.97076#465.97076#465.97076	25.887264#25.887264#25.887264#25.887264	77.6618#77.6618#77.6618#77.6618	0.025887266#0.025887266#0.025887266#0.025887266	6.0#6.0#6.0#6.0	getImpactChance.json
4569	3#3#3#3#3#3#3#6#6#3	0.05036716163158417#0.01671280898153782#0.008417363278567791#0.007371467538177967#0.004865026101469994#0.3633708655834198#0.09762359410524368#0.1561056673526764#0.0532156340777874#0.5445376038551331	0.5539943915112517#0.5651018323819416#0.014955581470525838#0.01519129384543724#0.09022674947654445#0.3778676372338726#0.22210193574409948#0.07661400997851092#0.04699868052312452#0.6934483985599158	0#0#0#0#0#0#0#1#1#0	0#0#0#0#0#0#0#1#1#0	0#0#0#0#0#0#0#2#2#0	1#1#1#1#1#1#1#2#2#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89#2.75#2.75#1.89	0#0#0#0#0#0#0#0#0#0	1#1#6#6#6#2#3#4#4#2	19.0#19.0#48.0#48.0#38.0#24.0#29.0#42.0#44.0#19.0	130.34019470214844#130.34019470214844#125.06812286376953#125.06812286376953#126.63196563720703#128.92515563964844#127.94110107421875#114.15914916992188#113.78789520263672#130.70933532714844	0#0#0#0#0#0#0#0#0#0	0#0#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#1#1#0	0#324#366#366#366#2229#2239#2254#2262#2266	0#1#2#1#1#2#2#4#1#1	0#2#4#2#2#4#4#5#2#5	0#1#210#4#6#178#88#108#5#200	0#1#210#4#6#178#88#108#5#200	0#5#1#1#1#5#3#1#2#2	0#0#0#0#0#0#0#0#1#0	0#0#0#0#0#0#0#1#1#0	0#0#0#0#0#0#0#1#1#0	465.97076#465.97076#7705.898#7705.898#3327.6#856.38226#1379.7269#3177.379#3368.201#651.0577	25.887264#25.887264#428.10544#428.10544#184.86667#47.576794#76.6515#176.52106#187.12227#36.169872	77.6618#77.6618#214.05272#214.05272#158.45715#101.950264#123.1899#192.56842#206.81935#72.339745	0.025887266#0.025887266#0.07135091#0.07135091#0.05281905#0.03398342#0.0410633#0.06418947#0.06893978#0.024113249	6.0#6.0#36.0#36.0#21.0#8.400001#11.2#16.5#16.285715#9.0	getMaxBonusLevel.json
372	3#3	0.6328263282775879#0.5949090719223022	0.8982192192387582#0.8869960039343204	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	13.0#13.0	132.9956512451172#132.9956512451172	0#0	0#0	0#0	0#0	0#1	0#2	0#11	0#11	0#1	0#0	0#0	0#0	233.02258#233.02258	12.945699#12.945699	46.604515#46.604515	0.015534839#0.015534839	5.0#5.0	getUserBlockTracker.json
462	3	0.19997647404670715	0.6659973548515618	0	0	0	1	1.89	0	1	19.0	130.34019470214844	0	0	0	0	0	0	0	0	0	0	0	0	465.97076	25.887264	77.6618	0.025887266	6.0	isPartyEnabled.json
