Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
6453	3#3#3#4#4	0.9330880641937256#0.9330880641937256#0.9330880641937256#0.9073780179023743#0.9073780179023743	0.8945163093011115#0.8945163093011115#0.8945163093011115#0.8928808144340028#0.8928808144340028	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.73#1.73	0#0#0#0#0	0#0#0#0#0	14.0#14.0#14.0#15.0#15.0	132.4454345703125#132.4454345703125#132.4454345703125#127.27810668945312#127.27810668945312	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#2#2792#4914#6170	0#0#0#1#0	0#0#0#1#0	0#0#0#10#0	0#0#0#10#0	0#0#0#3#0	0#0#0#0#0	0#0#0#1#1	0#0#0#1#1	259.0308#259.0308#259.0308#314.10678#314.10678	14.390599#14.390599#14.390599#17.450377#17.450377	51.806156#51.806156#51.806156#57.110325#57.110325	0.01726872#0.01726872#0.01726872#0.019036775#0.019036775	5.0#5.0#5.0#5.5#5.5	matches.json
4851	3#3#3#3	0.9187308549880981#0.9187308549880981#0.9187308549880981#0.9187308549880981	0.9129080773368614#0.9129080773368614#0.9129080773368614#0.9129080773368614	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	14.0#14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125	0#0#0#0	1#1#1#1	0#0#0#0	0#1190#4568#4627	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#1#1	0#0#1#0	259.0308#259.0308#259.0308#259.0308	14.390599#14.390599#14.390599#14.390599	51.806156#51.806156#51.806156#51.806156	0.01726872#0.01726872#0.01726872#0.01726872	5.0#5.0#5.0#5.0	toIntWrapper.json
1131	3#3#3	0.0#0.0#0.0	0.10329403475197164#0.10329403475197164#0.10329403475197164	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	38.0#38.0#38.0	126.28292083740234#126.28292083740234#126.28292083740234	0#0#0	6#6#6	0#0#0	0#848#907	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#1#1	0#1#0	1101.4796#1101.4796#1101.4796	61.193314#61.193314#61.193314	169.4584#169.4584#169.4584	0.056486133#0.056486133#0.056486133	6.5#6.5#6.5	sixArgumentVarArgsMethod.json
1131	4#4#4	0.13443832099437714#0.13443832099437714#0.13443832099437714	0.7177068373729211#0.7177068373729211#0.7177068373729211	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#0	20.0#20.0#20.0	125.41301727294922#125.41301727294922#125.41301727294922	0#0#0	1#1#1	0#0#0	0#848#907	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#1#1	0#1#0	572.2448#572.2448#572.2448	31.791378#31.791378#31.791378	81.74926#81.74926#81.74926	0.027249753#0.027249753#0.027249753	7.0#7.0#7.0	arrayVarargsMethod.json
5806	3#3#3#3	0.5190762877464294#0.5190762877464294#0.5190762877464294#0.5190762877464294	0.8909419878572614#0.8909419878572614#0.8909419878572614#0.8909419878572614	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	14.0#14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125	0#0#0#0	1#1#1#1	0#0#0#0	0#2145#5523#5582	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#1#1	0#0#1#0	259.0308#259.0308#259.0308#259.0308	14.390599#14.390599#14.390599#14.390599	51.806156#51.806156#51.806156#51.806156	0.01726872#0.01726872#0.01726872#0.01726872	5.0#5.0#5.0#5.0	forCharacter.json
5806	3#3#3#3	0.24930724501609802#0.24930724501609802#0.24930724501609802#0.24930724501609802	0.8383789325270047#0.8383789325270047#0.8383789325270047#0.8383789325270047	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	17.0#17.0#17.0#17.0	131.1535186767578#131.1535186767578#131.1535186767578#131.1535186767578	0#0#0#0	1#1#1#1	0#0#0#0	0#2145#5523#5582	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#1#1	0#0#1#0	398.5028#398.5028#398.5028#398.5028	22.139046#22.139046#22.139046#22.139046	66.41714#66.41714#66.41714#66.41714	0.022139046#0.022139046#0.022139046#0.022139046	6.0#6.0#6.0#6.0	forSet.json
5806	3#3#3#3	0.8742213845252991#0.8742213845252991#0.8742213845252991#0.8742213845252991	0.9246383106577223#0.9246383106577223#0.9246383106577223#0.9246383106577223	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0	0#0#0#0	0#0#0#0	0#2145#5523#5582	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#1#1	0#0#1#0	186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5	otherMethod.json
6444	3#3#3#3#3#3	0.791714608669281#0.791714608669281#0.791714608669281#0.791714608669281#0.791714608669281#0.791714608669281	0.8180048423922838#0.8180048423922838#0.8180048423922838#0.8180048423922838#0.8180048423922838#0.8180048423922838	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0	0#0#0#0#0#0	17.0#17.0#17.0#17.0#17.0#17.0	131.03103637695312#131.03103637695312#131.03103637695312#131.03103637695312#131.03103637695312#131.03103637695312	0#0#0#0#0#0	1#1#1#1#1#1	0#0#0#0#0#0	0#12#120#120#2783#6161	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#1	0#0#0#0#0#1	408.0#408.0#408.0#408.0#408.0#408.0	22.666666#22.666666#22.666666#22.666666#22.666666#22.666666	68.0#68.0#68.0#68.0#68.0#68.0	0.022666667#0.022666667#0.022666667#0.022666667#0.022666667#0.022666667	6.0#6.0#6.0#6.0#6.0#6.0	getArticlesFor.json
4913	30#30#30#30#30#30#29#32#24#24#23#23#23#27#26#26#26#26#26#26#27	0.0021962302271276712#0.0021605705842375755#0.0023923187982290983#0.0024832242634147406#0.0024832242634147406#0.0012680592481046915#0.0027740951627492905#0.0022650870960205793#0.008714133873581886#0.00919549260288477#0.017086954787373543#0.017086954787373543#0.011197944171726704#0.01151270978152752#0.00890206266194582#0.009363521821796894#0.007376953959465027#0.004600985441356897#0.004410021472722292#0.004410021472722292#0.004336061887443066	1.333063870914097E-12#1.3720147672009919E-12#1.3630289803916217E-12#1.166892214366075E-12#1.166892214366075E-12#4.2141890945112825E-13#6.581969691716859E-13#1.3240848489954486E-13#6.263318477782177E-11#6.253296770973375E-11#3.2542131353344387E-9#3.2542131353344387E-9#2.7556320273379132E-9#2.5076911282662155E-10#2.1366169208953549E-10#2.1284236291666705E-10#1.0111590470597929E-10#1.0116616314992664E-10#9.823593298910511E-11#9.823593298910511E-11#5.914835029371303E-11	2#2#2#2#2#2#2#3#2#2#2#2#2#3#4#4#4#3#3#3#3	2#2#2#2#2#2#2#3#2#2#2#2#2#3#3#3#3#3#3#3#3	4#4#4#4#4#4#4#6#4#4#4#4#4#6#7#7#7#6#6#6#6	7#7#7#7#7#7#6#7#5#5#5#5#5#6#6#6#6#6#6#6#6	4.9#4.9#4.9#4.9#4.9#4.9#4.17#4.36#3.27#3.27#3.31#3.31#3.31#3.98#3.93#3.93#3.93#3.93#3.93#3.93#3.98	4#4#4#4#4#4#3#3#2#2#2#2#2#3#3#3#3#3#3#3#3	15#15#15#15#15#15#12#13#11#11#10#10#10#11#12#12#13#13#13#13#14	206.0#206.0#206.0#206.0#206.0#211.0#207.0#219.0#178.0#178.0#158.0#158.0#159.0#178.0#176.0#176.0#179.0#179.0#179.0#179.0#183.0	77.17528533935547#77.17528533935547#77.17528533935547#77.15763854980469#77.15763854980469#77.0329360961914#77.92930603027344#75.75953674316406#82.14295196533203#82.14295196533203#83.51506805419922#83.51506805419922#83.48226165771484#80.00486755371094#80.65489959716797#80.65489959716797#80.54727935791016#80.54727935791016#80.54727935791016#80.54727935791016#79.8016128540039	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	7#7#7#7#7#7#9#9#6#6#5#5#5#6#5#5#5#5#5#5#5	0#32#47#57#1044#1044#1044#1044#1044#1044#1044#1252#1599#1698#2033#2208#3116#3492#3870#4630#4778	0#1#2#2#0#4#8#3#7#1#3#0#3#4#5#1#1#2#1#0#1	0#2#4#4#0#8#17#3#22#2#7#0#6#4#11#2#2#4#2#0#1	0#15#38#25#0#28#318#96#445#2#71#0#37#157#116#6#25#24#15#0#35	0#15#38#25#0#28#318#96#445#2#71#0#37#157#116#6#25#24#15#0#35	0#1#1#1#0#1#1#1#1#1#1#0#1#1#1#1#1#1#1#0#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#1#1#0	0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#1#1#0	84781.734#84781.734#84781.734#86805.97#86805.97#87511.85#80925.73#89057.266#57566.42#57566.42#45517.605#45517.605#45805.69#54529.125#54283.273#54283.273#56707.203#56707.203#56707.203#56707.203#60752.9	4710.096#4710.096#4710.096#4822.5537#4822.5537#4861.7695#4495.8735#4947.626#3198.1345#3198.1345#2528.7559#2528.7559#2544.7607#3029.3958#3015.7373#3015.7373#3150.4001#3150.4001#3150.4001#3150.4001#3375.1611	1258.356#1258.356#1258.356#1262.6323#1262.6323#1293.2787#1264.4645#1351.2136#1059.8469#1059.8469#929.45764#929.45764#935.3403#1059.8469#1052.0013#1052.0013#1074.0#1074.0#1074.0#1074.0#1102.0934	0.41945198#0.41945198#0.41945198#0.42087743#0.42087743#0.4310929#0.42148817#0.45040455#0.3532823#0.3532823#0.30981922#0.30981922#0.3117801#0.3532823#0.35066712#0.35066712#0.358#0.358#0.358#0.358#0.36736447	67.375#67.375#67.375#68.75#68.75#67.666664#64.0#65.909096#54.31579#54.31579#48.97222#48.97222#48.97222#51.45#51.600002#51.600002#52.800003#52.800003#52.800003#52.800003#55.125	loadImpl.json
5806	3#3#3#3	0.2531116306781769#0.2531116306781769#0.2531116306781769#0.2531116306781769	0.8367996165910833#0.8367996165910833#0.8367996165910833#0.8367996165910833	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	17.0#17.0#17.0#17.0	131.1535186767578#131.1535186767578#131.1535186767578#131.1535186767578	0#0#0#0	1#1#1#1	0#0#0#0	0#2145#5523#5582	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#1#1	0#0#1#0	398.5028#398.5028#398.5028#398.5028	22.139046#22.139046#22.139046#22.139046	66.41714#66.41714#66.41714#66.41714	0.022139046#0.022139046#0.022139046#0.022139046	6.0#6.0#6.0#6.0	forList.json
