Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4504	4	0.7529683709144592	0.899869569840867	0	0	0	1	1.73	0	1	15.0	127.59107971191406	0	0	0	0	0	0	0	0	0	0	0	0	268.8722	14.937344	53.77444	0.017924814	5.0	trySuccess.json
4600	5#5#5	0.23127371072769165#0.23127371072769165#0.23127371072769165	0.6613308273959579#0.6613308273959579#0.6613308273959579	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	2#2#2	25.0#25.0#25.0	120.53388214111328#120.53388214111328#120.53388214111328	0#0#0	1#1#1	0#0#0	0#850#4313	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#1	0#0#1	1094.6053#1094.6053#1094.6053	60.81141#60.81141#60.81141	104.24813#104.24813#104.24813	0.034749378#0.034749378#0.034749378	10.5#10.5#10.5	getShort.json
4600	10#14#14#11#11	0.46783360838890076#0.15566277503967285#0.15566277503967285#0.09849672019481659#0.09849672019481659	0.7736732782553777#0.22103534908666328#0.22103534908666328#0.1324532451675724#0.1324532451675724	2#3#3#4#4	2#3#3#2#2	4#6#6#6#6	3#4#4#3#3	2.8#2.62#2.62#2.67#2.67	1#1#1#1#1	1#1#1#2#2	36.0#61.0#61.0#55.0#55.0	106.6785659790039#98.03226470947266#98.03226470947266#102.64112854003906#102.64112854003906	0#0#0#0#0	1#1#1#1#1	0#1#1#1#1	0#130#850#2552#4313	0#4#0#1#0	0#4#0#5#0	0#135#0#73#0	0#135#0#73#0	0#1#0#1#0	0#0#0#0#0	0#0#0#0#1	0#0#0#0#1	1344.0492#6292.861#6292.861#5108.2417#5108.2417	74.6694#349.6034#349.6034#283.7912#283.7912	158.12343#279.6827#279.6827#255.41208#255.41208	0.05270781#0.09322757#0.09322757#0.08513736#0.08513736	8.5#22.5#22.5#20.0#20.0	order.json
6189	3#3#4#4#4#4	0.8697057962417603#0.8697057962417603#0.8520773649215698#0.8520773649215698#0.8520773649215698#0.8901292681694031	0.9145888017757705#0.9145888017757705#0.9119196889361821#0.9119196889361821#0.9119196889361821#0.9216997607514373	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.89#1.89#1.73#1.73#1.73#1.73	0#0#0#0#0#0	0#0#0#0#0#0	12.0#12.0#13.0#13.0#13.0#13.0	133.59722900390625#133.59722900390625#128.335205078125#128.335205078125#128.335205078125#128.335205078125	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#826#1218#1238#1363	0#0#1#0#0#1	0#0#1#0#0#2	0#0#10#0#0#4	0#0#10#0#0#4	0#0#6#0#0#2	0#0#0#0#1#0	0#0#0#0#1#0	0#0#0#0#1#0	186.80931#186.80931#233.02258#233.02258#233.02258#233.02258	10.378295#10.378295#12.945699#12.945699#12.945699#12.945699	41.51318#41.51318#46.604515#46.604515#46.604515#46.604515	0.013837727#0.013837727#0.015534839#0.015534839#0.015534839#0.015534839	4.5#4.5#5.0#5.0#5.0#5.0	cause.json
3682	4#4	0.8541544079780579#0.8587381839752197	0.9470604866018659#0.8875681885776553	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#0	13.0#15.0	128.335205078125#127.27810668945312	0#0	0#1	0#0	0#101	0#2	0#4	0#34	0#34	0#1	0#0	0#0	0#0	233.02258#314.10678	12.945699#17.450377	46.604515#57.110325	0.015534839#0.019036775	5.0#5.5	isWritable.json
4600	5#5#5	0.2018539309501648#0.2018539309501648#0.2018539309501648	0.6886117900021578#0.6886117900021578#0.6886117900021578	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	2#2#2	25.0#25.0#25.0	120.53388214111328#120.53388214111328#120.53388214111328	0#0#0	1#1#1	0#0#0	0#850#4313	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#1	0#0#1	1094.6053#1094.6053#1094.6053	60.81141#60.81141#60.81141	104.24813#104.24813#104.24813	0.034749378#0.034749378#0.034749378	10.5#10.5#10.5	getByte.json
3763	4	0.0	0.032382852483122705	0	0	0	1	1.73	0	1	44.0	120.58643341064453	0	6	0	0	0	0	0	0	0	0	0	0	3257.4048	180.96693	206.81935	0.06893978	15.75	writeFrame.json
1737	3	0.017428893595933914	0.18448660258244953	0	0	0	1	1.89	0	1	31.0	127.34163665771484	0	2	0	0	0	0	0	0	0	0	0	0	1866.2722	103.68179	138.24239	0.046080794	13.5	newInstance.json
6189	13#13#14#15#15#15#8#8#8#5	0.5329904556274414#0.5329904556274414#0.5559837222099304#0.5207193493843079#0.5207193493843079#0.5207193493843079#0.6203358173370361#0.5946526527404785#0.6235371232032776#0.6124356985092163	0.7375855301727074#0.7375855301727074#0.7430923723488629#0.7495317070302933#0.7495317070302933#0.7495317070302933#0.7708566320238025#0.716308956326546#0.7274535591603812#0.8101388915961085	2#2#2#2#2#2#2#2#2#0	2#2#2#2#2#2#1#1#1#0	4#4#4#4#4#4#3#3#3#0	3#3#3#3#3#3#2#2#2#1	3.69#3.69#3.61#3.83#3.83#3.83#3.12#3.12#3.12#1.96	2#2#2#2#2#2#1#1#1#0	2#2#2#2#2#2#2#2#2#1	48.0#48.0#50.0#51.0#51.0#51.0#30.0#31.0#31.0#21.0	100.7091064453125#100.7091064453125#99.22991943359375#97.94628143310547#97.94628143310547#97.94628143310547#111.64537811279297#111.38506317138672#111.38506317138672#121.6568603515625	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0	0#0#111#826#1218#1238#1607#1646#1664#1673	0#0#4#1#0#0#5#2#1#2	0#0#7#1#0#0#17#4#2#7	0#0#34#10#0#0#183#17#7#86	0#0#34#10#0#0#183#17#7#86	0#0#2#6#0#0#4#2#4#4	0#0#0#0#0#1#0#0#0#0	0#0#0#0#0#1#0#0#0#0	0#0#0#0#0#1#0#0#0#0	2971.0554#2971.0554#3283.8696#3578.7134#3578.7134#3578.7134#1624.8323#1808.7268#1808.7268#882.0	165.05864#165.05864#182.4372#198.81741#198.81741#198.81741#90.26846#100.484825#100.484825#49.0	220.07819#220.07819#232.19281#239.72244#239.72244#239.72244#127.43783#133.97977#133.97977#84.0	0.07335939#0.07335939#0.0773976#0.079907484#0.079907484#0.079907484#0.042479277#0.044659924#0.044659924#0.028	13.5#13.5#14.142857#14.928571#14.928571#14.928571#12.75#13.5#13.5#10.5	setFailure.json
6189	3#3#4#4#4#4#4	0.8830282092094421#0.8830282092094421#0.87025386095047#0.87025386095047#0.87025386095047#0.8176606893539429#0.8176606893539429	0.9414427031280395#0.9414427031280395#0.9346799962058118#0.9346799962058118#0.9346799962058118#0.9408341018779264#0.9408341018779264	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.89#1.89#1.73#1.73#1.73#1.73#1.73	0#0#0#0#0#0#0	0#0#0#0#0#0#0	12.0#12.0#13.0#13.0#13.0#13.0#13.0	133.59722900390625#133.59722900390625#128.335205078125#128.335205078125#128.335205078125#128.335205078125#128.335205078125	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#826#1218#1238#1363#1607	0#0#1#0#0#1#0	0#0#1#0#0#2#0	0#0#10#0#0#4#0	0#0#10#0#0#4#0	0#0#6#0#0#2#4	0#0#0#0#1#0#0	0#0#0#0#1#0#0	0#0#0#0#1#0#0	186.80931#186.80931#233.02258#233.02258#233.02258#233.02258#233.02258	10.378295#10.378295#12.945699#12.945699#12.945699#12.945699#12.945699	41.51318#41.51318#46.604515#46.604515#46.604515#46.604515#46.604515	0.013837727#0.013837727#0.015534839#0.015534839#0.015534839#0.015534839#0.015534839	4.5#4.5#5.0#5.0#5.0#5.0#5.0	channel.json
4600	4#5#5#4#4	0.7831658720970154#0.8672230839729309#0.8672230839729309#0.8854160308837891#0.8854160308837891	0.7924299116087623#0.8788406373685842#0.8788406373685842#0.8512130791693759#0.8512130791693759	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.96#1.96#1.73#1.73	0#0#0#0#0	0#1#1#1#1	18.0#18.0#18.0#16.0#16.0	126.19583892822266#122.58091735839844#122.58091735839844#126.94251251220703#126.94251251220703	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#211#850#1251#4313	0#2#0#1#0	0#3#0#3#0	0#35#0#20#0	0#35#0#20#0	0#3#0#3#0	0#0#0#0#0	0#0#0#0#1	0#0#0#0#1	457.10617#457.10617#457.10617#365.50607#365.50607	25.394787#25.394787#25.394787#20.305893#20.305893	70.32403#70.32403#70.32403#60.91768#60.91768	0.023441343#0.023441343#0.023441343#0.020305892#0.020305892	6.5#6.5#6.5#6.0#6.0	capacity.json
3829	4	0.6522210240364075	0.944076587563891	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	connection.json
3298	4	0.09986050426959991	0.449079019651832	0	0	0	1	1.73	0	0	30.0	123.10436248779297	0	1	0	0	0	0	0	0	0	0	0	0	1911.5674	106.19819	127.43783	0.042479277	15.0	newSucceededFuture.json
3763	4#4#4	0.0#0.0#0.0	0.003150903229675485#0.0018068831732538989#0.003150903229675485	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	1#1#1	59.0#61.0#59.0	118.88959503173828#118.61426544189453#118.88959503173828	0#0#0	9#9#9	0#0#0	0#661#669	0#1#1	0#2#2	0#22#22	0#22#22	0#2#2	0#0#1	0#1#1	0#1#1	4690.1597#5494.6543#4690.1597	260.56442#305.25858#260.56442	286.62088#302.206#286.62088	0.09554029#0.10073533#0.09554029	16.363636#18.181818#16.363636	writeHeaders.json
3763	4	0.5243892669677734	0.8821479683770875	0	0	0	1	1.73	0	1	16.0	127.09062194824219	0	0	0	0	0	0	0	0	0	0	0	0	325.6387	18.09104	59.207035	0.019735679	5.5	configuration.json
6189	12#12#13#14#14#14#8#8#8#5#5	0.6377904415130615#0.6377904415130615#0.6759370565414429#0.6507877111434937#0.6507877111434937#0.6507877111434937#0.5622202157974243#0.5523519515991211#0.6779290437698364#0.46688252687454224#0.6430047154426575	0.9019544176414248#0.9019544176414248#0.910670715262767#0.9123998631678428#0.9123998631678428#0.9123998631678428#0.8720130665920605#0.8324137733548915#0.8116061203063697#0.8903221082188822#0.8283503761243497	2#2#2#2#2#2#1#1#1#0#0	2#2#2#2#2#2#1#1#1#0#0	4#4#4#4#4#4#2#2#2#0#0	3#3#3#3#3#3#2#2#2#1#1	3.82#3.82#3.72#3.92#3.92#3.92#3.12#3.12#3.12#1.96#1.96	2#2#2#2#2#2#1#1#1#0#0	2#2#2#2#2#2#2#2#2#1#1	40.0#40.0#42.0#43.0#43.0#43.0#27.0#28.0#28.0#18.0#21.0	103.09822845458984#103.09822845458984#101.5478286743164#100.15067291259766#100.15067291259766#100.15067291259766#112.39348602294922#112.10051727294922#112.00414276123047#122.7151107788086#121.6568603515625	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#1	0#0#0#0#0#0#0#0#0#0#0	0#0#111#826#1218#1238#1607#1646#1664#1673#1685	0#0#4#1#0#0#5#2#1#2#2	0#0#7#1#0#0#16#4#2#7#4	0#0#34#10#0#0#159#17#10#88#17	0#0#34#10#0#0#159#17#10#88#17	0#0#2#6#0#0#4#2#4#4#4	0#0#0#0#0#1#0#0#0#0#0	0#0#0#0#0#1#0#0#0#0#0	0#0#0#0#0#1#0#0#0#0#0	1819.4481#1819.4481#1997.8254#2204.4827#2204.4827#2204.4827#882.89197#992.4422#1070.4778#445.4605#882.0	101.08045#101.08045#110.9903#122.47126#122.47126#122.47126#49.049553#55.135677#59.47099#24.747807#49.0	178.37726#178.37726#187.29613#194.51317#194.51317#194.51317#110.361496#116.757904#118.94197#68.53239#84.0	0.059459087#0.059459087#0.062432043#0.064837724#0.064837724#0.064837724#0.036787163#0.0389193#0.039647322#0.022844128#0.028	10.200001#10.200001#10.666667#11.333334#11.333334#11.333334#8.0#8.5#9.0#6.5#10.5	setSuccess.json
4582	8#8#8#8#4	0.6979026794433594#0.7358084321022034#0.7358084321022034#0.6609394550323486#0.8258843421936035	0.8691808800287573#0.8755140702794649#0.8755140702794649#0.867623156291976#0.8469009366747997	2#2#2#2#0	1#1#1#1#0	3#3#3#3#0	2#2#2#2#1	3.12#3.12#3.12#3.12#1.73	1#1#1#1#0	2#2#2#2#1	28.0#28.0#28.0#28.0#17.0	112.10051727294922#112.10051727294922#112.10051727294922#112.10051727294922#126.62725830078125	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#57#66#78#2222	0#1#0#1#1	0#2#0#2#6	0#7#0#8#81	0#7#0#8#81	0#4#4#4#1	0#0#0#0#0	0#0#0#0#1	0#0#0#0#1	1021.63165#1021.63165#1021.63165#1021.63165#582.5253	56.757313#56.757313#56.757313#56.757313#32.36252	116.757904#116.757904#116.757904#116.757904#64.72504	0.0389193#0.0389193#0.0389193#0.0389193#0.021575011	8.75#8.75#8.75#8.75#9.0	tryFailure.json
