Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4290	3#3	0.8244990706443787#0.8213545680046082	0.908727498710179#0.9274541003672899	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	13.0#12.0	132.9956512451172#133.59722900390625	0#0	0#0	0#0	0#1876	0#1	0#2	0#7	0#7	0#2	0#0	0#0	0#0	233.02258#186.80931	12.945699#10.378295	46.604515#41.51318	0.015534839#0.013837727	5.0#4.5	getExitCode.json
2803	3	0.7412738800048828	0.7671388369985068	0	0	0	1	1.89	0	0	18.0	131.1385955810547	0	1	0	0	0	0	0	0	0	0	0	0	549.5153	30.52863	66.60792	0.022202639	8.25	createCallbackNotifier.json
4897	3	0.9366702437400818	0.9286955929065347	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getConf.json
4897	3#3#3	0.5106458067893982#0.6311082243919373#0.8516998291015625	0.8982945182781221#0.7922584823766455#0.5720644488048006	0#0#1	0#0#1	0#0#2	1#1#2	1.89#1.89#1.89	0#0#0	0#1#2	12.0#16.0#22.0	133.59722900390625#131.60296630859375#129.24398803710938	0#0#0	0#0#0	0#0#0	0#0#740	0#1#1	0#2#2	0#11#42	0#11#42	0#1#2	0#0#0	0#0#0	0#0#0	186.80931#365.50607#917.38354	10.378295#20.305893#50.96575	41.51318#60.91768#91.73836	0.013837727#0.020305892#0.030579453	4.5#6.0#10.0	getWorkflowInstance.json
4897	3	0.9366702437400818	0.930419820986383	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getName.json
2317	4	0.5558252930641174	0.31470088709386235	0	0	0	1	1.73	0	1	29.0	123.1068344116211	0	2	0	0	0	0	0	0	0	0	0	0	1624.0593	90.22552	127.377205	0.042459067	12.75	getURIHandler.json
2546	4	0.8741312623023987	0.450568340276266	0	0	0	1	1.73	0	0	25.0	123.79976654052734	0	2	0	0	0	0	0	0	0	0	0	0	947.6293	52.646072	111.485794	0.03716193	8.5	mkdirs.json
4290	3#3	0.731635332107544#0.7039168477058411	0.8787234121112518#0.8998717477184299	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	13.0#12.0	132.9956512451172#133.59722900390625	0#0	0#0	0#0	0#1876	0#1	0#2	0#7	0#7	0#2	0#0	0#0	0#0	233.02258#186.80931	12.945699#10.378295	46.604515#41.51318	0.015534839#0.013837727	5.0#4.5	getExitInvoked.json
4897	3#3#3#3	0.8886429071426392#0.8886429071426392#0.8886429071426392#0.8886429071426392	0.925628895381183#0.925628895381183#0.925628895381183#0.925628895381183	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0	0#0#0#0	0#0#0#0	0#0#712#1527	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#8#1	0#0#0#0	0#0#0#0	0#0#0#0	186.80931#186.80931#186.80931#186.80931	10.378295#10.378295#10.378295#10.378295	41.51318#41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727#0.013837727	4.5#4.5#4.5#4.5	getParentId.json
4897	3	0.8025428056716919	0.9092673757940383	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getUserRetryMax.json
2546	4	0.9562255144119263	0.6111656495389652	0	0	0	1	1.73	0	0	22.0	124.71717071533203	0	1	0	0	0	0	0	0	0	0	0	0	700.9081	38.93934	93.45441	0.03115147	7.5	exists.json
2998	7	0.2377011775970459	0.021739683452310317	1	1	2	2	2.56	1	2	50.0	110.40240478515625	0	0	1	0	0	0	0	0	0	0	0	0	3721.0583	206.72546	245.34451	0.08178151	15.166666	getWebRootResourceUri.json
