Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
3013	12	0.006590436678379774	3.4230392601473925E-4	1	1	2	2	2.31	1	7	84.0	98.66179656982422	0	1	3	0	0	0	0	0	0	0	0	0	10939.853	607.7696	437.59412	0.14586471	25.0	getAlarmByDeadline.json
3606	4#4#4#4	0.7866933345794678#0.7866933345794678#0.7866933345794678#0.7866933345794678	0.8063255157057659#0.8063255157057659#0.8063255157057659#0.8063255157057659	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	1#1#1#1	17.0#17.0#17.0#17.0	126.62725830078125#126.62725830078125#126.62725830078125#126.62725830078125	0#0#0#0	1#1#1#1	0#0#0#0	0#147#200#200	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	582.5253#582.5253#582.5253#582.5253	32.36252#32.36252#32.36252#32.36252	64.72504#64.72504#64.72504#64.72504	0.021575011#0.021575011#0.021575011#0.021575011	9.0#9.0#9.0#9.0	hasSearchFields.json
4209	3#10#15#17#17#17#17#17#17#18#18	0.8585440516471863#0.5795878171920776#0.26324260234832764#0.27535831928253174#0.2486608624458313#0.19150812923908234#0.19150812923908234#0.19150812923908234#0.19150812923908234#0.19519616663455963#0.2167627364397049	0.9360128834568875#0.471591696713327#0.020077796871202026#0.009567304345444316#0.010825530475340323#0.003611742793867895#0.003611742793867895#0.003611742793867895#0.003611742793867895#0.004667049964247827#0.009075435722236508	0#0#4#5#5#5#5#5#5#5#5	0#0#3#4#4#4#4#4#4#4#4	0#0#7#9#9#9#9#9#9#9#9	1#3#5#6#6#6#6#6#6#6#6	1.89#2.8#3.16#3.05#3.05#3.05#3.05#3.05#3.05#2.98#2.98	0#1#2#2#2#2#2#2#2#2#2	0#5#7#8#8#9#9#9#9#9#8	12.0#45.0#72.0#81.0#81.0#85.0#85.0#85.0#85.0#86.0#83.0	133.59722900390625#105.51821899414062#95.32588195800781#92.41155242919922#92.45576477050781#92.0772933959961#92.0772933959961#92.0772933959961#92.0772933959961#91.09050750732422#91.3161849975586	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#26#28#750#803#803#815#859	0#7#7#2#1#1#0#0#0#2#1	0#7#9#2#2#2#0#0#0#3#2	0#186#171#51#5#34#0#0#0#8#10	0#186#171#51#5#34#0#0#0#8#10	0#1#1#1#1#1#0#0#0#1#1	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#0#0#0#0#0	0#0#0#0#0#1#0#0#0#0#0	186.80931#2520.092#6809.932#7440.4146#7082.3286#7997.8735#7997.8735#7997.8735#7997.8735#8091.9663#7450.2837	10.378295#140.00511#378.32956#413.35635#393.4627#444.3263#444.3263#444.3263#444.3263#449.55368#413.90466	41.51318#197.65428#363.19638#412.0845#408.59592#439.44363#439.44363#439.44363#439.44363#444.61356#425.7305	0.013837727#0.06588476#0.12106546#0.1373615#0.13619864#0.14648122#0.14648122#0.14648122#0.14648122#0.14820452#0.14191017	4.5#12.75#18.75#18.055555#17.333332#18.199999#18.199999#18.199999#18.199999#18.199999#17.5	getLibrary.json
2846	4	0.2006421536207199	0.9097550627962231	0	0	0	1	1.73	0	0	16.0	127.25547790527344	0	0	0	0	0	0	0	0	0	0	0	0	315.4767	17.526484	57.3594	0.019119801	5.5	getPreferenceDataSource.json
3013	12#12#12	9.723201510496438E-4#9.846080793067813E-4#6.086941575631499E-4	1.828083322392582E-4#1.1626339585271055E-4#1.1296477746375257E-4	1#1#1	1#1#1	2#2#2	2#2#2	2.56#2.56#2.56	1#1#1	7#7#7	88.0#89.0#89.0	98.41989135742188#98.2858657836914#98.2858657836914	0#0#0	0#0#0	3#3#3	0#802#802	0#1#1	0#2#2	0#13#11	0#13#11	0#1#1	0#0#0	0#0#0	0#0#0	14234.311#12700.822#12700.822	790.79504#705.60126#705.60126	458.43192#470.40082#470.40082	0.15281063#0.15680027#0.15680027	31.05#27.0#27.0	getAllLentItems.json
2846	3	0.409005731344223	0.477602934061109	0	0	0	1	1.89	0	1	18.0	130.7338104248047	0	0	0	0	0	0	0	0	0	0	0	0	432.0	24.0	72.0	0.024	6.0	getLastLibraryConfigUpdateVersion.json
2846	6	0.3530533015727997	0.3887585215223843	0	0	0	1	2.0	0	2	32.0	116.11042022705078	0	0	1	0	0	0	0	0	0	0	0	0	1659.6204	92.20113	138.3017	0.046100564	12.0	getLibrariesDir.json
4169	12#12#12#12#12	0.0028043193742632866#0.0028043193742632866#0.0028043193742632866#0.0028043193742632866#0.003146732458844781	5.0231130740722956E-5#5.0231130740722956E-5#5.0231130740722956E-5#5.0231130740722956E-5#7.541868808250852E-5	1#1#1#1#1	1#1#1#1#1	2#2#2#2#2	2#2#2#2#2	2.56#2.56#2.56#2.56#2.56	1#1#1#1#1	7#7#7#7#7	95.0#95.0#95.0#95.0#92.0	97.94661712646484#97.94661712646484#97.94661712646484#97.94661712646484#98.07766723632812	0#0#0#0#0	1#1#1#1#1	3#3#3#3#3	0#710#763#763#777	0#0#0#0#1	0#0#0#0#2	0#0#0#0#7	0#0#0#0#7	0#0#0#0#2	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	15337.277#15337.277#15337.277#15337.277#15489.713	852.071#852.071#852.071#852.071#860.5396	502.11322#502.11322#502.11322#502.11322#489.61737	0.16737108#0.16737108#0.16737108#0.16737108#0.16320579	30.545456#30.545456#30.545456#30.545456#31.636364	getAccountsWithPassword.json
2846	12#12#13	0.37641820311546326#0.4031507074832916#0.3987226188182831	0.010991934553452288#0.002235085288649361#0.002474652562735072	1#2#2	1#2#2	2#4#4	3#3#3	4.15#4.15#4.33	2#2#2	4#5#5	66.0#72.0#73.0	99.8090591430664#99.19511413574219#97.7896957397461	0#0#0	0#0#0	2#2#2	0#0#33	0#1#1	0#2#1	0#67#10	0#67#10	0#3#1	0#0#0	0#0#0	0#0#0	6062.56#7405.876#7832.4375	336.8089#411.43756#435.1354	335.77255#377.8508#385.83438	0.11192419#0.12595026#0.12861146	18.055555#19.6#20.3	getLastLibraryConfigUpdate.json
3013	12	7.481058710254729E-4	1.9389582204036842E-4	1	1	2	2	2.56	1	7	88.0	98.41989135742188	0	0	3	0	0	0	0	0	0	0	0	0	14234.311	790.79504	458.43192	0.15281063	31.05	getAllAlarms.json
