Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2397	4#4#4#4#4	0.10407144576311111#0.1528318077325821#0.1528318077325821#0.0733054056763649#0.08059404045343399	0.6378933077052593#0.5152888026360191#0.5152888026360191#0.47407670315675265#0.412352305994837	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#0#0#1#1	21.0#21.0#21.0#22.0#23.0	125.27178192138672#125.15930938720703#125.15930938720703#124.81353759765625#124.48601531982422	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#81	0#1#0#2#1	0#2#0#4#2	0#33#0#17#7	0#33#0#17#7	0#6#0#7#9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	554.4#472.102#472.102#550.4302#635.0652	30.800001#26.227888#26.227888#30.579454#35.2814	84.0#85.83672#85.83672#91.73836#97.70234	0.028#0.028612241#0.028612241#0.030579453#0.032567445	6.6000004#5.5#5.5#6.0#6.5	createReactivate2Command.json
2397	4#4#4#4#4	0.00740060955286026#0.03525499626994133#0.03525499626994133#0.017176464200019836#0.018998706713318825	0.31408731941624685#0.27978696894695176#0.27978696894695176#0.2451010636830531#0.20855096115114052	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#0#0#1#1	28.0#25.0#25.0#26.0#27.0	123.28931427001953#123.96263122558594#123.96263122558594#123.67467498779297#123.39956665039062	0#0#0#0#0	2#1#1#1#1	0#0#0#0#0	0#0#0#0#81	0#2#0#2#1	0#4#0#4#2	0#44#0#17#7	0#44#0#17#7	0#6#0#7#9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	983.8791#756.3374#756.3374#856.5019#963.23724	54.65995#42.018745#42.018745#47.58344#53.51318	122.984886#108.0482#108.0482#114.20025#120.404655	0.04099496#0.03601607#0.03601607#0.03806675#0.040134884	8.0#7.0#7.0#7.5#8.0	createVerifyPw3Command.json
2316	3#3#3	0.27902454137802124#0.2954055666923523#0.31216323375701904	0.9363134526781116#0.9373061914006423#0.9224549223710006	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	11.0#11.0#12.0	134.26058959960938#134.26058959960938#133.59722900390625	0#0#0	0#0#0	0#0#0	0#0#0	0#1#1	0#2#2	0#2#7	0#2#7	0#2#9	0#0#0	0#0#0	0#0#0	146.16483#146.16483#186.80931	8.120268#8.120268#10.378295	36.541206#36.541206#41.51318	0.012180402#0.012180402#0.013837727	4.0#4.0#4.5	getOpenPgpCapabilities.json
2397	4#4#4#4#4	0.10407144576311111#0.15168747305870056#0.15168747305870056#0.0725269764661789#0.0797448679804802	0.6310046457692958#0.5217800266583235#0.5217800266583235#0.47226010990757666#0.41080140551841715	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#0#0#1#1	21.0#21.0#21.0#22.0#23.0	125.27178192138672#125.15930938720703#125.15930938720703#124.81353759765625#124.48601531982422	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#81	0#1#0#2#1	0#2#0#4#2	0#31#0#17#7	0#31#0#17#7	0#6#0#7#9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	554.4#472.102#472.102#550.4302#635.0652	30.800001#26.227888#26.227888#30.579454#35.2814	84.0#85.83672#85.83672#91.73836#97.70234	0.028#0.028612241#0.028612241#0.030579453#0.032567445	6.6000004#5.5#5.5#6.0#6.5	createReactivate1Command.json
3006	8#8#8#8	0.0#0.0#0.0#0.0	7.132713852876561E-5#7.560338924496283E-5#2.9634555470753427E-5#2.212462300909953E-5	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	5#5#5#5	83.0#83.0#88.0#89.0	105.64582061767578#105.64582061767578#105.299072265625#105.19927215576172	0#0#0#0	4#4#5#5	1#1#1#1	0#0#1#863	0#2#2#1	0#4#4#2	0#34#19#7	0#34#19#7	0#1#1#1	0#0#0#0	0#0#0#0	0#0#0#0	9289.707#9289.707#9930.292#10582.837	516.09485#516.09485#551.68286#587.93536	422.25943#422.25943#451.3769#460.12335	0.14075315#0.14075315#0.15045896#0.15337445	22.0#22.0#22.0#23.0	createSelectPublicKeyPendingIntent.json
2954	3#3#3#3#33#36#36#36#53#53#53#49#49#49#49#49#49#8#8	0.2424696981906891#0.5468485355377197#0.5468485355377197#0.7839778065681458#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.3633630871772766#0.375321626663208	0.2789503735353014#0.3946758252706976#0.3946758252706976#0.5916730120450671#8.269628597119836E-23#3.0825672718534706E-26#3.0825672718534706E-26#2.95760726242631E-26#1.2916485066521516E-32#1.3392343586088134E-32#1.3392343586088134E-32#1.9190226782542363E-22#7.142887601087022E-23#7.386766147398043E-23#4.840176486068902E-23#7.875650793234685E-17#8.159998189191563E-17#0.33363199446148223#0.27975626713796886	0#0#0#0#9#9#9#9#11#11#11#12#12#12#12#12#12#0#0	0#0#0#0#10#10#10#10#14#14#14#12#12#12#12#12#12#0#0	0#0#0#0#19#19#19#19#25#25#25#24#24#24#24#24#24#0#0	1#1#1#1#9#9#9#9#13#13#13#12#12#12#12#12#12#1#1	1.89#1.89#1.89#1.89#3.75#3.7#3.7#3.7#3.59#3.59#3.59#3.61#3.61#3.61#3.61#3.61#3.61#1.73#1.73	0#0#0#0#5#5#5#5#5#5#5#5#5#5#5#5#5#0#0	3#3#3#1#32#36#36#36#44#44#44#33#34#34#34#34#34#4#4	28.0#26.0#26.0#20.0#317.0#355.0#355.0#355.0#446.0#448.0#448.0#343.0#345.0#345.0#347.0#273.0#273.0#42.0#43.0	127.94976043701172#128.50894165039062#128.50894165039062#130.07347106933594#72.79692077636719#70.70954895019531#70.70954895019531#70.70954895019531#62.20500946044922#62.20674133300781#62.20674133300781#65.26233673095703#65.18793487548828#65.18793487548828#65.15787506103516#66.2964096069336#66.2964096069336#110.12572479248047#109.91355895996094	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#0#0#0#8#10#10#10#10#10#10#9#9#9#9#9#9#1#1	0#0#0#79#79#79#79#122#265#540#557#557#557#557#636#636#638#638#638	0#2#0#2#31#5#0#1#19#2#0#12#9#5#2#2#10#6#1	0#4#0#4#32#7#0#2#21#4#0#28#18#10#4#4#20#53#2	0#30#0#41#1599#193#0#26#747#69#0#765#54#15#5#68#24#2047#7	0#30#0#41#1599#193#0#26#747#69#0#765#54#15#5#68#24#2047#7	0#1#0#1#1#1#1#1#1#1#0#7#1#7#1#1#2#1#9	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#0#0#0#1#0#0#0#0#1#0#0#0#0	0#0#0#0#0#1#0#0#0#1#0#0#0#0#1#0#0#0#0	1306.7144#1035.4324#1035.4324#588.59467#165282.73#206713.52#206713.52#206713.52#323727.6#331977.38#331977.38#218021.52#233226.8#233497.0#232021.1#68048.7#68048.7#5709.215#6318.659	72.595245#57.52402#57.52402#32.699703#9182.374#11484.084#11484.084#11484.084#17984.867#18443.188#18443.188#12112.307#12957.044#12972.056#12890.061#3780.4834#3780.4834#317.1786#351.03662	122.984886#110.44612#110.44612#81.74926#1986.5713#2263.1392#2263.1392#2263.1392#2916.4648#2915.4922#2915.4922#2162.1968#2193.3555#2193.3555#2206.0706#1772.2759#1772.2759#178.41296#185.84291	0.04099496#0.036815375#0.036815375#0.027249753#0.66219044#0.75437975#0.75437975#0.75437975#0.972155#0.9718307#0.9718307#0.7207323#0.7311185#0.7311185#0.73535687#0.5907586#0.5907586#0.05947099#0.061947636	10.625#9.375#9.375#7.2000003#83.200005#91.33929#91.33929#91.33929#111.0#113.86667#113.86667#100.833336#106.333336#106.45653#105.17392#38.396225#38.396225#32.0#34.0	communicate.json
2397	4#4#4#4#4	0.02987687662243843#0.014479993842542171#0.014479993842542171#0.00645822286605835#0.007151646539568901	0.3827238033984448#0.350230179509358#0.350230179509358#0.2836097936085371#0.23275704690500945	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#0#0#1#1	25.0#25.0#25.0#26.0#27.0	123.96263122558594#123.96263122558594#123.96263122558594#123.67467498779297#123.39956665039062	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#0#0#0#81	0#1#0#2#1	0#2#0#4#2	0#53#0#17#7	0#53#0#17#7	0#6#0#7#9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	702.3133#702.3133#702.3133#799.40173#903.0349	39.017406#39.017406#39.017406#44.41121#50.168606	108.0482#108.0482#108.0482#114.20025#120.404655	0.03601607#0.03601607#0.03601607#0.03806675#0.040134884	6.5#6.5#6.5#7.0#7.5	createPutKeyCommand.json
2487	6#6	6.218779599294066E-4#6.65911880787462E-4	0.00489377313680792#0.0037151421832770626	0#0	0#0	0#0	1#1	1.89#1.89	0#0	3#3	59.0#60.0	112.37553405761719#112.2336654663086	0#0	3#3	1#1	0#344	0#1	0#2	0#7	0#7	0#1	0#0	0#0	0#0	5089.654#5505.7124	282.75854#305.87292	283.63394#291.47888	0.09454465#0.097159624	17.944445#18.88889	createDeduplicatePendingIntent.json
2316	3#3	0.42178115248680115#0.45548057556152344	0.9169414448553536#0.8863261031966965	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	11.0#12.0	134.26058959960938#133.59722900390625	0#0	0#0	0#0	0#0	0#1	0#2	0#7	0#7	0#9	0#0	0#0	0#0	146.16483#186.80931	8.120268#10.378295	36.541206#41.51318	0.012180402#0.013837727	4.0#4.5	getCommandFactory.json
2397	4#4#4#4#4#4#4	0.009797956794500351#0.00968701671808958#0.00968701671808958#0.004629010334610939#0.005127043463289738#0.02415437251329422#0.0016179524827748537	0.2643841824342986#0.23650067720088494#0.23650067720088494#0.1939385623305009#0.15852840866817255#0.21873183634039967#0.10535450308705	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.73#1.73#1.73#1.73#1.73#1.73#1.73	0#0#0#0#0#0#0	0#0#0#1#1#1#1	27.0#27.0#27.0#28.0#29.0#27.0#32.0	123.47842407226562#123.47842407226562#123.47842407226562#123.21045684814453#122.9537353515625#123.39956665039062#122.37174224853516	0#0#0#0#0#0#0	1#1#1#1#1#1#2	0#0#0#0#0#0#0	0#0#0#0#81#93#150	0#1#0#2#1#1#2	0#2#0#4#2#2#4	0#59#0#17#7#17#36	0#59#0#17#7#17#36	0#6#0#7#9#1#1	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	770.8517#770.8517#770.8517#874.04865#983.87476#903.0349#1320.4691	42.825092#42.825092#42.825092#48.558258#54.65971#50.168606#73.3594	118.59257#118.59257#118.59257#124.86409#131.1833#120.404655#146.7188	0.039530855#0.039530855#0.039530855#0.041621365#0.043727767#0.040134884#0.048906267	6.5#6.5#6.5#7.0#7.5#7.5#9.0	createDecipherCommand.json
